#{"t_start": 1582923764.0977166, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.578919
,-50.0,50,7.388399
,-50.0,50,9.068048
,-50.0,50,10.728488
,0.0,50,12.321764
,0.0,50,13.934975
,-50.0,50,15.564551
,-50.0,50,17.180462
,0.0,50,18.819796
,-50.0,50,20.449952
,-50.0,50,22.041481
,-50.0,50,23.625561
,-50.0,50,25.228232
,-50.0,50,26.85089
,-50.0,50,28.462569
,-50.0,50,30.076323
,-50.0,50,31.692281
,-50.0,50,33.320405
,-50.0,50,34.930837
,-50.0,50,36.60177
,-50.0,50,38.187306
,-50.0,50,39.828804
,-50.0,50,41.476658
,-50.0,50,43.060383
,-50.0,50,44.691041
,-50.0,50,46.300714
,-50.0,50,47.924026
,-50.0,50,49.497551
,-50.0,50,51.119816
,0.0,50,52.723967
,-50.0,50,54.357386
,-50.0,50,55.995475
,-50.0,50,57.593904
,-50.0,50,59.172992
,-50.0,50,60.840463
,-50.0,50,62.465518
,-50.0,50,64.096445
,-50.0,50,65.715217
,-50.0,50,67.305835
,-50.0,50,68.9347
,-50.0,50,70.520638
,-50.0,50,72.177255
,-50.0,50,73.769776
,-50.0,50,75.403737
,-50.0,50,77.019427
,-50.0,50,78.586442
,-50.0,50,80.240123
,-50.0,50,81.875475
,-50.0,50,83.486216
,-50.0,50,85.123488
,-50.0,50,86.782446
,-50.0,50,87.0832
,-50.0,50,87.325665
,-50.0,50,87.610597
,-50.0,50,87.875508
,-50.0,50,88.174336
,-50.0,50,88.428717
,-50.0,50,88.731002
,-50.0,50,89.021559
,-50.0,50,89.291113
,-50.0,50,89.811165
,-50.0,50,91.452302
,-50.0,50,93.089469
,-50.0,50,94.710813
,-50.0,50,96.327788
,-50.0,50,97.929839
,-50.0,50,99.554945
,-50.0,50,101.211905
,-50.0,50,102.853193
,-50.0,50,104.437806
,-50.0,50,106.077915
,-50.0,50,107.689273
,-50.0,50,109.33158
,-50.0,50,110.938893
,-50.0,50,112.571116
,-50.0,50,114.196145
,-50.0,50,115.826989
,-50.0,50,117.418228
,-50.0,50,119.049312
,-50.0,50,120.692018
,-50.0,50,122.314643
,-50.0,50,123.984773
,-50.0,50,125.588403
,-50.0,50,127.230655
,-50.0,50,128.892067
,-50.0,50,130.466952
,-50.0,50,132.123543
,-50.0,50,133.740504
,-50.0,50,135.396718
,-50.0,50,137.001418
,-50.0,50,138.630781
,-50.0,50,140.231573
,-50.0,50,141.908356
,-50.0,50,143.520408
,-50.0,50,145.141251
,-50.0,50,146.77599
,-50.0,50,148.404478
,-50.0,50,150.008035
,-50.0,50,151.643935
,-50.0,50,153.230714
,-50.0,50,154.842851
,-50.0,50,156.48672
,-50.0,50,158.097431
,-50.0,50,159.809335
,-50.0,50,161.439229
,-50.0,50,163.051768
,-50.0,50,164.676203
,0.0,50,166.264716
,-50.0,50,167.923092
,0.0,50,169.543514
,-50.0,50,171.16452
,-50.0,50,171.432652
,-50.0,50,171.724342
,-50.0,50,172.008482
,-50.0,50,172.287431
,-50.0,50,172.568961
,-50.0,50,172.858809
,-50.0,50,173.135532
,-50.0,50,173.450031
,0.0,50,173.732539
,-50.0,50,174.07073
,-50.0,50,175.714144
,-50.0,50,177.32023
,-50.0,50,178.953763
,0.0,50,180.53308
,-50.0,50,182.17897
,-50.0,50,183.807791
,-50.0,50,185.398821
,-50.0,50,187.045681
,-50.0,50,188.653503
,-50.0,50,190.285515
,-50.0,50,191.905284
,-50.0,50,193.522399
,-50.0,50,195.156729
,-50.0,50,196.76119
,-50.0,50,198.402962
,-50.0,50,200.017125
,-50.0,50,201.646856
,-50.0,50,203.268907
,-50.0,50,204.869477
,-50.0,50,206.518965
,-50.0,50,208.140644
,-50.0,50,209.78666
,-50.0,50,211.390266
,-50.0,50,213.015868
,0.0,50,214.649199
,-50.0,50,216.27741
,0.0,50,217.913947
,-50.0,50,219.532103
,-3.0,50,221.144019
,-50.0,50,222.767822
,-50.0,50,224.411747
,-50.0,50,226.052441
,-50.0,50,227.692117
,-50.0,50,229.317711
,-50.0,50,230.946584
,-50.0,50,232.563862
,-50.0,50,234.153664
,-50.0,50,235.795163
,-50.0,50,237.459731
,-50.0,50,239.071256
,-50.0,50,240.723067
,-50.0,50,242.340492
,-50.0,50,243.975805
,-50.0,50,245.591425
,-50.0,50,247.212167
,-50.0,50,248.88132
,-50.0,50,250.49112
,-50.0,50,252.164522
,-50.0,50,253.773387
,-50.0,50,255.433851
,-50.0,50,255.715114
,-50.0,50,255.989578
,0.0,50,256.270814
,-50.0,50,256.528653
,-50.0,50,256.834309
,-27.0,50,257.128509
,0.0,50,257.399486
,-50.0,50,257.697621
,-50.0,50,257.961119
,-50.0,50,258.317386
,-50.0,50,259.934763
,-50.0,50,261.548827
,-50.0,50,263.163041
,-50.0,50,264.801169
,-50.0,50,266.455844
,-50.0,50,268.083482
,-50.0,50,269.70788
,-50.0,50,271.366695
,-50.0,50,273.008972
,-50.0,50,274.61114
,-50.0,50,276.240936
,-50.0,50,277.880673
,-50.0,50,279.541713
,-50.0,50,281.174652
,-50.0,50,282.820522
,-50.0,50,284.430948
,-50.0,50,286.045411
,-50.0,50,287.667773
,-50.0,50,289.318639
,-50.0,50,290.942406
,-50.0,50,292.574612
,-50.0,50,294.200352
,-50.0,50,295.841004
,-50.0,50,297.497463
,-50.0,50,299.093488
,-50.0,50,300.766858
,-50.0,50,302.424594
,-50.0,50,304.018152
,-50.0,50,305.673872
,-50.0,50,307.298915
,-50.0,50,308.965452
,-50.0,50,310.604795
,-50.0,50,312.218392
,-50.0,50,313.891353
,-50.0,50,315.555857
,-50.0,50,317.24516
,-50.0,50,318.864212
,-50.0,50,320.52231
,-50.0,50,322.139502
,-50.0,50,323.757929
,-50.0,50,325.394442
,-37.0,50,327.026263
,-50.0,50,328.677639
,-50.0,50,330.281218
,-50.0,50,331.958865
,-50.0,50,333.577473
,-50.0,50,335.214028
,-50.0,50,336.889932
,-50.0,50,338.511594
,-50.0,50,340.136674
,-50.0,50,340.409194
,-50.0,50,340.667005
,-50.0,50,340.928674
,-50.0,50,341.199185
,-50.0,50,341.47187
,-50.0,50,341.727464
,-50.0,50,342.004485
,-50.0,50,342.304398
,-50.0,50,342.561757
,-50.0,50,343.067772
,-50.0,50,344.698057
,-50.0,50,346.363579
,-50.0,50,347.980593
,-50.0,50,349.617508
,-50.0,50,351.249269
,-50.0,50,352.909195
,-50.0,50,354.550395
,-50.0,50,356.169481
,-50.0,50,357.807488
