actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5803568,0.0063477247,0.83852404,0.07609556,0.20111199,0.052128132,-47.1875,10.0,-2.6067886,0.056250001303851604,-46.5775,50.0,0.06625
1.8648288,0.00465683,0.83992076,0.07353606,0.20141308,0.04986073,-47.8125,20.0,-4.5158844,0.0437500006519258,-46.04,100.0,0.07875
2.0997512,0.0048590554,0.83993584,0.07330253,0.20144117,0.050835785,-46.25,30.0,-5.7748756,0.07500000158324838,-46.96125,150.0,0.057499999180436134
2.3264437,0.006895113,0.8397978,0.074736096,0.20132685,0.055426348,-45.0125,40.0,-7.3381424,0.1000000019557774,-46.67625,200.0,0.06875
2.5525746,0.011709218,0.8399718,0.078075096,0.20160139,0.062152006,-42.375,50.0,-8.045195,0.18750000093132257,-44.9125,250.0,0.1175
2.7604027,0.02105834,0.8406792,0.079150304,0.20175737,0.06992857,-35.387497,60.0,-7.084593,0.375,-42.92125,300.0,0.18375
2.9383447,0.036085382,0.84209347,0.07996441,0.20186988,0.07860288,-28.21875,70.0,-5.529093,0.5625,-37.31,350.0,0.3625
3.065147,0.05351916,0.8424236,0.079901904,0.20222574,0.08644217,-20.599998,80.0,-3.1545677,0.7625,-31.56375,400.0,0.54125
3.1525335,0.07087001,0.842506,0.07965404,0.20221037,0.09187165,-15.275,90.0,-2.0588806,0.88124996,-28.997501,450.0,0.64125
3.2180834,0.086248435,0.8426668,0.07949891,0.2022802,0.09588367,-16.368752,100.0,-2.3367143,0.88125,-25.811249,500.0,0.71375
3.267218,0.09936124,0.84248847,0.07946028,0.202088,0.098333634,-14.231251,110.0,-1.7558496,0.93125,-24.27125,550.0,0.78
3.3086503,0.11020023,0.84240454,0.079037905,0.20216808,0.10121505,-12.2875,120.0,-1.5141826,0.95624995,-22.227499,600.0,0.8275
3.3430436,0.119190104,0.8422954,0.07850572,0.20231766,0.10352231,-12.925,130.0,-1.6108668,0.93125,-22.234999,650.0,0.84875
