#{"t_start": 1582991668.922754, "env_id": "FetchPush-v1"}
s,r,l,t
,0.0,50,6.452948
,-50.0,50,8.283799
,-50.0,50,9.888709
,-50.0,50,11.49362
,-50.0,50,13.095093
,-50.0,50,14.708119
,-50.0,50,16.31775
,-50.0,50,17.919697
,-50.0,50,19.531087
,-50.0,50,21.096584
,-50.0,50,22.717233
,-50.0,50,24.336483
,-50.0,50,25.9219
,-50.0,50,27.579422
,-50.0,50,29.155745
,-50.0,50,30.740097
,-50.0,50,32.354562
,-50.0,50,33.980847
,-50.0,50,35.551866
,-50.0,50,37.158069
,-50.0,50,38.806555
,-50.0,50,40.406271
,-50.0,50,41.994353
,-50.0,50,43.587042
,-50.0,50,45.203274
,-50.0,50,46.82214
,-50.0,50,48.45143
,-50.0,50,50.052784
,0.0,50,51.668239
,-50.0,50,53.277366
,-50.0,50,54.865969
,-50.0,50,56.535756
,-50.0,50,58.131625
,-50.0,50,59.775334
,-50.0,50,61.377406
,-50.0,50,63.007719
,-50.0,50,64.635471
,-50.0,50,66.241803
,-50.0,50,67.832021
,-50.0,50,69.46705
,-50.0,50,71.091132
,-50.0,50,72.708841
,-50.0,50,74.32029
,-50.0,50,75.943437
,-50.0,50,77.548965
,-50.0,50,79.169543
,-50.0,50,80.782221
,-50.0,50,82.397391
,-50.0,50,84.035052
,-50.0,50,85.657513
,-50.0,50,87.368369
,-50.0,50,87.632446
,-50.0,50,87.917511
,-50.0,50,88.201751
,-50.0,50,88.473273
,-50.0,50,88.743148
,-50.0,50,89.037215
,-50.0,50,89.309303
,-50.0,50,89.60615
,-50.0,50,89.894242
,-50.0,50,90.413985
,-50.0,50,92.068745
,-50.0,50,93.672413
,-50.0,50,95.322127
,-50.0,50,96.944795
,-50.0,50,98.577292
,-50.0,50,100.260525
,-50.0,50,101.889456
,-50.0,50,103.486603
,-50.0,50,105.170979
,-50.0,50,106.764461
,-50.0,50,108.394149
,-50.0,50,110.005444
,-50.0,50,111.68232
,-50.0,50,113.318862
,-50.0,50,114.937112
,-50.0,50,116.534972
,-50.0,50,118.167433
,-50.0,50,119.79899
,0.0,50,121.433255
,-50.0,50,123.099107
,0.0,50,124.712489
,-50.0,50,126.369637
,-50.0,50,127.989856
,-50.0,50,129.62064
,-50.0,50,131.296978
,-50.0,50,132.912846
,-50.0,50,134.561955
,-50.0,50,136.188305
,-50.0,50,137.785937
,-50.0,50,139.433101
,-50.0,50,141.059639
,-50.0,50,142.640824
,-50.0,50,144.286551
,-50.0,50,145.893926
,-48.0,50,147.519723
,-50.0,50,149.182519
,-50.0,50,150.842632
,-50.0,50,152.448389
,-50.0,50,154.068936
,-50.0,50,155.706319
,-50.0,50,157.356097
,-50.0,50,158.97424
,-50.0,50,160.626555
,-50.0,50,162.275259
,-50.0,50,163.896501
,-50.0,50,165.472847
,-50.0,50,167.142613
,-50.0,50,168.761015
,-50.0,50,170.370517
,-50.0,50,172.031953
,-50.0,50,172.299748
,-50.0,50,172.593899
,-50.0,50,172.908484
,-50.0,50,173.176922
,-50.0,50,173.481383
,-50.0,50,173.735763
,-50.0,50,174.030622
,-50.0,50,174.287972
,-50.0,50,174.564693
,-50.0,50,175.007406
,-50.0,50,176.612855
,0.0,50,178.248287
,-50.0,50,179.839781
,-50.0,50,181.504437
,-50.0,50,183.113613
,-50.0,50,184.707766
,-50.0,50,186.340236
,-50.0,50,188.006497
,-50.0,50,189.645726
,-50.0,50,191.30935
,-50.0,50,192.941444
,-50.0,50,194.60119
,-50.0,50,196.196429
