#{"t_start": 1583044983.872493, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.086706
,-50.0,50,6.97443
,-50.0,50,8.607528
,-50.0,50,10.23918
,-50.0,50,11.830941
,-50.0,50,13.431449
,-50.0,50,15.05493
,-50.0,50,16.665419
,-50.0,50,18.255918
,-50.0,50,19.871149
,-50.0,50,21.527982
,-50.0,50,23.12582
,-50.0,50,24.753163
,-50.0,50,26.357926
,-50.0,50,27.960954
,-50.0,50,29.625284
,-50.0,50,31.20925
,-50.0,50,32.826183
,-50.0,50,34.455497
,-50.0,50,36.042747
,-50.0,50,37.690572
,-50.0,50,39.281801
,-50.0,50,40.90328
,-50.0,50,42.537206
,-50.0,50,44.128366
,-50.0,50,45.757928
,-50.0,50,47.343391
,-50.0,50,48.99347
,-50.0,50,50.612988
,0.0,50,52.256312
,-50.0,50,53.856958
,-50.0,50,55.494913
,-50.0,50,57.131229
,-50.0,50,58.720824
,-50.0,50,60.367707
,-50.0,50,61.963445
,-50.0,50,63.56903
,-50.0,50,65.158022
,-50.0,50,66.798072
,0.0,50,68.405668
,-50.0,50,70.04253
,-50.0,50,71.624179
,-50.0,50,73.289642
,-50.0,50,74.908338
,-50.0,50,76.537534
,-50.0,50,78.158909
,-50.0,50,79.740124
,-50.0,50,81.401753
,-50.0,50,83.015284
,-50.0,50,84.61494
,-50.0,50,86.264624
,-50.0,50,86.549555
,-50.0,50,86.783882
,0.0,50,87.063878
,-50.0,50,87.32091
,-50.0,50,87.574094
,-50.0,50,87.846201
,-50.0,50,88.135202
,-50.0,50,88.393706
,-50.0,50,88.654871
,-50.0,50,89.253027
,0.0,50,90.866257
,-50.0,50,92.510423
,-50.0,50,94.149862
,-50.0,50,95.785478
,-50.0,50,97.413512
,-50.0,50,99.038639
,0.0,50,100.66989
,-50.0,50,102.291335
,0.0,50,103.948509
,-50.0,50,105.57062
,-50.0,50,107.222448
,-50.0,50,108.846151
,-50.0,50,110.504097
,-50.0,50,112.132448
,-50.0,50,113.775493
,-50.0,50,115.374436
,-50.0,50,116.987086
,-50.0,50,118.663545
,-50.0,50,120.239892
,-50.0,50,121.874939
,-50.0,50,123.530671
,-50.0,50,125.155599
,-50.0,50,126.778556
,-50.0,50,128.402863
,-50.0,50,130.070653
,-50.0,50,131.69261
,-50.0,50,133.282657
,-50.0,50,134.949531
,-50.0,50,136.576835
,-50.0,50,138.166594
,-50.0,50,139.82667
,-50.0,50,141.451728
,-50.0,50,143.075551
,-50.0,50,144.74289
,-50.0,50,146.381711
,0.0,50,148.018832
,-50.0,50,149.625628
,-50.0,50,151.25392
,-50.0,50,152.872449
,-50.0,50,154.495824
,-50.0,50,156.108203
,-50.0,50,157.735649
,-50.0,50,159.377176
,-50.0,50,161.012311
,-50.0,50,162.648615
,0.0,50,164.286566
,0.0,50,165.88358
,-50.0,50,167.513203
,-50.0,50,169.107497
,-50.0,50,170.758191
,-50.0,50,171.020652
,-50.0,50,171.302843
,-50.0,50,171.591142
,-50.0,50,171.891025
,-50.0,50,172.160383
,-50.0,50,172.437562
,-50.0,50,172.725332
,-50.0,50,172.984174
,-50.0,50,173.291957
,-50.0,50,173.631291
,-50.0,50,175.280701
,-50.0,50,176.905911
,-50.0,50,178.516876
,-50.0,50,180.204157
,-37.0,50,181.814758
,-50.0,50,183.448271
,-50.0,50,185.053532
,-50.0,50,186.721229
,-50.0,50,188.37157
,0.0,50,189.98271
,-50.0,50,191.654297
,-50.0,50,193.248643
