#{"t_start": 1582983984.8077965, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.472537
,-50.0,50,8.273559
,-50.0,50,9.921842
,-50.0,50,11.538362
,-50.0,50,13.165802
,-50.0,50,14.743184
,-50.0,50,16.356336
,-50.0,50,17.999117
,-50.0,50,19.639751
,-50.0,50,21.24058
,-50.0,50,22.848598
,-50.0,50,24.450083
,-50.0,50,26.049331
,-50.0,50,27.654635
,-50.0,50,29.217401
,-50.0,50,30.856313
,0.0,50,32.45973
,-50.0,50,34.037647
,-50.0,50,35.684293
,-50.0,50,37.308095
,-50.0,50,38.886216
,-50.0,50,40.530509
,-50.0,50,42.118774
,-50.0,50,43.748679
,-50.0,50,45.346553
,-50.0,50,46.950519
,-50.0,50,48.568635
,-50.0,50,50.187975
,0.0,50,51.786292
,-50.0,50,53.381724
,-50.0,50,55.013427
,-50.0,50,56.643151
,-50.0,50,58.220784
,-50.0,50,59.809682
,-50.0,50,61.445509
,-50.0,50,63.053236
,-50.0,50,64.685618
,-50.0,50,66.273935
,0.0,50,67.891965
,-50.0,50,69.507511
,-50.0,50,71.131794
,-50.0,50,72.722251
,-50.0,50,74.321401
,-50.0,50,75.939651
,-50.0,50,77.531764
,-50.0,50,79.179537
,-50.0,50,80.799274
,0.0,50,82.382839
,-50.0,50,84.047717
,-50.0,50,85.640072
,-50.0,50,87.309732
,-50.0,50,87.60627
,-50.0,50,87.909944
,-50.0,50,88.180158
,-50.0,50,88.482351
,-50.0,50,88.736374
,-50.0,50,89.050154
,-50.0,50,89.325035
,-50.0,50,89.591109
,-50.0,50,89.851402
,-50.0,50,90.290346
,-50.0,50,91.904126
,-50.0,50,93.54283
,-50.0,50,95.153667
,-50.0,50,96.777946
,-50.0,50,98.411249
,-50.0,50,100.022107
,-50.0,50,101.605672
,-50.0,50,103.231872
,-50.0,50,104.869626
,-50.0,50,106.479762
,-50.0,50,108.086284
,-50.0,50,109.697006
,-50.0,50,111.286526
,-50.0,50,112.87522
,-50.0,50,114.507651
,-50.0,50,116.150356
,-50.0,50,117.735214
,-50.0,50,119.371524
,-50.0,50,120.983347
,-50.0,50,122.585845
,-50.0,50,124.217595
,-50.0,50,125.830777
,-50.0,50,127.461513
,-50.0,50,129.084135
,-50.0,50,130.680969
,-50.0,50,132.326442
,0.0,50,133.919976
,-50.0,50,135.522778
,-50.0,50,137.154165
,-50.0,50,138.772285
,-50.0,50,140.366001
,-50.0,50,141.980372
,-50.0,50,143.605278
,-50.0,50,145.182515
,-50.0,50,146.78932
,-50.0,50,148.428958
,-50.0,50,150.026069
,-50.0,50,151.62968
,-50.0,50,153.266784
,-50.0,50,154.849656
,-50.0,50,156.486307
,-50.0,50,158.099763
,0.0,50,159.695775
,-50.0,50,161.310282
,-50.0,50,162.909478
,-50.0,50,164.575594
,-50.0,50,166.169766
,-50.0,50,167.763311
,-50.0,50,169.406815
,-50.0,50,171.000809
,-50.0,50,171.284762
,-50.0,50,171.559367
,-50.0,50,171.854949
,-50.0,50,172.138513
,-50.0,50,172.41837
,-50.0,50,172.700462
,-50.0,50,172.970645
,-50.0,50,173.27817
,-50.0,50,173.540545
,-50.0,50,173.891139
,-50.0,50,175.470724
,-50.0,50,177.077558
,-50.0,50,178.758389
,-50.0,50,180.379612
,-50.0,50,181.963999
,-50.0,50,183.624064
,0.0,50,185.223473
,-50.0,50,186.878818
,-50.0,50,188.498203
,-50.0,50,190.118862
,-50.0,50,191.736002
,-50.0,50,193.373098
,-50.0,50,194.981038
,-50.0,50,196.594644
,-50.0,50,198.200952
,-50.0,50,199.819639
,-50.0,50,201.451072
,-50.0,50,203.072918
,-50.0,50,204.693779
,-50.0,50,206.338009
,-50.0,50,207.991901
,-50.0,50,209.606547
,-50.0,50,211.193213
,-50.0,50,212.850631
,-50.0,50,214.429928
,-50.0,50,216.070077
,-50.0,50,217.71442
,-50.0,50,219.299409
,-50.0,50,220.946465
,-50.0,50,222.517344
,-50.0,50,224.158215
,-50.0,50,225.794482
,-50.0,50,227.431729
,-50.0,50,229.028021
,-50.0,50,230.640368
,-50.0,50,232.247732
,-50.0,50,233.868778
,-50.0,50,235.494327
,-50.0,50,237.089518
,-50.0,50,238.684561
,-50.0,50,240.318102
,-50.0,50,241.966473
,-50.0,50,243.578435
,0.0,50,245.199524
,-50.0,50,246.850954
,-50.0,50,248.435331
,-50.0,50,250.093261
,-50.0,50,251.684363
,-50.0,50,253.302434
,-50.0,50,254.960216
,-50.0,50,255.257367
,-50.0,50,255.569602
,-28.0,50,255.832509
,-50.0,50,256.109329
,-50.0,50,256.395996
,-50.0,50,256.691762
,-50.0,50,256.983429
,-50.0,50,257.28054
,-50.0,50,257.531276
,-50.0,50,257.869972
,-50.0,50,259.468168
,-50.0,50,261.092905
,-50.0,50,262.722228
,-50.0,50,264.361987
,-50.0,50,265.953348
,0.0,50,267.595217
,-50.0,50,269.211595
,-50.0,50,270.839117
,-50.0,50,272.459925
,-50.0,50,274.074827
,-50.0,50,275.707364
,-50.0,50,277.350061
,-50.0,50,278.986052
,-50.0,50,280.604886
,-50.0,50,282.232793
,-50.0,50,283.851093
,-50.0,50,285.510103
,0.0,50,287.138869
,-50.0,50,288.761562
,-50.0,50,290.344285
,-50.0,50,292.029991
,-50.0,50,293.631721
,-50.0,50,295.293633
,-50.0,50,296.871175
,-50.0,50,298.523184
,-50.0,50,300.145453
,-50.0,50,301.758955
,-50.0,50,303.404032
,-50.0,50,305.006436
,-50.0,50,306.658758
,-50.0,50,308.26857
,-50.0,50,309.921895
,-39.0,50,311.53046
,-50.0,50,313.155401
,-50.0,50,314.767121
,-50.0,50,316.431155
,-50.0,50,318.03899
,-50.0,50,319.710722
,-50.0,50,321.345382
,-50.0,50,322.970594
,-50.0,50,324.579848
,-50.0,50,326.196105
,-50.0,50,327.870386
,-50.0,50,329.484606
,-50.0,50,331.127696
,-50.0,50,332.761488
,-39.0,50,334.371031
,-50.0,50,336.026008
