actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5053003,0.00588448,0.83883214,0.071743794,0.20135139,0.042627316,-47.20625,10.0,-2.6152468,0.05625000176951289,-46.956253,50.0,0.05999999679625034
1.7572927,0.004354384,0.8392771,0.07036554,0.20162039,0.042197857,-46.46875,20.0,-4.341855,0.0687500019557774,-46.62625,100.0,0.06875
1.9851475,0.0047724266,0.8397065,0.07072182,0.20178981,0.04728256,-45.46875,30.0,-5.909319,0.09375000139698386,-47.213753,150.0,0.052499998128041625
2.2292645,0.0062567205,0.83962774,0.07345091,0.20166606,0.05219585,-45.65625,40.0,-7.4565682,0.08750000176951289,-46.199997,200.0,0.07375
2.462202,0.009146516,0.83993405,0.07431369,0.2017599,0.055667657,-45.98125,50.0,-8.6318,0.08750000223517418,-45.80625,250.0,0.08625
2.6456537,0.014120543,0.8398511,0.075837076,0.201553,0.061170787,-40.61875,60.0,-8.358839,0.21250000968575478,-44.3925,300.0,0.12625
2.7982702,0.024197806,0.83956856,0.077755615,0.20131287,0.06828201,-37.675003,70.0,-7.7000766,0.33125,-41.966248,350.0,0.19999999
2.9446778,0.04077698,0.8394415,0.07830311,0.20119645,0.0775519,-30.45625,80.0,-5.30322,0.51875,-36.88625,400.0,0.39375
3.0585637,0.060587287,0.83945554,0.07776893,0.2010055,0.083844736,-20.543749,90.0,-2.9957724,0.775,-32.3375,450.0,0.55
3.139997,0.07943597,0.83989745,0.078194,0.20089395,0.0891019,-19.19375,100.0,-2.477434,0.78749996,-29.195,500.0,0.63
3.1974807,0.09483873,0.8401098,0.07821665,0.20110308,0.09313572,-13.606251,110.0,-2.03835,0.91875,-26.681252,550.0,0.71500003
3.2415369,0.107189566,0.84006125,0.07772958,0.20115253,0.09650666,-15.54375,120.0,-1.85907,0.89374995,-24.408749,600.0,0.77374995
3.2766478,0.11723252,0.84012073,0.07777222,0.20111273,0.09895346,-14.85625,130.0,-2.099088,0.8875,-23.42,650.0,0.80125
3.3075051,0.12532943,0.8402565,0.07766656,0.20117453,0.10155391,-11.95625,140.0,-1.6449115,0.95624995,-22.838749,700.0,0.8275
3.334148,0.13158943,0.8403408,0.07778237,0.20107512,0.10381236,-11.98125,150.0,-1.7982147,0.95624995,-21.716251,750.0,0.84749997
3.3570642,0.13705185,0.84033793,0.0776422,0.20106418,0.10538608,-12.23125,160.0,-1.7986491,0.95,-20.70125,800.0,0.875
3.3764293,0.14138684,0.8404382,0.07729459,0.20085675,0.10680345,-11.3,170.0,-1.3596175,0.9625,-20.2825,850.0,0.87874997
3.3935173,0.1449666,0.84048265,0.07707629,0.20070572,0.107739575,-11.4125,180.0,-1.4547231,0.98125005,-19.785,900.0,0.9175
3.4085398,0.1479069,0.8405729,0.07678706,0.20064926,0.10887738,-11.64375,190.0,-1.5395353,0.98125,-19.85125,950.0,0.8975
3.421575,0.15033785,0.8404758,0.07639938,0.2006172,0.10953269,-11.03125,200.0,-1.5143552,0.975,-19.033749,1000.0,0.93125
3.4318256,0.15224388,0.8406062,0.07608449,0.20059463,0.110275336,-10.56875,210.0,-1.2182274,0.99375,-18.6975,1050.0,0.91749996
3.4395552,0.1538806,0.8406451,0.075918995,0.20062236,0.11105714,-10.287499,220.0,-1.2081046,0.99375,-19.1575,1100.0,0.90625
3.4457624,0.15531003,0.84068805,0.075763114,0.2006823,0.11170894,-10.61875,230.0,-1.2500821,0.975,-19.0825,1150.0,0.90999997
3.4514945,0.15644789,0.84066135,0.07545167,0.20073934,0.11226771,-11.2125,240.0,-1.2357187,0.98125005,-17.8675,1200.0,0.94375
3.4562926,0.15737805,0.84076166,0.07519723,0.20079188,0.11269154,-10.549999,250.0,-1.4599999,0.98125005,-18.2525,1250.0,0.93499994
3.4604428,0.1582858,0.84069127,0.07501391,0.20069103,0.11321541,-10.15,260.0,-1.2376268,0.975,-18.48,1300.0,0.9375
3.4644122,0.15888204,0.84075207,0.0748905,0.20072168,0.113708586,-10.4625,270.0,-1.446363,0.975,-17.963749,1350.0,0.9325
3.4675975,0.15948942,0.8407876,0.07483176,0.2008015,0.114155896,-9.918751,280.0,-1.1425216,0.99375,-19.17375,1400.0,0.92499995
3.4708881,0.16006044,0.84082824,0.07466373,0.20081013,0.114451,-9.9375,290.0,-1.2661874,0.99375,-17.817501,1450.0,0.94624996
3.4737988,0.1606034,0.8408208,0.07467097,0.20081575,0.11492477,-10.056251,300.0,-1.1930931,1.0,-18.8,1500.0,0.93125
3.4758933,0.16104972,0.84088975,0.0745031,0.20091236,0.11533389,-10.25625,310.0,-1.1381037,0.99375,-17.93625,1550.0,0.9375
3.47763,0.16145441,0.84085375,0.07440406,0.20087364,0.115575664,-9.85625,320.0,-1.146041,1.0,-18.05375,1600.0,0.9325
3.4792705,0.1619041,0.8408769,0.074228585,0.20079553,0.11580003,-9.95,330.0,-1.187583,0.99375,-18.015001,1650.0,0.92999995
3.4806452,0.16240096,0.84086543,0.074139774,0.20080695,0.116246045,-9.931251,340.0,-1.1043966,0.99375,-18.3325,1700.0,0.94124997
3.4820123,0.1627511,0.8409052,0.07393364,0.20075798,0.11638877,-10.11875,350.0,-1.1395673,0.9875,-17.23625,1750.0,0.94625
3.4830198,0.16310665,0.8409333,0.073843226,0.20075937,0.11667123,-9.375,360.0,-1.1800418,0.99375,-18.2,1800.0,0.93375
3.4835315,0.16343467,0.84094316,0.07375995,0.20075881,0.11699195,-9.44375,370.0,-1.2068259,0.99375,-17.555,1850.0,0.94
3.4837823,0.16382414,0.8408931,0.07378089,0.200716,0.11736472,-9.425,380.0,-1.1977034,0.99375,-18.6175,1900.0,0.9325
3.484045,0.16413873,0.8408647,0.07363447,0.20066532,0.11763808,-9.71875,390.0,-1.2280352,0.99375,-17.801249,1950.0,0.945
3.4843116,0.16445777,0.8408361,0.073642336,0.20061725,0.1179864,-9.5875,400.0,-1.0607061,1.0,-18.028751,2000.0,0.93499994
