#{"t_start": 1582830116.334355, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.277218
,0.0,50,8.107524
,-50.0,50,9.726955
,-50.0,50,11.373023
,-50.0,50,12.996273
,-50.0,50,14.606362
,-50.0,50,16.204758
,-50.0,50,17.839902
,-50.0,50,19.492874
,-50.0,50,21.093057
,0.0,50,22.733668
,-50.0,50,24.351166
,0.0,50,25.964817
,-50.0,50,27.599121
,-50.0,50,29.203092
,0.0,50,30.83634
,-50.0,50,32.494154
,-50.0,50,34.062976
,-50.0,50,35.696301
,-50.0,50,37.344028
,-50.0,50,38.947248
,-50.0,50,40.567666
,-50.0,50,42.235867
,-50.0,50,43.852321
,-50.0,50,45.467222
,-50.0,50,47.101281
,-50.0,50,48.730238
,-50.0,50,50.309876
,-50.0,50,51.943532
,-50.0,50,53.53518
,-50.0,50,55.201107
,0.0,50,56.827798
,-50.0,50,58.400239
,-50.0,50,60.060888
,-50.0,50,61.690306
,-50.0,50,63.29898
,-50.0,50,64.953128
,-50.0,50,66.563994
,-50.0,50,68.221673
,-50.0,50,69.809168
,0.0,50,71.466055
,-50.0,50,73.066238
,-50.0,50,74.69857
,-50.0,50,76.312928
,-50.0,50,77.939001
,-50.0,50,79.54546
,-50.0,50,81.199428
,-50.0,50,82.82814
,-50.0,50,84.462929
,-50.0,50,86.100051
,-50.0,50,87.75201
,-50.0,50,88.025412
,-50.0,50,88.351714
,-50.0,50,88.630247
,-50.0,50,88.897546
,-50.0,50,89.164104
,-50.0,50,89.448968
,-50.0,50,89.734784
,-50.0,50,90.018728
,-50.0,50,90.280909
,0.0,50,90.675597
,-50.0,50,92.308549
,-50.0,50,93.935057
,-50.0,50,95.57214
,-50.0,50,97.181739
,-50.0,50,98.81097
,-50.0,50,100.418426
,-50.0,50,102.02833
,-50.0,50,103.709787
,-50.0,50,105.334694
,-50.0,50,106.92308
,-50.0,50,108.584805
,-50.0,50,110.236671
,-50.0,50,111.849856
,-50.0,50,113.467459
,-50.0,50,115.106735
,-50.0,50,116.732111
,-50.0,50,118.35238
,-50.0,50,120.011552
,-50.0,50,121.618145
,-50.0,50,123.211088
,-50.0,50,124.860871
,-50.0,50,126.506228
,-50.0,50,128.131643
,-50.0,50,129.757463
,-50.0,50,131.397827
,-50.0,50,133.000994
,-50.0,50,134.607554
,-50.0,50,136.235518
,-50.0,50,137.892364
,-50.0,50,139.518457
,-50.0,50,141.157801
,-50.0,50,142.823021
,-50.0,50,144.446742
,-50.0,50,146.098006
,-50.0,50,147.735625
,-50.0,50,149.364133
,-50.0,50,150.973724
,-50.0,50,152.653436
,-50.0,50,154.231068
,-50.0,50,155.884205
,-50.0,50,157.532413
,-50.0,50,159.165117
,0.0,50,160.797906
,-50.0,50,162.479343
,-50.0,50,164.142889
,-50.0,50,165.766563
,-50.0,50,167.392534
,0.0,50,169.020515
,-50.0,50,170.664464
,-50.0,50,172.332021
,-50.0,50,172.586846
,-50.0,50,172.868479
,-50.0,50,173.160727
,-50.0,50,173.444188
,-50.0,50,173.726347
,-50.0,50,174.004325
,-50.0,50,174.305042
,-50.0,50,174.556042
,-50.0,50,174.819734
,-50.0,50,175.179854
,-50.0,50,176.825976
,-50.0,50,178.436823
,-50.0,50,180.066315
,-50.0,50,181.692704
,-50.0,50,183.327069
,-50.0,50,184.982552
,-50.0,50,186.637728
,-50.0,50,188.273427
,-50.0,50,189.893577
,-50.0,50,191.534659
,-50.0,50,193.226526
,-50.0,50,194.802547
,-50.0,50,196.435541
,0.0,50,198.1086
,-4.0,50,199.74417
,-50.0,50,201.389803
,-50.0,50,203.014088
,0.0,50,204.719936
,-50.0,50,206.345413
,-50.0,50,207.944865
,-50.0,50,209.603867
,-50.0,50,211.259453
,-50.0,50,212.906403
,-50.0,50,214.510578
,-50.0,50,216.151991
,-50.0,50,217.836667
,-50.0,50,219.476841
,-50.0,50,221.086006
,-50.0,50,222.701312
,-50.0,50,224.341031
,-50.0,50,225.983992
,-50.0,50,227.601027
,-50.0,50,229.232583
,-50.0,50,230.859118
,-50.0,50,232.522363
,-50.0,50,234.172988
,-50.0,50,235.844536
,-50.0,50,237.457502
,-50.0,50,239.093332
,-50.0,50,240.712504
,-50.0,50,242.356938
,-50.0,50,244.015743
,-50.0,50,245.637709
,0.0,50,247.282449
,-50.0,50,248.892951
,-50.0,50,250.594206
,-50.0,50,252.199208
,-50.0,50,253.824415
,-50.0,50,255.452356
,-50.0,50,257.153291
,-50.0,50,257.436427
,-50.0,50,257.716024
,-50.0,50,257.973261
,-50.0,50,258.227108
,-50.0,50,258.522287
,-50.0,50,258.804699
,-50.0,50,259.060617
,-50.0,50,259.356313
,0.0,50,259.628955
,-50.0,50,260.008125
,0.0,50,261.656835
,-50.0,50,263.305951
,0.0,50,264.921264
,-50.0,50,266.584517
,-50.0,50,268.189628
,0.0,50,269.82097
,-50.0,50,271.470094
,-50.0,50,273.118096
,-50.0,50,274.786905
,-50.0,50,276.400805
,-50.0,50,278.02292
,-50.0,50,279.694834
,-50.0,50,281.310271
,-38.0,50,282.974982
,-50.0,50,284.616912
,-50.0,50,286.290806
,-50.0,50,287.889389
,-50.0,50,289.548619
,-50.0,50,291.215566
,-50.0,50,292.833788
,-50.0,50,294.485015
,-50.0,50,296.168843
,-50.0,50,297.794179
,-50.0,50,299.411577
,-50.0,50,301.075151
,-50.0,50,302.69708
,-50.0,50,304.365961
,-50.0,50,305.995832
,-50.0,50,307.641327
,-50.0,50,309.279948
,-50.0,50,310.909072
,-50.0,50,312.564005
,-50.0,50,314.224817
,-50.0,50,315.843236
,-50.0,50,317.502538
,-50.0,50,319.128325
,-50.0,50,320.764049
,-50.0,50,322.431744
,-50.0,50,324.082944
,-50.0,50,325.726197
,-50.0,50,327.356311
,-50.0,50,329.032752
,-50.0,50,330.645607
,-50.0,50,332.281757
,-50.0,50,333.924997
,-50.0,50,335.564943
,-50.0,50,337.192695
,-50.0,50,338.850922
,-50.0,50,340.487511
,-50.0,50,342.160457
,-50.0,50,342.41965
,-50.0,50,342.707698
,-50.0,50,342.983536
,-50.0,50,343.263709
,-8.0,50,343.548417
,-50.0,50,343.835348
,-50.0,50,344.126237
,0.0,50,344.376073
,-50.0,50,344.671531
,-50.0,50,345.031146
,-50.0,50,346.687556
,-50.0,50,348.350617
,-50.0,50,349.984394
,-50.0,50,351.631097
,-50.0,50,353.229335
,-50.0,50,354.900423
,0.0,50,356.573933
,-49.0,50,358.218127
,-50.0,50,359.822811
,-50.0,50,361.497309
,-50.0,50,363.112054
,-50.0,50,364.821552
,-50.0,50,366.41108
,-50.0,50,368.077596
,-50.0,50,369.759158
,-50.0,50,371.360366
,-50.0,50,373.028511
,-50.0,50,374.681583
,-50.0,50,376.300757
,-50.0,50,377.909104
,-50.0,50,379.566065
,-50.0,50,381.203573
,-50.0,50,382.848005
,-50.0,50,384.493602
,-50.0,50,386.153866
,-50.0,50,387.754399
,-50.0,50,389.414762
,-14.0,50,391.105861
,-50.0,50,392.754789
,-50.0,50,394.370589
,-50.0,50,396.046163
,-50.0,50,397.686016
,-50.0,50,399.332947
,-50.0,50,400.941753
,-50.0,50,402.607167
,-50.0,50,404.244014
,-50.0,50,405.934933
,-50.0,50,407.567379
,-50.0,50,409.215674
,-11.0,50,410.841532
,-4.0,50,412.516204
,-50.0,50,414.149345
,-50.0,50,415.819468
,-50.0,50,417.452726
,-50.0,50,419.110691
,-44.0,50,420.733358
,-50.0,50,422.407269
,-50.0,50,424.060929
,-50.0,50,425.719241
,-50.0,50,427.370579
,-50.0,50,427.683403
,0.0,50,427.944703
,-50.0,50,428.243634
,-50.0,50,428.539792
,-50.0,50,428.826718
,-50.0,50,429.096821
,-50.0,50,429.375143
,-50.0,50,429.664314
,-50.0,50,429.944808
,-50.0,50,430.318086
,-50.0,50,431.952698
,0.0,50,433.616328
,-50.0,50,435.259432
,-50.0,50,436.937598
,0.0,50,438.558974
,-50.0,50,440.205168
,-50.0,50,441.856399
,-50.0,50,443.493383
,-50.0,50,445.178652
,-50.0,50,446.816844
,-50.0,50,448.472353
,-50.0,50,450.16664
,0.0,50,451.780866
,-50.0,50,453.43499
,-17.0,50,455.100269
,-50.0,50,456.748879
,0.0,50,458.408492
,-50.0,50,460.041095
,-50.0,50,461.723222
,-36.0,50,463.338383
,-50.0,50,464.999523
,0.0,50,466.636705
,-50.0,50,468.291246
,-50.0,50,469.942219
