actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5440391,0.00676337,0.83855325,0.07602256,0.20126447,0.04917102,-47.33125,10.0,-2.6221855,0.05000000121071935,-46.856247,50.0,0.06249999534338713
1.8274673,0.005503808,0.839011,0.07290735,0.20153707,0.04865048,-45.99375,20.0,-4.44205,0.08125000214204192,-46.78,100.0,0.065
2.0711634,0.0055100396,0.8397139,0.07329088,0.20175248,0.048924226,-45.7,30.0,-6.0114202,0.08125000167638063,-46.905,150.0,0.06125
2.27459,0.0069306437,0.83965105,0.07461067,0.20171005,0.05255536,-45.418747,40.0,-7.6326795,0.09375000186264515,-46.12125,200.0,0.075
2.4528034,0.009883808,0.8401196,0.0767656,0.20205505,0.057124633,-45.88125,50.0,-8.895875,0.10000000149011612,-45.67875,250.0,0.08875
2.6163101,0.01581736,0.83991843,0.078067824,0.20183091,0.06316579,-40.9,60.0,-8.30465,0.20625000866129994,-43.44125,300.0,0.14500001
2.7708485,0.02883378,0.8397887,0.0781379,0.20209709,0.071501754,-32.93125,70.0,-7.146285,0.45625,-40.66875,350.0,0.23750001
2.91847,0.049725115,0.83979326,0.07861962,0.20246983,0.08056756,-25.2375,80.0,-4.140831,0.6625,-34.581253,400.0,0.47125
3.0195246,0.073190555,0.8401801,0.078356825,0.20271029,0.08794087,-21.14375,90.0,-2.959601,0.74375004,-29.06875,450.0,0.62874997
3.0783038,0.09239668,0.84051865,0.078284,0.20329243,0.092956975,-16.10625,100.0,-2.015623,0.86875004,-28.28,500.0,0.66875
3.1204038,0.1072709,0.8405195,0.07844717,0.20355162,0.09626634,-14.25,110.0,-1.8363997,0.90625,-24.58125,550.0,0.7775
3.1541882,0.118687175,0.8404165,0.078012764,0.20370536,0.09926568,-16.24375,120.0,-2.132148,0.8625,-23.13375,600.0,0.80375
3.1812258,0.12766775,0.84036326,0.07802719,0.20396137,0.10190493,-13.25625,130.0,-1.9056855,0.91875,-22.09375,650.0,0.82624996
3.2030838,0.13476267,0.84033746,0.07787759,0.20420142,0.10448911,-11.71875,140.0,-1.4468939,0.95,-21.14125,700.0,0.8575
3.2195168,0.13988991,0.84031826,0.07753616,0.20436512,0.10619313,-11.0125,150.0,-1.394563,0.95624995,-20.3525,750.0,0.88
3.2315712,0.1437327,0.8402365,0.07727578,0.20453931,0.10782058,-10.331249,160.0,-1.3592312,0.99375,-19.907501,800.0,0.89125
3.23992,0.1465095,0.84032816,0.07700687,0.20459788,0.109125875,-9.575,170.0,-1.1016521,0.9875,-19.37375,850.0,0.91999996
3.2455626,0.14826831,0.84043485,0.076665245,0.20455518,0.10975064,-10.2,180.0,-1.3834362,0.98125005,-18.67125,900.0,0.9187499
3.2486508,0.14960694,0.84050864,0.07628306,0.20468092,0.11049144,-9.58125,190.0,-1.1208125,0.99375,-18.035,950.0,0.95625
3.2498956,0.15049765,0.8403627,0.07609577,0.20467983,0.11097762,-10.668751,200.0,-1.3426058,0.975,-18.07875,1000.0,0.92499995
3.2498941,0.15101205,0.8405211,0.07573443,0.20484038,0.11159114,-10.09375,210.0,-1.1134872,0.9875,-17.91875,1050.0,0.94
3.24865,0.15125215,0.8405676,0.07544754,0.20501572,0.11200003,-9.79375,220.0,-1.0901581,1.0,-18.20875,1100.0,0.935
3.2468443,0.15124075,0.84059906,0.07525003,0.20503241,0.112573,-9.68125,230.0,-1.1113734,0.99375,-18.267498,1150.0,0.93625
3.244717,0.15112776,0.840533,0.07513777,0.20506258,0.11302285,-10.05625,240.0,-1.2271653,0.9875,-17.85125,1200.0,0.92749995
3.242209,0.15090445,0.8406372,0.07479449,0.20512985,0.11346903,-9.55625,250.0,-1.1033432,0.99375,-17.525,1250.0,0.94624996
3.2397013,0.15067022,0.8405922,0.07483847,0.2051086,0.11397466,-8.9,260.0,-1.0066772,1.0,-18.161251,1300.0,0.92875
3.2368512,0.15038294,0.8406519,0.07463866,0.20507263,0.1144092,-9.912499,270.0,-1.1119002,1.0,-16.994999,1350.0,0.95375
3.2340574,0.1500527,0.8406802,0.07465249,0.20506817,0.11466768,-10.225,280.0,-1.2529887,0.98125,-18.12875,1400.0,0.93375
3.231192,0.14971778,0.84072804,0.07444451,0.20512927,0.11488772,-9.78125,290.0,-1.074533,0.99375,-17.32875,1450.0,0.9475
3.228063,0.14937945,0.8407216,0.07433074,0.20518386,0.11538971,-9.49375,300.0,-1.046918,1.0,-18.054998,1500.0,0.95000005
3.2250142,0.14903268,0.8407747,0.074190676,0.20524268,0.11555355,-9.96875,310.0,-1.1605564,1.0,-17.182499,1550.0,0.95125
3.2222219,0.1486659,0.84073216,0.0741936,0.20518433,0.11586647,-9.73125,320.0,-1.0539932,0.99375,-17.59625,1600.0,0.94
3.2199888,0.14830947,0.8407653,0.07406143,0.20525755,0.11619231,-9.6625,330.0,-1.1527107,0.99375,-17.70625,1650.0,0.95125
3.2180014,0.14801718,0.8407533,0.073834784,0.20527178,0.11646452,-9.81875,340.0,-1.170636,0.9875,-17.123749,1700.0,0.96875
3.2157497,0.14771089,0.8407924,0.07369412,0.20538816,0.11663856,-9.581249,350.0,-1.0946074,0.9875,-16.91625,1750.0,0.95125
3.2135773,0.14744143,0.84082025,0.07372237,0.20538834,0.116866656,-9.1625,360.0,-1.1334443,0.99375,-17.73,1800.0,0.95375
3.2114887,0.14727822,0.84081984,0.07362292,0.20538338,0.11708116,-9.543751,370.0,-0.9979255,0.9875,-17.6975,1850.0,0.93375
3.2094126,0.14716448,0.8407698,0.07362154,0.20543158,0.11743272,-9.38125,380.0,-1.0729599,0.99375,-18.12375,1900.0,0.94500005
3.2071328,0.14707103,0.84071916,0.07350278,0.20536318,0.11759536,-9.3,390.0,-1.0221738,0.99375,-17.425,1950.0,0.96125007
3.2048967,0.14698501,0.8407025,0.07335324,0.20533393,0.11779977,-9.087501,400.0,-1.0023484,1.0,-17.192501,2000.0,0.95875
