#{"t_start": 1582998919.9855003, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.581144
,-50.0,50,6.447996
,-50.0,50,8.050036
,-50.0,50,9.642143
,-50.0,50,11.223227
,-50.0,50,12.851382
,-50.0,50,14.438004
,-50.0,50,16.01755
,-50.0,50,17.658543
,-50.0,50,19.231413
,-50.0,50,20.84554
,-50.0,50,22.436408
,-50.0,50,24.015141
,-50.0,50,25.640364
,-50.0,50,27.243159
,-50.0,50,28.833005
,-50.0,50,30.430843
,-50.0,50,32.029687
,-50.0,50,33.643016
,-50.0,50,35.217088
,-50.0,50,36.819435
,-50.0,50,38.415693
,-50.0,50,40.009613
,-50.0,50,41.585739
,-50.0,50,43.20857
,-50.0,50,44.804376
,-50.0,50,46.374414
,-50.0,50,47.975241
,-50.0,50,49.57641
,-50.0,50,51.17697
,-50.0,50,52.743961
,-50.0,50,54.370111
,-50.0,50,55.959595
,-50.0,50,57.574044
,-50.0,50,59.169494
,-50.0,50,60.767175
,-50.0,50,62.372971
,-50.0,50,63.943357
,-50.0,50,65.571405
,-50.0,50,67.169902
,-50.0,50,68.752327
,-50.0,50,70.365706
,0.0,50,71.970138
,-50.0,50,73.586668
,-50.0,50,75.188523
,-50.0,50,76.790152
,-50.0,50,78.390372
,-50.0,50,80.010345
,-50.0,50,81.624949
,-50.0,50,83.209796
,-50.0,50,84.878484
,-50.0,50,85.146409
,-50.0,50,85.394293
,-50.0,50,85.651852
,-50.0,50,85.952291
,-50.0,50,86.221847
,-50.0,50,86.468686
,-50.0,50,86.730882
,-50.0,50,86.977816
,-50.0,50,87.238177
,-50.0,50,87.600564
,-50.0,50,89.231413
,-50.0,50,90.869824
,-50.0,50,92.476031
,-50.0,50,94.084622
,-50.0,50,95.691462
,-50.0,50,97.300014
,-50.0,50,98.892436
,-50.0,50,100.484109
,-50.0,50,102.086659
,-50.0,50,103.712769
,-50.0,50,105.291634
,-50.0,50,106.919211
,-50.0,50,108.543513
,-50.0,50,110.139278
,-50.0,50,111.739224
