#{"t_start": 1582912449.8726134, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.304354
,-50.0,50,8.110067
,-50.0,50,9.747879
,-50.0,50,11.344031
,-50.0,50,12.970113
,-50.0,50,14.552233
,-50.0,50,16.147816
,-50.0,50,17.751418
,0.0,50,19.340107
,-50.0,50,20.932445
,-50.0,50,22.525451
,-50.0,50,24.123434
,-50.0,50,25.718898
,-50.0,50,27.307036
,-50.0,50,28.909565
,-50.0,50,30.503293
,-50.0,50,32.085619
,-50.0,50,33.670799
,-50.0,50,35.259977
,-50.0,50,36.879757
,-50.0,50,38.474694
,-50.0,50,40.078405
,-50.0,50,41.673034
,-50.0,50,43.2788
,-50.0,50,44.867755
,-50.0,50,46.471777
,-50.0,50,48.090916
,-50.0,50,49.706472
,-50.0,50,51.295939
,-50.0,50,52.893625
,-50.0,50,54.492455
,-50.0,50,56.09616
,-50.0,50,57.659052
,-50.0,50,59.258038
,-50.0,50,60.870804
,-50.0,50,62.453137
,-50.0,50,64.047155
,-50.0,50,65.660679
,-50.0,50,67.26512
,-50.0,50,68.859439
,-50.0,50,70.445746
,-50.0,50,72.024254
,-50.0,50,73.657155
,-50.0,50,75.248501
,-50.0,50,76.820637
,-50.0,50,78.428594
,-50.0,50,80.032089
,-50.0,50,81.621766
,-50.0,50,83.221347
,-50.0,50,84.813442
,-50.0,50,86.447574
,-50.0,50,86.717418
,-50.0,50,86.996011
,-50.0,50,87.256366
,-50.0,50,87.500401
,-50.0,50,87.76603
,-50.0,50,88.047062
,-50.0,50,88.316894
,-50.0,50,88.573812
,-50.0,50,88.853561
,-50.0,50,89.225724
,-50.0,50,90.858782
,-50.0,50,92.439538
,-50.0,50,94.067709
