#{"t_start": 1582912712.5807037, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.721062
,-50.0,50,6.548786
,-50.0,50,8.127363
,-50.0,50,9.757121
,-50.0,50,11.365616
,-50.0,50,12.943333
,-50.0,50,14.503881
,-50.0,50,16.117452
,-50.0,50,17.707814
,-50.0,50,19.296373
,-50.0,50,20.855603
,-50.0,50,22.434968
,-50.0,50,24.029395
,-50.0,50,25.629027
,-50.0,50,27.20364
,-50.0,50,28.782425
,-50.0,50,30.371649
,-50.0,50,31.962159
,-50.0,50,33.540128
,-50.0,50,35.144259
,-50.0,50,36.72451
,-50.0,50,38.337839
,-50.0,50,39.958999
,-50.0,50,41.507662
,-50.0,50,43.120436
,0.0,50,44.708001
,-50.0,50,46.307863
,-50.0,50,47.905898
,-50.0,50,49.509464
,-50.0,50,51.094606
,-50.0,50,52.693527
,-50.0,50,54.252915
,0.0,50,55.85423
,-50.0,50,57.445116
,-50.0,50,59.060158
,-50.0,50,60.63342
,-50.0,50,62.259356
,-50.0,50,63.844423
,-50.0,50,65.455328
,-50.0,50,67.046838
,-50.0,50,68.658022
,-50.0,50,70.248178
,-50.0,50,71.875031
,-50.0,50,73.46194
,-50.0,50,75.037
,-50.0,50,76.605331
,-50.0,50,78.206968
,-50.0,50,79.799409
,-50.0,50,81.391346
,-50.0,50,82.991937
,-50.0,50,84.623709
,0.0,50,84.887283
,-50.0,50,85.157029
,-50.0,50,85.427676
,-50.0,50,85.67707
,-50.0,50,85.947807
,-50.0,50,86.218393
,-50.0,50,86.491509
,-50.0,50,86.733249
,-50.0,50,86.974705
,-50.0,50,87.382855
,-50.0,50,88.987841
,-50.0,50,90.595157
,-50.0,50,92.199176
,-50.0,50,93.760179
,-50.0,50,95.368288
,-50.0,50,96.979331
,-50.0,50,98.570511
,-50.0,50,100.153642
,-50.0,50,101.797115
,-50.0,50,103.37653
,-50.0,50,104.999853
,-50.0,50,106.575196
,-50.0,50,108.17628
,-50.0,50,109.761549
,-50.0,50,111.360706
,-50.0,50,112.982038
,-50.0,50,114.577321
,-50.0,50,116.179507
,-50.0,50,117.803877
,0.0,50,119.382637
,-50.0,50,120.964326
,-50.0,50,122.618871
,-50.0,50,124.242475
,-50.0,50,125.825235
,-50.0,50,127.420066
,-50.0,50,129.017281
,-50.0,50,130.605851
,-50.0,50,132.244155
,-50.0,50,133.81979
,-50.0,50,135.413959
,-50.0,50,137.022132
,-50.0,50,138.622065
,-50.0,50,140.232424
,-50.0,50,141.798281
,-50.0,50,143.415629
,-50.0,50,145.044356
,-50.0,50,146.614383
,-50.0,50,148.235939
,-50.0,50,149.847398
,-50.0,50,151.426497
,-50.0,50,153.072368
,-50.0,50,154.68096
,-50.0,50,156.268495
,-50.0,50,157.869717
,-50.0,50,159.46779
,-50.0,50,161.045867
,-50.0,50,162.645128
,-50.0,50,164.256839
,-50.0,50,165.879493
,-50.0,50,167.53173
,-50.0,50,167.777951
,0.0,50,168.042686
,-50.0,50,168.301263
,-50.0,50,168.550354
,-50.0,50,168.852143
,-50.0,50,169.128178
,-50.0,50,169.384933
,-50.0,50,169.639732
,-50.0,50,169.915977
,-50.0,50,170.251641
,-50.0,50,171.865632
,-50.0,50,173.499164
,-50.0,50,175.075638
,-50.0,50,176.693848
,-50.0,50,178.32166
,-50.0,50,179.902541
,-50.0,50,181.483698
,-50.0,50,183.108902
,-50.0,50,184.734925
,-50.0,50,186.317943
,-50.0,50,187.949665
,-50.0,50,189.532426
,-50.0,50,191.16949
,-50.0,50,192.804662
,-50.0,50,194.364604
,-50.0,50,196.007866
,-50.0,50,197.610415
,-50.0,50,199.189398
,-50.0,50,200.817389
,-50.0,50,202.435603
,-50.0,50,204.041602
,-50.0,50,205.692608
,-50.0,50,207.30649
,-50.0,50,208.923558
,-50.0,50,210.483304
,-50.0,50,212.131051
,-50.0,50,213.732993
,-50.0,50,215.36726
,-50.0,50,216.953832
,-50.0,50,218.578677
,-50.0,50,220.193255
,-50.0,50,221.762702
,-50.0,50,223.419023
,-50.0,50,225.011602
,-50.0,50,226.623082
,-50.0,50,228.233334
,-50.0,50,229.872807
,-50.0,50,231.45339
,-50.0,50,233.14054
,-50.0,50,234.739931
,-50.0,50,236.317733
,-50.0,50,237.953563
,-50.0,50,239.569963
,-50.0,50,241.162304
,-50.0,50,242.801886
,-50.0,50,244.388257
,-50.0,50,246.019521
,-50.0,50,247.678567
,-50.0,50,249.257588
,-50.0,50,250.926811
,-50.0,50,251.175609
,-50.0,50,251.458119
,-50.0,50,251.737601
,0.0,50,252.003442
,-50.0,50,252.246809
,-50.0,50,252.506767
,-50.0,50,252.783238
,-50.0,50,253.1099
,-50.0,50,253.360742
,-50.0,50,253.701114
,-50.0,50,255.274809
,-50.0,50,256.935192
,-50.0,50,258.538135
,-50.0,50,260.19807
,-50.0,50,261.782238
,-50.0,50,263.402191
,0.0,50,265.017507
,-50.0,50,266.653778
,-50.0,50,268.259473
,-50.0,50,269.859278
,0.0,50,271.488277
,-50.0,50,273.126251
,-50.0,50,274.717502
,-50.0,50,276.353981
,-50.0,50,278.004512
,-50.0,50,279.587916
,-50.0,50,281.219953
,-50.0,50,282.851164
,-50.0,50,284.449483
,-50.0,50,286.061464
,-50.0,50,287.696873
,-50.0,50,289.30512
,-50.0,50,290.900426
,-50.0,50,292.516473
,-50.0,50,294.098142
,-50.0,50,295.72549
,0.0,50,297.310683
,-50.0,50,298.963729
,-50.0,50,300.546075
,-50.0,50,302.218834
,-50.0,50,303.816566
,-50.0,50,305.420372
,-50.0,50,307.07297
,-50.0,50,308.712291
,0.0,50,310.315176
,-50.0,50,311.901869
,-50.0,50,313.522746
,-50.0,50,315.169842
,-50.0,50,316.806737
,-50.0,50,318.403787
,-50.0,50,320.017587
,0.0,50,321.643294
,-50.0,50,323.267809
,-50.0,50,324.892125
,-50.0,50,326.485305
,-50.0,50,328.129015
,-50.0,50,329.718494
,-50.0,50,331.393449
,-50.0,50,332.982177
,0.0,50,334.665253
,-50.0,50,334.934726
,-50.0,50,335.205176
,-50.0,50,335.468637
,-50.0,50,335.723393
,-50.0,50,335.990057
,-50.0,50,336.273737
,-50.0,50,336.544447
,-50.0,50,336.827252
,-50.0,50,337.090634
,-50.0,50,337.444045
,-50.0,50,339.057593
,-50.0,50,340.679714
,-50.0,50,342.292806
,-50.0,50,343.906806
,-50.0,50,345.500578
,-50.0,50,347.133542
,-50.0,50,348.728017
,-50.0,50,350.392626
,-50.0,50,351.975525
,-50.0,50,353.604337
,-50.0,50,355.234958
,-50.0,50,356.854302
,-50.0,50,358.50166
,-50.0,50,360.073039
,-50.0,50,361.707784
,-50.0,50,363.35433
,-50.0,50,364.995398
,-50.0,50,366.598826
,-50.0,50,368.20779
,-50.0,50,369.840563
,-50.0,50,371.453079
,-50.0,50,373.067675
,-50.0,50,374.692398
,-50.0,50,376.312489
,-50.0,50,377.921559
,-50.0,50,379.533411
,-50.0,50,381.169754
,-50.0,50,382.825646
,-50.0,50,384.397861
,-50.0,50,386.039181
,-50.0,50,387.674182
,-50.0,50,389.343206
,-50.0,50,390.974757
,-50.0,50,392.591063
,-50.0,50,394.203661
,-50.0,50,395.822307
,-50.0,50,397.448117
,-50.0,50,399.089673
,-50.0,50,400.694202
,-50.0,50,402.348907
,-50.0,50,403.968453
,-50.0,50,405.55936
,-50.0,50,407.195194
,-50.0,50,408.829443
