#{"t_start": 1583048538.3628106, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.415092
,-50.0,50,8.258775
,-50.0,50,9.905901
,-50.0,50,11.515121
,-50.0,50,13.154455
,-50.0,50,14.737897
,-50.0,50,16.359535
,-50.0,50,17.992449
,-50.0,50,19.615001
,-50.0,50,21.210084
,-50.0,50,22.877111
,-50.0,50,24.469641
,-50.0,50,26.084951
,-50.0,50,27.698118
,-50.0,50,29.309116
,-50.0,50,30.903558
,-50.0,50,32.524092
,-50.0,50,34.173269
,-50.0,50,35.819179
,-50.0,50,37.440016
,-50.0,50,39.07645
,-50.0,50,40.66809
,-50.0,50,42.317267
,-50.0,50,43.984623
,-50.0,50,45.600037
,-50.0,50,47.195136
,-50.0,50,48.83409
,-50.0,50,50.469741
,-50.0,50,52.106708
,-50.0,50,53.714833
,-50.0,50,55.304759
,-50.0,50,56.933802
,-50.0,50,58.576961
,-50.0,50,60.197594
,0.0,50,61.833714
,-50.0,50,63.420683
,-50.0,50,65.067118
,-50.0,50,66.67248
,-50.0,50,68.297887
,-50.0,50,69.932025
,-50.0,50,71.540287
,-50.0,50,73.196488
,-50.0,50,74.821377
,-50.0,50,76.435835
,-50.0,50,78.106686
,0.0,50,79.707048
,-50.0,50,81.332093
,-50.0,50,82.954593
,-50.0,50,84.596832
,-50.0,50,86.229998
,-50.0,50,87.867303
,-50.0,50,88.119069
,0.0,50,88.399616
,-50.0,50,88.670412
,-50.0,50,88.950974
,-50.0,50,89.229781
,-50.0,50,89.507689
,-50.0,50,89.800256
,-50.0,50,90.079234
,-50.0,50,90.354084
,-50.0,50,90.735888
,-44.0,50,92.406889
,-50.0,50,94.03367
,-50.0,50,95.668994
,-50.0,50,97.277877
,-50.0,50,98.928992
,-50.0,50,100.548292
,-50.0,50,102.168236
,-50.0,50,103.763736
,-50.0,50,105.418664
,-50.0,50,107.078987
,-50.0,50,108.670902
,-50.0,50,110.289558
,-50.0,50,111.926493
,-50.0,50,113.575698
,-50.0,50,115.239861
,-50.0,50,116.840142
,-50.0,50,118.474914
,-50.0,50,120.086148
,-3.0,50,121.739836
,-50.0,50,123.382859
,-50.0,50,124.997012
,-50.0,50,126.639941
,-50.0,50,128.27239
,-50.0,50,129.900368
,-50.0,50,131.494858
,-50.0,50,133.16839
,-50.0,50,134.783776
,-50.0,50,136.417077
,-50.0,50,138.030512
,-50.0,50,139.68165
,-50.0,50,141.301895
,-50.0,50,142.933797
,-50.0,50,144.577337
,-50.0,50,146.176911
,-50.0,50,147.796362
,-50.0,50,149.440277
,-50.0,50,151.039976
,-50.0,50,152.709729
,-50.0,50,154.309293
,-50.0,50,155.956923
,-50.0,50,157.55661
,-50.0,50,159.165431
,-50.0,50,160.793898
,-50.0,50,162.44101
,-50.0,50,164.087367
,-50.0,50,165.708876
,-50.0,50,167.29209
,-50.0,50,168.935844
,-50.0,50,170.543647
,-50.0,50,172.224357
,-50.0,50,172.479053
,-50.0,50,172.737725
,-50.0,50,173.006586
,-50.0,50,173.248014
,-50.0,50,173.527029
,-50.0,50,173.815466
,-50.0,50,174.081949
,-50.0,50,174.357165
,-50.0,50,174.602789
,-50.0,50,175.060524
,-50.0,50,176.695
,-50.0,50,178.347969
,-50.0,50,179.952013
,-50.0,50,181.607229
,-50.0,50,183.206054
,-50.0,50,184.854219
,0.0,50,186.450446
,-50.0,50,188.094048
,0.0,50,189.684346
,-50.0,50,191.337502
,-50.0,50,192.963393
,-50.0,50,194.579376
,-50.0,50,196.205823
,-50.0,50,197.842892
,-50.0,50,199.490167
,-50.0,50,201.102782
,-50.0,50,202.73036
,-50.0,50,204.380168
,-50.0,50,206.005413
,-50.0,50,207.641099
,-50.0,50,209.260198
,-50.0,50,210.890795
,-50.0,50,212.52127
,-50.0,50,214.148022
,-50.0,50,215.787541
,-50.0,50,217.467715
,-50.0,50,219.085252
,-50.0,50,220.730242
,-50.0,50,222.380263
,-50.0,50,223.959421
,-50.0,50,225.629946
,-50.0,50,227.295201
,-50.0,50,228.924241
,-50.0,50,230.567308
,-50.0,50,232.199635
,0.0,50,233.810546
,0.0,50,235.433765
,-50.0,50,237.06075
,-50.0,50,238.730011
,-50.0,50,240.326338
,-50.0,50,241.951194
,-50.0,50,243.613603
,-50.0,50,245.220732
,-50.0,50,246.870616
,-50.0,50,248.470459
,-50.0,50,250.136355
,-50.0,50,251.776198
,-50.0,50,253.392795
,0.0,50,255.063224
,-50.0,50,256.684663
,-50.0,50,256.92466
,-50.0,50,257.213265
,-50.0,50,257.527631
,-50.0,50,257.793194
,-50.0,50,258.059249
,-50.0,50,258.321925
,-50.0,50,258.60448
,-50.0,50,258.893842
,-50.0,50,259.16936
,-50.0,50,259.589339
,-50.0,50,261.250218
,-50.0,50,262.866308
,-50.0,50,264.54004
,-50.0,50,266.162872
,-50.0,50,267.788395
,-50.0,50,269.398447
,-50.0,50,271.025959
,-50.0,50,272.676698
,-50.0,50,274.301751
,-50.0,50,275.899319
,-50.0,50,277.580183
,-50.0,50,279.23485
,-50.0,50,280.83236
,-50.0,50,282.455153
,-50.0,50,284.125071
,-50.0,50,285.766457
,-50.0,50,287.39955
,-50.0,50,289.067175
,0.0,50,290.692283
,-8.0,50,292.298408
,-50.0,50,293.948181
,-50.0,50,295.609872
,-50.0,50,297.223721
,-50.0,50,298.903838
,-18.0,50,300.533175
,-50.0,50,302.197906
,-50.0,50,303.801967
,-50.0,50,305.447768
,-50.0,50,307.09427
,-50.0,50,308.691208
,-50.0,50,310.387394
,-50.0,50,311.977196
,-50.0,50,313.663958
,-50.0,50,315.306591
,-50.0,50,316.955106
,-50.0,50,318.587596
,-50.0,50,320.235661
,-50.0,50,321.877745
,-50.0,50,323.548515
,-50.0,50,325.174221
,-50.0,50,326.799221
,-50.0,50,328.456489
,-50.0,50,330.062642
,-50.0,50,331.724808
,-50.0,50,333.337981
,-50.0,50,334.978259
,-50.0,50,336.620329
,-50.0,50,338.251081
,-50.0,50,339.901021
,-50.0,50,341.548868
,-50.0,50,341.848968
,-50.0,50,342.126671
,-50.0,50,342.398985
,-50.0,50,342.670687
,-50.0,50,342.937795
,-50.0,50,343.219919
,-50.0,50,343.486951
,-50.0,50,343.773964
,-50.0,50,344.060527
,-50.0,50,344.325679
,0.0,50,346.023857
,-50.0,50,347.623182
,-50.0,50,349.28706
,0.0,50,350.905107
,-50.0,50,352.578216
,0.0,50,354.227695
,-50.0,50,355.843096
,-50.0,50,357.490742
,-50.0,50,359.140886
