#{"t_start": 1582995209.1921477, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.516761
,0.0,50,7.418999
,-50.0,50,9.057724
,-50.0,50,10.692392
,-50.0,50,12.282165
,-50.0,50,13.892959
,-50.0,50,15.514453
,-50.0,50,17.115954
,-50.0,50,18.72265
,-50.0,50,20.353288
,0.0,50,21.97253
,-50.0,50,23.577532
,-3.0,50,25.171801
,-50.0,50,26.800361
,-50.0,50,28.412423
,0.0,50,30.017236
,-50.0,50,31.656111
,-50.0,50,33.268102
,-50.0,50,34.881615
,-50.0,50,36.47708
,-50.0,50,38.113071
,-50.0,50,39.74325
,-50.0,50,41.35721
,-50.0,50,42.981548
,-50.0,50,44.55978
,-50.0,50,46.158851
,-50.0,50,47.807337
,-50.0,50,49.390913
,-50.0,50,51.003174
,-50.0,50,52.595419
,-50.0,50,54.228753
,0.0,50,55.87726
,-50.0,50,57.43821
,-50.0,50,59.066913
,-50.0,50,60.665151
,-50.0,50,62.27546
,-50.0,50,63.881094
,-50.0,50,65.477867
,-50.0,50,67.083355
,-50.0,50,68.690637
,0.0,50,70.340896
,-50.0,50,71.937495
,-50.0,50,73.530304
,-50.0,50,75.180622
,-50.0,50,76.799267
,-50.0,50,78.39634
,-50.0,50,80.007379
,-50.0,50,81.636957
,-50.0,50,83.251889
,-50.0,50,84.842569
,-50.0,50,86.499189
,-50.0,50,86.771668
,-50.0,50,87.080404
,-50.0,50,87.370664
,-50.0,50,87.643431
,-50.0,50,87.913079
,-50.0,50,88.17417
,-50.0,50,88.473467
,-50.0,50,88.742882
,-50.0,50,89.037045
,0.0,50,89.427829
,-50.0,50,91.0451
,-50.0,50,92.674559
,-50.0,50,94.297945
,-50.0,50,95.91365
,-50.0,50,97.525795
,-50.0,50,99.118254
,-50.0,50,100.758293
,-50.0,50,102.388405
,-50.0,50,103.960528
,-50.0,50,105.584572
,-50.0,50,107.242821
,-50.0,50,108.831882
,-50.0,50,110.456224
,-50.0,50,112.064535
,-50.0,50,113.671884
,-50.0,50,115.261051
,-50.0,50,116.915204
,-50.0,50,118.542231
,-50.0,50,120.117734
,-50.0,50,121.715091
,-50.0,50,123.362165
,-50.0,50,124.961971
,-50.0,50,126.572908
,-50.0,50,128.239143
,-50.0,50,129.826594
,-50.0,50,131.470866
,-50.0,50,133.040656
,-50.0,50,134.6696
,-50.0,50,136.306105
,-50.0,50,137.943165
,-50.0,50,139.553411
,-50.0,50,141.158162
,-50.0,50,142.78309
,-50.0,50,144.434355
,-50.0,50,146.018246
,-50.0,50,147.670528
,-50.0,50,149.26621
,-50.0,50,150.870116
,-50.0,50,152.515676
,-50.0,50,154.12565
,-50.0,50,155.771517
,-50.0,50,157.392433
,0.0,50,159.032566
,-50.0,50,160.615605
,-50.0,50,162.275234
,-50.0,50,163.898557
,-50.0,50,165.494801
,0.0,50,167.126985
,-50.0,50,168.749159
,-50.0,50,170.392622
,-50.0,50,170.638906
,-50.0,50,170.918893
,-50.0,50,171.217129
,-50.0,50,171.506095
,-50.0,50,171.769456
,-50.0,50,172.024186
,-50.0,50,172.310661
,-50.0,50,172.606396
,-50.0,50,172.864272
,-50.0,50,173.253497
,-50.0,50,174.903036
,-50.0,50,176.544829
,-50.0,50,178.162787
,-50.0,50,179.780414
,-50.0,50,181.40252
,-50.0,50,183.041777
,-50.0,50,184.619071
,-50.0,50,186.25991
,-50.0,50,187.898191
,-50.0,50,189.527658
,-50.0,50,191.135381
,-50.0,50,192.750269
,-50.0,50,194.363042
,0.0,50,195.960238
,-50.0,50,197.622131
,-50.0,50,199.263038
,-50.0,50,200.881257
,0.0,50,202.496295
,-50.0,50,204.127321
,-50.0,50,205.743581
,-50.0,50,207.370187
,-50.0,50,209.000355
,-50.0,50,210.597844
,-50.0,50,212.248639
,-50.0,50,213.877832
,-50.0,50,215.518389
,-50.0,50,217.122738
,-50.0,50,218.738127
,-50.0,50,220.380941
,-50.0,50,221.99875
,-50.0,50,223.616986
,-50.0,50,225.206174
,-50.0,50,226.822881
,-50.0,50,228.421148
,-50.0,50,230.055701
,-50.0,50,231.674147
,-50.0,50,233.332907
,-50.0,50,234.926752
,-50.0,50,236.537311
,-50.0,50,238.159686
,-50.0,50,239.793951
,-50.0,50,241.435857
,-50.0,50,243.041938
,-1.0,50,244.691753
,-50.0,50,246.268245
,-50.0,50,247.936563
,-50.0,50,249.548949
,-50.0,50,251.18924
,-50.0,50,252.836263
,-50.0,50,254.512858
,-50.0,50,254.776872
,-50.0,50,255.049768
,-50.0,50,255.360703
,-50.0,50,255.638858
,-50.0,50,255.895297
,-50.0,50,256.160217
,-50.0,50,256.498197
,-50.0,50,256.79599
,0.0,50,257.08037
,-50.0,50,257.353461
,0.0,50,259.047041
,-50.0,50,260.688231
,0.0,50,262.299112
,-50.0,50,263.952333
,-50.0,50,265.590074
,0.0,50,267.228111
,-50.0,50,268.802049
,-50.0,50,270.47619
,-50.0,50,272.035605
,-50.0,50,273.67482
,-50.0,50,275.348042
,-50.0,50,276.9965
,-50.0,50,278.598357
,-50.0,50,280.265803
,-50.0,50,281.896539
,-50.0,50,283.542833
,-50.0,50,285.136329
,-50.0,50,286.763423
,-50.0,50,288.367076
,-50.0,50,290.0553
,-50.0,50,291.654628
,-50.0,50,293.259033
,-50.0,50,294.916524
,-50.0,50,296.565807
,-50.0,50,298.189062
,-50.0,50,299.810383
,-50.0,50,301.429517
,-50.0,50,303.064227
,-50.0,50,304.735943
,-50.0,50,306.343784
,-50.0,50,307.996382
,-50.0,50,309.643463
,-50.0,50,311.25144
,-50.0,50,312.880955
,-50.0,50,314.545444
,-50.0,50,316.164989
,-50.0,50,317.796681
,-50.0,50,319.480602
,-50.0,50,321.073034
,-50.0,50,322.712482
,-50.0,50,324.367126
,-50.0,50,326.001527
,-50.0,50,327.66746
,-50.0,50,329.284114
,-50.0,50,330.924345
,-50.0,50,332.520059
,-50.0,50,334.17421
,-50.0,50,335.79367
,-50.0,50,337.425693
,-50.0,50,339.082356
,-50.0,50,339.35144
,-50.0,50,339.64882
,-50.0,50,339.978472
,-50.0,50,340.263349
,-50.0,50,340.554251
,-50.0,50,340.813792
,-50.0,50,341.079191
,0.0,50,341.381433
,-50.0,50,341.643543
,-50.0,50,341.959549
,-50.0,50,343.5549
,-50.0,50,345.214843
,-50.0,50,346.795417
,-50.0,50,348.436218
,-50.0,50,350.067991
,-50.0,50,351.751509
,0.0,50,353.384378
,-50.0,50,355.005342
,-50.0,50,356.649829
,-50.0,50,358.320248
,-50.0,50,359.914422
,-50.0,50,361.567166
,-50.0,50,363.181224
,-50.0,50,364.863888
,-50.0,50,366.465484
,-50.0,50,368.098849
,-50.0,50,369.720766
,-50.0,50,371.38261
,-50.0,50,373.010172
,-50.0,50,374.641613
,-50.0,50,376.266915
,-50.0,50,377.881331
,-50.0,50,379.517465
,-50.0,50,381.175375
,-50.0,50,382.799093
,-50.0,50,384.455978
,-50.0,50,386.066287
,-13.0,50,387.733672
,-50.0,50,389.360942
,-50.0,50,390.98266
,-50.0,50,392.58753
,-50.0,50,394.270231
,-50.0,50,395.889429
,-50.0,50,397.485729
,-50.0,50,399.123346
,-50.0,50,400.762187
,-50.0,50,402.385694
,-50.0,50,404.034377
,-50.0,50,405.646959
,-50.0,50,407.294334
,-50.0,50,408.923105
,-50.0,50,410.501172
,-50.0,50,412.170533
,-50.0,50,413.801442
,-50.0,50,415.439541
,-50.0,50,417.0562
,-50.0,50,418.67311
,-50.0,50,420.318105
,-50.0,50,421.966024
,-50.0,50,423.611373
,-50.0,50,423.892437
,0.0,50,424.161584
,-50.0,50,424.4398
,-50.0,50,424.70502
,-50.0,50,424.97214
,-50.0,50,425.251586
,-50.0,50,425.53088
,-50.0,50,425.795994
,-50.0,50,426.111669
,-50.0,50,426.464027
,-50.0,50,428.118734
,-19.0,50,429.740784
,-50.0,50,431.397254
,-50.0,50,433.009013
,0.0,50,434.617381
,-50.0,50,436.315583
,-50.0,50,437.925411
,-50.0,50,439.560328
,-50.0,50,441.175797
,-50.0,50,442.799839
,-50.0,50,444.463841
,-50.0,50,446.076963
,0.0,50,447.766136
,-50.0,50,449.368115
,0.0,50,451.035442
,-50.0,50,452.676738
,0.0,50,454.301402
,-50.0,50,455.980244
,-50.0,50,457.574324
,-50.0,50,459.216935
,-50.0,50,460.91079
,0.0,50,462.564726
,-50.0,50,464.184043
,-50.0,50,465.81074
,-37.0,50,467.451556
,-50.0,50,469.110944
,-50.0,50,470.713815
,-50.0,50,472.379964
,-50.0,50,474.047094
,-50.0,50,475.658869
,0.0,50,477.312771
,-50.0,50,478.923185
,-50.0,50,480.591845
,-50.0,50,482.231055
,-50.0,50,483.846474
,-50.0,50,485.517062
,0.0,50,487.141122
,-50.0,50,488.778305
,0.0,50,490.438685
,-50.0,50,492.067986
,-50.0,50,493.726119
,-50.0,50,495.355923
,-50.0,50,496.9969
,-50.0,50,498.677184
,-50.0,50,500.292773
,-50.0,50,501.886945
,-50.0,50,503.567983
,-50.0,50,505.179041
,0.0,50,506.795476
,-50.0,50,508.479244
,-50.0,50,508.776868
,0.0,50,509.068175
,-50.0,50,509.385286
,-50.0,50,509.634806
,-50.0,50,509.887705
,-50.0,50,510.150787
,-50.0,50,510.407384
,0.0,50,510.680233
,-50.0,50,510.954801
,-50.0,50,511.298538
,-50.0,50,512.985259
,-50.0,50,514.609999
,-50.0,50,516.263098
,-50.0,50,517.897068
,-50.0,50,519.51933
,-50.0,50,521.149543
,0.0,50,522.810515
,-50.0,50,524.456766
,-50.0,50,526.084431
,0.0,50,527.694194
,-50.0,50,529.320592
,-50.0,50,530.989888
,-50.0,50,532.618533
,-50.0,50,534.294423
,-50.0,50,535.908723
,-50.0,50,537.548942
,-50.0,50,539.162787
,-50.0,50,540.844503
,0.0,50,542.487841
,-50.0,50,544.120529
,-50.0,50,545.772923
,-50.0,50,547.417217
,-50.0,50,549.030687
,-50.0,50,550.677543
,-20.0,50,552.33427
,-50.0,50,553.962879
,-50.0,50,555.650067
,-50.0,50,557.291687
,-50.0,50,558.90424
,-50.0,50,560.52098
,-50.0,50,562.232898
,-50.0,50,563.852229
,-50.0,50,565.501878
,-50.0,50,567.156139
,-50.0,50,568.787087
,-50.0,50,570.462095
,-50.0,50,572.05935
,-50.0,50,573.72553
,-50.0,50,575.371484
,0.0,50,576.98192
,-50.0,50,578.630603
,-10.0,50,580.280236
,-50.0,50,581.905675
,-50.0,50,583.546008
,-50.0,50,585.226035
,0.0,50,586.889356
,-50.0,50,588.5397
,-50.0,50,590.174055
,-50.0,50,591.788015
,-50.0,50,593.503565
,-50.0,50,593.769641
,-50.0,50,594.026638
,-50.0,50,594.339607
,-10.0,50,594.610619
,-50.0,50,594.868746
,-50.0,50,595.169615
,-50.0,50,595.489927
,-50.0,50,595.759069
,-16.0,50,596.065264
,-40.0,50,596.434248
,-50.0,50,598.050675
,-50.0,50,599.700174
,-50.0,50,601.382825
,-12.0,50,602.985622
,-50.0,50,604.630248
,-9.0,50,606.309425
,-50.0,50,607.951486
,-50.0,50,609.65329
,-13.0,50,611.251605
,-11.0,50,612.897577
,-50.0,50,614.550205
,-50.0,50,616.217422
,0.0,50,617.864589
,-50.0,50,619.521315
,-50.0,50,621.148092
,-50.0,50,622.827908
,-50.0,50,624.420506
,-50.0,50,626.093874
,-50.0,50,627.757479
,-50.0,50,629.412431
,0.0,50,631.041741
,-50.0,50,632.716377
,-50.0,50,634.345469
,-50.0,50,636.048397
,-50.0,50,637.689386
,-50.0,50,639.297482
,-50.0,50,640.973297
,-50.0,50,642.631342
,-9.0,50,644.262764
,0.0,50,645.938937
,-50.0,50,647.605731
,-50.0,50,649.257206
,-34.0,50,650.915725
,-50.0,50,652.524552
,-50.0,50,654.204191
,-50.0,50,655.855177
,-50.0,50,657.498467
,-25.0,50,659.151409
,-50.0,50,660.797675
,-50.0,50,662.499449
,-50.0,50,664.147838
,-50.0,50,665.763229
,-50.0,50,667.399351
,-50.0,50,669.113102
,-8.0,50,670.737764
,-50.0,50,672.380985
,-50.0,50,674.009262
,-50.0,50,675.678508
,-50.0,50,677.359423
,-50.0,50,678.995011
,-50.0,50,679.249055
,-50.0,50,679.535597
,-50.0,50,679.820753
,-50.0,50,680.115899
,-22.0,50,680.39165
,-50.0,50,680.648116
,-50.0,50,680.934016
,-50.0,50,681.211995
,-50.0,50,681.490924
,-50.0,50,681.938666
,-50.0,50,683.582396
,-50.0,50,685.222501
,-35.0,50,686.884165
,-50.0,50,688.548051
,0.0,50,690.175086
,-50.0,50,691.851101
,-8.0,50,693.51353
,0.0,50,695.152426
,-50.0,50,696.820852
,-42.0,50,698.471437
,-48.0,50,700.105525
,-48.0,50,701.780404
,-34.0,50,703.450357
,-38.0,50,705.097474
,-17.0,50,706.752992
,-50.0,50,708.405066
,-50.0,50,710.015044
,-50.0,50,711.672568
,0.0,50,713.301162
,-50.0,50,714.983721
,-50.0,50,716.683704
,-50.0,50,718.309824
,-50.0,50,720.005619
,0.0,50,721.629291
,-50.0,50,723.262441
,-45.0,50,724.949816
,-42.0,50,726.625216
,-42.0,50,728.276218
,-50.0,50,729.906846
,0.0,50,731.564603
,-50.0,50,733.235572
,-50.0,50,734.886573
,-36.0,50,736.55487
,-10.0,50,738.169941
,-50.0,50,739.828403
,0.0,50,741.506571
,-17.0,50,743.12973
,-50.0,50,744.824263
,-35.0,50,746.470229
,0.0,50,748.092739
,-50.0,50,749.755425
,-27.0,50,751.410199
,-50.0,50,753.026002
,-11.0,50,754.708159
,-50.0,50,756.384221
,-26.0,50,758.033715
,-50.0,50,759.65923
,-49.0,50,761.362402
,-17.0,50,762.97734
,-16.0,50,764.67291
,-10.0,50,764.986825
,-50.0,50,765.265355
,-11.0,50,765.549674
,-6.0,50,765.865111
,-10.0,50,766.142766
,-50.0,50,766.406119
,0.0,50,766.683295
,-45.0,50,766.972955
,-50.0,50,767.224874
,-50.0,50,767.562701
,-44.0,50,769.227582
,-28.0,50,770.859607
,-50.0,50,772.4755
,-46.0,50,774.167689
,-50.0,50,775.84093
,-8.0,50,777.495918
,-50.0,50,779.140456
,-15.0,50,780.732351
,-25.0,50,782.436406
,-16.0,50,784.066752
,-30.0,50,785.734381
,-32.0,50,787.397635
,-18.0,50,789.019188
,0.0,50,790.689687
,-27.0,50,792.313905
,-47.0,50,793.9482
,-50.0,50,795.680053
,-19.0,50,797.331477
,-29.0,50,798.994914
,-50.0,50,800.61195
,-16.0,50,802.308911
,0.0,50,803.933049
