#{"t_start": 1582923764.935035, "env_id": "FetchPush-v1"}
s,r,l,t
,0.0,50,4.713647
,-50.0,50,6.597136
,-50.0,50,8.237372
,-50.0,50,9.854207
,-50.0,50,11.476534
,-50.0,50,13.132143
,-50.0,50,14.746955
,-50.0,50,16.357513
,-50.0,50,17.953378
,-50.0,50,19.585165
,-50.0,50,21.212499
,-50.0,50,22.800136
,-50.0,50,24.412666
,-50.0,50,26.012026
,-50.0,50,27.635638
,-50.0,50,29.229753
,-50.0,50,30.841583
,-50.0,50,32.476257
,-50.0,50,34.093037
,-50.0,50,35.751006
,-50.0,50,37.385026
,-50.0,50,38.997935
,-50.0,50,40.609877
,-50.0,50,42.246197
,-50.0,50,43.849452
,-50.0,50,45.459076
,-50.0,50,47.082023
,-50.0,50,48.684151
,0.0,50,50.293946
,-50.0,50,51.915477
,-50.0,50,53.515236
,-50.0,50,55.129453
,-50.0,50,56.730561
,-50.0,50,58.373413
,-50.0,50,59.972552
,-50.0,50,61.581632
,-50.0,50,63.265406
,-50.0,50,64.852863
,-50.0,50,66.454599
,-50.0,50,68.093195
,-50.0,50,69.701527
,-50.0,50,71.31447
,-50.0,50,72.90618
,-50.0,50,74.556871
,-50.0,50,76.171494
,-50.0,50,77.797102
,-50.0,50,79.394716
,-50.0,50,81.020906
,-50.0,50,82.672288
,-50.0,50,84.30644
,-50.0,50,85.96166
,-50.0,50,86.257793
,-50.0,50,86.510808
,-50.0,50,86.829461
,-50.0,50,87.127881
,-50.0,50,87.377537
,-50.0,50,87.661544
,-50.0,50,87.980994
,-50.0,50,88.251586
,-50.0,50,88.52205
,-50.0,50,88.956882
,-50.0,50,90.59179
,-50.0,50,92.233314
,-50.0,50,93.866873
,-50.0,50,95.466064
,-50.0,50,97.111735
,-50.0,50,98.698718
,-50.0,50,100.38967
,-50.0,50,102.009508
,-50.0,50,103.622124
,-50.0,50,105.23698
,-50.0,50,106.857404
,-50.0,50,108.461556
,-50.0,50,110.079224
,-50.0,50,111.743823
,-50.0,50,113.333442
,-50.0,50,114.980919
,-50.0,50,116.61762
,-50.0,50,118.218451
,0.0,50,119.83123
,-50.0,50,121.466599
,0.0,50,123.124849
