actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4754037,0.0057159364,0.83844185,0.07830939,0.20076089,0.05371624,-46.89375,10.0,-2.6369529,0.06250000139698386,-46.521248,50.0,0.06999999
1.7852727,0.005095673,0.83980703,0.07476942,0.2011838,0.051826477,-47.8125,20.0,-4.6633563,0.0437500006519258,-45.9225,100.0,0.08
2.0300279,0.00583623,0.8397024,0.075148165,0.20131211,0.052040294,-45.81875,30.0,-6.027714,0.08750000176951289,-47.01125,150.0,0.057499999180436134
2.245347,0.007382191,0.8396309,0.07547942,0.20114386,0.05407015,-45.6,40.0,-7.8324833,0.0875000013038516,-46.4625,200.0,0.06625
2.4388323,0.010516789,0.8396692,0.076213844,0.20124826,0.057698935,-44.8125,50.0,-9.136896,0.11250000260770321,-45.5275,250.0,0.0975
2.6201363,0.016603207,0.8391207,0.078490384,0.20118545,0.06348102,-40.3375,60.0,-8.948927,0.22500000754371285,-44.26125,300.0,0.14
2.7852707,0.02986164,0.83956766,0.0802911,0.20115544,0.071478084,-34.65625,70.0,-7.3854275,0.39375,-40.988747,350.0,0.25375
2.9232187,0.048274867,0.83934736,0.079651974,0.20116542,0.07917974,-28.318748,80.0,-5.279272,0.56875,-34.0675,400.0,0.46999997
3.0119095,0.06601782,0.83947414,0.07891207,0.2011923,0.08499251,-18.8,90.0,-2.632613,0.80625004,-29.43625,450.0,0.62874997
3.0706525,0.081703246,0.8397143,0.07954303,0.2011525,0.08886389,-17.05625,100.0,-2.3803926,0.85,-26.150002,500.0,0.6925
3.1096575,0.094248295,0.8396955,0.07894538,0.2011016,0.09126203,-15.43125,110.0,-2.430893,0.88124996,-23.8025,550.0,0.80875
3.1396184,0.104163215,0.83980244,0.07836258,0.20122932,0.09333863,-13.3375,120.0,-1.6514833,0.93125,-22.03875,600.0,0.84250003
3.161717,0.11161896,0.8398206,0.0777911,0.20146692,0.09519973,-11.15625,130.0,-1.405851,0.96875,-21.494999,650.0,0.8575
3.178218,0.11699045,0.8399387,0.07751023,0.20153542,0.097082615,-11.049999,140.0,-1.4291592,0.9625,-20.65375,700.0,0.87375
3.191405,0.12125479,0.84012383,0.07709255,0.20160751,0.09828672,-11.29375,150.0,-1.437804,0.975,-19.564999,750.0,0.90125
3.2000873,0.12431414,0.84019595,0.07687885,0.20166454,0.09943246,-10.875,160.0,-1.3501722,0.95624995,-19.27125,800.0,0.91999996
3.2055495,0.12667865,0.8402324,0.07645456,0.2016723,0.10049514,-11.0875,170.0,-1.3941569,0.975,-19.6725,850.0,0.90125
3.2088447,0.12846836,0.8402147,0.07630884,0.20172083,0.10164285,-10.512501,180.0,-1.2408972,0.9875,-18.958752,900.0,0.91749996
3.210909,0.1298086,0.84033495,0.07587456,0.20171879,0.10255296,-10.7125,190.0,-1.2252266,0.9875,-19.015,950.0,0.91375
3.2116995,0.130877,0.8404987,0.07551516,0.2016957,0.103311606,-9.737499,200.0,-1.2790439,0.99375,-18.38,1000.0,0.93625
3.2112484,0.13166144,0.84047014,0.07519826,0.20156014,0.10399762,-10.09375,210.0,-1.272176,0.9875,-18.18,1050.0,0.9425
3.210257,0.13229215,0.8404365,0.07500302,0.20145349,0.10442738,-9.10625,220.0,-1.055658,0.9875,-18.38125,1100.0,0.9375
3.2087944,0.13263503,0.8403496,0.07469141,0.20131542,0.10473847,-10.30625,230.0,-1.2797098,0.9875,-17.33625,1150.0,0.9475
3.207128,0.13282941,0.8404472,0.07452334,0.20133668,0.10532532,-9.731251,240.0,-1.2138343,0.975,-18.38875,1200.0,0.9375
3.2051153,0.13296804,0.84041625,0.07441033,0.20128983,0.105986334,-10.81875,250.0,-1.298388,0.96875,-17.76875,1250.0,0.93125
3.202776,0.13305144,0.8404023,0.074074484,0.20126897,0.10635465,-9.56875,260.0,-0.9969977,0.9875,-17.311249,1300.0,0.95375
3.2002456,0.1330465,0.8403432,0.074029826,0.20117721,0.106841564,-9.375,270.0,-1.0088634,0.99375,-17.42125,1350.0,0.9475
3.1976671,0.13301873,0.8402725,0.07385633,0.20114674,0.10714951,-8.8375,280.0,-0.9469503,1.0,-17.49375,1400.0,0.945
3.1955442,0.13294315,0.8402989,0.073689304,0.20113589,0.1074697,-9.875,290.0,-1.2933906,0.99375,-17.3125,1450.0,0.95000005
3.1936736,0.13281776,0.84032315,0.07355397,0.20116745,0.10778188,-9.09375,300.0,-1.0357159,0.9875,-17.37625,1500.0,0.95750004
3.1917434,0.13260177,0.84028786,0.07347917,0.20115902,0.10799275,-9.1875,310.0,-1.1967497,0.99375,-16.822498,1550.0,0.93875
3.1895366,0.13236463,0.84031683,0.07352792,0.20116267,0.10844683,-9.325,320.0,-1.027418,1.0,-17.74,1600.0,0.9475
3.1869788,0.13214688,0.84033066,0.073402636,0.20114608,0.10878774,-8.918751,330.0,-1.0854479,0.99375,-17.9775,1650.0,0.95
3.1846442,0.13201326,0.84034175,0.07337377,0.20117608,0.10914764,-8.8125,340.0,-0.9634968,1.0,-17.026249,1700.0,0.94625
3.1819112,0.13181615,0.8403122,0.07323833,0.20120458,0.109402075,-9.2875,350.0,-1.0585548,1.0,-17.05625,1750.0,0.95124996
3.1795626,0.13163924,0.8403223,0.073219,0.20119818,0.109770365,-10.2625,360.0,-1.2193209,0.99375,-17.404999,1800.0,0.94500005
3.1774256,0.1315678,0.84026486,0.07314678,0.20121938,0.10999589,-9.38125,370.0,-1.1771272,0.99375,-17.86125,1850.0,0.95124996
3.1752658,0.13147196,0.84022886,0.07315852,0.20124826,0.110253364,-9.256249,380.0,-1.1686244,0.9875,-17.27125,1900.0,0.9475
3.173036,0.13147709,0.8402033,0.073090516,0.2012693,0.110690445,-9.0,390.0,-1.0067468,1.0,-17.475,1950.0,0.94624996
3.1708126,0.13139693,0.8402822,0.0729507,0.20122726,0.11108554,-8.7875,400.0,-1.0059458,1.0,-16.94875,2000.0,0.95125
