#{"t_start": 1582995208.8711922, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.851321
,-50.0,50,7.702438
,-50.0,50,9.366468
,-50.0,50,10.967284
,-50.0,50,12.622626
,-50.0,50,14.231965
,-50.0,50,15.827633
,-50.0,50,17.443527
,-50.0,50,19.060891
,-50.0,50,20.657079
,-50.0,50,22.283319
,-50.0,50,23.895759
,-50.0,50,25.476129
,-50.0,50,27.117132
,-50.0,50,28.709325
,-50.0,50,30.333203
,-50.0,50,31.958874
,-50.0,50,33.565483
,-50.0,50,35.217075
,-50.0,50,36.832246
,-50.0,50,38.446912
,-50.0,50,40.067761
,-50.0,50,41.698203
,-50.0,50,43.271698
,-50.0,50,44.905735
,-50.0,50,46.484581
,-50.0,50,48.114398
,-50.0,50,49.708742
,-50.0,50,51.350192
,0.0,50,52.967683
,-50.0,50,54.553359
,-50.0,50,56.146279
,-50.0,50,57.769113
,-50.0,50,59.409553
,0.0,50,60.995078
,-50.0,50,62.594623
,-50.0,50,64.206867
,-50.0,50,65.803432
,-50.0,50,67.422621
,-50.0,50,69.066129
,-50.0,50,70.619399
,-50.0,50,72.266688
,-50.0,50,73.8698
,-50.0,50,75.509154
,-50.0,50,77.101676
,-50.0,50,78.736307
,-50.0,50,80.318392
,-50.0,50,81.93112
,-50.0,50,83.573719
,-50.0,50,85.154406
,-50.0,50,86.818579
,-50.0,50,87.097718
,-50.0,50,87.343016
,-50.0,50,87.620179
,-50.0,50,87.887271
,-50.0,50,88.166054
,-50.0,50,88.450484
,-50.0,50,88.721942
,-50.0,50,88.999881
,-50.0,50,89.30811
,-50.0,50,89.767076
,-50.0,50,91.416311
,-50.0,50,93.022369
,-50.0,50,94.615847
,-50.0,50,96.229123
,0.0,50,97.854476
,-50.0,50,99.443271
,-50.0,50,101.081786
,-50.0,50,102.681401
,-50.0,50,104.293573
,-50.0,50,105.892874
,-50.0,50,107.537693
,-50.0,50,109.153443
,-50.0,50,110.774155
,-50.0,50,112.364638
,-50.0,50,113.990055
,-50.0,50,115.644646
,-50.0,50,117.246984
,-50.0,50,118.835677
,-50.0,50,120.473612
,-50.0,50,122.054589
,-50.0,50,123.698545
,-50.0,50,125.304785
,-50.0,50,126.94585
,-50.0,50,128.548898
,-50.0,50,130.139473
,-50.0,50,131.766915
,-50.0,50,133.386276
,-50.0,50,135.00916
,-50.0,50,136.584562
,-50.0,50,138.222201
,-50.0,50,139.885835
,-50.0,50,141.482415
,-50.0,50,143.092149
,-50.0,50,144.727482
,-50.0,50,146.350692
,-50.0,50,147.950977
,-50.0,50,149.581784
,-50.0,50,151.158886
,-50.0,50,152.810139
,0.0,50,154.421901
,-50.0,50,156.112867
,-50.0,50,157.696963
,-50.0,50,159.337559
,-50.0,50,160.962869
,-50.0,50,162.559801
,-50.0,50,164.231385
,-50.0,50,165.828575
,-50.0,50,167.404788
,-50.0,50,169.082755
,-50.0,50,170.758932
,-50.0,50,171.043806
,-50.0,50,171.313183
,-50.0,50,171.596913
,-50.0,50,171.858949
,-50.0,50,172.134809
,-50.0,50,172.391381
,-50.0,50,172.670773
,-50.0,50,172.924907
,-50.0,50,173.193362
,-50.0,50,173.542308
,-50.0,50,175.246917
,-50.0,50,176.86957
,-50.0,50,178.491743
,-50.0,50,180.139774
,-50.0,50,181.720597
,-50.0,50,183.344264
,-50.0,50,184.948262
,-50.0,50,186.583349
,-50.0,50,188.17664
,-50.0,50,189.829725
,-50.0,50,191.458286
,-50.0,50,193.08216
,-50.0,50,194.673245
,-50.0,50,196.28015
,-50.0,50,197.966839
,-50.0,50,199.582086
,-50.0,50,201.208938
,-50.0,50,202.821307
,-50.0,50,204.445042
,-50.0,50,206.094084
,-50.0,50,207.699911
,-50.0,50,209.329408
,-50.0,50,210.97271
,-50.0,50,212.564613
,-50.0,50,214.171492
,-50.0,50,215.845769
,-50.0,50,217.417334
,-50.0,50,219.060984
,-50.0,50,220.685009
,-50.0,50,222.299809
,-50.0,50,223.888176
,-50.0,50,225.554235
,-50.0,50,227.126316
,-50.0,50,228.780493
,-50.0,50,230.397053
,-50.0,50,232.006878
,-50.0,50,233.641039
,-50.0,50,235.243779
,-50.0,50,236.897004
,-50.0,50,238.51461
,-50.0,50,240.117036
,-50.0,50,241.771876
,-50.0,50,243.345353
,-50.0,50,245.004552
,-50.0,50,246.627906
,0.0,50,248.258146
,-50.0,50,249.868212
,0.0,50,251.520761
,-50.0,50,253.195662
,-50.0,50,254.803832
,-50.0,50,255.105683
,-50.0,50,255.405777
,-50.0,50,255.684803
,-50.0,50,255.984147
,-50.0,50,256.246757
,-50.0,50,256.532709
,-50.0,50,256.826328
,-50.0,50,257.074269
,-50.0,50,257.362261
,-50.0,50,257.705022
,-50.0,50,259.347346
,-50.0,50,260.998271
,-50.0,50,262.619363
,0.0,50,264.262032
,-50.0,50,265.887755
,0.0,50,267.534607
,-50.0,50,269.138295
,-50.0,50,270.793373
,-50.0,50,272.392372
,-50.0,50,274.01951
,-50.0,50,275.673708
,-50.0,50,277.291934
,-50.0,50,278.936439
,-50.0,50,280.638493
,-50.0,50,282.254901
,0.0,50,283.846773
,-50.0,50,285.47436
,-50.0,50,287.115936
,-50.0,50,288.744157
,-50.0,50,290.308328
,-50.0,50,291.986284
,-50.0,50,293.615253
,-50.0,50,295.225722
