#{"t_start": 1583044983.5692754, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.469391
,-50.0,50,7.283563
,-50.0,50,8.883178
,-50.0,50,10.535317
,-50.0,50,12.152867
,-50.0,50,13.748313
,-50.0,50,15.339118
,-50.0,50,16.988955
,-50.0,50,18.592642
,0.0,50,20.197084
,-50.0,50,21.826921
,-50.0,50,23.426752
,-50.0,50,25.073065
,-50.0,50,26.65273
,-50.0,50,28.263341
,-50.0,50,29.891808
,-50.0,50,31.518321
,-50.0,50,33.147125
,-50.0,50,34.751657
,-50.0,50,36.364529
,-50.0,50,37.988236
,-50.0,50,39.605084
,-50.0,50,41.212859
,-50.0,50,42.8464
,-50.0,50,44.439674
,-50.0,50,46.058132
,-50.0,50,47.668843
,-50.0,50,49.281384
,-50.0,50,50.931374
,-50.0,50,52.546081
,-50.0,50,54.167409
,-50.0,50,55.77831
,-50.0,50,57.426492
,-50.0,50,59.045731
,-50.0,50,60.648497
,-50.0,50,62.249653
,-50.0,50,63.873016
,-50.0,50,65.496735
,-50.0,50,67.113219
,0.0,50,68.680775
,-50.0,50,70.312033
,-50.0,50,71.917946
,-50.0,50,73.586401
,-50.0,50,75.209097
,-50.0,50,76.834635
,-50.0,50,78.454313
,-50.0,50,80.070328
,-50.0,50,81.661534
,-50.0,50,83.323086
,0.0,50,84.961986
,-50.0,50,86.595279
,-50.0,50,86.859255
,-50.0,50,87.113835
,-50.0,50,87.371723
,-50.0,50,87.676313
,-50.0,50,87.978228
,-50.0,50,88.262567
,-50.0,50,88.556942
,-50.0,50,88.829744
,-50.0,50,89.115739
,-50.0,50,89.545575
,-50.0,50,91.170587
,-50.0,50,92.78314
,-50.0,50,94.43528
,-50.0,50,96.082341
,-50.0,50,97.727074
,-50.0,50,99.358035
,-50.0,50,100.977474
,-50.0,50,102.622859
,-50.0,50,104.254487
,-50.0,50,105.912406
,-50.0,50,107.495688
,-50.0,50,109.125013
,-50.0,50,110.753695
,-50.0,50,112.398254
,-50.0,50,114.049646
,-50.0,50,115.683197
,-50.0,50,117.308002
,-50.0,50,118.967485
,-50.0,50,120.592187
,-50.0,50,122.196787
,0.0,50,123.814451
,-50.0,50,125.451408
,-50.0,50,127.081565
,-50.0,50,128.715436
,-50.0,50,130.350384
,-50.0,50,131.977505
,-50.0,50,133.582437
,-50.0,50,135.224002
,0.0,50,136.888244
,-50.0,50,138.501154
,-50.0,50,140.110849
,-50.0,50,141.739368
,-50.0,50,143.408063
,-50.0,50,145.035687
,-50.0,50,146.656907
,-50.0,50,148.322283
,-50.0,50,149.904289
,-50.0,50,151.551119
,-50.0,50,153.18107
,-50.0,50,154.787931
,-50.0,50,156.418055
,-50.0,50,158.008331
,-50.0,50,159.667654
,-50.0,50,161.301419
,-50.0,50,162.957328
,-50.0,50,164.552361
,-50.0,50,166.196363
,-50.0,50,167.814884
,-50.0,50,169.404512
,-50.0,50,171.078736
,-50.0,50,171.396527
,0.0,50,171.673278
,-50.0,50,171.92991
,-50.0,50,172.226924
,-50.0,50,172.508288
,-50.0,50,172.789154
,-50.0,50,173.057281
,-50.0,50,173.358024
,-50.0,50,173.649405
,-50.0,50,173.952284
,-50.0,50,175.589242
,-50.0,50,177.219234
,0.0,50,178.84427
,-50.0,50,180.497952
,0.0,50,182.109881
,-50.0,50,183.728513
,-50.0,50,185.371127
,-50.0,50,187.023052
,-50.0,50,188.667995
,-50.0,50,190.2854
,-50.0,50,191.934215
,-50.0,50,193.580117
,-50.0,50,195.19572
,-50.0,50,196.825385
,-50.0,50,198.447723
,-50.0,50,200.096314
,-50.0,50,201.695254
,-50.0,50,203.356068
,-50.0,50,204.963588
,-50.0,50,206.582212
,-50.0,50,208.234302
,0.0,50,209.833465
,-50.0,50,211.509769
,-50.0,50,213.158074
