actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4174497,0.0054034106,0.8387216,0.07508809,0.20113258,0.052484002,-47.1875,10.0,-2.5210662,0.056250001303851604,-46.525,50.0,0.07
1.6112604,0.0037744497,0.8401165,0.07298174,0.20148978,0.050734933,-47.96875,20.0,-4.567071,0.037500000558793545,-46.03375,100.0,0.08
1.8029058,0.003605899,0.8399618,0.0722823,0.20157848,0.05042234,-46.21875,30.0,-5.906339,0.07500000111758709,-46.90625,150.0,0.06
1.9931054,0.0039073504,0.8397611,0.07260292,0.20161885,0.051077057,-45.01875,40.0,-7.579569,0.1000000019557774,-46.555,200.0,0.06499999854713678
2.1751204,0.004825318,0.83970237,0.073345624,0.20170946,0.05445673,-44.3125,50.0,-8.934304,0.11875000223517418,-45.4175,250.0,0.09625
2.3416464,0.0065652477,0.8392804,0.07541222,0.20158327,0.0581045,-41.7875,60.0,-9.669208,0.19375000381842256,-44.931248,300.0,0.114999995
2.495307,0.009766137,0.8397153,0.07729099,0.20158204,0.06264953,-39.11875,70.0,-9.796787,0.28125,-42.82125,350.0,0.19
2.6301858,0.016542416,0.840041,0.077271104,0.20144449,0.068721674,-34.2,80.0,-8.335026,0.4125,-38.80625,400.0,0.31125003
2.7313814,0.026271284,0.8403995,0.077235326,0.20167956,0.074448355,-24.64375,90.0,-5.319835,0.65625,-34.01125,450.0,0.465
2.7965066,0.036994908,0.84087926,0.07720451,0.20156647,0.07884809,-17.61875,100.0,-2.7623818,0.84375,-27.75375,500.0,0.6525
2.8293886,0.046892032,0.84093446,0.07724559,0.2015963,0.08250627,-13.2875,110.0,-2.0248628,0.93125,-24.36125,550.0,0.7725
2.8434045,0.05493824,0.8410122,0.07692628,0.2014682,0.085575335,-11.63125,120.0,-1.3991853,0.99375,-22.6725,600.0,0.83875
2.851334,0.061516084,0.84098595,0.07667277,0.201308,0.08830357,-11.56875,130.0,-1.4933653,0.9625,-22.01375,650.0,0.84875
2.854176,0.06664871,0.8411146,0.076323695,0.20131472,0.091042206,-10.168751,140.0,-1.2015173,0.9875,-20.61,700.0,0.8975
2.8526838,0.07040565,0.84122473,0.07618248,0.20135146,0.092759885,-11.406251,150.0,-1.3279684,0.95625,-18.915,750.0,0.91875
2.8484597,0.07336761,0.84124637,0.075959824,0.20125361,0.09451413,-10.893749,160.0,-1.329601,0.975,-19.44875,800.0,0.90125
2.8425527,0.07560274,0.8412059,0.07561123,0.20120493,0.095933124,-10.73125,170.0,-1.2676965,0.9875,-18.74,850.0,0.91374993
2.8359027,0.07720241,0.84117913,0.07547216,0.20128721,0.09764487,-9.58125,180.0,-1.0626208,1.0,-18.535,900.0,0.92625
2.8291783,0.078356154,0.84122086,0.07507811,0.20140398,0.09893747,-9.63125,190.0,-1.1532166,1.0,-18.411251,950.0,0.9425
2.8222136,0.07923615,0.84133834,0.07475636,0.20140184,0.09968147,-9.625,200.0,-1.0780718,0.99375,-18.188751,1000.0,0.93875
2.8151183,0.07990013,0.8412643,0.07459945,0.2014404,0.10046441,-9.76875,210.0,-1.0432988,0.9875,-18.03875,1050.0,0.9425
2.807401,0.08028221,0.84120566,0.07447169,0.20152026,0.10131888,-8.81875,220.0,-1.0588288,0.99375,-18.0125,1100.0,0.94624996
2.7994044,0.08052103,0.8410728,0.0742017,0.20151614,0.1020608,-10.09375,230.0,-1.1362102,1.0,-17.188751,1150.0,0.94625
2.7915783,0.08058858,0.8411226,0.07399478,0.20164013,0.10276862,-9.49375,240.0,-1.011849,0.99375,-18.122501,1200.0,0.945
2.783754,0.08061162,0.8410483,0.07382749,0.20166488,0.103113815,-9.456249,250.0,-1.0134557,1.0,-17.51625,1250.0,0.94124997
2.7764475,0.08060469,0.8410199,0.07361553,0.20167863,0.103514865,-9.19375,260.0,-0.9932935,1.0,-17.49,1300.0,0.95125
2.7694044,0.08058202,0.84092814,0.073638655,0.20172566,0.10409736,-8.700001,270.0,-0.9418194,1.0,-17.55125,1350.0,0.95000005
2.7628028,0.08053754,0.8408136,0.07350943,0.20176119,0.104566984,-8.568749,280.0,-0.92243946,1.0,-17.411251,1400.0,0.95125
2.756208,0.08050996,0.84082,0.07337195,0.20175041,0.1049308,-9.7375,290.0,-1.1025846,0.99375,-17.248749,1450.0,0.9525
2.7497914,0.08043587,0.84081763,0.07329738,0.20178314,0.10530944,-8.4,300.0,-0.8724495,1.0,-17.24625,1500.0,0.95000005
2.7438052,0.08035558,0.840792,0.07309153,0.20187086,0.10573073,-9.0625,310.0,-0.9606645,0.99375,-16.82,1550.0,0.9475
