#{"t_start": 1583048539.0115101, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.78724
,-50.0,50,7.635872
,-50.0,50,9.228175
,-50.0,50,10.874768
,-50.0,50,12.486822
,-50.0,50,14.09998
,-50.0,50,15.737729
,-50.0,50,17.311702
,-50.0,50,18.951133
,-50.0,50,20.565681
,-50.0,50,22.179783
,-50.0,50,23.819309
,-50.0,50,25.442687
,0.0,50,27.043882
,-50.0,50,28.654961
,0.0,50,30.296662
,-50.0,50,31.91079
,-50.0,50,33.539979
,0.0,50,35.142404
,-50.0,50,36.792609
,-50.0,50,38.389217
,-50.0,50,40.011265
,-50.0,50,41.683848
,-50.0,50,43.324605
,-50.0,50,44.918309
,-50.0,50,46.560095
,-50.0,50,48.153878
,-50.0,50,49.804301
,-50.0,50,51.447152
,-50.0,50,53.05772
,-50.0,50,54.659078
,-50.0,50,56.311369
,-50.0,50,57.91318
,-50.0,50,59.512988
,-50.0,50,61.161705
,-50.0,50,62.775339
,-50.0,50,64.408184
,-50.0,50,66.049658
,-50.0,50,67.657187
,-50.0,50,69.306834
,-50.0,50,70.929177
,-50.0,50,72.518449
,-50.0,50,74.200712
,-50.0,50,75.807352
,-50.0,50,77.431754
,-50.0,50,79.028271
,-50.0,50,80.680142
,-50.0,50,82.343851
,-50.0,50,83.970898
,-50.0,50,85.591302
,-50.0,50,87.258591
,-50.0,50,87.522751
,-50.0,50,87.79186
,-50.0,50,88.072618
,0.0,50,88.364673
,-50.0,50,88.660398
,-50.0,50,88.947799
,-50.0,50,89.261935
,-50.0,50,89.534303
,-50.0,50,89.779356
,-50.0,50,90.097377
,-50.0,50,91.747809
,-50.0,50,93.384395
,-50.0,50,95.03896
,-50.0,50,96.660724
,-50.0,50,98.292048
,-50.0,50,99.883789
,-50.0,50,101.52908
,-50.0,50,103.154006
,-50.0,50,104.779709
,-50.0,50,106.403644
,-50.0,50,108.034664
,-50.0,50,109.634336
,-50.0,50,111.316574
,-50.0,50,112.910227
,-50.0,50,114.57567
,-50.0,50,116.194944
,-50.0,50,117.822359
,-50.0,50,119.49499
,-50.0,50,121.098788
,-50.0,50,122.700031
,-50.0,50,124.339422
,0.0,50,125.994093
,0.0,50,127.620985
,-50.0,50,129.261671
,0.0,50,130.863259
,-50.0,50,132.512546
,-50.0,50,134.132706
,-50.0,50,135.740572
,-50.0,50,137.379761
,-50.0,50,139.023278
,-50.0,50,140.668054
,-50.0,50,142.263541
,-3.0,50,143.919903
,0.0,50,145.550416
,-50.0,50,147.191494
,-50.0,50,148.810432
,-50.0,50,150.414295
,-50.0,50,152.062112
,0.0,50,153.658547
,-50.0,50,155.289452
,-50.0,50,156.900315
,0.0,50,158.529379
,-50.0,50,160.18388
,-50.0,50,161.784973
,-50.0,50,163.414761
