#{"t_start": 1583065901.1760957, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,4.981453
,-50.0,50,6.779768
,-50.0,50,8.466013
,-50.0,50,10.107362
,-50.0,50,11.680456
,-50.0,50,13.285614
,-50.0,50,14.957706
,0.0,50,16.546939
,-50.0,50,18.162081
,-50.0,50,19.774082
,0.0,50,21.417813
,-50.0,50,23.044587
,-50.0,50,24.650495
,-50.0,50,26.309471
,-50.0,50,27.908631
,-50.0,50,29.511146
,-50.0,50,31.129666
,-50.0,50,32.760148
,-50.0,50,34.382624
,-50.0,50,36.036339
,-50.0,50,37.668354
,0.0,50,39.316552
,-50.0,50,40.916771
,-50.0,50,42.536003
,-50.0,50,44.165218
,-50.0,50,45.78253
,-50.0,50,47.37269
,-50.0,50,49.002914
,-50.0,50,50.636573
,-50.0,50,52.24948
,-50.0,50,53.879311
,-50.0,50,55.531137
,-50.0,50,57.134863
,-50.0,50,58.745535
,-50.0,50,60.350906
,-50.0,50,61.995021
,-50.0,50,63.609998
,-50.0,50,65.243697
,-50.0,50,66.858867
,-50.0,50,68.47052
,-50.0,50,70.109473
,-50.0,50,71.731
,-50.0,50,73.318787
,-50.0,50,74.943036
,-50.0,50,76.5473
,-50.0,50,78.210433
,-50.0,50,79.844542
,-50.0,50,81.456463
,-50.0,50,83.061116
,-50.0,50,84.680695
,-50.0,50,86.353194
,-50.0,50,86.616539
,-50.0,50,86.885827
,-50.0,50,87.16785
,-50.0,50,87.458314
,-50.0,50,87.713207
,-50.0,50,87.988401
,-50.0,50,88.255015
,-50.0,50,88.50587
,-50.0,50,88.778644
,-50.0,50,89.300374
,-50.0,50,90.913049
,-50.0,50,92.55743
,-50.0,50,94.140158
,-26.0,50,95.804514
,-50.0,50,97.403508
,-50.0,50,99.088343
,-50.0,50,100.702876
,-50.0,50,102.310949
,-50.0,50,103.903265
,-50.0,50,105.52844
,-50.0,50,107.153002
,-50.0,50,108.758189
,-50.0,50,110.398854
,-50.0,50,112.004597
,-50.0,50,113.621048
,-50.0,50,115.285562
,-50.0,50,116.876679
,-50.0,50,118.504534
,0.0,50,120.147656
,-50.0,50,121.805728
,-50.0,50,123.406883
,-50.0,50,125.031687
,0.0,50,126.668159
,-50.0,50,128.309529
,-50.0,50,129.958949
,-50.0,50,131.593802
,-50.0,50,133.202062
,-50.0,50,134.778342
,-50.0,50,136.434075
,-50.0,50,138.087831
,-50.0,50,139.708243
,-50.0,50,141.345372
,-50.0,50,143.012744
,-50.0,50,144.604811
,-50.0,50,146.263762
,-50.0,50,147.893085
,-50.0,50,149.517537
,-50.0,50,151.14873
,-50.0,50,152.788754
,-50.0,50,154.391114
,-50.0,50,156.027599
,-50.0,50,157.693218
,-50.0,50,159.293909
,-50.0,50,160.962225
,-50.0,50,162.560138
,-50.0,50,164.202448
,-50.0,50,165.803947
,-50.0,50,167.443535
,-50.0,50,169.082289
,-50.0,50,170.701664
,-50.0,50,171.029315
,-50.0,50,171.287841
,-50.0,50,171.549589
,-50.0,50,171.821247
,-50.0,50,172.083729
,-50.0,50,172.356912
,-50.0,50,172.618278
,-50.0,50,172.893318
,-50.0,50,173.159007
,-50.0,50,173.56919
,-50.0,50,175.181937
,-50.0,50,176.830733
,-50.0,50,178.444024
,-50.0,50,180.097296
,-50.0,50,181.693448
,-50.0,50,183.322201
,-50.0,50,184.958914
,-50.0,50,186.616268
,-50.0,50,188.226768
,-50.0,50,189.854763
,-50.0,50,191.531095
,-50.0,50,193.144727
,-50.0,50,194.757918
,-50.0,50,196.353844
,-50.0,50,197.986306
,-50.0,50,199.63642
,-50.0,50,201.285634
,-50.0,50,202.904709
,-50.0,50,204.534759
,-50.0,50,206.167191
,-50.0,50,207.8024
,-50.0,50,209.419019
,-50.0,50,211.085414
,-50.0,50,212.680709
,-50.0,50,214.306684
