#{"t_start": 1583055756.2222886, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,5.400969
,-50.0,50,7.235144
,-50.0,50,8.827245
,-50.0,50,10.46289
,-50.0,50,12.062526
,-50.0,50,13.669314
,-50.0,50,15.335215
,-50.0,50,16.928782
,-50.0,50,18.549483
,-50.0,50,20.154198
,-50.0,50,21.775004
,-50.0,50,23.404223
,-50.0,50,25.040461
,-50.0,50,26.640575
,-50.0,50,28.301126
,-50.0,50,29.908774
,-50.0,50,31.477074
,-50.0,50,33.138215
,-50.0,50,34.788098
,-50.0,50,36.391778
,-50.0,50,37.989564
,-50.0,50,39.612548
,-50.0,50,41.237152
,-50.0,50,42.86805
,-50.0,50,44.516051
,-50.0,50,46.077322
,-50.0,50,47.717248
,-50.0,50,49.339571
,-50.0,50,50.937022
,0.0,50,52.564366
,-50.0,50,54.18184
,-50.0,50,55.801405
,-50.0,50,57.415357
,-50.0,50,59.072236
,0.0,50,60.691783
,-50.0,50,62.299093
,-50.0,50,63.904355
,-50.0,50,65.536928
,-50.0,50,67.147912
,-50.0,50,68.785247
,-50.0,50,70.404734
,-50.0,50,72.016935
,-50.0,50,73.652339
,-50.0,50,75.263977
,-50.0,50,76.887403
,-50.0,50,78.472095
,-50.0,50,80.118094
,-50.0,50,81.751221
,-50.0,50,83.341616
,-50.0,50,84.968937
,-50.0,50,86.6069
,-50.0,50,86.892642
,-50.0,50,87.162287
,-50.0,50,87.449089
,-50.0,50,87.715901
,-50.0,50,87.981872
,-50.0,50,88.243762
,-50.0,50,88.516449
,-50.0,50,88.775885
,-50.0,50,89.057914
,-50.0,50,89.474252
,-50.0,50,91.102256
,-50.0,50,92.703754
,-50.0,50,94.352847
,-50.0,50,95.941183
,0.0,50,97.567494
,-50.0,50,99.186228
,-50.0,50,100.800879
,-50.0,50,102.419274
,-50.0,50,104.065305
,-50.0,50,105.677576
,-50.0,50,107.266761
,-50.0,50,108.896347
,-50.0,50,110.523772
,-50.0,50,112.164193
,-50.0,50,113.784357
,-50.0,50,115.376295
,-50.0,50,117.026249
,-50.0,50,118.617325
,-50.0,50,120.246858
,-50.0,50,121.855917
,-50.0,50,123.487198
,-50.0,50,125.105141
,-50.0,50,126.769142
,-50.0,50,128.37954
,-50.0,50,129.994557
,-50.0,50,131.597833
,-50.0,50,133.219178
,-50.0,50,134.854889
,-50.0,50,136.489973
,-50.0,50,138.106113
,-50.0,50,139.719316
,-50.0,50,141.36808
,-50.0,50,142.99028
,-50.0,50,144.588246
,-50.0,50,146.242452
,-50.0,50,147.907948
,-50.0,50,149.515885
,-50.0,50,151.17351
,-50.0,50,152.779961
,0.0,50,154.406299
,-50.0,50,156.023667
,-50.0,50,157.649515
,-50.0,50,159.240246
,-50.0,50,160.857098
,-50.0,50,162.487519
,-50.0,50,164.105825
,-50.0,50,165.738413
,-50.0,50,167.369337
,-50.0,50,169.002318
,-50.0,50,170.632471
,-50.0,50,170.900736
,-50.0,50,171.157115
,-50.0,50,171.42505
,-50.0,50,171.68367
,-50.0,50,171.933127
,-50.0,50,172.187499
,-50.0,50,172.50556
,-50.0,50,172.771787
,-50.0,50,173.05154
,-50.0,50,173.387871
,-50.0,50,175.017964
,-50.0,50,176.687571
,-50.0,50,178.314118
,-50.0,50,179.923631
,-50.0,50,181.532515
,-50.0,50,183.149759
,-50.0,50,184.811074
,-50.0,50,186.448394
,-50.0,50,188.063456
,-50.0,50,189.671465
,-50.0,50,191.33118
,-50.0,50,192.931863
,-50.0,50,194.576121
,-50.0,50,196.186413
,-50.0,50,197.807463
,-50.0,50,199.413061
,-50.0,50,201.064798
,-50.0,50,202.681885
,-50.0,50,204.320192
,-3.0,50,205.951957
,-50.0,50,207.581256
,-50.0,50,209.211192
,-50.0,50,210.860419
,-50.0,50,212.465832
,-50.0,50,214.125678
,-50.0,50,215.73705
,-50.0,50,217.357968
,-50.0,50,218.981457
,-50.0,50,220.632429
,-50.0,50,222.271701
,-50.0,50,223.931062
,-50.0,50,225.568154
,-50.0,50,227.172708
,-50.0,50,228.827621
,-50.0,50,230.450813
,-50.0,50,232.034996
,-50.0,50,233.68759
