#{"t_start": 1583055755.2090862, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.368816
,-50.0,50,8.261927
,-50.0,50,9.860852
,-50.0,50,11.439084
,-50.0,50,13.094454
,-50.0,50,14.721341
,-50.0,50,16.329907
,-50.0,50,17.942136
,-50.0,50,19.546836
,-50.0,50,21.173247
,-50.0,50,22.78853
,-50.0,50,24.410445
,-50.0,50,26.035393
,-50.0,50,27.646992
,-50.0,50,29.266448
,-50.0,50,30.894148
,-50.0,50,32.493773
,-50.0,50,34.156158
,-50.0,50,35.791066
,-50.0,50,37.381308
,-50.0,50,39.044914
,-50.0,50,40.650453
,-50.0,50,42.252131
,-50.0,50,43.883429
,-50.0,50,45.521343
,0.0,50,47.140779
,-50.0,50,48.7365
,-50.0,50,50.356577
,-50.0,50,51.968613
,-50.0,50,53.562463
,-50.0,50,55.183709
,0.0,50,56.839252
,-50.0,50,58.452547
,-50.0,50,60.077794
,-50.0,50,61.706267
,-50.0,50,63.303999
,-50.0,50,64.941425
,-50.0,50,66.559595
,-50.0,50,68.177822
,-50.0,50,69.80553
,-50.0,50,71.407191
,-50.0,50,73.024895
,-50.0,50,74.662023
,-50.0,50,76.293704
,-50.0,50,77.889479
,-50.0,50,79.508432
,-50.0,50,81.150189
,-50.0,50,82.752433
,-50.0,50,84.350582
,-48.0,50,85.974529
,-50.0,50,87.600119
,-50.0,50,87.894176
,-50.0,50,88.190663
,-50.0,50,88.495007
,-50.0,50,88.76351
,-50.0,50,89.050965
,-50.0,50,89.321154
,-50.0,50,89.591169
,-1.0,50,89.910705
,-50.0,50,90.152719
,-50.0,50,90.498804
,0.0,50,92.092273
,-50.0,50,93.723857
,-50.0,50,95.344507
,-50.0,50,96.955521
,-50.0,50,98.549442
,-50.0,50,100.169051
,-50.0,50,101.794955
,-50.0,50,103.443584
,-50.0,50,105.037133
,-50.0,50,106.670671
,-50.0,50,108.290258
,-50.0,50,109.908541
,-50.0,50,111.521004
,-50.0,50,113.133316
,-50.0,50,114.763739
,-50.0,50,116.403453
,-50.0,50,118.023468
,-50.0,50,119.637319
,-50.0,50,121.25692
,-50.0,50,122.852089
,-50.0,50,124.468074
,-50.0,50,126.13782
,-50.0,50,127.794746
,-50.0,50,129.383739
,-50.0,50,131.007276
,0.0,50,132.622122
,-50.0,50,134.236816
,-50.0,50,135.871907
,-50.0,50,137.460492
,-50.0,50,139.157358
,-50.0,50,140.760955
,-50.0,50,142.365588
,-50.0,50,143.99116
,-50.0,50,145.629256
,-50.0,50,147.276536
,-50.0,50,148.896001
,-50.0,50,150.545865
,-50.0,50,152.18823
,-50.0,50,153.795864
,-50.0,50,155.394554
,-50.0,50,157.038861
,0.0,50,158.661722
,-50.0,50,160.25722
,-10.0,50,161.881871
,-50.0,50,163.508078
,-50.0,50,165.151494
,-50.0,50,166.753375
,-50.0,50,168.366744
,-50.0,50,170.023943
,-50.0,50,171.639006
,-50.0,50,171.933901
,-50.0,50,172.18557
,-50.0,50,172.450458
,-50.0,50,172.717457
,-50.0,50,172.972603
,-50.0,50,173.261283
,-50.0,50,173.550484
,-50.0,50,173.833114
,-50.0,50,174.086499
,-50.0,50,174.437696
,-50.0,50,176.027555
,-50.0,50,177.678671
,-20.0,50,179.302458
,-50.0,50,180.960995
,-50.0,50,182.5603
,-50.0,50,184.198659
,-50.0,50,185.804665
,-50.0,50,187.449887
,-50.0,50,189.05698
,-50.0,50,190.656932
,-50.0,50,192.298187
,-50.0,50,193.944745
,-50.0,50,195.580899
,-50.0,50,197.183358
,-50.0,50,198.831356
,-50.0,50,200.460556
,0.0,50,202.069497
,-50.0,50,203.691096
,-50.0,50,205.338632
,-50.0,50,206.96278
,-50.0,50,208.606819
,-50.0,50,210.219507
,-50.0,50,211.85451
,-50.0,50,213.511535
,-50.0,50,215.110136
,0.0,50,216.763392
,-50.0,50,218.399497
,-50.0,50,219.986098
,-50.0,50,221.637475
,-50.0,50,223.298821
,-50.0,50,224.901018
,-50.0,50,226.557213
,-50.0,50,228.161557
,-50.0,50,229.826225
,-50.0,50,231.455972
,-50.0,50,233.099685
,-50.0,50,234.704933
,-50.0,50,236.346366
,-50.0,50,237.998797
,-50.0,50,239.609036
,-50.0,50,241.217881
,-50.0,50,242.836305
,-50.0,50,244.502005
,-50.0,50,246.173435
,-50.0,50,247.812105
,-50.0,50,249.438195
,-50.0,50,251.026615
,-50.0,50,252.661816
,-50.0,50,254.27513
,-50.0,50,255.96407
,-50.0,50,256.255745
,-50.0,50,256.552874
,-50.0,50,256.811942
,-50.0,50,257.09742
,0.0,50,257.40724
,-50.0,50,257.721775
,-50.0,50,258.013998
,-50.0,50,258.276743
,-50.0,50,258.541784
,-50.0,50,258.82148
,0.0,50,260.450552
,-50.0,50,262.104131
,-50.0,50,263.748242
,-50.0,50,265.35218
,-50.0,50,267.021757
,-50.0,50,268.609927
,-50.0,50,270.246927
,-50.0,50,271.855376
,-50.0,50,273.500312
,-50.0,50,275.14487
,-50.0,50,276.793372
,-50.0,50,278.395821
,0.0,50,280.024652
,-50.0,50,281.686814
,-50.0,50,283.326431
,-50.0,50,284.938819
,-50.0,50,286.591574
,-50.0,50,288.218354
,-50.0,50,289.870328
,-50.0,50,291.495744
,-50.0,50,293.137272
,-50.0,50,294.733518
,-50.0,50,296.352983
,-50.0,50,297.982387
,-50.0,50,299.588084
,-50.0,50,301.267891
,-50.0,50,302.915728
,-50.0,50,304.534903
,-50.0,50,306.197733
,-50.0,50,307.822849
,-50.0,50,309.446964
,-50.0,50,311.087429
,-50.0,50,312.740892
,-50.0,50,314.362278
,-50.0,50,315.970693
,-50.0,50,317.624462
,-50.0,50,319.252817
,-50.0,50,320.903333
,-50.0,50,322.571973
,-50.0,50,324.213708
,-50.0,50,325.860875
,-50.0,50,327.484618
,-35.0,50,329.133018
,-50.0,50,330.795327
,-50.0,50,332.418995
