actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4162551,0.005455861,0.83881855,0.07252376,0.20145561,0.045009658,-47.225,10.0,-2.6978493,0.05625000176951289,-46.955,50.0,0.05999999679625034
1.6169857,0.003606237,0.8392913,0.07056551,0.20168611,0.043366123,-46.18125,20.0,-4.4531527,0.07500000204890966,-46.80375,100.0,0.061249997
1.8144882,0.0033188295,0.8398618,0.07047721,0.20170891,0.043934032,-45.3375,30.0,-6.2845182,0.09375000186264515,-47.05,150.0,0.057499997
2.0064611,0.003597932,0.83995754,0.07104079,0.20176275,0.046847325,-45.90625,40.0,-7.97147,0.08750000176951289,-46.16,200.0,0.075
2.1926532,0.004139059,0.8404422,0.071534805,0.2018515,0.04792799,-47.59375,50.0,-9.875875,0.05000000074505806,-46.0875,250.0,0.07375
2.3713832,0.005299298,0.84025025,0.07197612,0.20179518,0.049265772,-44.043747,60.0,-10.522089,0.12500000093132257,-45.0725,300.0,0.1025
2.5407658,0.0072960565,0.8402736,0.07248788,0.20179366,0.050859764,-45.19375,70.0,-12.017792,0.10625000158324838,-45.213753,350.0,0.10124999
2.699587,0.010496827,0.8401775,0.074026026,0.20195322,0.054173373,-43.375,80.0,-12.476318,0.15625000419095159,-44.40375,400.0,0.1325
2.8427982,0.01602205,0.84028167,0.075795025,0.20181713,0.058654882,-35.975,90.0,-9.936343,0.3437499990686774,-41.14125,450.0,0.235
2.958365,0.024761932,0.840519,0.07584507,0.20185162,0.063987345,-29.49375,100.0,-6.998169,0.5375,-37.2675,500.0,0.385
3.0393567,0.03534495,0.8408907,0.076281,0.20196323,0.070123285,-19.94375,110.0,-4.293785,0.74375,-31.68,550.0,0.53875
3.0840473,0.045788877,0.84094596,0.076198466,0.20192221,0.074192315,-15.875,120.0,-2.438037,0.88125,-26.44125,600.0,0.6975
3.10011,0.054652274,0.84100413,0.07592752,0.20189138,0.076863825,-14.45625,130.0,-1.8018546,0.90625,-23.895,650.0,0.765
3.100402,0.061648257,0.8409787,0.07551833,0.20208961,0.07950047,-12.56875,140.0,-1.6809819,0.95,-23.056252,700.0,0.8075
3.0926945,0.06728898,0.8409567,0.07528911,0.202209,0.08193305,-12.137501,150.0,-1.6610129,0.94375,-21.6325,750.0,0.84875
3.0819879,0.07182662,0.84088016,0.07520797,0.20236763,0.08448028,-11.93125,160.0,-1.6435585,0.96250004,-20.458752,800.0,0.88625
3.070106,0.075350836,0.8409536,0.07457969,0.20237148,0.08635814,-10.1,170.0,-1.2549101,0.9875,-19.91125,850.0,0.88874996
3.0573435,0.07788479,0.8409517,0.07433326,0.20250858,0.08783907,-10.9375,180.0,-1.436039,0.975,-18.7525,900.0,0.9275
