#{"t_start": 1582656745.9162312, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.548076
,-50.0,50,7.455727
,-50.0,50,9.068462
,-50.0,50,10.677089
,-50.0,50,12.255513
,-50.0,50,13.860509
,-50.0,50,15.510186
,-50.0,50,17.111153
,-50.0,50,18.71282
,-50.0,50,20.290468
,-50.0,50,21.929445
,-50.0,50,23.552848
,-50.0,50,25.142354
,-50.0,50,26.714686
,-50.0,50,28.313025
,0.0,50,29.938528
,-50.0,50,31.522347
,-50.0,50,33.11605
,-50.0,50,34.773094
,-50.0,50,36.327345
,-50.0,50,37.965256
,-50.0,50,39.571641
,-50.0,50,41.153609
,-50.0,50,42.768239
,-50.0,50,44.345364
,-50.0,50,45.978411
,-50.0,50,47.574834
,-50.0,50,49.158641
,-50.0,50,50.753746
,-50.0,50,52.388217
,-50.0,50,53.988791
,-50.0,50,55.596589
,-50.0,50,57.178682
,-50.0,50,58.793615
,-50.0,50,60.402385
,-50.0,50,62.019385
,-50.0,50,63.622403
,-50.0,50,65.201315
,-50.0,50,66.827195
,-50.0,50,68.445587
,-50.0,50,70.010124
,-50.0,50,71.608593
,-50.0,50,73.23698
,-50.0,50,74.812333
,-50.0,50,76.455707
,-50.0,50,78.037601
,-50.0,50,79.659275
,-50.0,50,81.252306
,-50.0,50,82.884525
,-50.0,50,84.484193
,-50.0,50,86.103958
,-50.0,50,86.374763
,-50.0,50,86.647845
,-50.0,50,86.894905
,-50.0,50,87.153401
,-50.0,50,87.426299
,-50.0,50,87.683342
,-50.0,50,87.933894
,-50.0,50,88.195619
,-50.0,50,88.469843
,-50.0,50,88.890118
,-50.0,50,90.490087
,-50.0,50,92.110111
,0.0,50,93.69908
,-50.0,50,95.30745
,-50.0,50,96.901228
,-50.0,50,98.523816
,-50.0,50,100.160866
,-50.0,50,101.746082
,-50.0,50,103.374833
,-50.0,50,104.972825
,-50.0,50,106.583256
,-50.0,50,108.171266
,-50.0,50,109.8033
,-50.0,50,111.416423
,-50.0,50,112.974429
,-50.0,50,114.623645
,-50.0,50,116.257043
,-50.0,50,117.860483
,-50.0,50,119.495015
,-50.0,50,121.079805
,-50.0,50,122.668158
,-50.0,50,124.307328
,-50.0,50,125.925165
,-50.0,50,127.510961
,-50.0,50,129.104171
,-50.0,50,130.737499
,-50.0,50,132.359015
,-50.0,50,133.970784
,-50.0,50,135.577683
,-50.0,50,137.179645
,-50.0,50,138.773047
,-50.0,50,140.396924
,-50.0,50,142.016439
,-50.0,50,143.621655
,-50.0,50,145.231145
,-50.0,50,146.841432
,-50.0,50,148.436718
,-50.0,50,150.067653
,-50.0,50,151.650132
,-50.0,50,153.279792
,-50.0,50,154.901693
,-50.0,50,156.508976
,-50.0,50,158.169051
,-50.0,50,159.740749
,-50.0,50,161.36366
,-50.0,50,162.985861
,-50.0,50,164.588687
,-50.0,50,166.222009
,-50.0,50,167.823586
,-50.0,50,169.462995
,-50.0,50,169.74586
,-50.0,50,170.004369
,-50.0,50,170.27596
,-50.0,50,170.561
,-50.0,50,170.825231
,-50.0,50,171.097471
,-50.0,50,171.360383
,-50.0,50,171.615238
,-50.0,50,171.889561
,-50.0,50,172.191697
,-50.0,50,173.801075
,-50.0,50,175.42558
,-50.0,50,177.024233
,-50.0,50,178.622738
,-50.0,50,180.240826
,-50.0,50,181.848297
,-50.0,50,183.483381
,-50.0,50,185.074914
,-50.0,50,186.703764
,-50.0,50,188.28167
,-50.0,50,189.914554
,-50.0,50,191.547227
,-50.0,50,193.148249
,-50.0,50,194.773918
,-50.0,50,196.365962
,-50.0,50,197.993547
,-50.0,50,199.598139
,-50.0,50,201.200906
,-50.0,50,202.794489
,0.0,50,204.470732
,-50.0,50,206.076378
,-50.0,50,207.70484
,-17.0,50,209.321243
,-50.0,50,210.910845
,-50.0,50,212.561916
,-50.0,50,214.181265
,-50.0,50,215.806408
,-50.0,50,217.452996
,-50.0,50,219.054207
,-50.0,50,220.664119
,-50.0,50,222.318171
,-50.0,50,223.937568
,-50.0,50,225.533626
,-50.0,50,227.154617
,-50.0,50,228.764959
,-50.0,50,230.370721
,-50.0,50,231.999456
,-50.0,50,233.586115
,-50.0,50,235.229742
,-50.0,50,236.847331
,-50.0,50,238.468554
,-50.0,50,240.118812
,-50.0,50,241.744551
,-50.0,50,243.368879
,-50.0,50,244.980134
,-50.0,50,246.586057
,-50.0,50,248.23155
,-50.0,50,249.86676
,-50.0,50,251.452316
,-50.0,50,253.106462
,-50.0,50,253.392191
,-50.0,50,253.67341
,-50.0,50,253.940087
,-50.0,50,254.230192
,-50.0,50,254.489475
,-50.0,50,254.728941
,-50.0,50,254.966884
,-50.0,50,255.20965
,-50.0,50,255.462472
,-50.0,50,255.916231
,-50.0,50,257.555048
,-50.0,50,259.131683
,-50.0,50,260.764437
,-50.0,50,262.388749
,-50.0,50,264.0102
,-50.0,50,265.638821
,-50.0,50,267.232361
,-50.0,50,268.884796
,-50.0,50,270.490149
,0.0,50,272.128332
,-50.0,50,273.746956
,-50.0,50,275.393888
,-50.0,50,277.011929
,-50.0,50,278.646019
,-50.0,50,280.254398
,-50.0,50,281.88098
,-50.0,50,283.525806
,-50.0,50,285.151814
,-50.0,50,286.786443
,-50.0,50,288.398372
,-50.0,50,290.035324
,-50.0,50,291.678768
,-50.0,50,293.29557
,-50.0,50,294.932853
,-50.0,50,296.598547
,-50.0,50,298.196128
,-50.0,50,299.836009
,-50.0,50,301.476418
,-50.0,50,303.079964
,0.0,50,304.730757
,-50.0,50,306.376131
,-50.0,50,307.981871
,-50.0,50,309.608352
,-50.0,50,311.226977
,-50.0,50,312.854364
,-50.0,50,314.477401
,0.0,50,316.124576
,-50.0,50,317.779827
,-50.0,50,319.394334
,-50.0,50,320.998089
,-50.0,50,322.638063
,-50.0,50,324.258407
,-50.0,50,325.893485
,-50.0,50,327.509444
,-50.0,50,329.112189
,-50.0,50,330.785911
,-50.0,50,332.405697
,-50.0,50,334.030695
,-50.0,50,335.678126
,-50.0,50,337.304775
,-50.0,50,337.56389
,0.0,50,337.81424
,-50.0,50,338.093072
,-50.0,50,338.371306
,-50.0,50,338.642024
,-50.0,50,338.904756
,-50.0,50,339.157664
,-50.0,50,339.417304
,-50.0,50,339.720055
,-50.0,50,340.0896
,-50.0,50,341.69828
,-50.0,50,343.349153
,-50.0,50,344.955936
,-50.0,50,346.602547
,-50.0,50,348.230641
,-50.0,50,349.872535
,-50.0,50,351.465474
,-50.0,50,353.107239
,-50.0,50,354.759761
,-50.0,50,356.409701
,-50.0,50,358.005347
,0.0,50,359.645211
,-50.0,50,361.305209
,-50.0,50,362.921585
,0.0,50,364.544972
,-50.0,50,366.185534
,-50.0,50,367.793196
,-50.0,50,369.425782
,0.0,50,371.051791
,-50.0,50,372.69603
,-50.0,50,374.370213
,-50.0,50,375.958188
,-50.0,50,377.586044
,-50.0,50,379.207775
,-50.0,50,380.857896
,-50.0,50,382.490173
,-50.0,50,384.10453
,-50.0,50,385.739527
,-50.0,50,387.35358
,-50.0,50,388.987977
,-50.0,50,390.632243
,-50.0,50,392.23821
,-50.0,50,393.852881
,-50.0,50,395.492584
,-50.0,50,397.13919
,-50.0,50,398.738361
,-50.0,50,400.359953
,-50.0,50,402.005314
,-50.0,50,403.636697
,-50.0,50,405.272598
,-50.0,50,406.894537
,-50.0,50,408.496527
,-50.0,50,410.112208
,-50.0,50,411.738056
,-50.0,50,413.369111
,-50.0,50,415.021735
,-50.0,50,416.628346
,-50.0,50,418.283405
,-50.0,50,419.930026
,-50.0,50,421.586625
,-50.0,50,421.832669
,-50.0,50,422.095735
,-50.0,50,422.382154
,-50.0,50,422.67312
,-50.0,50,422.933656
,-50.0,50,423.20303
,-50.0,50,423.482098
,-50.0,50,423.745187
,-50.0,50,423.99847
,0.0,50,424.417867
,-50.0,50,426.052504
,-50.0,50,427.675614
,-50.0,50,429.299731
,-50.0,50,430.928206
,-50.0,50,432.54223
,-50.0,50,434.185408
,-50.0,50,435.855355
,-50.0,50,437.476142
,-50.0,50,439.073498
,-50.0,50,440.698658
,-50.0,50,442.364376
,-50.0,50,443.974164
,-50.0,50,445.60979
,-50.0,50,447.243659
,0.0,50,448.876117
,-50.0,50,450.483382
,-50.0,50,452.136428
,-50.0,50,453.759926
,-14.0,50,455.424527
,-50.0,50,457.068849
,-50.0,50,458.705443
,-50.0,50,460.287888
,-50.0,50,461.938654
,-50.0,50,463.558775
,-50.0,50,465.211944
,-50.0,50,466.873119
,-50.0,50,468.487603
,-40.0,50,470.096753
,-50.0,50,471.713152
,-50.0,50,473.346403
,-49.0,50,474.961089
,-50.0,50,476.621941
,-50.0,50,478.242413
,-50.0,50,479.866101
,-50.0,50,481.487029
,-43.0,50,483.116328
,-50.0,50,484.732053
,-50.0,50,486.371638
,-39.0,50,488.031754
,-50.0,50,489.651069
,-50.0,50,491.289016
,-50.0,50,492.926332
,-50.0,50,494.59029
,-50.0,50,496.199967
,-50.0,50,497.834599
,-50.0,50,499.500806
,-50.0,50,501.134772
,0.0,50,502.792048
,-50.0,50,504.425888
,-50.0,50,506.084026
,-50.0,50,506.355078
,-50.0,50,506.610341
,-50.0,50,506.871451
,-50.0,50,507.164984
,-50.0,50,507.437885
,-50.0,50,507.707358
,-50.0,50,507.980358
,-50.0,50,508.220828
,-50.0,50,508.495132
,-50.0,50,508.872745
,-50.0,50,510.498429
,-50.0,50,512.154833
,-50.0,50,513.773386
,-11.0,50,515.410825
,-50.0,50,517.079447
,-50.0,50,518.731806
,-50.0,50,520.345914
,-50.0,50,521.998984
,-50.0,50,523.599077
,-50.0,50,525.260228
,-50.0,50,526.902426
,-50.0,50,528.519944
,-50.0,50,530.151258
,-50.0,50,531.765923
,-50.0,50,533.412293
,-50.0,50,535.071865
,-50.0,50,536.675895
,-50.0,50,538.325822
,-50.0,50,539.95629
,-50.0,50,541.574196
,-50.0,50,543.238356
,-50.0,50,544.842367
,-50.0,50,546.484219
,-50.0,50,548.116809
,0.0,50,549.727558
,-50.0,50,551.3734
,-49.0,50,552.994864
,-50.0,50,554.630908
,-49.0,50,556.272156
,-50.0,50,557.899283
,-50.0,50,559.500921
,-50.0,50,561.167539
,-50.0,50,562.796381
,-50.0,50,564.405533
,-50.0,50,566.077802
,-50.0,50,567.701143
,-27.0,50,569.313175
,-50.0,50,571.003578
,-50.0,50,572.6284
,-33.0,50,574.246241
,-50.0,50,575.896585
,-50.0,50,577.541368
,-50.0,50,579.173777
,-50.0,50,580.784351
,-50.0,50,582.417655
,-50.0,50,584.060106
,-50.0,50,585.695907
,-23.0,50,587.344898
,-50.0,50,588.980871
,-50.0,50,590.638137
,-50.0,50,590.887897
,-50.0,50,591.137045
,0.0,50,591.392038
,-50.0,50,591.661666
,-9.0,50,591.914538
,-50.0,50,592.16619
,-28.0,50,592.462305
,-50.0,50,592.708843
,-50.0,50,592.977955
,-50.0,50,593.501095
,-50.0,50,595.134346
,-50.0,50,596.770599
,-50.0,50,598.417244
,0.0,50,600.028445
,-50.0,50,601.673677
,-50.0,50,603.350371
,-50.0,50,604.998963
,-50.0,50,606.666355
,-50.0,50,608.281
,-50.0,50,609.906388
,-50.0,50,611.53727
,-50.0,50,613.227586
,0.0,50,614.851335
,-50.0,50,616.498139
,-20.0,50,618.100348
,-50.0,50,619.731577
,-50.0,50,621.402342
,-50.0,50,623.040042
,-50.0,50,624.666628
,-50.0,50,626.330344
,-50.0,50,627.965714
,-50.0,50,629.587851
,-45.0,50,631.249619
,-50.0,50,632.875492
,-50.0,50,634.555365
,-50.0,50,636.205322
,-48.0,50,637.820871
,-50.0,50,639.470815
,-50.0,50,641.102478
,-50.0,50,642.767244
,-50.0,50,644.377124
,-50.0,50,646.059649
,-50.0,50,647.666352
,-50.0,50,649.314406
,-50.0,50,650.945493
,-50.0,50,652.642996
,-50.0,50,654.298452
,0.0,50,655.928941
,-50.0,50,657.56685
,-48.0,50,659.215045
,-45.0,50,660.897463
,-18.0,50,662.523019
,-50.0,50,664.172575
,-50.0,50,665.824413
,-50.0,50,667.463769
,-39.0,50,669.134931
,-50.0,50,670.790488
,-50.0,50,672.448571
,-50.0,50,674.099761
,-50.0,50,675.809192
,-50.0,50,676.115933
,-50.0,50,676.387766
,-50.0,50,676.669362
,-50.0,50,676.972151
,-50.0,50,677.240718
,-50.0,50,677.532296
,-7.0,50,677.828041
,-50.0,50,678.098576
,-50.0,50,678.366777
,-50.0,50,678.625778
,-50.0,50,680.282999
,-50.0,50,681.969404
,-50.0,50,683.59782
,-50.0,50,685.255131
,-40.0,50,686.913007
,-25.0,50,688.561632
,-50.0,50,690.173277
,-22.0,50,691.846046
,-50.0,50,693.507864
,-9.0,50,695.163574
,-50.0,50,696.798088
,-50.0,50,698.464442
,-50.0,50,700.089447
,-50.0,50,701.711454
,-50.0,50,703.357298
,-34.0,50,705.010581
,0.0,50,706.679098
,-50.0,50,708.3026
,-50.0,50,709.972577
,-50.0,50,711.615181
,-50.0,50,713.289537
,-11.0,50,714.921
,-50.0,50,716.554391
,-17.0,50,718.21172
,-50.0,50,719.889511
,-50.0,50,721.54188
,-50.0,50,723.207046
,-47.0,50,724.837205
,-50.0,50,726.493946
,-19.0,50,728.153103
,-50.0,50,729.787561
,-50.0,50,731.43462
,-25.0,50,733.116617
,-37.0,50,734.767801
,-24.0,50,736.410197
,-50.0,50,738.082158
,-50.0,50,739.765564
,0.0,50,741.418605
,-50.0,50,743.083822
,-50.0,50,744.706447
,-50.0,50,746.410589
,0.0,50,748.021567
,-50.0,50,749.727607
,-50.0,50,751.375741
,-50.0,50,753.054342
,-50.0,50,754.694478
,-50.0,50,756.360014
,-50.0,50,757.981594
,-32.0,50,759.64137
,-50.0,50,761.278232
,-45.0,50,761.527816
,-50.0,50,761.788144
,-50.0,50,762.053051
,-13.0,50,762.32443
,-50.0,50,762.606684
,-50.0,50,762.862979
,-50.0,50,763.128641
,-34.0,50,763.404852
,-10.0,50,763.688219
,-50.0,50,764.093939
,-48.0,50,765.744006
,-50.0,50,767.398797
,-50.0,50,769.025102
,-33.0,50,770.667715
,-50.0,50,772.289518
,-50.0,50,773.961864
,-39.0,50,775.66528
,-50.0,50,777.288808
,-50.0,50,778.912346
,-50.0,50,780.603124
,-50.0,50,782.207025
,-50.0,50,783.910663
,-50.0,50,785.565475
,-49.0,50,787.168047
,-50.0,50,788.842799
,-50.0,50,790.510468
,-50.0,50,792.160384
,-50.0,50,793.817413
,-50.0,50,795.480012
,-50.0,50,797.108419
,-50.0,50,798.76579
,-22.0,50,800.4605
,-50.0,50,802.111586
,-22.0,50,803.791234
,-17.0,50,805.406628
,-50.0,50,807.096272
,-50.0,50,808.736077
,-50.0,50,810.389159
,-50.0,50,812.062145
,-46.0,50,813.658067
,-50.0,50,815.361269
,-50.0,50,817.01727
,-50.0,50,818.656864
,-50.0,50,820.321463
,-50.0,50,821.994223
,-35.0,50,823.643492
,-50.0,50,825.316839
,-50.0,50,826.959478
,-50.0,50,828.577918
,0.0,50,830.243317
,-50.0,50,831.907859
,-50.0,50,833.591017
,-50.0,50,835.242016
,-50.0,50,836.882837
,-50.0,50,838.563948
,-13.0,50,840.216196
,-50.0,50,841.900224
,-50.0,50,843.547009
,-49.0,50,845.193879
,-13.0,50,846.884782
,-12.0,50,847.168609
,-12.0,50,847.446794
,-50.0,50,847.701683
,-40.0,50,847.983454
,-8.0,50,848.268061
,-50.0,50,848.518081
,-50.0,50,848.773168
,-20.0,50,849.08583
,-50.0,50,849.372573
,-50.0,50,849.725006
,-50.0,50,851.412132
,-50.0,50,853.089094
,-50.0,50,854.752389
,-20.0,50,856.396047
,-50.0,50,858.033733
,-36.0,50,859.665004
,-50.0,50,861.325994
,-50.0,50,862.973755
,-50.0,50,864.672605
,-50.0,50,866.339842
,-50.0,50,867.977776
