,mean,amin,amax,median,std,var
1,-48.24625015258789,-48.29750061035156,-48.19499969482422,-48.24625015258789,0.051250457763671875,0.0026266094209859148
2,-47.77312469482422,-47.87999725341797,-47.66625213623047,-47.77312469482422,0.10687255859375,0.011421743780374527
3,-48.22687339782715,-48.74625015258789,-47.707496643066406,-48.22687339782715,0.5193767547607422,0.26975221338580013
4,-48.02750205993652,-48.255001068115234,-47.80000305175781,-48.02750205993652,0.22749900817871094,0.051755798722297186
5,-47.795000076293945,-48.29249954223633,-47.29750061035156,-47.795000076293945,0.4974994659423828,0.24750571861295612
6,-47.603750228881836,-47.971248626708984,-47.23625183105469,-47.603750228881836,0.36749839782714844,0.13505507240552106
7,-46.54562568664551,-46.58875274658203,-46.502498626708984,-46.54562568664551,0.04312705993652344,0.001859943298768485
8,-45.48375129699707,-45.93375015258789,-45.03375244140625,-45.48375129699707,0.4499988555908203,0.20249897003304795
9,-44.43625259399414,-44.96375274658203,-43.90875244140625,-44.43625259399414,0.5275001525878906,0.2782564109802479
10,-42.801876068115234,-43.07875061035156,-42.525001525878906,-42.801876068115234,0.2768745422363281,0.07665951213857625
11,-40.90999984741211,-41.32875061035156,-40.491249084472656,-40.90999984741211,0.4187507629394531,0.17535220146237407
12,-39.94687461853027,-40.23374938964844,-39.65999984741211,-39.94687461853027,0.28687477111816406,0.08229713430409902
13,-38.5837516784668,-39.071250915527344,-38.09625244140625,-38.5837516784668,0.4874992370605469,0.23765550613461528
14,-37.00625228881836,-37.19750213623047,-36.81500244140625,-37.00625228881836,0.19124984741210938,0.03657650413515512
15,-35.09375,-35.33000183105469,-34.85749816894531,-35.09375,0.2362518310546875,0.055814927676692605
16,-33.80500030517578,-33.95375061035156,-33.65625,-33.80500030517578,0.14875030517578125,0.022126653289888054
17,-33.336875915527344,-34.063751220703125,-32.61000061035156,-33.336875915527344,0.7268753051757812,0.5283477092743851
18,-31.896248817443848,-31.89874839782715,-31.893749237060547,-31.896248817443848,0.0024995803833007812,6.2479020925820805e-06
19,-32.23375129699707,-33.72875213623047,-30.738750457763672,-32.23375129699707,1.4950008392333984,2.2350275093085656
20,-30.92249870300293,-31.936248779296875,-29.908748626708984,-30.92249870300293,1.0137500762939453,1.02768921718598
21,-30.6274995803833,-31.57124900817871,-29.68375015258789,-30.6274995803833,0.9437494277954102,0.8906629824641641
22,-30.142499923706055,-30.28125,-30.00374984741211,-30.142499923706055,0.1387500762939453,0.019251583671575645
23,-29.756875038146973,-30.36750030517578,-29.146249771118164,-29.756875038146973,0.6106252670288086,0.3728632167340038
24,-28.950624465942383,-29.314998626708984,-28.58625030517578,-28.950624465942383,0.36437416076660156,0.1327685290343652
25,-28.847500801086426,-28.9325008392334,-28.762500762939453,-28.847500801086426,0.08500003814697266,0.007225006484986807
26,-29.905000686645508,-30.043750762939453,-29.766250610351562,-29.905000686645508,0.1387500762939453,0.019251583671575645
27,-29.885624885559082,-30.43000030517578,-29.341249465942383,-29.885624885559082,0.5443754196166992,0.29634459748285735
28,-30.02187442779541,-30.583749771118164,-29.459999084472656,-30.02187442779541,0.5618753433227539,0.3157039014340626
29,-29.216249465942383,-29.922500610351562,-28.509998321533203,-29.216249465942383,0.7062511444091797,0.498790678979276
30,-29.475625038146973,-29.5,-29.451250076293945,-29.475625038146973,0.024374961853027344,0.0005941387653365382
31,-29.533750534057617,-30.05500030517578,-29.012500762939453,-29.533750534057617,0.5212497711181641,0.2717013238907384
32,-29.498125076293945,-29.611249923706055,-29.385000228881836,-29.498125076293945,0.11312484741210938,0.01279723110201303
33,-29.715001106262207,-29.7450008392334,-29.685001373291016,-29.715001106262207,0.029999732971191406,0.0008999839783427888
34,-30.4168758392334,-30.832500457763672,-30.001251220703125,-30.4168758392334,0.41562461853027344,0.17274382352843531
35,-29.872499465942383,-30.432498931884766,-29.3125,-29.872499465942383,0.5599994659423828,0.31359940185575397
36,-29.8387508392334,-30.238750457763672,-29.438751220703125,-29.8387508392334,0.39999961853027344,0.15999969482436427
37,-30.115625381469727,-30.3125,-29.918750762939453,-30.115625381469727,0.19687461853027344,0.038759615421440685
38,-30.204374313354492,-30.2237491607666,-30.184999465942383,-30.204374313354492,0.019374847412109375,0.00037538471224252135
39,-30.579374313354492,-30.764999389648438,-30.393749237060547,-30.579374313354492,0.1856250762939453,0.03445666894913302
40,-30.11312484741211,-30.545000076293945,-29.681249618530273,-30.11312484741211,0.43187522888183594,0.18651621332173818
