#{"t_start": 1583167064.8747694, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.989524
,-50.0,50,7.833971
,-50.0,50,9.407564
,-50.0,50,11.052122
,-50.0,50,12.622079
,-50.0,50,14.252198
,-50.0,50,15.879227
,-50.0,50,17.497542
,-50.0,50,19.106335
,-50.0,50,20.700842
,-50.0,50,22.316637
,-50.0,50,23.935333
,-50.0,50,25.538623
,-50.0,50,27.163061
,-50.0,50,28.751654
,-50.0,50,30.352859
,-50.0,50,31.958945
,-50.0,50,33.606065
,-50.0,50,35.193174
,-50.0,50,36.786223
,-50.0,50,38.439957
,-50.0,50,40.04668
,-50.0,50,41.635213
,-50.0,50,43.283667
,-50.0,50,44.897099
,-50.0,50,46.521051
,-50.0,50,48.102531
,-50.0,50,49.755641
,0.0,50,51.348075
,-50.0,50,52.990378
,-50.0,50,54.578957
,-50.0,50,56.214949
,-50.0,50,57.813215
,-50.0,50,59.429931
,-50.0,50,61.03212
,-50.0,50,62.623828
,-50.0,50,64.265246
,-50.0,50,65.874348
,-50.0,50,67.482578
,-50.0,50,69.069915
,-50.0,50,70.671131
,-50.0,50,72.305961
,-50.0,50,73.899138
,-50.0,50,75.504579
,-50.0,50,77.119398
,-50.0,50,78.753788
,-50.0,50,80.349686
,-50.0,50,82.001439
,-50.0,50,83.595724
,-50.0,50,85.246505
,-50.0,50,86.917142
,-50.0,50,87.212223
,-50.0,50,87.480243
,-50.0,50,87.750543
,-50.0,50,88.011457
,-50.0,50,88.278839
,-50.0,50,88.541323
,-50.0,50,88.789582
,-50.0,50,89.055872
,-50.0,50,89.332947
,-50.0,50,89.654504
,-50.0,50,91.318676
,-50.0,50,92.917197
,-50.0,50,94.558123
,-50.0,50,96.163114
,-50.0,50,97.740216
,-50.0,50,99.367447
,-50.0,50,100.96936
,-50.0,50,102.604964
,-50.0,50,104.199516
,-50.0,50,105.847224
,-50.0,50,107.491934
,-50.0,50,109.125277
,-50.0,50,110.722345
,-50.0,50,112.319959
,-50.0,50,113.900228
,-50.0,50,115.551471
,-50.0,50,117.160414
