#{"t_start": 1583180744.4717114, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.577547
,-50.0,50,7.378665
,-50.0,50,8.998392
,-50.0,50,10.618269
,-50.0,50,12.207488
,-50.0,50,13.810674
,-50.0,50,15.436874
,-50.0,50,17.032097
,-50.0,50,18.642715
,-50.0,50,20.222592
,-50.0,50,21.824808
,-50.0,50,23.427169
,-50.0,50,25.043025
,-50.0,50,26.648427
,-50.0,50,28.259341
,-50.0,50,29.861087
,-50.0,50,31.453593
,-50.0,50,33.034678
,-50.0,50,34.652438
,-50.0,50,36.256362
,-50.0,50,37.846963
,-50.0,50,39.449456
,-50.0,50,41.077266
,-50.0,50,42.685109
,-50.0,50,44.278826
,-50.0,50,45.844417
,-50.0,50,47.504659
,-50.0,50,49.074613
,-50.0,50,50.677164
,-50.0,50,52.266245
,-50.0,50,53.858009
,-50.0,50,55.441205
,-50.0,50,57.064669
,-50.0,50,58.664542
,-50.0,50,60.261634
,-50.0,50,61.879972
,-50.0,50,63.495548
,-50.0,50,65.11426
,-50.0,50,66.734313
,-50.0,50,68.347427
,-50.0,50,69.907953
,-50.0,50,71.532788
,0.0,50,73.093847
,-50.0,50,74.722935
,-50.0,50,76.335109
,-50.0,50,77.914659
,0.0,50,79.509956
,-50.0,50,81.16149
,-50.0,50,82.749321
,-50.0,50,84.332999
,-50.0,50,85.993822
,-50.0,50,86.245558
,-50.0,50,86.498688
,-50.0,50,86.762248
,-50.0,50,87.034702
,-50.0,50,87.304265
,-50.0,50,87.563341
,-50.0,50,87.835025
,-50.0,50,88.08907
,-50.0,50,88.355002
,-50.0,50,88.74044
,-50.0,50,90.364803
,-50.0,50,91.996223
,-50.0,50,93.577309
,-35.0,50,95.202299
,-50.0,50,96.800865
,-50.0,50,98.423691
,-50.0,50,100.020805
,-50.0,50,101.652748
,-50.0,50,103.25002
,-50.0,50,104.841726
,-50.0,50,106.447184
,-50.0,50,108.071446
,-50.0,50,109.705249
,-50.0,50,111.314629
,-50.0,50,112.925118
,-50.0,50,114.501761
,-50.0,50,116.131076
,-50.0,50,117.75772
,-50.0,50,119.38132
,-50.0,50,120.9955
,-50.0,50,122.568736
,-50.0,50,124.189625
,-50.0,50,125.805695
,-50.0,50,127.394895
,-50.0,50,129.023086
,-50.0,50,130.623219
,-50.0,50,132.233003
,-50.0,50,133.843031
,-50.0,50,135.448834
,-50.0,50,137.062609
,-50.0,50,138.668801
,-50.0,50,140.285539
,-50.0,50,141.870044
,-50.0,50,143.51596
,-50.0,50,145.132171
,0.0,50,146.718897
,-50.0,50,148.325792
,-50.0,50,149.936564
,-50.0,50,151.571937
,-50.0,50,153.186096
,-50.0,50,154.822232
,-50.0,50,156.417983
,-50.0,50,158.04205
,-50.0,50,159.653064
,-50.0,50,161.283979
,-50.0,50,162.863265
,-50.0,50,164.490491
,-50.0,50,166.107478
,-50.0,50,167.726647
,-50.0,50,169.369191
,-50.0,50,169.660608
,-50.0,50,169.936228
,-50.0,50,170.196474
,-50.0,50,170.459579
,-50.0,50,170.747658
,-50.0,50,171.010423
,-50.0,50,171.270519
,-50.0,50,171.560684
,-50.0,50,171.825452
,-50.0,50,172.082782
,-50.0,50,173.704466
,0.0,50,175.328812
,-50.0,50,176.945465
,-50.0,50,178.534991
,-50.0,50,180.159602
,-50.0,50,181.741307
,-50.0,50,183.392804
,-50.0,50,184.991931
,-50.0,50,186.636823
,-50.0,50,188.226561
,-50.0,50,189.843813
,-50.0,50,191.467878
,-50.0,50,193.063621
,-50.0,50,194.668236
,-50.0,50,196.266787
,-50.0,50,197.921534
,-50.0,50,199.542175
,-50.0,50,201.155265
,-41.0,50,202.77225
,-50.0,50,204.353949
,-50.0,50,206.002204
,-50.0,50,207.605305
,-50.0,50,209.222891
,-50.0,50,210.821334
,-50.0,50,212.453126
,-50.0,50,214.036183
,-50.0,50,215.697475
,-50.0,50,217.323573
,-50.0,50,218.943304
,-50.0,50,220.551176
,-50.0,50,222.168283
,-50.0,50,223.761683
,-50.0,50,225.41405
,-50.0,50,226.992258
,-50.0,50,228.620594
,-50.0,50,230.240605
,-50.0,50,231.877067
,-50.0,50,233.489038
,-50.0,50,235.073244
,-50.0,50,236.736438
,-50.0,50,238.318155
,-50.0,50,239.920702
,-50.0,50,241.545565
,-50.0,50,243.160535
,-50.0,50,244.799089
,-50.0,50,246.414415
,-50.0,50,248.027565
,-50.0,50,249.663165
,-50.0,50,251.269332
,-50.0,50,252.904362
,-50.0,50,253.184034
,-50.0,50,253.476264
,-50.0,50,253.729723
,-50.0,50,253.982846
,-8.0,50,254.246696
,-50.0,50,254.499179
,-50.0,50,254.778954
,-50.0,50,255.044797
,-50.0,50,255.309485
,-50.0,50,255.608137
,-50.0,50,257.24495
,-50.0,50,258.885692
,-50.0,50,260.505371
,-50.0,50,262.110661
,-50.0,50,263.708247
,-50.0,50,265.321361
,-50.0,50,266.942516
,-50.0,50,268.550624
,-50.0,50,270.209235
,-50.0,50,271.778195
,-50.0,50,273.451981
,-50.0,50,275.044182
,-50.0,50,276.67284
,-50.0,50,278.289514
,-50.0,50,279.898782
,-50.0,50,281.517186
,-50.0,50,283.164169
,-50.0,50,284.778837
,-50.0,50,286.397477
,0.0,50,288.023505
,-50.0,50,289.640262
,-50.0,50,291.272405
,-41.0,50,292.909518
,-50.0,50,294.516247
,-50.0,50,296.120712
,-50.0,50,297.783445
,-50.0,50,299.387412
,-50.0,50,301.041762
,-50.0,50,302.626253
,-50.0,50,304.249942
,-50.0,50,305.87851
,-50.0,50,307.495279
,-50.0,50,309.142449
,-50.0,50,310.798051
,-50.0,50,312.447055
,-50.0,50,314.066757
,-50.0,50,315.698343
,-50.0,50,317.36199
,-50.0,50,318.967259
,-50.0,50,320.582597
,-50.0,50,322.199972
,-50.0,50,323.838161
,-50.0,50,325.489032
,-50.0,50,327.13506
,-50.0,50,328.739425
,-50.0,50,330.369835
,-50.0,50,331.991591
,0.0,50,333.619907
,-50.0,50,335.213856
,-50.0,50,336.903645
,-50.0,50,337.148498
,-50.0,50,337.386559
,-50.0,50,337.620306
,-50.0,50,337.88753
,-50.0,50,338.147419
,-50.0,50,338.422606
,-50.0,50,338.713578
,-50.0,50,338.964536
,-50.0,50,339.221171
,-50.0,50,339.618604
,-50.0,50,341.261829
,-50.0,50,342.870932
,-50.0,50,344.520421
,-50.0,50,346.150394
,-50.0,50,347.811985
,-50.0,50,349.418481
,-50.0,50,351.047341
,-50.0,50,352.676612
,-50.0,50,354.296201
,-50.0,50,355.944991
,-50.0,50,357.609837
,-50.0,50,359.218528
,-50.0,50,360.83427
,-50.0,50,362.476366
,-50.0,50,364.100568
,-50.0,50,365.758024
,-50.0,50,367.36232
