#{"t_start": 1582699258.114341, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.493771
,-50.0,50,7.39876
,-50.0,50,9.125139
,-50.0,50,10.832918
,-50.0,50,12.528831
,-50.0,50,14.234248
,-50.0,50,15.926189
,-50.0,50,17.641098
,0.0,50,19.330431
,-50.0,50,21.033218
,-50.0,50,22.734342
,-50.0,50,24.446309
,-50.0,50,26.141901
,-50.0,50,27.83555
,-50.0,50,29.524875
,-50.0,50,31.212853
,-50.0,50,32.919766
,-50.0,50,34.620397
,-50.0,50,36.318978
,-50.0,50,38.036575
,-50.0,50,39.723117
,-50.0,50,41.42121
,-50.0,50,43.122919
,-50.0,50,44.843597
,-50.0,50,46.52775
,-50.0,50,48.246841
,-50.0,50,49.914799
,-50.0,50,51.628048
,-50.0,50,53.36277
,-50.0,50,55.04476
,-50.0,50,56.710618
,-50.0,50,58.420022
,-50.0,50,60.092128
,-50.0,50,61.821549
,-50.0,50,63.546752
,-50.0,50,65.234472
,-50.0,50,66.910422
,-50.0,50,68.659087
,-50.0,50,70.319845
,-50.0,50,72.03142
,-50.0,50,73.735103
,-50.0,50,75.431437
,-50.0,50,77.127655
,-50.0,50,78.817452
,-50.0,50,80.548407
,-50.0,50,82.223978
,-50.0,50,83.922535
,-50.0,50,85.642994
,-50.0,50,87.346233
,-50.0,50,89.042622
,-50.0,50,90.808297
,-50.0,50,91.077663
,-50.0,50,91.329669
,-50.0,50,91.588545
,-50.0,50,91.85016
,-50.0,50,92.116089
,0.0,50,92.379333
,-50.0,50,92.647856
,-50.0,50,92.913012
,-50.0,50,93.184743
,-50.0,50,93.551986
,-50.0,50,95.226459
,-50.0,50,96.951411
,-50.0,50,98.657382
,-50.0,50,100.357355
,-50.0,50,102.058428
,-50.0,50,103.774703
,-50.0,50,105.468539
,-50.0,50,107.159729
,-50.0,50,108.860017
,-50.0,50,110.60392
,-50.0,50,112.291469
,-50.0,50,114.002113
,-50.0,50,115.712991
,-50.0,50,117.395025
,-50.0,50,119.09522
,-50.0,50,120.816411
,-50.0,50,122.520377
,-50.0,50,124.222512
,-50.0,50,125.955705
,-50.0,50,127.669448
,-50.0,50,129.39223
,-50.0,50,131.083009
,-50.0,50,132.767525
,-50.0,50,134.477983
,-50.0,50,136.188897
,-50.0,50,137.893634
,-50.0,50,139.590156
,-50.0,50,141.304246
,-50.0,50,143.018881
,-50.0,50,144.73609
,-50.0,50,146.415057
,-50.0,50,148.127548
,-50.0,50,149.832723
,-50.0,50,151.578042
,-50.0,50,153.252176
,-50.0,50,154.94561
,-50.0,50,156.678761
,-50.0,50,158.39852
,-50.0,50,160.111586
,-50.0,50,161.83822
,-50.0,50,163.558233
,-50.0,50,165.271967
,-50.0,50,166.977886
,-50.0,50,168.652479
,-50.0,50,170.392859
,-50.0,50,172.068562
,-50.0,50,173.783661
,-50.0,50,175.497189
,-50.0,50,177.205937
,0.0,50,178.93486
,-50.0,50,179.199297
,-50.0,50,179.463869
,-50.0,50,179.716569
,-50.0,50,179.974406
,-50.0,50,180.253551
,-50.0,50,180.518426
,-50.0,50,180.791193
,-50.0,50,181.081697
,-50.0,50,181.329229
,0.0,50,181.659606
,-50.0,50,183.395155
,-50.0,50,185.121924
,-50.0,50,186.853824
,-50.0,50,188.541838
,-50.0,50,190.249708
,-50.0,50,191.977988
,-50.0,50,193.713237
,-50.0,50,195.382227
,-50.0,50,197.12624
,-50.0,50,198.800359
,-50.0,50,200.558152
,0.0,50,202.26112
,-50.0,50,203.964054
,0.0,50,205.691777
,-50.0,50,207.402009
,-50.0,50,209.122722
,-50.0,50,210.778858
,-50.0,50,212.504638
,-50.0,50,214.215214
,-50.0,50,215.932714
,-50.0,50,217.637596
,-50.0,50,219.362613
,-50.0,50,221.095897
,-50.0,50,222.806843
,-50.0,50,224.551734
,-50.0,50,226.242851
,-50.0,50,227.954665
,-50.0,50,229.659296
,-50.0,50,231.357893
,-50.0,50,233.080971
,-50.0,50,234.81205
,-50.0,50,236.514076
,-50.0,50,238.234064
,-50.0,50,239.940952
,-50.0,50,241.673917
,0.0,50,243.407002
,-50.0,50,245.106954
