actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5152843,0.0053156107,0.84780484,0.09462165,0.20444538,0.045606956,-48.125,10.0,-2.7812366,0.037500000558793545,-48.30875,50.0,0.03250000043772161
1.8397739,0.0042105652,0.84759456,0.09396096,0.20442234,0.046464898,-48.125,20.0,-4.781148,0.037500000558793545,-48.23375,100.0,0.03374999947845936
2.1312246,0.005215613,0.84684557,0.09477546,0.20406173,0.051736444,-48.4375,30.0,-6.6643524,0.03125000046566129,-48.2875,150.0,0.03499999875202775
2.3820162,0.0076269023,0.8468075,0.09553353,0.20384212,0.05680927,-49.375,40.0,-8.12631,0.012500000186264515,-47.966248,200.0,0.04000000027008355
2.6169868,0.012782015,0.8468488,0.09728906,0.2039507,0.06413846,-47.425,50.0,-9.182088,0.056250001303851604,-47.895,250.0,0.04499999829567969
2.8310783,0.021606043,0.84666437,0.09909234,0.20406337,0.07055329,-45.925,60.0,-10.046886,0.1000000024214387,-47.95375,300.0,0.042499999050050974
3.011876,0.03480129,0.8462507,0.10089,0.20401789,0.076806545,-45.46875,70.0,-9.864852,0.11875000176951289,-47.055,350.0,0.0725
3.1742187,0.055104595,0.8459024,0.1041789,0.20402199,0.083911106,-44.0875,80.0,-10.375507,0.13749999878928065,-46.945,400.0,0.0775
3.3153782,0.08162731,0.84567356,0.106157236,0.20376745,0.08916392,-38.606247,90.0,-10.084976,0.28750001825392246,-44.695,450.0,0.14750001
3.4311755,0.11012243,0.845763,0.10712957,0.2036714,0.09377712,-42.024998,100.0,-11.224856,0.21875000232830644,-43.83125,500.0,0.17
3.5285478,0.13869378,0.84558374,0.10765698,0.20351845,0.0966166,-37.75625,110.0,-10.8389,0.3125,-42.91,550.0,0.19874999
3.6126933,0.1660114,0.8454909,0.10796448,0.20365891,0.09968564,-35.63125,120.0,-9.853951,0.36875,-43.372498,600.0,0.19125
3.684377,0.19083604,0.84541893,0.107803226,0.20372675,0.101654604,-35.46875,130.0,-10.478481,0.375,-41.817497,650.0,0.225
3.7479815,0.21351221,0.8453421,0.10770943,0.20372981,0.103328034,-29.881248,140.0,-9.866167,0.50625,-41.21375,700.0,0.23499998
3.8035438,0.2346463,0.8452456,0.10739487,0.20382088,0.10459087,-29.98125,150.0,-10.09382,0.49375,-39.483753,750.0,0.29625
3.8526669,0.2540396,0.84498066,0.10818187,0.20375356,0.10597141,-26.41875,160.0,-8.291925,0.6125,-38.53375,800.0,0.32625002
3.8959794,0.27175608,0.84449226,0.108474314,0.20373467,0.10717889,-26.6125,170.0,-9.198378,0.56875,-37.409996,850.0,0.35000002
3.933793,0.2874406,0.84458613,0.108347006,0.2037404,0.10743237,-22.662498,180.0,-8.095276,0.68125,-35.618748,900.0,0.40125
3.965817,0.3003401,0.8446841,0.10840738,0.20384133,0.10800211,-18.85625,190.0,-7.532303,0.76874995,-34.46875,950.0,0.45
3.9949465,0.3108872,0.8446131,0.10866799,0.2039155,0.108511716,-19.2625,200.0,-7.7141266,0.75,-33.8875,1000.0,0.43624997
4.020448,0.3191476,0.84485173,0.10859398,0.20403874,0.10881256,-18.881248,210.0,-8.151516,0.74375004,-32.125,1050.0,0.4925
4.043111,0.3258093,0.8449405,0.10861043,0.20412423,0.109004,-16.275,220.0,-7.615941,0.8375,-30.73125,1100.0,0.52374995
4.0634975,0.33126467,0.8449986,0.10835924,0.20416129,0.10894142,-16.075,230.0,-7.679703,0.81875,-29.68375,1150.0,0.56
4.080372,0.33569735,0.84523076,0.10842208,0.2042405,0.108988866,-15.59375,240.0,-7.2683716,0.84999996,-30.23375,1200.0,0.5275
4.0943203,0.33927023,0.84552974,0.10825645,0.20429283,0.1088465,-13.15625,250.0,-6.163293,0.89374995,-30.53,1250.0,0.53249997
4.105145,0.3418904,0.84575135,0.1083638,0.20437233,0.10892298,-12.5,260.0,-5.5726786,0.9125,-30.2025,1300.0,0.5525
4.1140256,0.34379965,0.8459747,0.10827146,0.20444341,0.108871214,-12.61875,270.0,-5.50673,0.91875,-29.48,1350.0,0.54375
4.1205406,0.3453754,0.8462038,0.10822395,0.20448923,0.10887037,-13.0375,280.0,-5.5277367,0.8875,-29.685,1400.0,0.5475
4.124749,0.34628972,0.84642315,0.10833671,0.20463343,0.1090273,-12.59375,290.0,-4.8666935,0.9,-30.9025,1450.0,0.5325
4.126825,0.34662038,0.84662336,0.108239554,0.20469807,0.109011695,-14.125,300.0,-5.78743,0.8625,-28.37375,1500.0,0.60125005
4.128295,0.34667522,0.84688324,0.10827752,0.20475183,0.10903344,-12.80625,310.0,-6.0000315,0.925,-29.494999,1550.0,0.55125
4.1286173,0.34629714,0.8471784,0.10825191,0.20484161,0.10902509,-9.675,320.0,-3.446404,0.9875,-29.60625,1600.0,0.56375
4.1280527,0.3458798,0.8473274,0.10825797,0.20493646,0.10900289,-11.575,330.0,-3.8898861,0.9187499,-29.67625,1650.0,0.57
4.1267915,0.34549776,0.84756655,0.10821941,0.2049776,0.10898897,-11.5875,340.0,-4.6253433,0.9375,-30.67125,1700.0,0.54125
4.1246843,0.34484345,0.8477144,0.10827456,0.20502922,0.10899264,-11.981251,350.0,-3.221498,0.91875,-30.12875,1750.0,0.55625004
4.1219444,0.3441425,0.84786195,0.108308114,0.20515525,0.108982846,-10.793751,360.0,-2.5033755,0.95624995,-30.216251,1800.0,0.54375
4.11845,0.3434552,0.84800917,0.10812538,0.20517944,0.108891465,-12.387501,370.0,-2.8323407,0.9,-29.64375,1850.0,0.55875003
4.1149416,0.34295103,0.84820956,0.10816156,0.20524016,0.10893001,-10.95625,380.0,-2.1476927,0.91875,-30.08375,1900.0,0.545
4.1111274,0.34225464,0.84833264,0.108056344,0.20526111,0.10898855,-12.18125,390.0,-2.7522316,0.90625,-30.3875,1950.0,0.56125
4.1065836,0.34157687,0.84839606,0.108151056,0.20529681,0.109131634,-12.8375,400.0,-2.55856,0.8875,-30.055,2000.0,0.55375
4.1014085,0.34093797,0.84856296,0.10802559,0.20534204,0.10908887,-12.499999,410.0,-2.665932,0.89375,-30.199999,2050.0,0.55125
4.0961866,0.3401647,0.8486419,0.107898206,0.20536554,0.10905548,-10.456249,420.0,-2.0815623,0.94374996,-29.724998,2100.0,0.58625
4.090665,0.3393892,0.8487367,0.1079731,0.20540631,0.1090795,-9.881249,430.0,-1.6120741,0.95,-30.50125,2150.0,0.5375
4.085023,0.3386805,0.8488221,0.10795715,0.20539865,0.109079406,-9.84375,440.0,-1.6067314,0.96875,-30.907501,2200.0,0.525
