#{"t_start": 1583163494.8097785, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.241338
,-50.0,50,7.067306
,-50.0,50,8.702108
,-50.0,50,10.286651
,-50.0,50,11.876064
,-50.0,50,13.501779
,-50.0,50,15.092831
,-50.0,50,16.689709
,-50.0,50,18.299493
,-50.0,50,19.889543
,-50.0,50,21.495252
,-50.0,50,23.06795
,-50.0,50,24.674231
,-50.0,50,26.256569
,-50.0,50,27.873492
,-50.0,50,29.465542
,-50.0,50,31.045812
,-50.0,50,32.631141
,-50.0,50,34.234708
,-50.0,50,35.837553
,-50.0,50,37.48121
,-50.0,50,39.083942
,-50.0,50,40.664892
,-50.0,50,42.282713
,-50.0,50,43.84171
,-50.0,50,45.464952
,-50.0,50,47.088914
,-50.0,50,48.648654
,-50.0,50,50.278346
,-50.0,50,51.896001
,-50.0,50,53.480906
,-50.0,50,55.071282
,-50.0,50,56.675568
,-50.0,50,58.270456
,-50.0,50,59.889855
,-50.0,50,61.495713
,-50.0,50,63.061129
,-50.0,50,64.689226
,-50.0,50,66.307147
,-50.0,50,67.884376
,-50.0,50,69.46636
,-50.0,50,71.096814
,-50.0,50,72.692455
,0.0,50,74.276905
,-50.0,50,75.893419
,-50.0,50,77.475468
,-50.0,50,79.113949
,-50.0,50,80.671224
,-50.0,50,82.305211
,-50.0,50,83.918223
,-50.0,50,85.547758
,-50.0,50,85.817592
,-50.0,50,86.078787
,-50.0,50,86.35526
,-50.0,50,86.603499
,-50.0,50,86.860446
,-50.0,50,87.129643
,0.0,50,87.3922
,-50.0,50,87.663853
,-50.0,50,87.913556
,-50.0,50,88.284644
,-50.0,50,89.917794
,-50.0,50,91.520417
,-50.0,50,93.114262
,-50.0,50,94.740054
,-50.0,50,96.339649
,-50.0,50,97.959844
,-50.0,50,99.590902
,-50.0,50,101.202828
,-50.0,50,102.837792
,-50.0,50,104.430144
,-50.0,50,106.044534
,-50.0,50,107.641417
,-50.0,50,109.290751
,-50.0,50,110.89633
,-50.0,50,112.510553
,-50.0,50,114.118456
,-50.0,50,115.716168
,-50.0,50,117.332673
,-50.0,50,118.961935
,-50.0,50,120.556778
,-50.0,50,122.189752
,-50.0,50,123.792664
,-50.0,50,125.382744
,-50.0,50,127.048267
,-50.0,50,128.642356
,-50.0,50,130.240453
,-50.0,50,131.85235
,-50.0,50,133.448289
,-50.0,50,135.079928
,-50.0,50,136.681206
,-50.0,50,138.303514
,-50.0,50,139.891648
,-50.0,50,141.536926
,-50.0,50,143.11366
,-50.0,50,144.743714
,-50.0,50,146.342532
,0.0,50,147.96376
,-50.0,50,149.578915
,-50.0,50,151.18178
,-50.0,50,152.769905
,-50.0,50,154.388225
,-50.0,50,156.041916
,-50.0,50,157.640117
,-50.0,50,159.27898
,-50.0,50,160.860075
,-50.0,50,162.479563
,-50.0,50,164.074162
,-50.0,50,165.68082
,-50.0,50,167.304036
,-50.0,50,168.960538
,-50.0,50,169.224007
,-50.0,50,169.481218
,-50.0,50,169.732223
,-50.0,50,169.99656
,-50.0,50,170.2645
,-50.0,50,170.533866
,-50.0,50,170.837489
,-50.0,50,171.089417
,-50.0,50,171.346332
,-50.0,50,171.657408
,-50.0,50,173.312369
,-50.0,50,174.925289
,-50.0,50,176.524242
,-50.0,50,178.118116
,-50.0,50,179.767069
,0.0,50,181.364389
,-50.0,50,182.993429
,-50.0,50,184.606523
,-50.0,50,186.220319
,-50.0,50,187.823873
,-50.0,50,189.455199
,-50.0,50,191.095024
,-50.0,50,192.6791
,-50.0,50,194.316669
,-50.0,50,195.940453
,-50.0,50,197.562808
,-50.0,50,199.165072
,0.0,50,200.803139
,-50.0,50,202.430905
,-50.0,50,204.039171
,-50.0,50,205.656349
,-50.0,50,207.268309
,-50.0,50,208.903402
,-50.0,50,210.532942
,-50.0,50,212.110262
,-50.0,50,213.730758
,-50.0,50,215.366174
,-50.0,50,216.985902
,-50.0,50,218.57996
,-50.0,50,220.186487
,-50.0,50,221.820205
,0.0,50,223.456076
,-50.0,50,225.061801
,-50.0,50,226.661827
,-50.0,50,228.31231
,-50.0,50,229.949953
,-50.0,50,231.574398
,-50.0,50,233.179502
,-50.0,50,234.823736
,-50.0,50,236.419513
,-50.0,50,238.038477
,-50.0,50,239.648086
,-50.0,50,241.241405
,-50.0,50,242.876136
,-50.0,50,244.489663
,-50.0,50,246.104596
,-50.0,50,247.751112
,-50.0,50,249.347226
,-50.0,50,250.932409
,-50.0,50,252.619206
,-50.0,50,252.913743
,-50.0,50,253.180052
,-50.0,50,253.456409
,-50.0,50,253.70565
,-50.0,50,254.005621
,-50.0,50,254.287485
,-50.0,50,254.550326
,-50.0,50,254.839714
,-50.0,50,255.113696
,-50.0,50,255.35854
,-50.0,50,256.993173
,-50.0,50,258.658861
,-50.0,50,260.266606
,-50.0,50,261.871127
,-50.0,50,263.493079
,-50.0,50,265.08959
,-50.0,50,266.737314
,-50.0,50,268.348853
,-50.0,50,269.979628
,-50.0,50,271.607573
,-50.0,50,273.2034
,-50.0,50,274.856021
,-50.0,50,276.503494
,-50.0,50,278.105
,-50.0,50,279.72331
,-50.0,50,281.330177
,0.0,50,282.981648
,-50.0,50,284.613128
,-50.0,50,286.254674
,-50.0,50,287.844615
,-50.0,50,289.510231
,0.0,50,291.111053
,-50.0,50,292.72009
,-50.0,50,294.375292
,-50.0,50,295.992744
,-50.0,50,297.622773
,-50.0,50,299.234712
,-50.0,50,300.883152
,-50.0,50,302.532022
,-50.0,50,304.129388
,-50.0,50,305.786026
,-50.0,50,307.437372
,-50.0,50,309.051477
,-50.0,50,310.679965
,-50.0,50,312.312083
,-50.0,50,313.959862
,-50.0,50,315.627511
,-50.0,50,317.27652
,-50.0,50,318.891275
,-50.0,50,320.578235
,-50.0,50,322.199486
,-50.0,50,323.822553
,-50.0,50,325.472291
,-50.0,50,327.115601
,-50.0,50,328.74636
,-50.0,50,330.386083
,-50.0,50,332.024696
,-50.0,50,333.675433
,-50.0,50,335.355003
,0.0,50,336.977988
,-50.0,50,337.23138
,-50.0,50,337.473075
,-50.0,50,337.743164
,-50.0,50,338.006715
,-50.0,50,338.27827
,-50.0,50,338.538069
,-50.0,50,338.790656
,-50.0,50,339.063668
,-50.0,50,339.358096
,-50.0,50,339.804036
,-50.0,50,341.453312
,-50.0,50,343.082489
,-50.0,50,344.717024
,-50.0,50,346.37753
