actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4597335,0.0069547445,0.84428626,0.09576305,0.20370163,0.05562729,-47.8125,10.0,-3.054502,0.0437500006519258,-48.2975,50.0,0.03499999945051968
1.6766832,0.0046420153,0.8437774,0.093972616,0.20358373,0.05385966,-49.0625,20.0,-5.0372276,0.018750000279396772,-47.666252,100.0,0.0462499987334013
1.8801451,0.004232606,0.8441191,0.09390379,0.20378271,0.053961635,-49.15,30.0,-6.796274,0.012500000186264515,-47.707497,150.0,0.04624999896623194
2.0803466,0.0043451274,0.844604,0.094636865,0.20390129,0.05526175,-47.83125,40.0,-8.658103,0.04375000111758709,-48.255,200.0,0.03499999828636646
2.2757165,0.0051683835,0.84441453,0.09526495,0.20375638,0.05721673,-46.875,50.0,-9.939529,0.06250000093132257,-48.2925,250.0,0.029999999096617103
2.4657822,0.006592614,0.84464055,0.096554875,0.20371504,0.06034781,-47.08125,60.0,-11.12557,0.06250000093132257,-47.97125,300.0,0.04249999928288162
2.6480227,0.009041779,0.84466934,0.09693835,0.20374447,0.06465717,-46.11875,70.0,-11.912201,0.10625000204890966,-46.5025,350.0,0.07624999759718776
2.816411,0.013194688,0.8447132,0.09741932,0.20391525,0.06906771,-44.68125,80.0,-12.5155525,0.1375000011175871,-45.93375,400.0,0.09624999901279807
2.9700046,0.020291582,0.8447423,0.098919384,0.20391798,0.075223945,-41.58125,90.0,-11.978024,0.22500001,-44.963753,450.0,0.125
3.1071534,0.029748881,0.8444927,0.10006531,0.20401663,0.08100516,-38.431248,100.0,-11.2559395,0.3062499985098839,-43.07875,500.0,0.1925
3.2264707,0.04081949,0.844322,0.102052934,0.20412853,0.085908554,-32.2875,110.0,-10.646051,0.4812499862164259,-41.32875,550.0,0.24125
3.3309994,0.05257065,0.84437245,0.10282636,0.20399025,0.0897932,-31.5625,120.0,-10.414067,0.46875,-40.23375,600.0,0.2825
3.4233704,0.06395464,0.8445301,0.10314801,0.20414044,0.09291029,-30.49375,130.0,-10.47007,0.5,-39.07125,650.0,0.3175
3.505581,0.07444344,0.84451866,0.10421512,0.20424017,0.096128576,-27.20625,140.0,-9.002623,0.59375,-37.197502,700.0,0.35875
3.575951,0.083905414,0.8444378,0.1051312,0.2044103,0.098101236,-27.64375,150.0,-10.351213,0.5625,-35.33,750.0,0.4225
3.636176,0.09224268,0.8446496,0.10558457,0.20467716,0.09967838,-26.25625,160.0,-9.900118,0.6,-33.95375,800.0,0.43
3.6867945,0.099119686,0.8447757,0.105911314,0.20465495,0.100884244,-23.7625,170.0,-9.369896,0.65,-34.06375,850.0,0.44375
3.729084,0.10475148,0.84495544,0.105974615,0.20458941,0.10159423,-24.912498,180.0,-10.339638,0.6375,-31.89375,900.0,0.49375
3.7662873,0.10969907,0.84542435,0.10630041,0.20462579,0.10216767,-20.4875,190.0,-8.66648,0.73125,-33.728752,950.0,0.43125
3.7998009,0.11413571,0.84559065,0.106650166,0.20462099,0.10326481,-18.125,200.0,-8.485416,0.79375005,-31.936249,1000.0,0.49124998
3.8305788,0.11829681,0.84580463,0.10693562,0.20470734,0.1039953,-18.075,210.0,-8.568202,0.8125,-31.571249,1050.0,0.495
3.8591971,0.12231432,0.84605616,0.106974356,0.20490356,0.10453879,-14.268749,220.0,-6.6397424,0.86875,-30.28125,1100.0,0.53499997
3.883783,0.12621361,0.846309,0.10716758,0.20498426,0.10517562,-15.887501,230.0,-7.0897107,0.8375,-30.3675,1150.0,0.54875
3.9042945,0.1296649,0.8464977,0.10711843,0.20511837,0.10561977,-14.65625,240.0,-6.722545,0.84375,-29.314999,1200.0,0.58000004
3.9203873,0.13289902,0.84660083,0.106993414,0.20515625,0.10573475,-15.3,250.0,-6.2225933,0.825,-28.9325,1250.0,0.575
3.9327717,0.13567334,0.84663945,0.10685977,0.20514998,0.10591026,-16.13125,260.0,-6.9268494,0.8125,-29.76625,1300.0,0.56125
3.9413776,0.1381845,0.84670186,0.10680453,0.20519201,0.106019914,-14.95625,270.0,-5.461961,0.8375,-29.34125,1350.0,0.5725
3.9464808,0.14031431,0.8469026,0.10687391,0.20527872,0.10616743,-13.76875,280.0,-4.7318974,0.8625,-30.58375,1400.0,0.53625
3.9479134,0.14212555,0.8470321,0.10683558,0.20531783,0.106278285,-14.0875,290.0,-4.942754,0.85625,-28.509998,1450.0,0.5825
3.9466481,0.14366099,0.84717137,0.1068944,0.2052986,0.10644864,-12.60625,300.0,-4.653298,0.9,-29.5,1500.0,0.56750005
3.9426603,0.14496693,0.8470587,0.10705488,0.20525503,0.10668209,-11.912499,310.0,-3.6500497,0.9125,-29.0125,1550.0,0.58500004
3.9366136,0.14625311,0.8471233,0.107126504,0.205253,0.106810465,-10.6875,320.0,-3.2694964,0.95,-29.385,1600.0,0.56375
3.9289598,0.14755186,0.8472038,0.10734084,0.20527445,0.1069858,-11.94375,330.0,-3.3208718,0.91875,-29.745,1650.0,0.5475
3.9197748,0.14873022,0.84728867,0.10742015,0.20531224,0.10708757,-11.0375,340.0,-2.7490838,0.92499995,-30.001251,1700.0,0.53125
3.909187,0.14981027,0.8473093,0.10742558,0.20532677,0.10729295,-12.35625,350.0,-3.246837,0.89374995,-29.3125,1750.0,0.5825
3.897758,0.15079403,0.8473671,0.10737363,0.20532644,0.107332446,-11.556251,360.0,-2.4337714,0.90625,-29.438751,1800.0,0.5825
3.8857427,0.15176927,0.8474397,0.107327305,0.20534125,0.10758039,-12.2125,370.0,-2.4267242,0.88125,-29.91875,1850.0,0.57500005
3.87321,0.15255985,0.8474582,0.10746667,0.20536932,0.10775222,-10.35625,380.0,-2.0366545,0.95,-30.22375,1900.0,0.54375
3.8601933,0.15325007,0.8475017,0.10753835,0.20536132,0.107957184,-12.106251,390.0,-2.2403524,0.88750005,-30.765,1950.0,0.52625
3.846931,0.15389442,0.847636,0.10753276,0.20540178,0.10811626,-10.6625,400.0,-1.8325669,0.95,-29.68125,2000.0,0.55125
