#{"t_start": 1583177204.1295822, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.924895
,-50.0,50,6.819316
,-50.0,50,8.399101
,-50.0,50,10.005738
,-50.0,50,11.684184
,-50.0,50,13.260028
,-50.0,50,14.906746
,-50.0,50,16.495474
,-50.0,50,18.129306
,-50.0,50,19.698641
,-50.0,50,21.321351
,-50.0,50,22.958971
,-50.0,50,24.552231
,-50.0,50,26.174787
,0.0,50,27.789922
,-50.0,50,29.382908
,-50.0,50,31.015388
,-50.0,50,32.585076
,-50.0,50,34.234007
,-50.0,50,35.827727
,-50.0,50,37.449282
,-50.0,50,39.055515
,-50.0,50,40.635177
,-50.0,50,42.296302
,-50.0,50,43.905346
,-50.0,50,45.504782
,-50.0,50,47.085836
,-50.0,50,48.712006
,-50.0,50,50.343199
,-50.0,50,51.939352
,-50.0,50,53.54991
,-50.0,50,55.13058
,-50.0,50,56.737495
,-50.0,50,58.362169
,-50.0,50,59.962814
,-50.0,50,61.569819
,-50.0,50,63.153605
,-50.0,50,64.763406
,-50.0,50,66.38206
,-50.0,50,67.95217
,-50.0,50,69.588494
,-50.0,50,71.192024
,-50.0,50,72.771585
,-50.0,50,74.389672
,-50.0,50,75.994986
,-50.0,50,77.585315
,-50.0,50,79.197896
,-50.0,50,80.817979
,-50.0,50,82.400445
,-50.0,50,84.004255
,-50.0,50,85.626754
,-50.0,50,85.910925
,-50.0,50,86.167529
,-50.0,50,86.438715
,-50.0,50,86.705106
,-50.0,50,86.975029
,-50.0,50,87.226398
,-50.0,50,87.485927
,-50.0,50,87.73678
,-50.0,50,88.000942
,-50.0,50,88.4033
,-50.0,50,90.019807
,-50.0,50,91.623269
,-50.0,50,93.258353
,-50.0,50,94.8513
,0.0,50,96.430533
,-50.0,50,98.097704
,-50.0,50,99.696778
,-50.0,50,101.287256
,-50.0,50,102.910412
,-50.0,50,104.516485
,-50.0,50,106.136921
,-50.0,50,107.741196
,-50.0,50,109.372486
,-50.0,50,110.961589
,0.0,50,112.568553
,-50.0,50,114.186151
,-50.0,50,115.807373
,-50.0,50,117.420943
,-50.0,50,119.033575
,-50.0,50,120.603581
,-50.0,50,122.22317
,-50.0,50,123.84789
,-50.0,50,125.462109
,0.0,50,127.093765
,-50.0,50,128.6978
,-50.0,50,130.277824
,-50.0,50,131.90472
,-50.0,50,133.507199
,-50.0,50,135.14386
,0.0,50,136.77089
,-50.0,50,138.388853
,-50.0,50,139.969412
,-50.0,50,141.597516
,-50.0,50,143.20528
,-50.0,50,144.866613
,-50.0,50,146.498
,-50.0,50,148.101463
,-50.0,50,149.700791
,-50.0,50,151.3138
,-50.0,50,152.930282
,-50.0,50,154.532053
,-50.0,50,156.134317
,-50.0,50,157.764054
,-50.0,50,159.393879
,-50.0,50,160.980317
,-50.0,50,162.631949
,-50.0,50,164.214978
,-50.0,50,165.830932
,-50.0,50,167.453541
,-50.0,50,169.072633
,-50.0,50,169.331022
,-50.0,50,169.611995
,-50.0,50,169.857968
,-50.0,50,170.09851
,-50.0,50,170.356753
,-50.0,50,170.629761
,-50.0,50,170.88843
,-50.0,50,171.133645
,-50.0,50,171.428854
,-50.0,50,171.808038
,-50.0,50,173.379991
,-50.0,50,175.035521
,-50.0,50,176.669102
,-50.0,50,178.26317
,-50.0,50,179.854365
,-50.0,50,181.511723
,-50.0,50,183.094575
,0.0,50,184.693936
,-50.0,50,186.355444
,-50.0,50,187.955082
,0.0,50,189.552061
,-50.0,50,191.190536
,-50.0,50,192.806622
,-50.0,50,194.42977
,-50.0,50,196.030382
,-50.0,50,197.664002
,-50.0,50,199.286629
,-50.0,50,200.901006
,-50.0,50,202.502885
,-50.0,50,204.12581
,-50.0,50,205.75246
,-50.0,50,207.390634
,-50.0,50,209.006459
,-50.0,50,210.617588
,-50.0,50,212.245399
,-50.0,50,213.859751
,-50.0,50,215.459935
,-50.0,50,217.057464
,-50.0,50,218.664692
,-50.0,50,220.314
,-50.0,50,221.946707
,-50.0,50,223.577777
,-50.0,50,225.210209
,-50.0,50,226.855863
,-50.0,50,228.439263
,-50.0,50,230.060863
,-50.0,50,231.661524
,-50.0,50,233.319291
,-50.0,50,234.922064
,-50.0,50,236.584219
,-50.0,50,238.190532
,-50.0,50,239.800776
,-50.0,50,241.451584
,-50.0,50,243.073557
,-50.0,50,244.678563
,-50.0,50,246.281933
,-50.0,50,247.893732
,-50.0,50,249.557428
,-50.0,50,251.157167
,-50.0,50,252.784045
,-50.0,50,253.062917
,-50.0,50,253.326871
,-50.0,50,253.595146
,-50.0,50,253.867301
,-50.0,50,254.119263
,-50.0,50,254.367027
,-50.0,50,254.625529
,-50.0,50,254.88821
,-50.0,50,255.139156
,-50.0,50,255.505307
,-50.0,50,257.142663
,-50.0,50,258.788555
,-50.0,50,260.404987
,-50.0,50,262.033133
,-50.0,50,263.675577
,-50.0,50,265.273682
,-50.0,50,266.944186
,-50.0,50,268.577679
,-50.0,50,270.194533
,-50.0,50,271.831403
,-50.0,50,273.41661
,0.0,50,275.036696
,-50.0,50,276.663289
,-50.0,50,278.286947
,-50.0,50,279.920411
,-50.0,50,281.561635
,-50.0,50,283.159677
,-50.0,50,284.791103
,-50.0,50,286.424142
,-50.0,50,288.037562
,-50.0,50,289.654647
,-50.0,50,291.276147
,0.0,50,292.914118
,-50.0,50,294.532714
,-50.0,50,296.171971
,-50.0,50,297.768504
,-50.0,50,299.39091
,-50.0,50,300.996638
,-50.0,50,302.644485
,-50.0,50,304.265771
,-50.0,50,305.883909
,-50.0,50,307.460554
,-50.0,50,309.133556
,-50.0,50,310.779298
,-50.0,50,312.398226
,-50.0,50,313.99711
,-50.0,50,315.617322
,-50.0,50,317.236124
,-50.0,50,318.890497
,-50.0,50,320.493933
,-50.0,50,322.159283
,-50.0,50,323.786308
,-50.0,50,325.416317
,-50.0,50,327.023991
,-50.0,50,328.642103
,-50.0,50,330.296253
,-50.0,50,331.897081
,-50.0,50,333.505618
,0.0,50,335.143929
,-50.0,50,336.805987
,-50.0,50,337.107313
,-50.0,50,337.411059
,-50.0,50,337.673321
,-50.0,50,337.938361
,-50.0,50,338.235743
,-50.0,50,338.513232
,-50.0,50,338.770234
,-50.0,50,339.033801
,-50.0,50,339.30711
,-50.0,50,339.578453
,-50.0,50,341.178833
,-50.0,50,342.843032
,-50.0,50,344.474751
,-50.0,50,346.108132
,-50.0,50,347.727945
,-50.0,50,349.384544
,-50.0,50,350.994159
,-50.0,50,352.605803
,-50.0,50,354.238066
,-50.0,50,355.826175
,-50.0,50,357.487303
,-50.0,50,359.105953
,-50.0,50,360.737303
,-50.0,50,362.367752
,-50.0,50,363.976965
,-50.0,50,365.634044
,-50.0,50,367.257244
,-50.0,50,368.913926
,-50.0,50,370.534076
,-50.0,50,372.111177
,-50.0,50,373.768382
,0.0,50,375.422047
,-50.0,50,377.038338
,-50.0,50,378.661813
,-50.0,50,380.248511
,-50.0,50,381.901367
,-50.0,50,383.574779
,-50.0,50,385.183028
,-50.0,50,386.81621
,-50.0,50,388.430453
,-50.0,50,390.075969
,-50.0,50,391.681408
,-50.0,50,393.298841
,-50.0,50,394.908893
,-50.0,50,396.553003
,-50.0,50,398.201914
,-50.0,50,399.819811
,-50.0,50,401.47645
,-50.0,50,403.137174
,-50.0,50,404.764556
,0.0,50,406.40784
,-50.0,50,408.022697
,-50.0,50,409.636708
,-50.0,50,411.29148
,-50.0,50,412.931593
,-50.0,50,414.557631
,-50.0,50,416.192903
,-50.0,50,417.821849
,-50.0,50,419.47813
,-50.0,50,421.121776
,-50.0,50,421.382843
,-50.0,50,421.646394
,-50.0,50,421.944391
,-50.0,50,422.196714
,-50.0,50,422.454014
,-50.0,50,422.701033
,-50.0,50,422.96276
,0.0,50,423.231768
,-50.0,50,423.501109
,-50.0,50,423.856906
,-50.0,50,425.474587
,-50.0,50,427.122209
,-50.0,50,428.747889
,-50.0,50,430.380277
,-50.0,50,431.996017
,-50.0,50,433.683783
,-50.0,50,435.336408
,-50.0,50,437.004772
,-50.0,50,438.616409
,-50.0,50,440.250083
,-50.0,50,441.867454
,-50.0,50,443.499418
,-50.0,50,445.149582
,-50.0,50,446.754793
,-50.0,50,448.394512
,-50.0,50,450.0502
,-50.0,50,451.675591
,-50.0,50,453.351341
,-50.0,50,454.96549
,-50.0,50,456.603815
,-50.0,50,458.22356
,-50.0,50,459.8593
,-50.0,50,461.502872
,-50.0,50,463.12577
,-50.0,50,464.764298
,-50.0,50,466.406649
,-50.0,50,468.037254
,-50.0,50,469.665956
,-50.0,50,471.297768
,-50.0,50,472.955515
,-50.0,50,474.595537
,-50.0,50,476.231978
,-50.0,50,477.855217
,-50.0,50,479.550695
,-50.0,50,481.168515
,-50.0,50,482.7866
,-50.0,50,484.417555
,-50.0,50,486.041759
,-50.0,50,487.677028
,-50.0,50,489.298096
,-50.0,50,490.950139
,-50.0,50,492.561511
,-50.0,50,494.235161
,-46.0,50,495.838152
,-50.0,50,497.471205
,0.0,50,499.127794
,-50.0,50,500.781394
,-50.0,50,502.468856
,-50.0,50,504.090037
,-50.0,50,505.735642
,-50.0,50,506.007475
,-50.0,50,506.298477
,-50.0,50,506.546047
,-50.0,50,506.810013
,-50.0,50,507.066438
,-50.0,50,507.347792
,-50.0,50,507.630345
,-50.0,50,507.891554
,-50.0,50,508.143902
,-50.0,50,508.490958
,-50.0,50,510.097126
,-50.0,50,511.763506
,-50.0,50,513.380074
,-50.0,50,515.013832
,-50.0,50,516.659823
,-50.0,50,518.328983
,-50.0,50,519.982149
,-50.0,50,521.648716
,-50.0,50,523.278188
,-50.0,50,524.89459
,0.0,50,526.558782
,-50.0,50,528.200507
,-50.0,50,529.864274
,-50.0,50,531.51298
,-50.0,50,533.163815
,-50.0,50,534.807419
,-50.0,50,536.470616
,-50.0,50,538.110101
,-50.0,50,539.738338
,-50.0,50,541.397098
,-50.0,50,543.050642
,-50.0,50,544.691271
,-50.0,50,546.31289
,-50.0,50,547.953515
,-50.0,50,549.596808
,-50.0,50,551.220794
,0.0,50,552.860559
,-50.0,50,554.522202
,-48.0,50,556.146106
,-50.0,50,557.791762
,-50.0,50,559.433172
,-50.0,50,561.08354
,-50.0,50,562.706136
,-50.0,50,564.368237
,-50.0,50,566.009451
,-50.0,50,567.719201
,-50.0,50,569.318192
,0.0,50,570.974673
,0.0,50,572.583897
,-50.0,50,574.229475
,-50.0,50,575.880788
,-50.0,50,577.533018
,-50.0,50,579.140381
,-50.0,50,580.799331
,-50.0,50,582.451545
,-50.0,50,584.126006
,-50.0,50,585.754592
,-50.0,50,587.39729
,-50.0,50,589.009577
,-50.0,50,590.690618
,-50.0,50,590.963965
,-50.0,50,591.22664
,-50.0,50,591.518834
,-50.0,50,591.777246
,-50.0,50,592.04491
,-50.0,50,592.310156
,-50.0,50,592.569181
,-50.0,50,592.837426
,-50.0,50,593.103203
,-50.0,50,593.452542
,-50.0,50,595.091376
,-50.0,50,596.75843
,-50.0,50,598.363126
,-50.0,50,600.019258
,-50.0,50,601.651371
,-50.0,50,603.304375
,-50.0,50,604.931432
,-50.0,50,606.63176
,-50.0,50,608.263734
,-50.0,50,609.902669
,-50.0,50,611.548437
,-50.0,50,613.170035
,-50.0,50,614.812042
,-50.0,50,616.431082
,-50.0,50,618.099927
,-50.0,50,619.794189
,-50.0,50,621.441446
,-50.0,50,623.06461
,-50.0,50,624.698846
,-50.0,50,626.345382
,-50.0,50,628.01233
,-50.0,50,629.610274
,0.0,50,631.340015
,0.0,50,632.942132
,-50.0,50,634.603514
,-50.0,50,636.255939
,-5.0,50,637.860649
,-50.0,50,639.533187
,-50.0,50,641.168213
,-50.0,50,642.821945
,-10.0,50,644.467341
,-50.0,50,646.113048
,-50.0,50,647.734897
,-50.0,50,649.377682
,-50.0,50,651.04895
,-50.0,50,652.698611
,-49.0,50,654.362451
,-50.0,50,655.998654
,-50.0,50,657.668866
,-50.0,50,659.299214
,-50.0,50,660.937269
,-48.0,50,662.575266
,0.0,50,664.255531
,-50.0,50,665.891803
,-50.0,50,667.529548
,-50.0,50,669.202624
,-50.0,50,670.831163
,-50.0,50,672.525241
,-46.0,50,674.138499
,-50.0,50,675.833927
,-50.0,50,676.098083
,-50.0,50,676.36476
,0.0,50,676.605525
,-50.0,50,676.879268
,-50.0,50,677.142662
,-50.0,50,677.411798
,-50.0,50,677.673075
,-50.0,50,677.926066
,-50.0,50,678.186277
,-50.0,50,678.667984
,-50.0,50,680.370415
,-50.0,50,682.043803
,-50.0,50,683.658548
,-50.0,50,685.34124
,-50.0,50,686.954523
,-50.0,50,688.656841
,-50.0,50,690.324375
,-50.0,50,691.966824
,-50.0,50,693.585304
,-50.0,50,695.250058
,-50.0,50,696.880594
,-50.0,50,698.519989
,-50.0,50,700.2007
,-50.0,50,701.86568
,-50.0,50,703.500588
,-50.0,50,705.194099
,-50.0,50,706.839383
,-50.0,50,708.490556
,-50.0,50,710.13994
,-50.0,50,711.764642
,-50.0,50,713.42976
,-50.0,50,715.069335
,-50.0,50,716.730395
,-50.0,50,718.353679
,-12.0,50,720.018522
,-40.0,50,721.678038
,-50.0,50,723.284429
,-50.0,50,724.956073
,-50.0,50,726.611128
,-50.0,50,728.203264
,-50.0,50,729.882033
,-50.0,50,731.550759
,-50.0,50,733.170063
,-50.0,50,734.848537
,-50.0,50,736.497209
,-50.0,50,738.134097
,-50.0,50,739.767371
,-50.0,50,741.412033
,-50.0,50,743.056508
,-50.0,50,744.731333
,-50.0,50,746.361617
,-50.0,50,748.028438
,-50.0,50,749.672571
,-50.0,50,751.363638
,-50.0,50,752.994706
,-50.0,50,754.653424
,-50.0,50,756.327854
,-26.0,50,757.968578
,-50.0,50,759.613055
,-50.0,50,761.323279
,-50.0,50,761.571754
,-50.0,50,761.830755
,-50.0,50,762.102127
,-50.0,50,762.375078
,-50.0,50,762.640986
,-50.0,50,762.925924
,-50.0,50,763.193834
,-9.0,50,763.474144
,-50.0,50,763.734059
,-50.0,50,764.065091
,-50.0,50,765.718644
,-50.0,50,767.3491
,-50.0,50,769.016845
,-50.0,50,770.679896
,-49.0,50,772.32951
,-50.0,50,773.93827
,-50.0,50,775.600969
,-50.0,50,777.234874
,-50.0,50,778.863584
,-15.0,50,780.549343
,-48.0,50,782.227737
,-50.0,50,783.859493
,-50.0,50,785.511378
,-8.0,50,787.132017
,-50.0,50,788.772832
,-19.0,50,790.467548
,-50.0,50,792.078525
,-50.0,50,793.747385
,-50.0,50,795.414289
,-50.0,50,797.04734
,-50.0,50,798.736438
,-50.0,50,800.364713
,-50.0,50,802.013165
,-50.0,50,803.665254
,-50.0,50,805.295256
,-12.0,50,806.884179
,-50.0,50,808.572069
,-21.0,50,810.239807
,-50.0,50,811.932477
,-50.0,50,813.547992
,-50.0,50,815.211016
,-42.0,50,816.892669
,0.0,50,818.513886
,-50.0,50,820.159353
,-50.0,50,821.815518
,-50.0,50,823.498522
,-50.0,50,825.142016
,-42.0,50,826.794804
,-50.0,50,828.451075
,-50.0,50,830.091645
,-50.0,50,831.78074
,-50.0,50,833.420259
,-50.0,50,835.040726
,-50.0,50,836.697388
