actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5013376,0.006334326,0.84657794,0.09409829,0.2046697,0.050900057,-48.2875,10.0,-2.8570836,0.037500000558793545,-48.1925,50.0,0.03499999945051968
1.7183737,0.004407457,0.8464556,0.09493781,0.20428213,0.051220655,-48.75,20.0,-4.7325993,0.02500000037252903,-48.02,100.0,0.03874999866820872
1.9222586,0.0042346637,0.84474057,0.09504038,0.20392303,0.0519733,-49.375,30.0,-6.8296003,0.012500000186264515,-48.521248,150.0,0.0274999993853271
2.127535,0.0049702404,0.8449466,0.095751405,0.20383766,0.05407357,-45.887497,40.0,-7.7602777,0.08125000214204192,-47.5225,200.0,0.049999997
2.331482,0.0069500934,0.8440097,0.097102225,0.20391683,0.061477836,-47.6,50.0,-9.795278,0.05000000074505806,-47.1425,250.0,0.057499999180436134
2.529906,0.011011504,0.84381866,0.09880695,0.20371647,0.06649247,-46.43125,60.0,-10.847238,0.0875000013038516,-46.71,300.0,0.06624999921768904
2.7154865,0.01797555,0.8439488,0.100572586,0.20377505,0.072528504,-42.893753,70.0,-10.45348,0.1750000030733645,-45.893753,350.0,0.10625
2.891822,0.029469272,0.8439078,0.1026161,0.20355093,0.078034855,-39.975,80.0,-10.705644,0.26250002,-44.6575,400.0,0.1325
3.0465374,0.04552887,0.84388065,0.10423034,0.20376138,0.084673926,-33.84375,90.0,-9.690476,0.40000004,-42.81,450.0,0.19375
3.1740499,0.06305631,0.8438304,0.104983926,0.20387425,0.08972496,-34.71875,100.0,-9.627022,0.375,-41.375,500.0,0.24625
3.2800288,0.07923797,0.84374434,0.10593621,0.20387602,0.09251918,-32.7875,110.0,-10.511273,0.44374996,-39.495,550.0,0.2975
3.3697312,0.09442206,0.8438832,0.10642761,0.20392144,0.095248595,-28.9875,120.0,-9.791061,0.55,-37.4375,600.0,0.34875
3.4463077,0.10847111,0.8439838,0.10729301,0.20399521,0.09768757,-24.58125,130.0,-8.2849865,0.63750005,-36.31,650.0,0.375
3.5128121,0.121038124,0.8440466,0.10731576,0.20395598,0.09891577,-24.112501,140.0,-9.19862,0.63750005,-36.153748,700.0,0.38625
3.569464,0.13153625,0.8439064,0.10753109,0.20403486,0.10029828,-21.268751,150.0,-8.460052,0.70000005,-33.612503,750.0,0.44125
3.6165473,0.13995944,0.8441243,0.10794286,0.20409673,0.101301976,-18.318748,160.0,-7.8478584,0.78125,-32.73875,800.0,0.46625
3.6562088,0.14712478,0.844328,0.10851722,0.20415874,0.102502696,-17.08125,170.0,-7.0399513,0.79375,-31.39875,850.0,0.5075
