#{"t_start": 1583227541.2839675, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.511092
,-50.0,50,7.397567
,-50.0,50,8.988104
,-50.0,50,10.589556
,-50.0,50,12.189344
,-50.0,50,13.783023
,-50.0,50,15.395604
,-50.0,50,16.986658
,-50.0,50,18.623228
,-50.0,50,20.186377
,-50.0,50,21.832734
,-50.0,50,23.415751
,-50.0,50,25.029626
,-50.0,50,26.605637
,-50.0,50,28.189276
,-50.0,50,29.803205
,-50.0,50,31.376067
,-50.0,50,32.967349
,-50.0,50,34.578297
,-50.0,50,36.168804
,-50.0,50,37.782666
,-50.0,50,39.390003
,-50.0,50,40.989999
,0.0,50,42.58128
,-50.0,50,44.173213
,-50.0,50,45.770589
,-50.0,50,47.400599
,-50.0,50,48.981458
,-50.0,50,50.598415
,-50.0,50,52.206316
,-50.0,50,53.771758
,-50.0,50,55.397626
,-50.0,50,56.994585
,-50.0,50,58.600961
,-50.0,50,60.195296
,-50.0,50,61.797019
,0.0,50,63.396015
,-50.0,50,64.993134
,-50.0,50,66.600695
,-50.0,50,68.187756
,-50.0,50,69.774181
,-50.0,50,71.37354
,-50.0,50,72.989222
,-50.0,50,74.568133
,-50.0,50,76.183357
,-50.0,50,77.778379
,-50.0,50,79.383136
,-50.0,50,80.976875
,-50.0,50,82.571976
,-50.0,50,84.173182
,-50.0,50,85.840918
,-50.0,50,86.101619
,-50.0,50,86.346908
,-50.0,50,86.603187
,-50.0,50,86.864294
,-50.0,50,87.116045
,-50.0,50,87.392742
,-50.0,50,87.670362
,-50.0,50,87.933726
,-50.0,50,88.198633
,-50.0,50,88.570693
,-50.0,50,90.184203
,-50.0,50,91.784763
,-50.0,50,93.417062
,-50.0,50,95.034747
,-50.0,50,96.614483
,-50.0,50,98.236508
,-50.0,50,99.838607
,-50.0,50,101.438409
,-50.0,50,103.038564
,-50.0,50,104.649843
,-50.0,50,106.291169
,-50.0,50,107.91905
,-50.0,50,109.511633
,-50.0,50,111.120989
,-50.0,50,112.711295
,-50.0,50,114.318687
,-50.0,50,115.939469
,-50.0,50,117.562762
,-50.0,50,119.165963
,-50.0,50,120.771087
,-50.0,50,122.374888
,-50.0,50,124.010619
,-50.0,50,125.623248
,0.0,50,127.286101
,-50.0,50,128.860114
,-50.0,50,130.497494
,-50.0,50,132.090115
,-50.0,50,133.750546
,-50.0,50,135.345937
,-50.0,50,136.944423
,-50.0,50,138.580732
,-50.0,50,140.1867
,-50.0,50,141.825942
,-50.0,50,143.43758
,-50.0,50,145.023202
,-50.0,50,146.64696
,-50.0,50,148.280306
,-50.0,50,149.882104
,-50.0,50,151.514754
,-50.0,50,153.128243
,-50.0,50,154.746232
,-50.0,50,156.35665
,-50.0,50,157.941401
,-50.0,50,159.575169
,-50.0,50,161.181567
,-50.0,50,162.851972
,-50.0,50,164.422425
,-50.0,50,166.050292
,0.0,50,167.68511
,-50.0,50,169.311517
,0.0,50,169.58044
,-50.0,50,169.847529
,-50.0,50,170.114431
,-50.0,50,170.397679
,-50.0,50,170.671461
,-50.0,50,170.930037
,-50.0,50,171.20022
,-50.0,50,171.457359
,-50.0,50,171.707042
,-50.0,50,171.992593
,-50.0,50,173.602988
,-50.0,50,175.18291
,-50.0,50,176.851921
,-50.0,50,178.450317
,0.0,50,180.066954
,-50.0,50,181.676568
,-50.0,50,183.320916
,-50.0,50,184.928344
,-50.0,50,186.517787
,-50.0,50,188.163892
,-50.0,50,189.744567
,-50.0,50,191.385295
,-50.0,50,193.002603
,-50.0,50,194.655596
,-50.0,50,196.2677
,-50.0,50,197.872459
,-50.0,50,199.503027
,-50.0,50,201.12674
,-50.0,50,202.730544
,-50.0,50,204.362545
,-50.0,50,205.967774
,-50.0,50,207.607756
,-50.0,50,209.274555
,-50.0,50,210.886059
,-50.0,50,212.492887
,-50.0,50,214.104305
,-50.0,50,215.71914
,-50.0,50,217.35142
,0.0,50,218.982447
,-50.0,50,220.611789
,-50.0,50,222.23446
,-50.0,50,223.858206
,-50.0,50,225.456091
,-50.0,50,227.080642
,-50.0,50,228.692112
,-50.0,50,230.317549
,-50.0,50,231.914992
,-50.0,50,233.589523
,-50.0,50,235.193086
,-50.0,50,236.818079
,-50.0,50,238.422867
,-50.0,50,240.016805
,-50.0,50,241.689929
,-50.0,50,243.286185
,-50.0,50,244.903582
,-50.0,50,246.52754
,-50.0,50,248.12578
,-50.0,50,249.724747
,-50.0,50,251.375691
,-50.0,50,252.984158
,-50.0,50,253.250125
,-50.0,50,253.516476
,-50.0,50,253.806144
,-50.0,50,254.080217
,-50.0,50,254.353902
,-50.0,50,254.623291
,-50.0,50,254.877702
,-50.0,50,255.13987
,-17.0,50,255.43029
,-50.0,50,255.705564
,-50.0,50,257.303851
,-50.0,50,258.93119
,-50.0,50,260.576173
,-50.0,50,262.18138
,0.0,50,263.792827
,-50.0,50,265.412253
,-50.0,50,267.022189
,-50.0,50,268.660156
,-50.0,50,270.271709
,-50.0,50,271.884999
,0.0,50,273.516334
,-50.0,50,275.115224
,-50.0,50,276.798321
,-50.0,50,278.395851
,-50.0,50,280.027748
,-50.0,50,281.657457
,-50.0,50,283.300905
,-50.0,50,284.938175
,-50.0,50,286.533385
,-50.0,50,288.190787
,-50.0,50,289.791963
,-50.0,50,291.425794
,-50.0,50,293.053131
,-50.0,50,294.654624
,-50.0,50,296.258668
,-50.0,50,297.911761
,-50.0,50,299.507352
,-50.0,50,301.139127
,-50.0,50,302.802483
,-50.0,50,304.384824
,-50.0,50,306.039245
,0.0,50,307.701187
,-50.0,50,309.310049
,-50.0,50,310.947485
,-50.0,50,312.569726
,-50.0,50,314.186283
,-50.0,50,315.815399
,-50.0,50,317.458914
,-50.0,50,319.110739
,-50.0,50,320.742462
,-50.0,50,322.398847
,-50.0,50,324.020464
,-50.0,50,325.656857
,-50.0,50,327.258308
,-50.0,50,328.925063
,-50.0,50,330.553325
,-50.0,50,332.167133
,-50.0,50,333.820003
,-50.0,50,335.466578
,-50.0,50,337.07655
,-50.0,50,337.361989
,-50.0,50,337.631714
,-50.0,50,337.898334
,-50.0,50,338.164071
,-50.0,50,338.445676
,-50.0,50,338.765328
,-50.0,50,339.038822
,-50.0,50,339.270561
,-50.0,50,339.526612
,-50.0,50,339.811646
,-50.0,50,341.505632
,-50.0,50,343.114972
,-50.0,50,344.751247
,-50.0,50,346.360094
,-50.0,50,348.013798
,-50.0,50,349.645757
,-50.0,50,351.273449
,-50.0,50,352.93433
,-50.0,50,354.56397
,-50.0,50,356.163744
,-50.0,50,357.833327
,-50.0,50,359.435153
