#{"t_start": 1583184460.231279, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.810193
,-50.0,50,6.611982
,-50.0,50,8.21578
,-50.0,50,9.853099
,-50.0,50,11.456404
,-50.0,50,13.057419
,-50.0,50,14.65751
,-50.0,50,16.257713
,-50.0,50,17.888364
,-50.0,50,19.508927
,-50.0,50,21.068023
,-50.0,50,22.681078
,-50.0,50,24.278788
,-50.0,50,25.904911
,-50.0,50,27.533087
,-50.0,50,29.117676
,-50.0,50,30.733163
,-50.0,50,32.358047
,-50.0,50,33.987156
,-50.0,50,35.571454
,-50.0,50,37.17094
,-50.0,50,38.818336
,-50.0,50,40.391985
,-50.0,50,42.009251
,-50.0,50,43.627998
,-50.0,50,45.236036
,-50.0,50,46.860792
,-50.0,50,48.463798
,0.0,50,50.075636
,-50.0,50,51.689639
,-50.0,50,53.288403
,-50.0,50,54.876279
,-50.0,50,56.496108
,-50.0,50,58.086619
,-50.0,50,59.692264
,-50.0,50,61.293567
,-50.0,50,62.912535
,-50.0,50,64.522552
,-50.0,50,66.114049
,-50.0,50,67.707733
,-50.0,50,69.298159
,-50.0,50,70.941998
,-50.0,50,72.542012
,0.0,50,74.130923
,-50.0,50,75.743325
,-50.0,50,77.338084
,0.0,50,78.977172
,-50.0,50,80.574938
,-50.0,50,82.199258
,-50.0,50,83.774586
,-50.0,50,85.462379
,-50.0,50,85.720114
,-50.0,50,85.972902
,-50.0,50,86.221868
,-50.0,50,86.493533
,-50.0,50,86.76943
,-50.0,50,87.05018
,-50.0,50,87.30002
,-50.0,50,87.560396
,-50.0,50,87.836943
,-50.0,50,88.259974
,-50.0,50,89.865658
,-50.0,50,91.489402
,-50.0,50,93.124804
,-50.0,50,94.726555
,-50.0,50,96.311825
,-50.0,50,97.971099
,-50.0,50,99.564471
,-50.0,50,101.20748
,-50.0,50,102.833686
,-50.0,50,104.448053
,-50.0,50,106.073765
,-50.0,50,107.669431
,-50.0,50,109.288824
,-50.0,50,110.928266
,-50.0,50,112.537063
,-50.0,50,114.184464
,-50.0,50,115.789757
,-50.0,50,117.410587
,-50.0,50,119.013186
,-50.0,50,120.623174
,-50.0,50,122.253243
,-50.0,50,123.857022
,-50.0,50,125.468371
,-50.0,50,127.081021
,-50.0,50,128.70144
,-50.0,50,130.334541
,-50.0,50,131.979162
,-50.0,50,133.595039
,-50.0,50,135.195099
,-50.0,50,136.827175
,-50.0,50,138.442949
,-50.0,50,140.03334
,-50.0,50,141.673866
,-50.0,50,143.276326
,-50.0,50,144.888067
,-50.0,50,146.483347
,-50.0,50,148.136887
,-50.0,50,149.783269
,-50.0,50,151.377531
,-50.0,50,152.950815
,-50.0,50,154.612558
,-50.0,50,156.227834
,-50.0,50,157.8598
,-50.0,50,159.449252
,-50.0,50,161.09048
,-50.0,50,162.723218
,-50.0,50,164.359068
,-50.0,50,165.998072
,-50.0,50,167.610802
,-50.0,50,169.254067
,-50.0,50,169.51327
,-50.0,50,169.788416
,-50.0,50,170.047364
,0.0,50,170.319746
,-50.0,50,170.578541
,-50.0,50,170.827104
,-50.0,50,171.08716
,-50.0,50,171.359089
,-50.0,50,171.626368
,-50.0,50,171.958361
,-50.0,50,173.583951
,-50.0,50,175.219662
,-50.0,50,176.823504
,-50.0,50,178.454362
,-50.0,50,180.090898
,-50.0,50,181.688534
,-50.0,50,183.300577
,-50.0,50,184.946917
,-50.0,50,186.581919
,-50.0,50,188.220274
,-50.0,50,189.828393
,-50.0,50,191.4739
,-50.0,50,193.056969
,-50.0,50,194.685573
,-50.0,50,196.342706
,-50.0,50,197.964919
,-50.0,50,199.573792
,-50.0,50,201.182397
,-50.0,50,202.790236
,0.0,50,204.405981
,-50.0,50,206.036965
,-50.0,50,207.661454
,-50.0,50,209.248303
,-50.0,50,210.874267
,-50.0,50,212.494459
,-50.0,50,214.099556
,-50.0,50,215.738665
