#{"t_start": 1583163495.102051, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.956566
,-50.0,50,6.785527
,-50.0,50,8.376408
,0.0,50,10.014323
,-50.0,50,11.587454
,-50.0,50,13.185981
,-50.0,50,14.794735
,-50.0,50,16.383387
,-50.0,50,17.998031
,-50.0,50,19.613302
,-50.0,50,21.170055
,-50.0,50,22.77073
,-50.0,50,24.37538
,0.0,50,25.949948
,-50.0,50,27.575264
,-50.0,50,29.150822
,-50.0,50,30.763534
,-50.0,50,32.3609
,-50.0,50,33.950844
,-50.0,50,35.582343
,-50.0,50,37.192425
,-50.0,50,38.765311
,-50.0,50,40.364661
,-50.0,50,41.975479
,-50.0,50,43.577876
,-50.0,50,45.183045
,-50.0,50,46.791345
,-50.0,50,48.360353
,-50.0,50,49.982056
,-50.0,50,51.58014
,-50.0,50,53.187623
,-50.0,50,54.777464
,-50.0,50,56.38205
,-50.0,50,57.986995
,-50.0,50,59.591015
,-50.0,50,61.164628
,-50.0,50,62.804836
,-50.0,50,64.399821
,-50.0,50,66.017397
,-50.0,50,67.578094
,-50.0,50,69.218404
,-50.0,50,70.793414
,-50.0,50,72.390964
,-50.0,50,73.988157
,-50.0,50,75.605932
,-50.0,50,77.184885
,-50.0,50,78.818771
,-50.0,50,80.417053
,-50.0,50,82.008873
,-50.0,50,83.619936
,-50.0,50,85.266105
,-50.0,50,85.532548
,-50.0,50,85.813881
,-50.0,50,86.078575
,-50.0,50,86.354945
,-50.0,50,86.603558
,-50.0,50,86.880569
,-50.0,50,87.133009
,-50.0,50,87.391051
,-50.0,50,87.650322
,0.0,50,88.003485
,-50.0,50,89.635648
,-50.0,50,91.218176
,-50.0,50,92.844857
,-50.0,50,94.476678
,-50.0,50,96.099897
,-50.0,50,97.692134
,-50.0,50,99.292231
,0.0,50,100.944865
,-50.0,50,102.537447
,-50.0,50,104.127913
,-50.0,50,105.76108
,-50.0,50,107.33582
,-50.0,50,108.98332
,-50.0,50,110.610994
,-50.0,50,112.20192
,-50.0,50,113.851585
,-50.0,50,115.413691
,-50.0,50,117.065811
,-50.0,50,118.667906
,-50.0,50,120.270202
,-50.0,50,121.894454
,-50.0,50,123.474003
,-50.0,50,125.138772
,-50.0,50,126.717469
,-50.0,50,128.34923
,-50.0,50,129.94049
,-50.0,50,131.538799
,-50.0,50,133.172343
,-50.0,50,134.772806
,-50.0,50,136.365887
,-50.0,50,137.986084
,-50.0,50,139.613087
,-50.0,50,141.233194
,-50.0,50,142.844803
,-50.0,50,144.434425
,0.0,50,146.062251
,-50.0,50,147.674104
,-50.0,50,149.290255
,-50.0,50,150.88921
,-50.0,50,152.496794
,-50.0,50,154.119567
,-50.0,50,155.726844
,-50.0,50,157.350812
,-50.0,50,158.953477
,-50.0,50,160.598409
,0.0,50,162.181252
,-50.0,50,163.804584
,-50.0,50,165.423962
,-50.0,50,167.039788
,-50.0,50,168.655288
,-50.0,50,168.922863
,-50.0,50,169.202614
,-50.0,50,169.466481
,0.0,50,169.714319
,-50.0,50,170.001478
,-50.0,50,170.259011
,-50.0,50,170.511406
,-50.0,50,170.834288
,-50.0,50,171.084853
,0.0,50,171.39001
,-50.0,50,172.997088
,-50.0,50,174.639904
,-50.0,50,176.242457
,-50.0,50,177.854068
,-50.0,50,179.473801
,-50.0,50,181.061595
,-50.0,50,182.689496
,-50.0,50,184.305087
,-50.0,50,185.924162
,-50.0,50,187.551499
,-50.0,50,189.163856
,-50.0,50,190.764412
,-50.0,50,192.390066
,-50.0,50,194.023513
,-50.0,50,195.64575
,-50.0,50,197.283974
,-50.0,50,198.872272
,-50.0,50,200.517273
,0.0,50,202.114656
,-50.0,50,203.733729
,-50.0,50,205.350919
,-50.0,50,206.991354
,-50.0,50,208.608208
,-50.0,50,210.246256
,-50.0,50,211.829836
,-50.0,50,213.472467
,-50.0,50,215.07324
,-50.0,50,216.671269
,0.0,50,218.300005
,-50.0,50,219.918098
,-50.0,50,221.553488
,-50.0,50,223.124614
,-50.0,50,224.80438
,-50.0,50,226.395741
,-50.0,50,228.043432
,-50.0,50,229.618624
,-50.0,50,231.268259
,-50.0,50,232.864294
,-50.0,50,234.519121
,-50.0,50,236.125018
,-50.0,50,237.731542
,-50.0,50,239.356471
,-50.0,50,240.964279
,-50.0,50,242.585364
,-50.0,50,244.201324
,-50.0,50,245.815922
,-50.0,50,247.414922
,-50.0,50,249.077674
,-50.0,50,250.683661
,-50.0,50,252.311368
,-17.0,50,252.591413
,-50.0,50,252.869419
,-50.0,50,253.144135
,0.0,50,253.407109
,-50.0,50,253.667678
,-50.0,50,253.935224
,-50.0,50,254.17709
,-50.0,50,254.430754
,-50.0,50,254.701544
,-50.0,50,255.077894
,-50.0,50,256.747444
,-50.0,50,258.354059
,-50.0,50,259.967784
,-50.0,50,261.577465
,-50.0,50,263.199727
,-50.0,50,264.834308
,-50.0,50,266.440742
,-50.0,50,268.060866
,-50.0,50,269.685462
,-50.0,50,271.312806
,-50.0,50,272.914833
,-50.0,50,274.549268
,-50.0,50,276.165077
,-50.0,50,277.816059
,-50.0,50,279.4056
,-50.0,50,281.074702
,-50.0,50,282.702744
,-50.0,50,284.322562
,-50.0,50,285.967339
,-50.0,50,287.577426
,0.0,50,289.203599
,-50.0,50,290.824941
,-50.0,50,292.44922
,-50.0,50,294.079672
,-50.0,50,295.712353
,-50.0,50,297.359524
,-50.0,50,298.964443
,-50.0,50,300.600635
,-50.0,50,302.251525
,-50.0,50,303.859213
,-50.0,50,305.513126
,-50.0,50,307.128127
,-50.0,50,308.796018
,0.0,50,310.391014
,-50.0,50,312.028455
,-50.0,50,313.673244
,-50.0,50,315.317017
,-50.0,50,316.973848
,-50.0,50,318.621874
,-50.0,50,320.25397
,-50.0,50,321.917816
,-50.0,50,323.535422
,-50.0,50,325.180744
,-50.0,50,326.833157
,-50.0,50,328.442677
,-50.0,50,330.088005
,-50.0,50,331.739386
,0.0,50,333.412051
,-50.0,50,335.066566
,-50.0,50,336.694244
,-50.0,50,336.974688
,-50.0,50,337.255639
,-50.0,50,337.516912
,-50.0,50,337.802425
,-50.0,50,338.096773
,-50.0,50,338.359094
,-50.0,50,338.674911
,-50.0,50,338.94806
,-50.0,50,339.195201
,-50.0,50,339.502461
,-50.0,50,341.138163
,-47.0,50,342.787271
,-50.0,50,344.428381
,-50.0,50,346.058145
,-50.0,50,347.722113
,-50.0,50,349.352811
,-50.0,50,350.991731
,-50.0,50,352.639826
,-50.0,50,354.296284
,-50.0,50,355.936493
,-50.0,50,357.565373
,-50.0,50,359.215555
,-50.0,50,360.888444
,-50.0,50,362.510654
,-50.0,50,364.16114
,-50.0,50,365.832173
,-50.0,50,367.431885
,-50.0,50,369.09955
,-50.0,50,370.716675
,-50.0,50,372.376283
,-50.0,50,374.013959
,-50.0,50,375.647266
,-50.0,50,377.262878
,-50.0,50,378.933776
,-50.0,50,380.538351
,-50.0,50,382.167545
,-50.0,50,383.819259
,0.0,50,385.477728
,-50.0,50,387.125901
,-50.0,50,388.768425
,-50.0,50,390.424371
,-50.0,50,392.070996
,-50.0,50,393.693954
,-50.0,50,395.354083
,-50.0,50,397.002128
,-50.0,50,398.606108
,-50.0,50,400.264578
,-50.0,50,401.920972
,-50.0,50,403.56547
,-50.0,50,405.217139
,-50.0,50,406.870799
,-50.0,50,408.459722
,-50.0,50,410.137751
,-50.0,50,411.846481
,-50.0,50,413.474602
,-50.0,50,415.139178
,-50.0,50,416.742924
,-50.0,50,418.442859
,-50.0,50,420.058569
,0.0,50,421.719624
,-50.0,50,421.980061
,-50.0,50,422.23976
,-50.0,50,422.499475
,-50.0,50,422.761149
,-50.0,50,423.061431
,-50.0,50,423.325635
,-50.0,50,423.593978
,-50.0,50,423.843321
,0.0,50,424.107277
,-50.0,50,424.474708
,-50.0,50,426.114144
,-21.0,50,427.792771
,-50.0,50,429.423912
,-50.0,50,431.08207
,-50.0,50,432.725141
,-50.0,50,434.354573
,-50.0,50,435.986857
,-50.0,50,437.645046
,-50.0,50,439.322057
,-50.0,50,440.952503
,-50.0,50,442.558533
,-50.0,50,444.232553
,-50.0,50,445.893807
,-50.0,50,447.515462
,-50.0,50,449.208788
,-50.0,50,450.87132
,-50.0,50,452.521097
,-50.0,50,454.14398
,-50.0,50,455.803157
,-50.0,50,457.454364
,-50.0,50,459.110459
,-50.0,50,460.751444
,-50.0,50,462.454956
,-50.0,50,464.084886
,-50.0,50,465.747498
,-50.0,50,467.407642
,-50.0,50,469.055785
,-50.0,50,470.714875
,-23.0,50,472.346059
,-17.0,50,473.986959
,-50.0,50,475.667804
,-50.0,50,477.277125
,-50.0,50,478.958154
,-50.0,50,480.615477
,-50.0,50,482.252623
,-50.0,50,483.886574
,-50.0,50,485.544301
,-50.0,50,487.228425
,-50.0,50,488.861779
,-50.0,50,490.532667
,-50.0,50,492.157504
,-50.0,50,493.818202
,-50.0,50,495.466152
,-50.0,50,497.088655
,-50.0,50,498.792293
,-50.0,50,500.429677
,-50.0,50,502.104828
,-50.0,50,503.743483
,-50.0,50,505.398644
,-50.0,50,507.057678
,-50.0,50,507.312203
,-50.0,50,507.571482
,-50.0,50,507.830115
,-50.0,50,508.098869
,0.0,50,508.358929
,-50.0,50,508.646698
,-50.0,50,508.930698
,-50.0,50,509.246773
,-50.0,50,509.504278
,-50.0,50,509.80955
,-50.0,50,511.450418
,-50.0,50,513.172074
,-50.0,50,514.826904
,-50.0,50,516.454818
,-50.0,50,518.08989
,-50.0,50,519.746075
,-50.0,50,521.445277
,-50.0,50,523.081612
,-50.0,50,524.73158
,-50.0,50,526.384362
,-50.0,50,528.053557
,-50.0,50,529.696726
,-50.0,50,531.391945
,-50.0,50,533.021
,-50.0,50,534.661388
,-50.0,50,536.308155
,-50.0,50,537.994773
,-50.0,50,539.625359
,0.0,50,541.296295
,-50.0,50,542.943926
,-50.0,50,544.635253
,-50.0,50,546.27039
,-50.0,50,547.964451
,-41.0,50,549.632197
,-50.0,50,551.292047
,-50.0,50,552.943576
,-50.0,50,554.58757
,-11.0,50,556.25236
,-50.0,50,557.930206
,-17.0,50,559.615694
,-50.0,50,561.27744
,-50.0,50,562.931879
,-22.0,50,564.617406
,-50.0,50,566.283244
,-50.0,50,567.928735
,-50.0,50,569.637631
,-50.0,50,571.243467
,-50.0,50,572.939403
,-50.0,50,574.565838
,-50.0,50,576.248277
,-50.0,50,577.907157
,-50.0,50,579.541246
,-50.0,50,581.220927
,-50.0,50,582.874219
,-50.0,50,584.535955
,-50.0,50,586.233282
,-50.0,50,587.904983
,-50.0,50,589.538463
