actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.417495,0.0044183917,0.84446543,0.09561906,0.20364128,0.046500467,-48.75,10.0,-2.8938837,0.02500000037252903,-48.295,50.0,0.034999996
1.6349181,0.003031663,0.84615,0.09440923,0.20423894,0.04716641,-47.5,20.0,-4.8043365,0.05000000074505806,-48.06875,100.0,0.03749999846331775
1.8454797,0.0029587648,0.8461494,0.094495244,0.20429902,0.0481831,-46.95625,30.0,-6.4292135,0.06250000186264515,-48.25625,150.0,0.03499999921768904
2.052878,0.0034932499,0.84602445,0.09501616,0.20433441,0.049782954,-47.74375,40.0,-8.062935,0.0437500006519258,-48.06375,200.0,0.036249999422580004
2.2508905,0.004404077,0.8461332,0.096013725,0.20428632,0.054155245,-47.525,50.0,-10.036314,0.05000000074505806,-48.458748,250.0,0.029999999329447746
2.4404857,0.0057854746,0.8460965,0.09615324,0.20425552,0.056954198,-44.9375,60.0,-10.745581,0.10625000204890966,-47.93,300.0,0.03999999933876097
2.6218305,0.008064473,0.84597284,0.09692341,0.20431657,0.06039865,-45.19375,70.0,-11.711316,0.11250000121071935,-47.427498,350.0,0.05625
2.7930753,0.012038957,0.8460608,0.098221935,0.20431164,0.06669452,-42.90625,80.0,-11.880463,0.16250000661239028,-46.525,400.0,0.08125
2.9516993,0.018354245,0.84600693,0.09960133,0.20417021,0.072363,-42.6375,90.0,-13.13902,0.18125,-45.776253,450.0,0.105000004
3.0947433,0.027367957,0.8458028,0.1009548,0.20399931,0.07815557,-41.0,100.0,-11.66177,0.2375000030733645,-43.82125,500.0,0.1575
3.2217965,0.038745765,0.84533364,0.102641635,0.20414406,0.08443254,-39.16875,110.0,-11.465679,0.2687500100582838,-43.2425,550.0,0.20124999
3.334193,0.05093859,0.84480137,0.10262588,0.20400633,0.087433316,-35.25,120.0,-11.098826,0.38125,-42.82625,600.0,0.20375
3.4349933,0.06286374,0.8448089,0.10296833,0.20398337,0.090298414,-36.925,130.0,-12.189728,0.34375,-41.66875,650.0,0.2425
3.5236707,0.07401256,0.84494376,0.10312336,0.20400068,0.09317649,-33.631252,140.0,-12.140631,0.44375002,-39.7825,700.0,0.30375
3.6035144,0.08470234,0.84501487,0.10335658,0.20406017,0.09493477,-31.325,150.0,-11.880668,0.47500002,-39.725,750.0,0.30374998
3.6778622,0.094951786,0.8449134,0.103673704,0.20413904,0.09744969,-29.974998,160.0,-11.2888565,0.50625,-37.425003,800.0,0.36375
3.743903,0.10447967,0.845037,0.10407221,0.20418973,0.099342786,-27.85,170.0,-9.242327,0.55,-35.695,850.0,0.42875
3.800745,0.113479644,0.8452363,0.10411888,0.20431547,0.10123175,-24.2375,180.0,-8.57434,0.6375,-35.50875,900.0,0.40875
3.847796,0.122273125,0.84549475,0.10457799,0.20443803,0.10271739,-22.550001,190.0,-7.393551,0.66249996,-34.877502,950.0,0.43375003
3.8847384,0.1307404,0.8457976,0.105611004,0.20454885,0.10418745,-18.08125,200.0,-5.4094944,0.79999995,-32.527504,1000.0,0.49625
3.9103084,0.1385692,0.8462326,0.1065166,0.20468588,0.105233744,-19.137499,210.0,-6.2264915,0.78125,-30.625,1050.0,0.52375007
3.9252408,0.1452446,0.8465686,0.10733861,0.20486282,0.1061994,-17.225,220.0,-5.660773,0.81874996,-31.1775,1100.0,0.52625
3.9322562,0.15067992,0.8468899,0.10750697,0.20504664,0.106661424,-14.75,230.0,-4.6505375,0.86875,-29.84125,1150.0,0.57624996
3.9352083,0.155067,0.8469999,0.107466795,0.20513812,0.10670124,-13.4125,240.0,-4.692587,0.8875,-29.135,1200.0,0.59375
3.9347064,0.15853208,0.8472585,0.10782099,0.2051944,0.107028835,-14.1375,250.0,-3.998082,0.86875,-28.89875,1250.0,0.56875
3.9316711,0.16146412,0.84757,0.10810229,0.20528133,0.107368596,-13.612499,260.0,-3.5297816,0.85,-29.37375,1300.0,0.56875
3.9257832,0.16397253,0.847874,0.10853698,0.20536245,0.10762014,-12.1625,270.0,-3.0834785,0.9125,-29.74625,1350.0,0.53499997
3.9169693,0.16613513,0.84814095,0.10867558,0.20543522,0.10776131,-11.174999,280.0,-2.5965793,0.94374996,-29.091251,1400.0,0.5825
