#{"t_start": 1583174872.0844042, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.877105
,-50.0,50,7.791517
,-50.0,50,9.40385
,-50.0,50,11.039726
,-50.0,50,12.674658
,-50.0,50,14.30688
,-50.0,50,15.923774
,-50.0,50,17.527378
,-50.0,50,19.172815
,-50.0,50,20.756021
,-50.0,50,22.390575
,-50.0,50,24.026769
,-50.0,50,25.658636
,-50.0,50,27.230731
,-50.0,50,28.879016
,-50.0,50,30.459505
,-50.0,50,32.110617
,-50.0,50,33.684921
,-50.0,50,35.323793
,-50.0,50,36.921783
,-50.0,50,38.526976
,-50.0,50,40.135464
,-50.0,50,41.767324
,-50.0,50,43.413695
,-50.0,50,44.993317
,-50.0,50,46.609883
,-50.0,50,48.211191
,-50.0,50,49.778947
,-50.0,50,51.433518
,-50.0,50,53.023332
,-50.0,50,54.602764
,-50.0,50,56.246217
,-50.0,50,57.840586
,-50.0,50,59.458611
,-50.0,50,61.07291
,-50.0,50,62.693453
,-50.0,50,64.296448
,-50.0,50,65.879647
,-50.0,50,67.477037
,-50.0,50,69.1022
,-50.0,50,70.69985
,-50.0,50,72.312189
,-50.0,50,73.936703
,-50.0,50,75.54645
,-50.0,50,77.200214
,-50.0,50,78.774913
,-50.0,50,80.396087
,-50.0,50,81.996945
,-50.0,50,83.631963
,-50.0,50,85.200209
,-50.0,50,86.867294
,-50.0,50,87.13559
,-50.0,50,87.41211
,-50.0,50,87.684369
,-50.0,50,87.945288
,-50.0,50,88.229513
,-50.0,50,88.493081
,-50.0,50,88.770859
,-50.0,50,89.037476
,-50.0,50,89.282437
,-50.0,50,89.621109
,-50.0,50,91.257811
,-50.0,50,92.846891
,-50.0,50,94.473109
,-50.0,50,96.104433
,-50.0,50,97.730066
,-50.0,50,99.330552
,0.0,50,100.907204
,-50.0,50,102.541706
,-50.0,50,104.138086
,-50.0,50,105.729059
,-50.0,50,107.337631
,-50.0,50,108.974223
,-50.0,50,110.577738
,-50.0,50,112.167825
,-50.0,50,113.771608
,-50.0,50,115.374567
,-50.0,50,116.986062
,-50.0,50,118.610711
,-50.0,50,120.207193
,-50.0,50,121.840868
,-50.0,50,123.421441
,-50.0,50,125.075395
,-50.0,50,126.65296
,-50.0,50,128.266006
,-50.0,50,129.868249
,-50.0,50,131.528741
,-50.0,50,133.145616
,-50.0,50,134.756258
,-50.0,50,136.347688
,-50.0,50,137.979939
,-50.0,50,139.583071
,-50.0,50,141.20289
,-50.0,50,142.810505
,-50.0,50,144.425614
,-50.0,50,146.016962
,-50.0,50,147.666656
,-50.0,50,149.2539
,-50.0,50,150.85435
,0.0,50,152.450832
,-50.0,50,154.06301
,-50.0,50,155.713835
,-50.0,50,157.309394
,-50.0,50,158.886633
,-50.0,50,160.527592
,-50.0,50,162.151009
,-50.0,50,163.741848
,-50.0,50,165.340869
,-50.0,50,166.951419
,-50.0,50,168.584063
,-50.0,50,170.238858
,-50.0,50,170.517519
,-50.0,50,170.780788
,-50.0,50,171.039352
,-50.0,50,171.315824
,-50.0,50,171.600785
,-50.0,50,171.867506
,-50.0,50,172.138672
,-50.0,50,172.417744
,-50.0,50,172.674682
,-50.0,50,172.954582
,-50.0,50,174.588848
,-50.0,50,176.17212
,-50.0,50,177.794961
,-50.0,50,179.428008
,-50.0,50,181.049601
,-50.0,50,182.6682
,-50.0,50,184.287136
,-50.0,50,185.898003
,-50.0,50,187.526053
,-50.0,50,189.10631
,-50.0,50,190.715445
,-50.0,50,192.343358
