#{"t_start": 1583177203.8060215, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.225938
,-50.0,50,7.055848
,-50.0,50,8.731497
,-50.0,50,10.362687
,-50.0,50,11.998601
,-50.0,50,13.580216
,-50.0,50,15.234677
,-50.0,50,16.822112
,-50.0,50,18.448006
,-50.0,50,20.035094
,-50.0,50,21.681536
,-50.0,50,23.268608
,-50.0,50,24.853238
,-50.0,50,26.525773
,-50.0,50,28.082929
,-50.0,50,29.734126
,-50.0,50,31.319831
,-50.0,50,32.915646
,-50.0,50,34.542362
,-50.0,50,36.145287
,-50.0,50,37.778893
,-50.0,50,39.374257
,-50.0,50,40.980336
,-50.0,50,42.591732
,-50.0,50,44.231051
,-50.0,50,45.822719
,-50.0,50,47.436149
,-50.0,50,49.06125
,-50.0,50,50.67292
,-50.0,50,52.261877
,-50.0,50,53.855673
,-50.0,50,55.459297
,-50.0,50,57.043037
,-50.0,50,58.654691
,-50.0,50,60.262974
,-50.0,50,61.876091
,-50.0,50,63.486168
,-50.0,50,65.08605
,-50.0,50,66.690869
,-50.0,50,68.281602
,-50.0,50,69.887778
,-50.0,50,71.533641
,-50.0,50,73.116843
,-50.0,50,74.72754
,-50.0,50,76.315136
,-50.0,50,77.918267
,-50.0,50,79.549631
,-50.0,50,81.11936
,-50.0,50,82.698719
,-50.0,50,84.31631
,-50.0,50,85.944774
,-50.0,50,86.226624
,-50.0,50,86.484208
,-50.0,50,86.730108
,-50.0,50,86.992503
,-50.0,50,87.260806
,-50.0,50,87.525211
,-50.0,50,87.78516
,-50.0,50,88.038127
,-50.0,50,88.289105
,-50.0,50,88.735048
,-50.0,50,90.325883
,-50.0,50,91.960955
,-50.0,50,93.560806
,-50.0,50,95.180618
,-50.0,50,96.756356
,0.0,50,98.38606
,-50.0,50,100.02247
,-50.0,50,101.629124
,-50.0,50,103.208591
,-50.0,50,104.840197
,-50.0,50,106.453534
,-50.0,50,108.061508
,-50.0,50,109.685955
,-50.0,50,111.3179
,-50.0,50,112.907415
,-50.0,50,114.492779
,-50.0,50,116.123652
,-50.0,50,117.733606
,-50.0,50,119.352942
,-50.0,50,120.911584
,-50.0,50,122.554188
,0.0,50,124.158168
,-50.0,50,125.763675
,-50.0,50,127.402425
,-50.0,50,128.997008
,-50.0,50,130.624347
,-50.0,50,132.228871
,-50.0,50,133.857504
,-50.0,50,135.448594
,-50.0,50,137.086208
,-50.0,50,138.671364
,-50.0,50,140.28749
,-50.0,50,141.933899
,-50.0,50,143.533841
,-50.0,50,145.19922
