actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5963866,0.007245293,0.8477513,0.095083185,0.20441216,0.050355915,-48.75,10.0,-3.1023908,0.02500000037252903,-48.625,50.0,0.027499998919665813
1.8033366,0.004634576,0.84635663,0.094094,0.20375682,0.048939154,-49.6875,20.0,-5.206161,0.0062500000931322575,-48.05625,100.0,0.037499999394640326
1.9988832,0.004113226,0.8466577,0.09334382,0.20394194,0.048180483,-47.025,30.0,-6.7716274,0.06250000093132257,-48.39375,150.0,0.031249998603016138
2.190431,0.0042246208,0.8464463,0.09397181,0.2038292,0.049485184,-48.7125,40.0,-8.845941,0.02500000037252903,-48.37875,200.0,0.03124999930150807
2.3778079,0.004882698,0.8467476,0.094384514,0.20401044,0.051883057,-48.2,50.0,-10.593593,0.037500000558793545,-48.25875,250.0,0.033749999245628715
2.561266,0.0059016454,0.84608096,0.09556497,0.20375966,0.0545842,-46.54375,60.0,-11.524812,0.07500000111758709,-47.596252,300.0,0.051249999552965164
2.7367573,0.007572098,0.84583205,0.09644588,0.20384654,0.058825538,-46.112503,70.0,-12.739513,0.08125000214204192,-47.48875,350.0,0.05999999865889549
2.9054945,0.0099964235,0.84544015,0.09751228,0.20366192,0.06276827,-45.925,80.0,-13.02561,0.08750000409781933,-47.143753,400.0,0.061249997
3.066116,0.013691557,0.84516555,0.09884963,0.20366709,0.06786601,-45.49375,90.0,-13.736231,0.10625000158324838,-46.77,450.0,0.08
3.2140841,0.019651294,0.8453353,0.099605,0.20369327,0.07273213,-42.85,100.0,-13.843349,0.18749999906867743,-44.81125,500.0,0.13625
3.3476667,0.027470738,0.8452255,0.1005316,0.20355631,0.077650405,-38.14375,110.0,-12.268882,0.3125,-44.1725,550.0,0.15625
3.4675796,0.037722275,0.84533167,0.10096979,0.2036635,0.08126265,-39.50625,120.0,-13.498749,0.28125,-42.80875,600.0,0.20125
3.573417,0.04936764,0.8454821,0.10178702,0.20364241,0.08546699,-38.59375,130.0,-13.756965,0.3,-41.120003,650.0,0.25625002
3.666554,0.061170097,0.84542775,0.10269886,0.20363578,0.088528775,-38.418747,140.0,-15.224562,0.31875002,-41.36125,700.0,0.25375
3.7518368,0.07310434,0.84539866,0.10349351,0.20368776,0.091242895,-30.400002,150.0,-11.886736,0.4875,-39.51375,750.0,0.3225
3.8298583,0.08435167,0.8455227,0.10382322,0.20369332,0.09362977,-28.8125,160.0,-12.54213,0.54375,-38.863754,800.0,0.3225
3.8996215,0.09459251,0.8454797,0.1041744,0.20379747,0.0954018,-29.693748,170.0,-13.983915,0.51875,-37.31125,850.0,0.35999998
3.961146,0.10403618,0.84557885,0.104214795,0.20393135,0.096687146,-24.81875,180.0,-10.704492,0.60625005,-35.927498,900.0,0.38875
4.0148826,0.112482265,0.84576863,0.104152955,0.20397052,0.09777148,-25.975,190.0,-11.167332,0.59375,-34.175,950.0,0.4375
4.06164,0.11983563,0.8456277,0.104291596,0.20401803,0.098547764,-22.1125,200.0,-9.934114,0.70624995,-33.80875,1000.0,0.45374998
4.101451,0.12587407,0.84562343,0.1044861,0.20404875,0.09957485,-21.7,210.0,-10.174742,0.69375,-32.78875,1050.0,0.47875
4.135024,0.13086173,0.8457749,0.10504954,0.20426859,0.1007426,-19.143751,220.0,-9.601189,0.7625,-32.965,1100.0,0.465
4.162709,0.13506067,0.8459634,0.10541513,0.20444965,0.1015277,-19.175,230.0,-9.441391,0.76875,-31.11625,1150.0,0.51874995
4.186879,0.13854744,0.8461228,0.1059046,0.20458044,0.10237024,-17.681252,240.0,-9.0439205,0.775,-30.19625,1200.0,0.53125
