#{"t_start": 1582998918.3373141, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.229641
,-50.0,50,8.089984
,-50.0,50,9.686025
,-50.0,50,11.301035
,-50.0,50,12.881275
,-50.0,50,14.50316
,-50.0,50,16.088671
,-50.0,50,17.672352
,-50.0,50,19.309064
,-50.0,50,20.892537
,-50.0,50,22.467876
,-50.0,50,24.102309
,-50.0,50,25.664341
,-50.0,50,27.287988
,0.0,50,28.867239
,-50.0,50,30.444604
,0.0,50,32.063236
,-50.0,50,33.664215
,-50.0,50,35.263498
,-50.0,50,36.879349
,-50.0,50,38.475225
,-50.0,50,40.061973
,-50.0,50,41.64595
,-50.0,50,43.226176
,-50.0,50,44.822885
,-50.0,50,46.417915
,-50.0,50,48.032155
,-50.0,50,49.629824
,-50.0,50,51.195743
,-50.0,50,52.803049
,-50.0,50,54.371605
,-50.0,50,56.013074
,-50.0,50,57.609463
,-50.0,50,59.211576
,-50.0,50,60.820344
,-50.0,50,62.405613
,-50.0,50,64.007928
,-50.0,50,65.62636
,-50.0,50,67.17732
,-50.0,50,68.789986
,-50.0,50,70.41105
,-50.0,50,72.024441
,-50.0,50,73.646217
,-50.0,50,75.229369
,-50.0,50,76.854201
,-50.0,50,78.436721
,-50.0,50,80.05375
,-50.0,50,81.653484
,-50.0,50,83.246964
,-50.0,50,84.848355
,-50.0,50,86.521334
,-50.0,50,86.774468
,-50.0,50,87.031688
,-50.0,50,87.323109
,-50.0,50,87.576522
,-50.0,50,87.844949
,-50.0,50,88.137152
,-50.0,50,88.413173
,-50.0,50,88.67546
,-50.0,50,88.921175
,-50.0,50,89.26595
,-50.0,50,90.889864
,-50.0,50,92.515524
,-50.0,50,94.075924
,-50.0,50,95.737893
,-50.0,50,97.328806
,-50.0,50,98.955205
,-50.0,50,100.535797
,-50.0,50,102.144198
,-50.0,50,103.757217
,-50.0,50,105.348992
,-50.0,50,106.983501
,-50.0,50,108.594637
,-50.0,50,110.160606
,-50.0,50,111.806033
,-50.0,50,113.388455
,-50.0,50,115.002699
,-50.0,50,116.628722
,-50.0,50,118.232304
,-50.0,50,119.796633
,-50.0,50,121.433265
,-50.0,50,123.049038
,-50.0,50,124.641707
,-50.0,50,126.282436
,-50.0,50,127.863856
,0.0,50,129.477831
,-50.0,50,131.107487
,-50.0,50,132.706689
,-50.0,50,134.322589
,-50.0,50,135.921013
,-50.0,50,137.551303
,-50.0,50,139.155208
,-50.0,50,140.758846
,-50.0,50,142.392001
,0.0,50,143.988493
,-50.0,50,145.601677
,-50.0,50,147.232439
,-50.0,50,148.852083
,0.0,50,150.433194
,-50.0,50,152.06143
,-50.0,50,153.677227
,-50.0,50,155.268255
,-50.0,50,156.886755
,-50.0,50,158.493773
