actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.605274,0.0063571604,0.8446858,0.09552383,0.20353568,0.046323776,-48.75,10.0,-2.8233743,0.02500000037252903,-48.28125,50.0,0.034999996
1.9750367,0.004915951,0.84629685,0.09449968,0.203969,0.050925985,-47.5,20.0,-4.643236,0.05000000074505806,-48.07,100.0,0.03874999866820872
2.2924705,0.0049272845,0.8462636,0.09432534,0.20395611,0.05194834,-46.88125,30.0,-6.190714,0.06250000139698386,-48.291252,150.0,0.03499999991618097
2.5413373,0.0061009605,0.8460106,0.09510135,0.20383234,0.055396236,-47.74375,40.0,-7.4257126,0.05000000074505806,-47.841248,200.0,0.042499999748542905
2.7860422,0.008391239,0.84629375,0.09609008,0.20389034,0.061208695,-47.574997,50.0,-9.321377,0.05000000074505806,-48.4325,250.0,0.029999998630955815
3.0049796,0.012389595,0.8461704,0.09766465,0.2037519,0.06684585,-45.70625,60.0,-9.615307,0.08750000223517418,-47.98875,300.0,0.04374999785795808
3.2014875,0.01995965,0.8459137,0.09894374,0.20388685,0.07329266,-47.14375,70.0,-10.02507,0.06875000149011612,-47.66125,350.0,0.05125000071711838
3.3610249,0.033071794,0.8460131,0.10085199,0.20395504,0.07937314,-42.8625,80.0,-9.747261,0.1749999993480742,-46.50625,400.0,0.08625
3.488738,0.053806283,0.84534675,0.10360717,0.20391056,0.08609166,-43.6375,90.0,-10.357742,0.16250000335276127,-46.68375,450.0,0.08875
3.5914984,0.079288244,0.8452973,0.10604327,0.2040404,0.09148097,-42.13125,100.0,-10.153612,0.21250000689178705,-45.06875,500.0,0.12875
3.6857686,0.10724779,0.84512943,0.10748146,0.20428349,0.09587318,-40.0,110.0,-9.549538,0.25,-44.558746,550.0,0.14874999
3.7685716,0.13664585,0.844827,0.10820175,0.20435975,0.09886936,-36.86875,120.0,-9.484913,0.35625,-44.2575,600.0,0.1575
3.8424182,0.165484,0.84503907,0.108744055,0.20446411,0.10162201,-37.05625,130.0,-10.440664,0.35625001415610313,-42.857502,650.0,0.20624998
3.9077652,0.19307885,0.8450509,0.10976211,0.20447041,0.10418272,-34.012497,140.0,-10.395247,0.44375002,-41.082497,700.0,0.24000001
3.9649734,0.21875876,0.8454454,0.11012264,0.20454954,0.10506343,-28.90625,150.0,-9.019445,0.55,-39.075,750.0,0.31375003
4.012532,0.24212208,0.8455333,0.1101177,0.20465401,0.105863236,-23.618752,160.0,-7.9925146,0.68125004,-36.795,800.0,0.3775
4.0534163,0.26316062,0.84576064,0.11018502,0.20481306,0.10637899,-20.7,170.0,-6.882197,0.73125005,-35.00125,850.0,0.41875
4.0899043,0.28112626,0.8460024,0.110051654,0.2049795,0.106899455,-19.10625,180.0,-6.524975,0.77500004,-33.91375,900.0,0.43875
4.12012,0.2962667,0.84622556,0.109995626,0.20500416,0.106974,-18.28125,190.0,-6.8082013,0.7625,-33.225,950.0,0.46125
4.144745,0.30809277,0.8465047,0.1096915,0.20507413,0.10726621,-17.6875,200.0,-6.273515,0.7875,-31.715,1000.0,0.48624998
4.1626573,0.31707653,0.84673685,0.10961041,0.20523566,0.10746194,-18.675,210.0,-7.1389713,0.76250005,-30.442501,1050.0,0.515
4.1776047,0.3239607,0.8469665,0.10948152,0.20532852,0.107375,-14.69375,220.0,-5.388281,0.86875,-30.80875,1100.0,0.52374995
4.191007,0.3293218,0.847166,0.109364234,0.20547512,0.10755911,-11.35,230.0,-4.4951434,0.95,-30.04,1150.0,0.56
4.2002378,0.33300802,0.847302,0.109111406,0.20554793,0.107632816,-14.362499,240.0,-5.139646,0.8375,-29.932499,1200.0,0.56000006
4.2062483,0.33581284,0.8475688,0.109139204,0.20567024,0.10775698,-14.693749,250.0,-4.4761147,0.86249995,-29.04875,1250.0,0.57625
4.211729,0.33783534,0.84780306,0.10898409,0.20575836,0.10763887,-11.575,260.0,-4.0129013,0.93125,-29.48875,1300.0,0.54875
4.216419,0.33914796,0.8481409,0.10911087,0.2057585,0.107777774,-11.96875,270.0,-3.3754265,0.9375,-30.241251,1350.0,0.52375
4.219386,0.34011495,0.8484199,0.109134994,0.20581223,0.10790726,-11.137501,280.0,-3.1267576,0.94375,-29.11,1400.0,0.57125
