#{"t_start": 1582912451.0324612, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.173735
,-50.0,50,6.972908
,-50.0,50,8.610525
,-50.0,50,10.183217
,-50.0,50,11.815235
,-50.0,50,13.390932
,-50.0,50,15.013382
,-50.0,50,16.584017
,-50.0,50,18.196593
,-50.0,50,19.785517
,-50.0,50,21.379521
,-50.0,50,22.953475
,-50.0,50,24.518198
,-50.0,50,26.14835
,-50.0,50,27.728889
,-50.0,50,29.335075
,-50.0,50,30.913033
,-50.0,50,32.518871
,-50.0,50,34.132162
,-50.0,50,35.727491
,-50.0,50,37.330388
,-50.0,50,38.910533
,-50.0,50,40.496236
,-50.0,50,42.142735
,-50.0,50,43.724644
,-50.0,50,45.310479
,-50.0,50,46.919008
,-50.0,50,48.503091
,-50.0,50,50.144166
,-50.0,50,51.725988
,-50.0,50,53.343417
,-50.0,50,54.918953
,-50.0,50,56.524659
,-50.0,50,58.12238
,-50.0,50,59.712015
,-50.0,50,61.30532
,-50.0,50,62.899772
,-50.0,50,64.483382
,-50.0,50,66.098023
,-50.0,50,67.714692
,-50.0,50,69.292055
,-50.0,50,70.894976
,-50.0,50,72.502137
,0.0,50,74.072177
,-50.0,50,75.678044
,-50.0,50,77.288927
,-50.0,50,78.882058
,-50.0,50,80.477207
,-50.0,50,82.052964
,-50.0,50,83.644228
,-50.0,50,85.301773
,-50.0,50,85.580344
,-50.0,50,85.826558
,-50.0,50,86.081324
,-50.0,50,86.355412
,-50.0,50,86.620065
,-50.0,50,86.876568
,-50.0,50,87.12705
,-50.0,50,87.377151
,-50.0,50,87.627171
,-50.0,50,88.101731
,-50.0,50,89.681815
,-50.0,50,91.30531
,-50.0,50,92.873448
