#{"t_start": 1582912710.864458, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.452013
,-50.0,50,8.253335
,0.0,50,9.871667
,-50.0,50,11.453453
,-50.0,50,13.073839
,-50.0,50,14.674202
,-50.0,50,16.258983
,-50.0,50,17.849296
,-50.0,50,19.417187
,-50.0,50,20.994057
,-50.0,50,22.603164
,-50.0,50,24.168846
,-50.0,50,25.758894
,-50.0,50,27.339892
,-50.0,50,28.939511
,-50.0,50,30.517642
,-50.0,50,32.091005
,-50.0,50,33.66577
,-50.0,50,35.251809
,-50.0,50,36.854899
,-50.0,50,38.469785
,-50.0,50,40.052711
,-50.0,50,41.619615
,-50.0,50,43.249398
,-50.0,50,44.850886
,-50.0,50,46.442338
,-50.0,50,48.055527
,-50.0,50,49.644578
,-50.0,50,51.211214
,-50.0,50,52.819324
,-50.0,50,54.386245
,-50.0,50,55.980435
,-50.0,50,57.602901
,-50.0,50,59.190416
,-50.0,50,60.764748
,-50.0,50,62.364779
,-50.0,50,63.980834
,-50.0,50,65.57977
,-50.0,50,67.159794
,-50.0,50,68.773262
,-50.0,50,70.389573
,-50.0,50,71.949554
,-50.0,50,73.547534
,-50.0,50,75.170722
,-50.0,50,76.747683
,-50.0,50,78.315684
,-50.0,50,79.909228
,-50.0,50,81.514258
,-50.0,50,83.099587
,-50.0,50,84.693339
,-50.0,50,86.349151
,-50.0,50,86.606597
,-50.0,50,86.86353
,-50.0,50,87.134768
,-50.0,50,87.397555
,-50.0,50,87.67649
,-50.0,50,87.9243
,-50.0,50,88.199592
,-50.0,50,88.454319
,-50.0,50,88.723685
,-50.0,50,89.081802
,-50.0,50,90.712742
,-50.0,50,92.296508
,0.0,50,93.91188
,-50.0,50,95.487091
,-50.0,50,97.101624
,-50.0,50,98.690542
,-50.0,50,100.267873
,-50.0,50,101.888372
,-50.0,50,103.521788
,-50.0,50,105.09731
,-50.0,50,106.724397
,-50.0,50,108.295644
,0.0,50,109.888459
,-50.0,50,111.503643
,-50.0,50,113.089675
,-50.0,50,114.681841
,-50.0,50,116.316442
,-50.0,50,117.919968
,-50.0,50,119.474145
,-50.0,50,121.086731
