#{"t_start": 1583174871.9870582, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.024154
,-50.0,50,7.868804
,-50.0,50,9.498137
,-50.0,50,11.123462
,-50.0,50,12.798999
,-50.0,50,14.433835
,-50.0,50,16.014094
,-50.0,50,17.647626
,-50.0,50,19.243919
,-50.0,50,20.912226
,-50.0,50,22.500208
,-50.0,50,24.112124
,-50.0,50,25.72067
,-50.0,50,27.34765
,-50.0,50,28.975024
,-50.0,50,30.584923
,-50.0,50,32.206054
,-50.0,50,33.799433
,-50.0,50,35.41108
,-50.0,50,37.009134
,-50.0,50,38.657451
,-50.0,50,40.276786
,-50.0,50,41.860635
,-50.0,50,43.484414
,-50.0,50,45.085396
,-50.0,50,46.688018
,-50.0,50,48.295592
,-50.0,50,49.887949
,-50.0,50,51.504056
,-50.0,50,53.113029
,-50.0,50,54.703647
,-50.0,50,56.345659
,-50.0,50,57.960859
,-50.0,50,59.557701
,-50.0,50,61.187381
,-50.0,50,62.772518
,-50.0,50,64.39907
,-50.0,50,65.984491
,0.0,50,67.598297
,-50.0,50,69.199971
,-50.0,50,70.805145
,-50.0,50,72.441508
,-50.0,50,74.039085
,-50.0,50,75.625092
,-50.0,50,77.240494
,-50.0,50,78.870117
,-50.0,50,80.507771
,-50.0,50,82.097722
,-50.0,50,83.709435
,0.0,50,85.323445
,-50.0,50,87.004883
,-50.0,50,87.275022
,-50.0,50,87.535715
,-50.0,50,87.788999
,-50.0,50,88.068816
,-50.0,50,88.324129
,-50.0,50,88.571742
,-50.0,50,88.832212
,-50.0,50,89.085434
,-50.0,50,89.363955
,-50.0,50,89.741923
,-50.0,50,91.379098
,-50.0,50,92.967083
,-50.0,50,94.570982
,-50.0,50,96.180056
,-50.0,50,97.809623
,-50.0,50,99.419554
,-50.0,50,101.027131
,-50.0,50,102.63766
,-50.0,50,104.234168
,-50.0,50,105.8448
,-50.0,50,107.445903
,-50.0,50,109.067308
,-50.0,50,110.667875
,-50.0,50,112.28637
,-50.0,50,113.861108
,-50.0,50,115.487766
,-50.0,50,117.098536
,-50.0,50,118.723855
,-50.0,50,120.308854
,-50.0,50,121.904728
,-50.0,50,123.563365
,-50.0,50,125.152546
,-50.0,50,126.773764
,-50.0,50,128.387388
,-50.0,50,129.975023
,-50.0,50,131.613795
,-50.0,50,133.2496
,-50.0,50,134.827165
,-50.0,50,136.458415
,-50.0,50,138.087649
,-50.0,50,139.69664
,-50.0,50,141.314606
,-50.0,50,142.924551
,-50.0,50,144.518516
,-50.0,50,146.138863
,-50.0,50,147.715411
,-50.0,50,149.349081
,-50.0,50,150.944504
,-50.0,50,152.528706
,-50.0,50,154.1595
,-50.0,50,155.77908
,-50.0,50,157.41706
,-50.0,50,159.005984
,-50.0,50,160.622065
,-50.0,50,162.238033
,-50.0,50,163.84451
,-50.0,50,165.45245
,-50.0,50,167.083462
,-50.0,50,168.690462
,-50.0,50,170.324095
,-50.0,50,170.593625
,-50.0,50,170.845677
,-50.0,50,171.120172
,-50.0,50,171.404276
,-50.0,50,171.67305
,-50.0,50,171.948163
,-50.0,50,172.216043
,-50.0,50,172.470703
,-50.0,50,172.7245
,-50.0,50,173.051451
,-50.0,50,174.691178
