#{"t_start": 1583177203.3507376, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.69322
,-50.0,50,7.563027
,-50.0,50,9.206455
,-50.0,50,10.786367
,-50.0,50,12.422595
,-50.0,50,14.057754
,-50.0,50,15.675197
,-50.0,50,17.271677
,-50.0,50,18.874148
,-50.0,50,20.491505
,-50.0,50,22.132096
,-50.0,50,23.733026
,-50.0,50,25.343568
,-50.0,50,26.98251
,-50.0,50,28.561985
,-50.0,50,30.17521
,-50.0,50,31.78609
,-50.0,50,33.38021
,-50.0,50,34.98636
,-50.0,50,36.579232
,-50.0,50,38.19581
,-50.0,50,39.844872
,-50.0,50,41.425398
,-50.0,50,43.068241
,-50.0,50,44.669453
,-50.0,50,46.257483
,-50.0,50,47.912941
,-50.0,50,49.475513
,-50.0,50,51.11465
,-50.0,50,52.714549
,-50.0,50,54.327247
,-50.0,50,55.93893
,-50.0,50,57.539313
,-50.0,50,59.115483
,-50.0,50,60.744862
,-50.0,50,62.323511
,-50.0,50,63.951449
,-50.0,50,65.551331
,-50.0,50,67.134605
,-50.0,50,68.774684
,-50.0,50,70.340296
,0.0,50,71.979163
,-50.0,50,73.550469
,-50.0,50,75.161801
,-50.0,50,76.756745
,-50.0,50,78.377195
,-50.0,50,79.985352
,-50.0,50,81.566216
,-50.0,50,83.171421
,-50.0,50,84.781696
,-50.0,50,86.432584
,-50.0,50,86.684804
,-50.0,50,86.959985
,0.0,50,87.233578
,-50.0,50,87.495278
,-50.0,50,87.768335
,-50.0,50,88.027001
,-50.0,50,88.284975
,-50.0,50,88.54723
,-50.0,50,88.805981
,-50.0,50,89.168407
,-50.0,50,90.78392
,-50.0,50,92.397086
,0.0,50,94.004675
,-50.0,50,95.612694
,-50.0,50,97.250625
,-50.0,50,98.872731
,-50.0,50,100.490003
,-50.0,50,102.082424
,-50.0,50,103.6758
,-50.0,50,105.306567
,-50.0,50,106.923547
,-50.0,50,108.539729
,-50.0,50,110.146672
,-50.0,50,111.744451
,-50.0,50,113.34045
,-50.0,50,114.981211
,-50.0,50,116.584999
,-50.0,50,118.18343
,-50.0,50,119.78731
,-50.0,50,121.403425
,-50.0,50,123.035317
,-50.0,50,124.614614
,-50.0,50,126.237186
,-50.0,50,127.844221
,-50.0,50,129.458344
,-50.0,50,131.066082
,-50.0,50,132.703829
,-50.0,50,134.322582
,-50.0,50,135.923211
,-50.0,50,137.541373
,-50.0,50,139.155865
,-50.0,50,140.734043
,-50.0,50,142.403458
,-50.0,50,144.049042
,-50.0,50,145.6259
,-50.0,50,147.236399
,-50.0,50,148.859678
,0.0,50,150.479849
,-50.0,50,152.089466
,-50.0,50,153.713928
,-50.0,50,155.301714
,-50.0,50,156.908501
,-50.0,50,158.539055
,-50.0,50,160.148163
,-50.0,50,161.788605
,-50.0,50,163.399207
,-50.0,50,164.988512
,0.0,50,166.60761
,-50.0,50,168.225592
,-50.0,50,169.850079
,-50.0,50,170.113736
,-50.0,50,170.384794
,-50.0,50,170.627826
,-50.0,50,170.885912
,-50.0,50,171.15631
,-50.0,50,171.401121
,-50.0,50,171.663893
,-50.0,50,171.940459
,-50.0,50,172.22086
,-50.0,50,172.551854
,-50.0,50,174.15328
,-50.0,50,175.798498
,-50.0,50,177.417921
,-50.0,50,179.075822
,-50.0,50,180.666779
,-50.0,50,182.27943
,-50.0,50,183.850775
,-50.0,50,185.466871
,-50.0,50,187.120169
,-50.0,50,188.744982
,-50.0,50,190.33689
,-50.0,50,191.950834
,-50.0,50,193.5676
,-50.0,50,195.165724
,-50.0,50,196.804816
,0.0,50,198.442753
,-50.0,50,200.049645
,-50.0,50,201.666116
,-50.0,50,203.268404
,-50.0,50,204.915406
,-50.0,50,206.531369
,-50.0,50,208.173964
,-50.0,50,209.775075
,-50.0,50,211.373221
,-50.0,50,213.016475
,-50.0,50,214.664312
,-50.0,50,216.261179
,-50.0,50,217.855496
,-50.0,50,219.465219
,-50.0,50,221.09487
,-50.0,50,222.74319
,-50.0,50,224.338166
,-50.0,50,225.985371
,-50.0,50,227.593745
,-50.0,50,229.227416
,-50.0,50,230.860209
,-50.0,50,232.459764
,-50.0,50,234.084098
,-50.0,50,235.729293
,-50.0,50,237.306213
,-50.0,50,238.957745
,-50.0,50,240.604564
,-50.0,50,242.225452
,-50.0,50,243.845531
,-50.0,50,245.436293
,-50.0,50,247.089151
,-50.0,50,248.704685
,-50.0,50,250.335916
,-50.0,50,251.919603
,-50.0,50,253.603056
,-50.0,50,253.877465
,-50.0,50,254.149213
,-50.0,50,254.422725
,-50.0,50,254.672508
,-50.0,50,254.951336
,-50.0,50,255.231949
,-50.0,50,255.498855
,-50.0,50,255.761039
,-50.0,50,256.003773
,-50.0,50,256.321278
,-50.0,50,257.928512
,-50.0,50,259.565157
,-50.0,50,261.195056
,-50.0,50,262.820187
,-50.0,50,264.449305
