actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.449002,0.0053092595,0.84656614,0.09361446,0.20466071,0.04731275,-48.4375,10.0,-2.840789,0.03125000046566129,-48.195,50.0,0.03499999805353582
1.6582847,0.0035369745,0.8464844,0.094629705,0.20428005,0.04933309,-48.75,20.0,-4.7990355,0.02500000037252903,-47.879997,100.0,0.04124999907799065
1.8659122,0.0034867374,0.84482217,0.09505719,0.20386334,0.051287904,-49.1125,30.0,-6.8831306,0.018750000279396772,-48.74625,150.0,0.024999999441206455
2.0690212,0.0041596796,0.8451523,0.096358486,0.2041791,0.054665208,-46.575,40.0,-8.125048,0.06250000093132257,-47.800003,200.0,0.03999999910593033
2.265657,0.0054589286,0.84444904,0.096920125,0.20394486,0.059118036,-48.09375,50.0,-9.942615,0.037500000558793545,-47.2975,250.0,0.054999999701976776
2.4569197,0.007794171,0.84419745,0.09806895,0.20366839,0.06472827,-46.13125,60.0,-11.067567,0.08750000223517418,-47.23625,300.0,0.05125
2.6382942,0.011142336,0.844342,0.09955367,0.20383365,0.06890084,-44.53125,70.0,-11.602748,0.12500000279396772,-46.588753,350.0,0.0725
2.8091822,0.016546369,0.8443565,0.10064372,0.20378904,0.07359509,-42.53125,80.0,-11.671595,0.17500000726431608,-45.033752,400.0,0.11624999
2.9656188,0.024799587,0.8441491,0.10244625,0.20374316,0.08092179,-39.15625,90.0,-10.752789,0.2687499988824129,-43.908752,450.0,0.16
3.1040323,0.03589557,0.84435177,0.10342833,0.20373994,0.086637504,-36.612503,100.0,-10.327341,0.33750004,-42.525,500.0,0.20875001
3.2222981,0.048033148,0.84432584,0.104154766,0.20363411,0.0900539,-34.59375,110.0,-11.016585,0.4125,-40.49125,550.0,0.26125002
3.323166,0.05961285,0.84422725,0.10495746,0.20352241,0.093157284,-34.03125,120.0,-10.985064,0.41875002,-39.66,600.0,0.3
3.4118633,0.07104021,0.84415644,0.10667283,0.2034604,0.09643011,-28.9,130.0,-9.473808,0.5375,-38.096252,650.0,0.34125003
3.4898977,0.08172317,0.84410936,0.10802037,0.20345944,0.09869363,-25.78125,140.0,-9.778109,0.58124995,-36.815002,700.0,0.36874998
3.5556786,0.09173942,0.8441617,0.10889658,0.20348792,0.10033025,-23.4875,150.0,-8.916492,0.65625,-34.8575,750.0,0.4075
3.6094081,0.09997839,0.84444696,0.109061204,0.20365505,0.10110248,-23.6875,160.0,-8.666614,0.64374995,-33.65625,800.0,0.4425
3.6559703,0.10666442,0.8446135,0.10881481,0.20377436,0.10161291,-18.987501,170.0,-7.728124,0.75625,-32.61,850.0,0.48624998
3.6968212,0.11214711,0.8447607,0.10901917,0.20380665,0.10246205,-18.54375,180.0,-8.272532,0.76250005,-31.898748,900.0,0.4975
3.7319083,0.11693529,0.84484214,0.10910413,0.20387684,0.10283647,-16.506248,190.0,-7.011169,0.81875,-30.73875,950.0,0.5375
3.7611604,0.12124437,0.8450281,0.10941818,0.2039741,0.10359457,-15.243751,200.0,-6.276363,0.825,-29.908749,1000.0,0.53875
3.7838616,0.12538648,0.84537286,0.10977813,0.20410353,0.104336865,-14.65,210.0,-5.6009684,0.84999996,-29.68375,1050.0,0.56000006
3.7998416,0.12904221,0.8458515,0.11024272,0.20421827,0.1050973,-12.98125,220.0,-4.3173103,0.875,-30.00375,1100.0,0.55625
3.8093522,0.13215885,0.8462804,0.110510975,0.20429148,0.105643205,-11.4625,230.0,-3.687467,0.93125,-29.14625,1150.0,0.56125
3.8145032,0.13472977,0.8466863,0.11055287,0.20446417,0.10602298,-12.34375,240.0,-3.633516,0.8875,-28.58625,1200.0,0.56875
