actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.632386,0.007866577,0.8475433,0.0949471,0.20409572,0.049216088,-48.75,10.0,-3.0568025,0.02500000037252903,-48.625,50.0,0.027499998919665813
1.8337717,0.0054206913,0.846015,0.09433105,0.20362636,0.04678786,-49.6875,20.0,-5.072133,0.0062500000931322575,-47.99875,100.0,0.03999999910593033
2.028107,0.004487657,0.8463607,0.09342054,0.2039058,0.046243638,-47.0375,30.0,-6.698864,0.06250000093132257,-48.24375,150.0,0.032499999506399035
2.2238734,0.0045760022,0.8462691,0.09380937,0.20389467,0.047856845,-48.75625,40.0,-8.650877,0.02500000037252903,-48.39375,200.0,0.031249999068677425
2.4136083,0.0054981434,0.8464575,0.09459261,0.20378754,0.054246645,-48.2875,50.0,-10.171436,0.03125000046566129,-48.03,250.0,0.03999999933876097
2.6011014,0.0074991086,0.845892,0.09655585,0.20382057,0.06080885,-46.643753,60.0,-11.215824,0.06875000102445483,-47.399998,300.0,0.05249999929219484
2.778344,0.011173662,0.8454189,0.098885916,0.20392607,0.066521496,-45.775,70.0,-11.766409,0.10000000428408384,-46.82125,350.0,0.07124999887309968
2.9445243,0.017355714,0.84505504,0.100039005,0.20369951,0.072087266,-42.9125,80.0,-10.761797,0.16874999878928065,-46.47,400.0,0.09
3.1001894,0.027047,0.8448778,0.10114255,0.20354769,0.0778767,-41.7875,90.0,-11.898283,0.20000000530853868,-45.21125,450.0,0.12875
3.237596,0.04089021,0.8446655,0.102403104,0.20347498,0.08282773,-41.043747,100.0,-12.469388,0.23125,-42.61125,500.0,0.19375
3.3551483,0.05725789,0.84445405,0.10309783,0.20303734,0.08718095,-37.5875,110.0,-11.177317,0.31875002,-42.059998,550.0,0.2175
3.4562232,0.07403164,0.8443699,0.10293477,0.20300128,0.09035772,-32.918747,120.0,-10.644629,0.45625,-40.68875,600.0,0.26250002
3.5427046,0.089982755,0.84434867,0.10359038,0.20294754,0.093115054,-34.6125,130.0,-12.648581,0.4,-39.38,650.0,0.29625
3.6194673,0.10515793,0.8442881,0.103664376,0.20294006,0.095365286,-33.1,140.0,-12.949818,0.43125,-38.88375,700.0,0.31875
3.686947,0.119174205,0.8443076,0.10401826,0.20294462,0.0974007,-24.2125,150.0,-9.493207,0.63750005,-36.9575,750.0,0.37
3.7469735,0.13117933,0.84441954,0.104304455,0.20317711,0.09856482,-23.65625,160.0,-9.953419,0.6375,-35.533752,800.0,0.40625
3.798082,0.1412803,0.8443282,0.104405195,0.20325594,0.099435836,-26.59375,170.0,-12.021573,0.5875,-34.1475,850.0,0.43375
3.8421025,0.15004025,0.8444393,0.10460961,0.20339379,0.09970693,-20.26875,180.0,-9.255096,0.73125,-33.519997,900.0,0.45625
3.8806064,0.15698542,0.84471637,0.10462654,0.20350751,0.10001126,-20.16875,190.0,-9.859463,0.7125,-32.075,950.0,0.50125
3.91457,0.16296124,0.8447605,0.10456293,0.20360415,0.1003545,-17.875,200.0,-8.375766,0.78125,-31.36375,1000.0,0.51625
3.9446368,0.16786152,0.84497195,0.104672946,0.20381908,0.10073781,-18.74375,210.0,-9.331596,0.7375,-30.446249,1050.0,0.54875004
3.9716277,0.17217807,0.84528524,0.105172485,0.20396537,0.10126894,-16.3875,220.0,-8.423883,0.80625,-30.65,1100.0,0.52374995
3.9967647,0.17601155,0.8456445,0.105696745,0.20421302,0.10193974,-14.231251,230.0,-7.8194714,0.86875,-29.5325,1150.0,0.5425
4.01999,0.17960632,0.8459243,0.10610333,0.20436187,0.10259874,-14.8125,240.0,-6.9848614,0.8625,-29.032501,1200.0,0.565
4.041025,0.18270849,0.84630746,0.10645154,0.20447536,0.103016876,-13.212501,250.0,-5.995434,0.8875,-29.21,1250.0,0.56125
4.0602994,0.1854434,0.8468016,0.10692022,0.20464657,0.10359569,-10.94375,260.0,-4.7993317,0.9375,-30.036251,1300.0,0.53625
4.076881,0.18783371,0.8472,0.107308745,0.20469493,0.10411262,-11.55625,270.0,-4.7698507,0.91875005,-30.04375,1350.0,0.56750005
4.0900354,0.18992215,0.84750414,0.1074253,0.20483318,0.10433135,-11.65625,280.0,-5.007806,0.9375,-28.83625,1400.0,0.5775
4.099882,0.19188832,0.8478196,0.107771434,0.2049466,0.10457433,-10.8875,290.0,-3.9108644,0.95,-29.954998,1450.0,0.55625
4.10627,0.19351524,0.84806204,0.1081296,0.20503618,0.10480545,-9.575,300.0,-3.3020983,0.9875,-29.89875,1500.0,0.5525
4.109523,0.19489455,0.8483567,0.108506404,0.20511393,0.10502806,-10.325001,310.0,-3.4190378,0.95625,-29.778751,1550.0,0.55875003
4.109721,0.19611767,0.84856874,0.10863024,0.20517184,0.10518824,-11.81875,320.0,-3.7222266,0.91875,-30.3,1600.0,0.53375
4.1072354,0.19716865,0.84880704,0.10901766,0.20524429,0.10548517,-9.64375,330.0,-2.6185727,0.975,-29.93875,1650.0,0.55375004
4.102524,0.19793433,0.8489504,0.10929652,0.20525776,0.10575516,-10.6,340.0,-2.5868363,0.94374996,-30.31625,1700.0,0.56125
4.095764,0.19857702,0.84914535,0.10936282,0.20531295,0.105759054,-10.5625,350.0,-2.5917168,0.9625,-30.22375,1750.0,0.5375
4.0871844,0.19918391,0.8492597,0.10948688,0.20539314,0.10594192,-10.0625,360.0,-1.9246924,0.95624995,-31.02,1800.0,0.53499997
4.0772996,0.19964969,0.8493612,0.109547734,0.20543775,0.106065124,-10.450001,370.0,-2.2554688,0.96875,-30.150002,1850.0,0.54375
