#{"t_start": 1583224012.8784971, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.356876
,-50.0,50,7.137121
,-50.0,50,8.762379
,-50.0,50,10.392735
,-50.0,50,11.981797
,-50.0,50,13.578245
,-50.0,50,15.183371
,-50.0,50,16.782512
,-50.0,50,18.379715
,-50.0,50,19.953809
,-50.0,50,21.552499
,-50.0,50,23.143342
,-50.0,50,24.761553
,-50.0,50,26.378412
,-50.0,50,27.949001
,-50.0,50,29.531171
,-50.0,50,31.159335
,-50.0,50,32.74773
,-50.0,50,34.326094
,-50.0,50,35.90045
,-50.0,50,37.51075
,-50.0,50,39.099879
,-50.0,50,40.711229
,-50.0,50,42.301596
,-50.0,50,43.898297
,-50.0,50,45.507691
,-50.0,50,47.108849
,-50.0,50,48.691095
,-50.0,50,50.335629
,-50.0,50,51.917999
,-50.0,50,53.507878
,-50.0,50,55.132972
,-50.0,50,56.71197
,-50.0,50,58.325166
,-50.0,50,59.900435
,-50.0,50,61.52555
,-50.0,50,63.118025
,-50.0,50,64.690157
,-50.0,50,66.278604
,-50.0,50,67.890485
,-50.0,50,69.496124
,-50.0,50,71.096095
,-50.0,50,72.705503
,-50.0,50,74.290821
,-50.0,50,75.89671
,-50.0,50,77.465822
,-50.0,50,79.101599
,-50.0,50,80.705301
,-50.0,50,82.276357
,-50.0,50,83.914083
,-50.0,50,85.536761
,-50.0,50,85.793592
,-50.0,50,86.058526
,-50.0,50,86.317046
,-50.0,50,86.572688
,-50.0,50,86.818733
,-50.0,50,87.070335
,-50.0,50,87.320331
,-50.0,50,87.580537
,-50.0,50,87.835307
,-50.0,50,88.309027
,-50.0,50,89.910164
,-50.0,50,91.504282
,-50.0,50,93.112352
,-50.0,50,94.726629
,-50.0,50,96.29332
,-39.0,50,97.950556
,0.0,50,99.542766
,-50.0,50,101.164482
,-50.0,50,102.747721
,-50.0,50,104.331943
,-50.0,50,105.961459
,-50.0,50,107.572125
,-50.0,50,109.204751
,-50.0,50,110.825326
,-50.0,50,112.396496
,-50.0,50,114.019691
,-50.0,50,115.625827
,-50.0,50,117.248818
,-50.0,50,118.848266
,-50.0,50,120.43454
,-50.0,50,122.064273
,-50.0,50,123.638733
,-50.0,50,125.275578
,-50.0,50,126.906734
,-50.0,50,128.478543
,-35.0,50,130.109578
,-50.0,50,131.731549
,-50.0,50,133.309844
,-50.0,50,134.934779
,-50.0,50,136.538237
,-50.0,50,138.150733
,-50.0,50,139.775052
,-50.0,50,141.371959
,-50.0,50,142.993775
,-50.0,50,144.589994
,-50.0,50,146.200885
,-50.0,50,147.872522
,-50.0,50,149.487703
,-50.0,50,151.065017
,-50.0,50,152.711392
,-50.0,50,154.303986
,-50.0,50,155.95295
,-50.0,50,157.54273
,-50.0,50,159.167737
,-50.0,50,160.77025
,-50.0,50,162.364483
,-50.0,50,164.006966
,-50.0,50,165.589468
,-50.0,50,167.207806
,-50.0,50,168.816356
,-50.0,50,169.085139
,-50.0,50,169.331574
,-50.0,50,169.587032
,-50.0,50,169.873679
,-50.0,50,170.142041
,-50.0,50,170.401176
,-50.0,50,170.666584
,-50.0,50,170.937851
,-50.0,50,171.232624
,-50.0,50,171.633417
,-50.0,50,173.190797
,-50.0,50,174.850655
,-50.0,50,176.469279
,-50.0,50,178.064454
,-50.0,50,179.676358
,-50.0,50,181.282569
,-50.0,50,182.86089
,-50.0,50,184.466945
,-50.0,50,186.104851
,0.0,50,187.714035
,-50.0,50,189.320389
,-50.0,50,190.966114
,-50.0,50,192.545487
,-50.0,50,194.172212
,-50.0,50,195.775161
,-50.0,50,197.352235
,-50.0,50,198.998018
,-50.0,50,200.576415
,-50.0,50,202.175447
,-50.0,50,203.775022
,-50.0,50,205.414476
,-50.0,50,206.991171
,-50.0,50,208.621127
,-50.0,50,210.234331
,-50.0,50,211.843853
,-50.0,50,213.467677
,-50.0,50,215.053404
,-50.0,50,216.693818
,-50.0,50,218.275186
,-50.0,50,219.934531
,-50.0,50,221.516829
,-50.0,50,223.120024
,-50.0,50,224.755135
,-50.0,50,226.356045
,-50.0,50,227.967728
,-50.0,50,229.567566
,-50.0,50,231.181662
,-50.0,50,232.780967
,-50.0,50,234.406571
,-50.0,50,236.054021
,-50.0,50,237.643594
,-50.0,50,239.256009
,-50.0,50,240.898292
,0.0,50,242.51005
,-50.0,50,244.118838
,-50.0,50,245.692406
,-50.0,50,247.335486
,-50.0,50,248.94858
,-50.0,50,250.595457
,-50.0,50,252.22856
,-50.0,50,252.496815
,-50.0,50,252.769652
,-50.0,50,253.042405
,-50.0,50,253.296059
,-50.0,50,253.546166
,-50.0,50,253.804115
,-50.0,50,254.058868
,-50.0,50,254.302534
,-50.0,50,254.560233
,-50.0,50,254.955611
,-48.0,50,256.565584
,-50.0,50,258.189323
,-50.0,50,259.802939
,-50.0,50,261.409351
,-50.0,50,263.036019
,-50.0,50,264.654364
,-50.0,50,266.256266
,-50.0,50,267.891616
,-50.0,50,269.483174
,-50.0,50,271.083673
,-50.0,50,272.717674
,-50.0,50,274.326377
,-50.0,50,275.933092
,-50.0,50,277.558616
,-50.0,50,279.168699
,-50.0,50,280.814607
,0.0,50,282.408553
,-50.0,50,284.021837
,0.0,50,285.673877
,-50.0,50,287.232702
,-50.0,50,288.874754
