#{"t_start": 1583184459.7354095, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.278268
,-50.0,50,7.142277
,-50.0,50,8.731982
,-50.0,50,10.334439
,-50.0,50,11.938142
,-50.0,50,13.573637
,-50.0,50,15.176666
,-50.0,50,16.763733
,-50.0,50,18.378472
,-50.0,50,19.97509
,-50.0,50,21.588968
,-50.0,50,23.184915
,-50.0,50,24.757178
,0.0,50,26.388177
,-50.0,50,28.011629
,-50.0,50,29.628092
,-50.0,50,31.221999
,-50.0,50,32.807096
,-50.0,50,34.450897
,-50.0,50,36.083884
,-50.0,50,37.660446
,-50.0,50,39.273176
,-50.0,50,40.896274
,-50.0,50,42.520651
,-50.0,50,44.155338
,-50.0,50,45.725167
,-50.0,50,47.330408
,-50.0,50,48.985776
,-50.0,50,50.566895
,-50.0,50,52.190474
,-50.0,50,53.793834
,-50.0,50,55.382854
,-50.0,50,57.004303
,-50.0,50,58.598672
,-50.0,50,60.203169
,-50.0,50,61.787449
,-50.0,50,63.390837
,-50.0,50,64.986945
,-50.0,50,66.583261
,-50.0,50,68.19786
,-50.0,50,69.778257
,-50.0,50,71.389884
,-50.0,50,73.012718
,-50.0,50,74.6513
,-50.0,50,76.245415
,-50.0,50,77.858555
,-50.0,50,79.447802
,-50.0,50,81.061417
,-50.0,50,82.670463
,-50.0,50,84.318554
,-50.0,50,85.954847
,-50.0,50,86.241324
,-50.0,50,86.507798
,-50.0,50,86.780722
,-50.0,50,87.039537
,-50.0,50,87.303135
,-50.0,50,87.560115
,-50.0,50,87.820824
,-50.0,50,88.071071
,-50.0,50,88.343132
,-50.0,50,88.735773
,-50.0,50,90.343337
,-50.0,50,91.960555
,-50.0,50,93.607411
,-50.0,50,95.213225
,0.0,50,96.842121
,-50.0,50,98.429382
,-50.0,50,100.096417
,-50.0,50,101.689443
,-50.0,50,103.311865
,-50.0,50,104.956724
,-50.0,50,106.567192
,-50.0,50,108.148535
,-50.0,50,109.803561
,-50.0,50,111.400559
,-50.0,50,113.018354
,-50.0,50,114.62223
,-50.0,50,116.278321
,-50.0,50,117.893699
,-50.0,50,119.510271
,-50.0,50,121.098703
,-50.0,50,122.731129
,0.0,50,124.360759
,-50.0,50,125.98772
,-50.0,50,127.603149
,-50.0,50,129.21093
,-50.0,50,130.821883
,-50.0,50,132.45695
,-50.0,50,134.074605
,-50.0,50,135.710335
,-50.0,50,137.320943
,-50.0,50,138.912237
,-50.0,50,140.550053
,-50.0,50,142.143544
,-50.0,50,143.770316
,-50.0,50,145.363283
,-50.0,50,147.003522
,-50.0,50,148.619044
,-50.0,50,150.259527
,-50.0,50,151.867838
,-50.0,50,153.470672
,-50.0,50,155.11812
,-50.0,50,156.711838
,-50.0,50,158.346588
,-50.0,50,159.985077
,-50.0,50,161.587166
,-50.0,50,163.242518
,-50.0,50,164.822293
,-50.0,50,166.457918
,-50.0,50,168.098315
,-50.0,50,169.744559
,-50.0,50,170.016856
,-50.0,50,170.288624
,-50.0,50,170.563045
,-50.0,50,170.833892
,-50.0,50,171.094422
,-50.0,50,171.35426
,-50.0,50,171.654784
,-50.0,50,171.917349
,-50.0,50,172.184245
,-50.0,50,172.457731
,-50.0,50,174.082983
,-50.0,50,175.731911
