#{"t_start": 1583303173.4228983, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.822902
,-50.0,50,7.662776
,-50.0,50,9.256259
,-50.0,50,10.853023
,-50.0,50,12.427209
,-50.0,50,14.051016
,-50.0,50,15.663503
,-50.0,50,17.257185
,-50.0,50,18.877513
,-50.0,50,20.493248
,-50.0,50,22.076096
,-50.0,50,23.679397
,-50.0,50,25.266914
,-50.0,50,26.871507
,-50.0,50,28.460651
,-50.0,50,30.061588
,-50.0,50,31.661222
,-50.0,50,33.23382
,-50.0,50,34.889726
,-50.0,50,36.457966
,-50.0,50,38.054553
,-50.0,50,39.648945
,-50.0,50,41.256448
,-50.0,50,42.870108
,-50.0,50,44.450607
,-50.0,50,46.054907
,-50.0,50,47.672243
,-50.0,50,49.285802
,-50.0,50,50.869289
,-50.0,50,52.5109
,-50.0,50,54.108687
,-50.0,50,55.709959
,-50.0,50,57.305693
,-50.0,50,58.881584
,-50.0,50,60.510201
,-50.0,50,62.10999
,-50.0,50,63.709732
,0.0,50,65.287234
,-50.0,50,66.932297
,-50.0,50,68.510468
,-50.0,50,70.106365
,-50.0,50,71.685863
,-50.0,50,73.31991
,-50.0,50,74.925599
,-50.0,50,76.548201
,-50.0,50,78.133873
,-50.0,50,79.722031
,-50.0,50,81.3428
,-50.0,50,82.957118
,-50.0,50,84.553776
,-50.0,50,86.198041
,-50.0,50,86.461917
,-50.0,50,86.731276
,-50.0,50,86.986407
,-50.0,50,87.252315
,-50.0,50,87.514751
,-50.0,50,87.763151
,-50.0,50,88.029939
,-50.0,50,88.291001
,-50.0,50,88.575411
,-50.0,50,88.93434
,-50.0,50,90.565413
,-50.0,50,92.137744
,-50.0,50,93.780886
,-50.0,50,95.376106
,-50.0,50,96.984681
,-50.0,50,98.622087
,-50.0,50,100.264628
,-50.0,50,101.850264
,-50.0,50,103.505127
,-50.0,50,105.084361
,-50.0,50,106.707018
,-50.0,50,108.334964
,-50.0,50,109.930965
,-50.0,50,111.566573
,-50.0,50,113.166024
,-50.0,50,114.795643
,-50.0,50,116.429046
,-50.0,50,118.027776
,-50.0,50,119.62297
,-50.0,50,121.215201
,0.0,50,122.837423
,-50.0,50,124.509926
,-50.0,50,126.113989
,-50.0,50,127.698924
,-50.0,50,129.348898
,-50.0,50,130.974357
,-50.0,50,132.603577
,-50.0,50,134.170895
,-50.0,50,135.811486
,-50.0,50,137.427087
,-50.0,50,139.088029
,-50.0,50,140.672139
,-50.0,50,142.312755
,-50.0,50,143.940961
,-50.0,50,145.530946
,-50.0,50,147.143585
,-50.0,50,148.778801
,-50.0,50,150.375314
,-50.0,50,151.993417
,-50.0,50,153.639815
,-50.0,50,155.241084
,-50.0,50,156.847042
,-50.0,50,158.51214
,-50.0,50,160.105808
,-50.0,50,161.726192
,-50.0,50,163.380272
,-50.0,50,164.971879
,-50.0,50,166.621159
,-50.0,50,168.251626
,-50.0,50,169.864434
,-50.0,50,170.118902
,-50.0,50,170.382235
,0.0,50,170.626161
,-50.0,50,170.876187
,-50.0,50,171.123538
,-50.0,50,171.397657
,-50.0,50,171.653984
,-50.0,50,171.896284
,-50.0,50,172.143965
,-50.0,50,172.593045
,-50.0,50,174.191459
,-50.0,50,175.838678
,-50.0,50,177.448734
,-50.0,50,179.055296
,-50.0,50,180.693336
,-50.0,50,182.290998
,-50.0,50,183.919704
,-50.0,50,185.544866
,-50.0,50,187.15097
,-50.0,50,188.763658
,-50.0,50,190.392278
,-50.0,50,191.995765
,-50.0,50,193.609738
,-50.0,50,195.210376
,-50.0,50,196.859117
,-50.0,50,198.490259
,-50.0,50,200.113084
,-50.0,50,201.733673
,-50.0,50,203.352656
,-50.0,50,204.984284
,0.0,50,206.604847
,-50.0,50,208.235329
,-50.0,50,209.879716
,-50.0,50,211.500147
,-50.0,50,213.121479
,-50.0,50,214.715102
,-50.0,50,216.353254
,-50.0,50,217.992702
,-50.0,50,219.581679
,-50.0,50,221.210368
,-50.0,50,222.830785
,-50.0,50,224.45515
,-50.0,50,226.097346
,-50.0,50,227.701971
,-50.0,50,229.372561
,-50.0,50,230.963419
,-50.0,50,232.591692
,-50.0,50,234.259012
,0.0,50,235.873485
,-50.0,50,237.485723
,-50.0,50,239.095686
,-50.0,50,240.752438
,-50.0,50,242.409516
,-50.0,50,244.066455
,0.0,50,245.674441
,-50.0,50,247.314724
,-50.0,50,248.931163
,-50.0,50,250.544858
,-50.0,50,252.186305
,-50.0,50,253.836905
,-50.0,50,254.103999
,-50.0,50,254.372026
,-50.0,50,254.637433
,-50.0,50,254.926606
,-50.0,50,255.186263
,-50.0,50,255.428056
,-50.0,50,255.666221
,-50.0,50,255.923713
,-50.0,50,256.176653
,-50.0,50,256.549181
,-50.0,50,258.17324
,-50.0,50,259.764573
,-50.0,50,261.391761
,-50.0,50,263.025194
,-50.0,50,264.651988
,-50.0,50,266.277643
,-50.0,50,267.900586
,-50.0,50,269.507082
,-50.0,50,271.161804
,-50.0,50,272.772574
,-50.0,50,274.393214
,-50.0,50,276.029941
,-50.0,50,277.669973
,-50.0,50,279.27973
,-50.0,50,280.900649
,-50.0,50,282.533663
,-5.0,50,284.170088
,-50.0,50,285.794695
,-50.0,50,287.437546
,-50.0,50,289.078428
,-50.0,50,290.703303
,-50.0,50,292.344417
,-50.0,50,293.958047
,-50.0,50,295.59189
,0.0,50,297.168941
,-50.0,50,298.842973
,-50.0,50,300.450714
,-50.0,50,302.091092
,-50.0,50,303.728918
,-50.0,50,305.371592
,-50.0,50,307.024344
,-50.0,50,308.632071
,-50.0,50,310.300661
,-50.0,50,311.90264
,-50.0,50,313.556484
,-50.0,50,315.1949
,-50.0,50,316.806228
,-50.0,50,318.465967
,-50.0,50,320.09338
,-50.0,50,321.713809
,0.0,50,323.375743
,-50.0,50,324.958283
,-50.0,50,326.655655
,-50.0,50,328.273463
,-50.0,50,329.901856
,-50.0,50,331.550619
,-50.0,50,333.199455
,-50.0,50,334.794909
,-50.0,50,336.458798
,-50.0,50,338.127326
,-49.0,50,338.407884
,-50.0,50,338.684566
,-50.0,50,338.949252
,-50.0,50,339.203758
,-50.0,50,339.46074
,-50.0,50,339.746117
,-50.0,50,340.009613
,-50.0,50,340.318435
,-50.0,50,340.545938
,-50.0,50,340.862591
,-50.0,50,342.480865
,-50.0,50,344.156383
,-50.0,50,345.770938
,0.0,50,347.367207
,-50.0,50,349.05914
,-50.0,50,350.685513
,-50.0,50,352.303159
,-50.0,50,353.961118
,-50.0,50,355.562532
,-50.0,50,357.232874
,-50.0,50,358.867099
,-50.0,50,360.489104
,-50.0,50,362.133465
,-50.0,50,363.737654
,-50.0,50,365.393998
,-50.0,50,367.015614
,-50.0,50,368.689509
,-50.0,50,370.316827
,-50.0,50,371.929637
,-50.0,50,373.627108
,-50.0,50,375.251124
,-50.0,50,376.87916
,-50.0,50,378.522701
,-50.0,50,380.149344
,-50.0,50,381.797976
,-50.0,50,383.394989
,-50.0,50,385.059795
,-50.0,50,386.698562
,-50.0,50,388.374824
,-50.0,50,389.965872
,-50.0,50,391.65479
,-50.0,50,393.277585
,-50.0,50,394.903003
,0.0,50,396.569589
,-50.0,50,398.179625
,-50.0,50,399.82548
,-50.0,50,401.480697
,-50.0,50,403.111808
,-50.0,50,404.753769
,-50.0,50,406.405567
,-50.0,50,408.040852
,-50.0,50,409.667246
,-50.0,50,411.288389
,-50.0,50,412.961108
,-50.0,50,414.581571
,-50.0,50,416.212058
,-50.0,50,417.860781
,0.0,50,419.509822
,-50.0,50,421.141502
,-50.0,50,422.792508
,-50.0,50,423.038427
,-50.0,50,423.300171
,-50.0,50,423.580626
,-50.0,50,423.865433
,-50.0,50,424.17564
,-50.0,50,424.468567
,-50.0,50,424.755647
,-50.0,50,425.007592
,-50.0,50,425.265066
,-50.0,50,425.559425
,-50.0,50,427.190203
,-50.0,50,428.832734
,-50.0,50,430.491811
,-50.0,50,432.115046
,-19.0,50,433.743127
,-39.0,50,435.424507
,-50.0,50,437.02482
,-50.0,50,438.683224
,-50.0,50,440.310568
,-50.0,50,441.928147
,-50.0,50,443.59897
,-50.0,50,445.243515
,-50.0,50,446.88356
,-50.0,50,448.525544
,-50.0,50,450.131048
,-50.0,50,451.812137
,-50.0,50,453.417876
,-50.0,50,455.113894
,-24.0,50,456.720725
,-50.0,50,458.375833
,-50.0,50,460.014681
,-50.0,50,461.658266
,-50.0,50,463.283675
,-50.0,50,464.923782
,-50.0,50,466.578468
,-50.0,50,468.219465
,-50.0,50,469.870574
,-50.0,50,471.497968
,-50.0,50,473.115316
,-50.0,50,474.750232
,-50.0,50,476.403319
,-50.0,50,478.041923
,-50.0,50,479.715685
,-50.0,50,481.373126
,-50.0,50,483.005442
,-50.0,50,484.646458
,-50.0,50,486.298916
,-50.0,50,487.984111
,-50.0,50,489.606476
,-50.0,50,491.258651
,-50.0,50,492.911108
,-50.0,50,494.562029
,-50.0,50,496.184464
,-50.0,50,497.910645
,-50.0,50,499.531211
,-50.0,50,501.170133
,-50.0,50,502.787671
,0.0,50,504.473203
,-50.0,50,506.120976
,-50.0,50,507.774704
,-50.0,50,508.031517
,-50.0,50,508.308495
,-50.0,50,508.600263
,-50.0,50,508.869006
,-50.0,50,509.138938
,-50.0,50,509.40422
,-50.0,50,509.673171
,-50.0,50,509.928071
,-50.0,50,510.175635
,-50.0,50,510.461265
,-50.0,50,512.128637
,-50.0,50,513.735467
,-50.0,50,515.409745
,-50.0,50,517.067809
,-50.0,50,518.696162
,-50.0,50,520.360225
,-50.0,50,521.971931
,-50.0,50,523.629425
,-50.0,50,525.263939
,-50.0,50,526.875609
,-50.0,50,528.572838
,-50.0,50,530.168892
,-50.0,50,531.855214
,-50.0,50,533.507425
,0.0,50,535.144481
,-50.0,50,536.798561
,-50.0,50,538.420258
,-50.0,50,540.09251
,-50.0,50,541.777704
,-50.0,50,543.426736
,-50.0,50,545.04761
,-50.0,50,546.706426
,-50.0,50,548.376732
,-50.0,50,549.998917
,-50.0,50,551.690498
,-50.0,50,553.333129
,-50.0,50,554.967065
,-50.0,50,556.619926
,-50.0,50,558.290199
,-50.0,50,559.936935
,-50.0,50,561.574742
,-50.0,50,563.240345
,-50.0,50,564.924023
,-50.0,50,566.54365
