actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.5032569,0.0076695615,0.84457296,0.095178254,0.20423456,0.053126935,-47.8125,10.0,-2.9906716,0.0437500006519258,-48.30125,50.0,0.03499999921768904
1.71544,0.0053573833,0.8437991,0.09388279,0.20364974,0.05348265,-48.79375,20.0,-5.0008254,0.02500000037252903,-47.681248,100.0,0.043749999487772584
1.9347196,0.00493533,0.84411407,0.093721725,0.20370263,0.0531639,-48.79375,30.0,-6.720665,0.02500000037252903,-47.7425,150.0,0.04499999899417162
2.1358402,0.005284281,0.8445496,0.09518691,0.20387168,0.05496074,-47.85625,40.0,-8.637954,0.04375000111758709,-48.3425,200.0,0.03249999834224582
2.3294296,0.006008241,0.84473306,0.09487934,0.20395418,0.05621587,-46.175003,50.0,-9.87352,0.08125000121071935,-48.2325,250.0,0.03625
2.519662,0.00725405,0.8446784,0.09574381,0.20386872,0.05795923,-47.45625,60.0,-10.930503,0.056250001303851604,-48.28375,300.0,0.03374999947845936
2.7069678,0.010389265,0.8441562,0.0973321,0.20360817,0.06385698,-47.2375,70.0,-11.903553,0.0750000006519258,-47.088753,350.0,0.0625
2.890348,0.016996002,0.84414965,0.09885151,0.20365946,0.07011059,-44.375,80.0,-11.888809,0.13750000577419996,-46.24625,400.0,0.08625000063329935
3.0581021,0.02864077,0.8441849,0.100273065,0.20365138,0.07667411,-43.1875,90.0,-11.651192,0.16875000158324838,-44.850002,450.0,0.13125
3.1999497,0.04620509,0.8443386,0.10122786,0.20366785,0.081711866,-38.949997,100.0,-10.746029,0.30625,-43.754997,500.0,0.18125
3.314754,0.063783914,0.8445918,0.10204396,0.2037213,0.08647211,-34.893753,110.0,-10.516114,0.4000000152736902,-43.14,550.0,0.20125002
3.410576,0.08090201,0.84460974,0.10306666,0.20368499,0.09080005,-34.04375,120.0,-10.950157,0.4375,-41.427498,600.0,0.2475
3.492841,0.09771545,0.8444755,0.10454308,0.20360932,0.09477104,-31.34375,130.0,-10.402187,0.47500002,-40.615,650.0,0.2675
3.5673506,0.113744274,0.8443491,0.1056708,0.20347191,0.09796978,-23.10625,140.0,-7.9787526,0.65625,-37.972504,700.0,0.34625
3.633202,0.12829497,0.8445236,0.10612956,0.20354426,0.10002585,-26.7125,150.0,-9.0493355,0.58124995,-36.864998,750.0,0.35875002
3.6886945,0.14091092,0.8448243,0.10599748,0.20379278,0.100877084,-23.3,160.0,-8.619026,0.68125,-34.005,800.0,0.445
3.733742,0.15138337,0.8450741,0.10589588,0.2038833,0.1014462,-19.9375,170.0,-7.844753,0.74375,-33.471252,850.0,0.45499998
3.7705474,0.16038257,0.8452778,0.10580092,0.20399672,0.1018424,-20.5875,180.0,-9.208851,0.71875,-32.18625,900.0,0.4925
3.8034573,0.16773614,0.8459053,0.10585771,0.20410687,0.10220447,-16.89375,190.0,-7.5688047,0.8125,-32.739998,950.0,0.47749996
3.8329995,0.1737169,0.84614176,0.10586169,0.20422181,0.10264409,-15.21875,200.0,-7.0338554,0.8375,-30.455002,1000.0,0.52
3.8589685,0.17844072,0.8464653,0.10579268,0.20431519,0.10279994,-16.74375,210.0,-8.023447,0.8125,-30.576252,1050.0,0.5275
3.8826995,0.1822902,0.84670544,0.105816044,0.20443337,0.1032648,-13.4375,220.0,-6.39038,0.8875,-29.9525,1100.0,0.5525
3.9022424,0.185132,0.84707546,0.105854414,0.20463544,0.10358305,-13.925,230.0,-6.7818727,0.8875,-29.54875,1150.0,0.57125
3.918445,0.18691209,0.84725404,0.106266946,0.20478916,0.104204044,-13.6875,240.0,-6.324054,0.85625,-29.880001,1200.0,0.55875003
