#{"t_start": 1583241423.9471443, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.153379
,-50.0,50,8.000878
,-50.0,50,9.619387
,-50.0,50,11.257453
,0.0,50,12.896481
,-50.0,50,14.512692
,-50.0,50,16.097827
,-50.0,50,17.721973
,-50.0,50,19.285093
,-50.0,50,20.92547
,0.0,50,22.511894
,-50.0,50,24.154377
,-50.0,50,25.707166
,-50.0,50,27.368727
,-50.0,50,28.947699
,-50.0,50,30.529507
,-50.0,50,32.169712
,-50.0,50,33.722751
,-50.0,50,35.359183
,-50.0,50,36.970536
,-50.0,50,38.53421
,-50.0,50,40.16809
,-50.0,50,41.727271
,-50.0,50,43.376917
,-50.0,50,44.961372
,-50.0,50,46.539612
,-50.0,50,48.137107
,-50.0,50,49.734317
,-50.0,50,51.360259
,-50.0,50,52.959064
,-50.0,50,54.534254
,-50.0,50,56.146687
,-50.0,50,57.76733
,-50.0,50,59.343337
,-50.0,50,60.960386
,-50.0,50,62.562108
,-50.0,50,64.173996
,-50.0,50,65.751738
,-50.0,50,67.36569
,-50.0,50,68.986441
,-50.0,50,70.643745
,-50.0,50,72.198993
,-50.0,50,73.886246
,-50.0,50,75.452252
,-50.0,50,77.092407
,-50.0,50,78.673161
,-50.0,50,80.282793
,-50.0,50,81.877294
,-50.0,50,83.506683
,-50.0,50,85.093343
,-50.0,50,86.745906
,-50.0,50,87.035231
,-50.0,50,87.314389
,-50.0,50,87.584386
,-50.0,50,87.842259
,-50.0,50,88.108159
,-50.0,50,88.3677
,-50.0,50,88.638907
,-50.0,50,88.921943
,-50.0,50,89.162292
,-50.0,50,89.640043
,0.0,50,91.273901
,-50.0,50,92.913979
,-50.0,50,94.499364
,-50.0,50,96.121911
,-50.0,50,97.761008
,-50.0,50,99.334594
,-50.0,50,100.996419
,-50.0,50,102.619108
,-50.0,50,104.196861
,-50.0,50,105.814361
,-50.0,50,107.409328
,-50.0,50,108.995728
,-50.0,50,110.608248
,-50.0,50,112.223766
,-50.0,50,113.804159
,-50.0,50,115.402538
,-50.0,50,116.997897
,-50.0,50,118.594714
,-50.0,50,120.225309
,-50.0,50,121.818805
,-50.0,50,123.432525
,-50.0,50,125.004902
,-50.0,50,126.640211
,-50.0,50,128.211472
,-50.0,50,129.844178
,0.0,50,131.459364
,-50.0,50,133.060699
,-50.0,50,134.636739
,-50.0,50,136.254218
,-50.0,50,137.871767
,-50.0,50,139.504239
,-50.0,50,141.110445
,-50.0,50,142.713792
,-50.0,50,144.311113
,-50.0,50,145.919996
,-50.0,50,147.539551
,-50.0,50,149.198636
,-50.0,50,150.776755
,-50.0,50,152.421748
,-50.0,50,154.023697
,-50.0,50,155.646359
,-50.0,50,157.223669
,-50.0,50,158.840343
,-50.0,50,160.452724
,-50.0,50,162.070828
,-50.0,50,163.667911
,-50.0,50,165.326595
,-50.0,50,166.876082
,-50.0,50,168.546069
,-50.0,50,170.143784
,-50.0,50,170.415765
,-50.0,50,170.683883
,-50.0,50,170.993666
,-50.0,50,171.258919
,-50.0,50,171.528383
,-50.0,50,171.801291
,-50.0,50,172.067347
,-50.0,50,172.351934
,-50.0,50,172.578491
,-50.0,50,172.817999
,-50.0,50,174.436708
,-50.0,50,176.033284
,-50.0,50,177.657646
,-50.0,50,179.256299
,-50.0,50,180.864339
,-50.0,50,182.486552
,-50.0,50,184.117618
,-50.0,50,185.726798
,-50.0,50,187.307118
,-50.0,50,188.911686
,-50.0,50,190.536751
,-50.0,50,192.146251
,-50.0,50,193.74335
,-50.0,50,195.361941
,-50.0,50,196.945243
,-50.0,50,198.573216
,-50.0,50,200.137558
,-50.0,50,201.769588
,-50.0,50,203.370883
,-50.0,50,204.997693
,-50.0,50,206.623191
,-50.0,50,208.238733
,-50.0,50,209.848067
,-50.0,50,211.462483
,-50.0,50,213.072117
,-50.0,50,214.708064
,-50.0,50,216.286149
,-50.0,50,217.900557
,-50.0,50,219.522364
,-50.0,50,221.160728
,-50.0,50,222.734303
,-50.0,50,224.326956
,-50.0,50,225.970041
,-50.0,50,227.551508
,-50.0,50,229.152167
,-50.0,50,230.750158
,-50.0,50,232.380691
,-50.0,50,234.011493
,-50.0,50,235.578435
,-50.0,50,237.204736
,-50.0,50,238.849087
,-50.0,50,240.456343
,-50.0,50,242.107438
,-50.0,50,243.659694
,-50.0,50,245.310834
,0.0,50,246.914349
,-50.0,50,248.536738
,-50.0,50,250.187331
,-50.0,50,251.765211
,0.0,50,253.41552
,-8.0,50,253.738331
,-50.0,50,254.00938
,-50.0,50,254.26486
,-50.0,50,254.521617
,-50.0,50,254.807065
,-50.0,50,255.12538
,-50.0,50,255.374371
,-50.0,50,255.614709
,-50.0,50,255.8604
,-50.0,50,256.174787
,-50.0,50,257.761253
,-50.0,50,259.377723
,-50.0,50,261.000567
,-50.0,50,262.594191
,-50.0,50,264.202197
,-50.0,50,265.832549
,-50.0,50,267.434235
,-50.0,50,269.06636
,-50.0,50,270.657532
,-50.0,50,272.277516
,-50.0,50,273.878449
,-50.0,50,275.475408
,-50.0,50,277.108416
,-50.0,50,278.70665
,-50.0,50,280.319478
,-50.0,50,281.965497
,-50.0,50,283.566704
,-50.0,50,285.166383
,-50.0,50,286.794844
,-50.0,50,288.389194
,-50.0,50,290.042157
,-50.0,50,291.650664
,-50.0,50,293.253894
,-50.0,50,294.855114
,-50.0,50,296.481885
,-50.0,50,298.123564
,0.0,50,299.717339
,-50.0,50,301.344483
,-50.0,50,302.966932
,-50.0,50,304.561175
,-50.0,50,306.153117
,-50.0,50,307.799881
,-50.0,50,309.41921
,-50.0,50,310.993248
