#{"t_start": 1583257887.094756, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.882129
,-50.0,50,6.72231
,-50.0,50,8.356314
,-50.0,50,9.948327
,-50.0,50,11.57323
,-50.0,50,13.216407
,-50.0,50,14.80471
,-50.0,50,16.391248
,-50.0,50,18.014846
,-50.0,50,19.611842
,-50.0,50,21.223193
,-50.0,50,22.789818
,-50.0,50,24.398976
,-50.0,50,26.039281
,-50.0,50,27.679693
,-50.0,50,29.288796
,-50.0,50,30.888356
,-50.0,50,32.468472
,-50.0,50,34.110794
,-50.0,50,35.706898
,-50.0,50,37.306558
,-50.0,50,38.906692
,-50.0,50,40.514997
,-50.0,50,42.164093
,-50.0,50,43.746645
,-50.0,50,45.348388
,-50.0,50,46.979654
,-50.0,50,48.569441
,-50.0,50,50.208085
,-50.0,50,51.809505
,-50.0,50,53.4221
,-50.0,50,55.018002
,-50.0,50,56.632281
,-50.0,50,58.249922
,-50.0,50,59.837352
,-50.0,50,61.464268
,-50.0,50,63.091834
,-50.0,50,64.694911
,-50.0,50,66.310183
,-50.0,50,67.914728
,-50.0,50,69.509967
,-50.0,50,71.090794
,-50.0,50,72.65858
,-50.0,50,74.296687
,-50.0,50,75.893317
,-50.0,50,77.502106
,-50.0,50,79.143474
,-50.0,50,80.721068
,-50.0,50,82.330066
,-50.0,50,83.937949
,-50.0,50,85.56033
,-50.0,50,85.829353
,-50.0,50,86.127094
,-50.0,50,86.398976
,-50.0,50,86.661557
,-50.0,50,86.901875
,-50.0,50,87.159657
,-50.0,50,87.465058
,-50.0,50,87.718391
,-50.0,50,87.990335
,-50.0,50,88.351952
,-50.0,50,89.97498
,-50.0,50,91.600083
,-50.0,50,93.244438
,-50.0,50,94.854847
,-50.0,50,96.452402
,-50.0,50,98.048953
,-50.0,50,99.703656
,-50.0,50,101.309804
,-50.0,50,102.968431
,-50.0,50,104.535181
,-50.0,50,106.157177
,-50.0,50,107.765895
,-50.0,50,109.386676
