actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4246826,0.004472597,0.8447032,0.094979756,0.20373513,0.04415032,-48.75,10,-2.86276,0.025,-48.3125,50,0.033749998
1.6429931,0.002984253,0.84625435,0.09418366,0.20423888,0.043379713,-47.54375,20,-4.7911153,0.050000001,-48.125,100,0.034999998
1.859837,0.003025124,0.845931,0.09561216,0.2041752,0.044673335,-46.875,30,-6.4682555,0.062500001,-48.317497,150,0.031249999
2.0657861,0.003552803,0.8457632,0.09556174,0.20413223,0.047485843,-47.8125,40,-7.8856096,0.043750001,-47.94125,200,0.041249999
2.2611885,0.004463005,0.8461309,0.096118055,0.20429653,0.051828627,-47.8125,50,-9.839032,0.043750001,-48.40875,250,0.033749999
2.4477959,0.006076432,0.8462314,0.09718267,0.20441839,0.05579075,-45.6125,60,-10.519879,0.087500002,-48.305,300,0.031249999
2.6279798,0.008314546,0.8460293,0.097610176,0.20449543,0.05895287,-46.58125,70,-12.23053,0.081250002,-48.035,350,0.037499999
2.8009806,0.011231523,0.8460607,0.09848163,0.20450613,0.06266816,-44.7125,80,-12.630232,0.112500002,-47.309998,400,0.061249999
2.963222,0.015794635,0.84595674,0.09927239,0.20437287,0.06774786,-46.606247,90,-14.069263,0.075000002,-47.1025,450,0.07
3.1146178,0.022846473,0.84591967,0.099949956,0.20450859,0.072666675,-45.1625,100,-13.979202,0.143750002,-45.755,500,0.10625
3.2514324,0.032685433,0.8459356,0.10053584,0.20462304,0.07839399,-39.76875,110,-12.129663,0.26875,-44.30375,550,0.14375
3.374814,0.04538618,0.8454773,0.10150439,0.2046664,0.08318594,-38.5125,120,-12.890816,0.28750002,-44.5375,600,0.15
3.4878783,0.059961762,0.84540325,0.10224637,0.20454246,0.086705774,-37.925003,130,-13.293391,0.3125,-43.386246,650,0.1875
3.5906754,0.07467711,0.84534866,0.10268339,0.20448323,0.09002985,-35.28125,140,-13.132158,0.4,-41.566254,700,0.2425
3.6843534,0.08955888,0.8453627,0.10298281,0.20441207,0.09246263,-32.725,150,-12.879,0.47500002,-39.958748,750,0.28375
3.769001,0.10382688,0.8451288,0.10342956,0.20423338,0.09511991,-30.774998,160,-12.301638,0.48125002,-38.071247,800,0.34625
3.8425996,0.11783116,0.84522086,0.10376275,0.2040491,0.097136214,-25.4875,170,-10.049366,0.61249995,-37.13,850,0.3775
3.9072933,0.13114658,0.8453579,0.103974074,0.20402561,0.09858927,-27.243752,180,-9.37274,0.5625,-35.6525,900,0.40625
3.9603758,0.14306739,0.8455069,0.10441786,0.204012,0.10012961,-23.181252,190,-8.069658,0.66875005,-35.482502,950,0.435
4.0009985,0.15309949,0.8457744,0.10490867,0.20406654,0.10133637,-21.974998,200,-7.19986,0.7125,-33.25375,1000,0.47625
4.030366,0.16170359,0.84599847,0.10521728,0.20398392,0.102434576,-21.2375,210,-7.879238,0.725,-31.711252,1050,0.49250004
4.05201,0.16858217,0.84634393,0.10571566,0.2042326,0.103225686,-20.51875,220,-6.909003,0.73125005,-32.002502,1100,0.53
4.069519,0.17437015,0.84662145,0.10591445,0.20439194,0.10386848,-15.5,230,-5.6050205,0.83125,-29.89375,1150,0.55999994
4.083279,0.17938238,0.846837,0.10635575,0.20434351,0.10459308,-14.84375,240,-4.2803955,0.8125,-29.5975,1200,0.5762501
4.093796,0.1838458,0.8472684,0.106889755,0.20450252,0.105409004,-15.23125,250,-4.194597,0.81875,-29.130001,1250,0.56
4.0998774,0.18760711,0.8476054,0.106943615,0.20471819,0.10603044,-12.5,260,-3.7442513,0.9,-29.35125,1300,0.57875
4.1023703,0.19084999,0.84790134,0.10731993,0.20483871,0.106534444,-12.09375,270,-3.4871206,0.91875,-30.164999,1350,0.52374995
4.1014056,0.19365855,0.84817046,0.107413076,0.2049192,0.107067674,-11.35,280,-3.411673,0.95000005,-29.31625,1400,0.5625
4.0977774,0.1959554,0.84840363,0.1073967,0.20498297,0.10738745,-11.4625,290,-2.9980187,0.94374996,-29.311249,1450,0.59125006
