#{"t_start": 1583257885.8605566, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.027178
,-50.0,50,7.944933
,-50.0,50,9.592307
,-50.0,50,11.217736
,-50.0,50,12.817409
,-50.0,50,14.424641
,-50.0,50,16.038083
,-50.0,50,17.650264
,-50.0,50,19.254995
,-50.0,50,20.835386
,-50.0,50,22.446642
,-50.0,50,24.040462
,-50.0,50,25.632191
,-50.0,50,27.287539
,-50.0,50,28.903212
,-50.0,50,30.536611
,-50.0,50,32.141319
,-50.0,50,33.704068
,-50.0,50,35.328543
,-50.0,50,36.942764
,-50.0,50,38.565396
,-50.0,50,40.16724
,-50.0,50,41.773924
,-50.0,50,43.389279
,-50.0,50,45.012171
,-50.0,50,46.577734
,-50.0,50,48.213467
,-50.0,50,49.807652
,-50.0,50,51.451447
,-50.0,50,53.033953
,-50.0,50,54.639322
,-50.0,50,56.240681
,-50.0,50,57.892734
,-50.0,50,59.467216
,0.0,50,61.078345
,-50.0,50,62.703249
,0.0,50,64.305429
,-50.0,50,65.929656
,-50.0,50,67.536833
,0.0,50,69.116434
,-50.0,50,70.721546
,-50.0,50,72.336695
,-50.0,50,73.94172
,-50.0,50,75.517727
,-50.0,50,77.132756
,-50.0,50,78.740252
,-50.0,50,80.328237
,-50.0,50,81.940988
,-50.0,50,83.551091
,-50.0,50,85.141059
,-50.0,50,86.787596
,-50.0,50,87.040109
,-50.0,50,87.32636
,-50.0,50,87.598903
,-50.0,50,87.882278
,-50.0,50,88.125565
,-50.0,50,88.400563
,0.0,50,88.670138
,-50.0,50,88.948183
,-50.0,50,89.202924
,-50.0,50,89.595969
,-50.0,50,91.218836
,-50.0,50,92.84529
,-50.0,50,94.46799
,-50.0,50,96.060292
,-50.0,50,97.701007
,-50.0,50,99.302529
,-50.0,50,100.942011
,-50.0,50,102.552746
,-50.0,50,104.129039
,-50.0,50,105.789961
,-50.0,50,107.389615
,-50.0,50,109.010192
,-50.0,50,110.624295
,-50.0,50,112.215606
,-50.0,50,113.836924
,-50.0,50,115.430777
,-50.0,50,117.038099
,-50.0,50,118.686078
,-50.0,50,120.268586
,-50.0,50,121.886214
,-50.0,50,123.479868
,-50.0,50,125.091047
,-50.0,50,126.689198
,-50.0,50,128.28507
,-50.0,50,129.902362
,-50.0,50,131.507745
,-50.0,50,133.117833
,-50.0,50,134.755341
,-50.0,50,136.390307
,-50.0,50,137.992188
,-50.0,50,139.599156
,-50.0,50,141.219273
,-50.0,50,142.830962
,-50.0,50,144.442708
,-50.0,50,146.037843
,-50.0,50,147.657556
,-50.0,50,149.289016
,-50.0,50,150.906032
,-50.0,50,152.494193
,-50.0,50,154.117105
,-50.0,50,155.72177
,-50.0,50,157.30775
,-50.0,50,158.941197
,-50.0,50,160.530139
,-50.0,50,162.161435
,-50.0,50,163.737733
,-50.0,50,165.375683
,-50.0,50,166.975842
,-50.0,50,168.583368
,-50.0,50,170.230795
,-50.0,50,170.497659
,-50.0,50,170.739352
,-50.0,50,171.003982
,-50.0,50,171.262857
,-50.0,50,171.514393
,-50.0,50,171.772991
,-50.0,50,172.043285
,-50.0,50,172.309719
,-50.0,50,172.585664
,-50.0,50,172.898449
,-50.0,50,174.565037
,-50.0,50,176.176899
,-50.0,50,177.779524
,-50.0,50,179.383551
,-50.0,50,180.986878
,-50.0,50,182.57344
,-50.0,50,184.218854
,-50.0,50,185.830862
,-50.0,50,187.440344
,-50.0,50,189.059289
,-50.0,50,190.643095
,-50.0,50,192.24566
,-50.0,50,193.871938
,-50.0,50,195.49416
,-50.0,50,197.095263
,-50.0,50,198.706465
,-50.0,50,200.296479
,-50.0,50,201.911101
,-50.0,50,203.520515
,-50.0,50,205.128821
,-50.0,50,206.771665
,-50.0,50,208.383747
,-50.0,50,210.014531
,-50.0,50,211.618963
,-50.0,50,213.230079
,-50.0,50,214.859878
,-50.0,50,216.474535
,-50.0,50,218.061521
,-50.0,50,219.686156
,-50.0,50,221.310316
,-50.0,50,222.912049
,-50.0,50,224.533419
,-50.0,50,226.101611
,-50.0,50,227.691221
,-50.0,50,229.311252
,-50.0,50,230.968588
,-50.0,50,232.546802
,-50.0,50,234.179036
,-50.0,50,235.778273
,-50.0,50,237.400944
,-50.0,50,238.968891
,-50.0,50,240.629731
,-50.0,50,242.232746
,-50.0,50,243.849283
,-50.0,50,245.448886
,-50.0,50,247.068726
,-50.0,50,248.693808
,-50.0,50,250.314984
,-50.0,50,251.924966
,-50.0,50,253.560011
,-50.0,50,253.852845
,-50.0,50,254.120821
,-50.0,50,254.39407
,-50.0,50,254.642237
,-50.0,50,254.902858
,0.0,50,255.156243
,-50.0,50,255.4382
,-50.0,50,255.705548
,-50.0,50,255.952939
,-50.0,50,256.250259
,-50.0,50,257.912049
,-50.0,50,259.486693
,-50.0,50,261.1138
,-50.0,50,262.744587
,-50.0,50,264.355818
,-50.0,50,265.957089
,-50.0,50,267.59284
,-50.0,50,269.226539
,-50.0,50,270.850925
,-50.0,50,272.410466
,-50.0,50,274.058943
,-50.0,50,275.684793
,-50.0,50,277.315187
,-50.0,50,278.885205
,-50.0,50,280.538623
,0.0,50,282.17697
,-50.0,50,283.781275
,-50.0,50,285.377793
,-50.0,50,287.022266
,-50.0,50,288.621255
,-50.0,50,290.24653
,-50.0,50,291.885867
,-50.0,50,293.490252
,-50.0,50,295.109718
,-50.0,50,296.694776
,-50.0,50,298.345102
,-50.0,50,299.936368
,-50.0,50,301.544321
,-50.0,50,303.181457
,-50.0,50,304.797633
,0.0,50,306.422678
,-50.0,50,308.007787
,-50.0,50,309.652853
,-50.0,50,311.253256
,-50.0,50,312.898967
,-50.0,50,314.488055
,-50.0,50,316.113431
,-50.0,50,317.712694
,-50.0,50,319.360045
,-50.0,50,320.999611
