#{"t_start": 1583184459.427033, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.612651
,-50.0,50,7.381081
,-50.0,50,9.058141
,-50.0,50,10.665589
,-50.0,50,12.25166
,-50.0,50,13.849267
,-50.0,50,15.479418
,-50.0,50,17.076957
,-50.0,50,18.685314
,-50.0,50,20.26606
,-50.0,50,21.890945
,-50.0,50,23.481206
,-50.0,50,25.095589
,-50.0,50,26.734028
,-50.0,50,28.32069
,-50.0,50,29.914168
,0.0,50,31.544909
,-50.0,50,33.174233
,-50.0,50,34.74949
,-50.0,50,36.390838
,-50.0,50,37.988216
,-50.0,50,39.606935
,-50.0,50,41.194684
,-50.0,50,42.819634
,-50.0,50,44.454572
,-50.0,50,46.025164
,-50.0,50,47.654879
,-50.0,50,49.274222
,-50.0,50,50.877966
,-23.0,50,52.485005
,-50.0,50,54.093871
,-50.0,50,55.685877
,-50.0,50,57.273693
,-50.0,50,58.876369
,-50.0,50,60.501138
,-50.0,50,62.094313
,-50.0,50,63.694623
,-50.0,50,65.316556
,0.0,50,66.907942
,-50.0,50,68.484478
,-50.0,50,70.131426
,-50.0,50,71.728755
,-50.0,50,73.314587
,-50.0,50,74.967761
,-50.0,50,76.540263
,-50.0,50,78.171371
,-50.0,50,79.749891
,-50.0,50,81.343961
,-50.0,50,82.974396
,-50.0,50,84.601665
,-50.0,50,86.241894
,-50.0,50,86.514955
,-50.0,50,86.767942
,-50.0,50,87.026551
,-50.0,50,87.303711
,-50.0,50,87.571696
,-50.0,50,87.833596
,-50.0,50,88.099305
,-50.0,50,88.369176
,-50.0,50,88.628848
,-50.0,50,89.049506
,-50.0,50,90.680106
,0.0,50,92.287077
,-50.0,50,93.921492
,-50.0,50,95.52726
,-50.0,50,97.15737
,-50.0,50,98.748354
,-50.0,50,100.351032
,-50.0,50,102.005975
,-50.0,50,103.605963
,-50.0,50,105.250861
,-50.0,50,106.871222
,-50.0,50,108.468959
,-50.0,50,110.092299
,-50.0,50,111.732522
,-50.0,50,113.334454
,0.0,50,114.979117
,-50.0,50,116.557099
,-50.0,50,118.201176
,-50.0,50,119.815664
,-50.0,50,121.410664
,-50.0,50,123.054446
,-50.0,50,124.644076
,-50.0,50,126.265445
,-50.0,50,127.905622
,-50.0,50,129.519297
,-50.0,50,131.10266
,-50.0,50,132.78872
,-50.0,50,134.381689
,-50.0,50,135.99122
,-50.0,50,137.60012
,-50.0,50,139.234677
,-50.0,50,140.837688
,-50.0,50,142.466848
,-50.0,50,144.097828
,-50.0,50,145.680717
,-50.0,50,147.311878
,-50.0,50,148.918897
,-50.0,50,150.543349
,-50.0,50,152.177877
,0.0,50,153.804368
,-50.0,50,155.405465
,-50.0,50,157.012038
,-50.0,50,158.643149
,-50.0,50,160.253371
,-50.0,50,161.884341
,-50.0,50,163.520036
,-50.0,50,165.145408
,-50.0,50,166.786705
,-50.0,50,168.435722
,-50.0,50,170.046624
,-50.0,50,170.303213
,-50.0,50,170.580696
,-50.0,50,170.838979
,-50.0,50,171.108255
,-50.0,50,171.379087
,-50.0,50,171.635301
,-50.0,50,171.879031
,-50.0,50,172.142258
,-50.0,50,172.420372
,-50.0,50,172.741843
,-50.0,50,174.390886
,-50.0,50,176.026973
,-50.0,50,177.634928
,-50.0,50,179.25269
,-50.0,50,180.913482
,0.0,50,182.487554
,-50.0,50,184.128108
,-50.0,50,185.770419
,-50.0,50,187.392488
,-50.0,50,188.986108
,-50.0,50,190.628149
,-50.0,50,192.239429
,-50.0,50,193.865622
,-50.0,50,195.470559
,-50.0,50,197.125752
,-29.0,50,198.756061
,-50.0,50,200.367282
,-50.0,50,201.994794
,-50.0,50,203.603468
,-50.0,50,205.184032
,-50.0,50,206.825459
,-50.0,50,208.443013
,-50.0,50,210.053648
,-50.0,50,211.691821
,-50.0,50,213.298326
,-50.0,50,214.918447
,-50.0,50,216.537241
,-50.0,50,218.137765
,-50.0,50,219.748611
,-50.0,50,221.339801
,-50.0,50,222.967555
,-50.0,50,224.616545
,-50.0,50,226.236922
,-50.0,50,227.887018
,-50.0,50,229.497606
,-50.0,50,231.114421
,-50.0,50,232.733318
,-50.0,50,234.372954
,-50.0,50,235.978284
,-50.0,50,237.601237
,-50.0,50,239.236653
,-50.0,50,240.867987
,-50.0,50,242.494274
,-50.0,50,244.104916
,-50.0,50,245.718384
,-50.0,50,247.35036
,-50.0,50,248.957147
,-50.0,50,250.551705
,-50.0,50,252.171846
,-50.0,50,253.867311
,-50.0,50,254.116242
,-50.0,50,254.377265
,-50.0,50,254.643396
,-50.0,50,254.911361
,-50.0,50,255.195386
,-50.0,50,255.458888
,-50.0,50,255.718918
,-50.0,50,255.975853
,-50.0,50,256.232935
,-50.0,50,256.586879
,-50.0,50,258.255875
,-50.0,50,259.862971
,-50.0,50,261.506516
,-50.0,50,263.127926
,-50.0,50,264.743594
,-50.0,50,266.368712
,-50.0,50,268.005231
,-50.0,50,269.654545
,-50.0,50,271.279539
,-50.0,50,272.886359
,0.0,50,274.521022
,-50.0,50,276.149403
,-50.0,50,277.79602
,-50.0,50,279.429959
,-50.0,50,281.028317
,-50.0,50,282.652129
,-50.0,50,284.279742
,-50.0,50,285.902099
,-50.0,50,287.529469
,-50.0,50,289.136357
,-50.0,50,290.755176
,-50.0,50,292.412022
,-50.0,50,294.034307
,-50.0,50,295.642046
,-50.0,50,297.249097
,-50.0,50,298.870069
,-50.0,50,300.503245
,-50.0,50,302.142193
,-50.0,50,303.762419
,-50.0,50,305.379833
,-50.0,50,307.01215
,-50.0,50,308.611157
,-50.0,50,310.242096
,-50.0,50,311.845013
,-50.0,50,313.480012
,-50.0,50,315.117551
,-50.0,50,316.75986
,-50.0,50,318.381234
,-50.0,50,320.038653
,-50.0,50,321.636588
,-50.0,50,323.281954
,-50.0,50,324.898996
,-50.0,50,326.545383
,-50.0,50,328.209005
,-50.0,50,329.815241
,-50.0,50,331.455678
,-50.0,50,333.096247
