#{"t_start": 1582998919.2114627, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.396125
,-50.0,50,7.189842
,-50.0,50,8.82457
,-50.0,50,10.408802
,-50.0,50,12.010301
,-50.0,50,13.587782
,-50.0,50,15.203036
,-50.0,50,16.822896
,0.0,50,18.411723
,-50.0,50,20.018342
,-50.0,50,21.587387
,-50.0,50,23.206645
,-50.0,50,24.803141
,-50.0,50,26.442706
,-50.0,50,28.003132
,-50.0,50,29.623023
,-50.0,50,31.202693
,-50.0,50,32.79517
,-50.0,50,34.39065
,-50.0,50,36.013058
,-50.0,50,37.578281
,-50.0,50,39.182138
,-50.0,50,40.792371
,-50.0,50,42.355414
,-50.0,50,43.964542
,-50.0,50,45.564867
,-50.0,50,47.177544
,-50.0,50,48.727314
,-50.0,50,50.321695
,-50.0,50,51.930179
,-50.0,50,53.529234
,-50.0,50,55.127987
,-50.0,50,56.724344
,-50.0,50,58.327433
,-50.0,50,59.93801
,-50.0,50,61.528392
,-50.0,50,63.135372
,-50.0,50,64.746952
,-50.0,50,66.351124
,-50.0,50,67.933478
,-50.0,50,69.530684
,-50.0,50,71.145755
,-50.0,50,72.736595
,-50.0,50,74.353561
,-50.0,50,75.955325
,-50.0,50,77.560769
,-50.0,50,79.167066
,-50.0,50,80.784009
,-50.0,50,82.386067
,-50.0,50,83.962811
,-50.0,50,85.651313
,-50.0,50,85.921564
,-50.0,50,86.208342
,-50.0,50,86.47079
,-50.0,50,86.725143
,-50.0,50,86.972669
,-50.0,50,87.238987
,-50.0,50,87.486983
,-50.0,50,87.751259
,-50.0,50,88.013495
,-50.0,50,88.395788
,-50.0,50,90.009978
,-50.0,50,91.632696
,-50.0,50,93.263971
,-50.0,50,94.854413
,-50.0,50,96.456002
,-50.0,50,98.069476
,-50.0,50,99.644857
,-50.0,50,101.260266
,-50.0,50,102.870884
,0.0,50,104.467695
,-50.0,50,106.085307
,-50.0,50,107.701748
,-50.0,50,109.328855
,-50.0,50,110.907115
,-50.0,50,112.521688
,-50.0,50,114.123712
,-50.0,50,115.724953
,-50.0,50,117.333506
,-50.0,50,118.948011
,-50.0,50,120.553626
,-50.0,50,122.173938
,-50.0,50,123.783731
,-50.0,50,125.376657
,-50.0,50,126.999
,-50.0,50,128.588125
,-50.0,50,130.185654
,-50.0,50,131.853647
,-50.0,50,133.426669
,-50.0,50,135.072838
,-50.0,50,136.702211
,-50.0,50,138.299201
,-50.0,50,139.883505
,-50.0,50,141.496322
,-50.0,50,143.122842
,-50.0,50,144.716109
,-50.0,50,146.316306
,-50.0,50,147.969313
,-50.0,50,149.588272
,-50.0,50,151.1947
,-50.0,50,152.777794
,-50.0,50,154.388381
,-50.0,50,156.034647
,-50.0,50,157.614702
,-50.0,50,159.244453
,-50.0,50,160.84292
,-50.0,50,162.492761
,-50.0,50,164.084748
,-50.0,50,165.682446
,-50.0,50,167.304423
,-50.0,50,168.904981
,-50.0,50,169.163744
,-50.0,50,169.40831
,-50.0,50,169.67457
,-50.0,50,169.930125
,-50.0,50,170.191782
,-50.0,50,170.454136
,-50.0,50,170.718867
,-50.0,50,170.983716
,-50.0,50,171.247625
,-50.0,50,171.649944
,-50.0,50,173.266122
,-50.0,50,174.822567
,-50.0,50,176.468924
,-50.0,50,178.097708
,-50.0,50,179.694588
,-50.0,50,181.333268
,-50.0,50,182.917869
,-50.0,50,184.53334
,-50.0,50,186.113828
,-50.0,50,187.742135
,-50.0,50,189.346143
,-50.0,50,190.972384
,-50.0,50,192.563447
,-50.0,50,194.210135
,-50.0,50,195.829916
,-50.0,50,197.456541
,-50.0,50,199.075763
,-50.0,50,200.685255
,-50.0,50,202.248541
,-50.0,50,203.917805
,-50.0,50,205.554216
,-50.0,50,207.177311
,-50.0,50,208.810551
,-50.0,50,210.459067
,-50.0,50,212.047301
,-50.0,50,213.69715
,-50.0,50,215.330971
,-50.0,50,216.986193
,-50.0,50,218.552384
,-50.0,50,220.20331
,-50.0,50,221.80896
,-50.0,50,223.461769
,-50.0,50,225.063717
,-50.0,50,226.67124
,-50.0,50,228.298194
,-50.0,50,229.952264
,-50.0,50,231.569655
,-50.0,50,233.140188
,-50.0,50,234.773753
,-50.0,50,236.394423
,-50.0,50,237.989222
,-50.0,50,239.633835
,0.0,50,241.228436
,-50.0,50,242.854537
,-50.0,50,244.499022
,-50.0,50,246.097199
,-50.0,50,247.690357
,-50.0,50,249.313692
,-50.0,50,250.919216
,-50.0,50,252.593592
,-50.0,50,252.84058
,-50.0,50,253.120149
,-50.0,50,253.399812
,-50.0,50,253.663706
,-1.0,50,253.937788
,-50.0,50,254.216557
,-50.0,50,254.479768
,-50.0,50,254.742999
,-50.0,50,255.021615
,-50.0,50,255.333328
,-50.0,50,256.965498
,-50.0,50,258.546385
,-50.0,50,260.186098
,-50.0,50,261.785156
,-50.0,50,263.435231
,-50.0,50,265.073995
,0.0,50,266.664307
,-50.0,50,268.284614
,-50.0,50,269.923815
,-50.0,50,271.528209
,-50.0,50,273.166169
,0.0,50,274.799659
,-50.0,50,276.40585
,-50.0,50,278.033758
,-50.0,50,279.633246
,-50.0,50,281.232514
,-50.0,50,282.860331
,-50.0,50,284.470829
,-50.0,50,286.117944
,-50.0,50,287.72188
,-50.0,50,289.355661
,-50.0,50,290.970325
,-50.0,50,292.613481
,-50.0,50,294.217774
,-50.0,50,295.832641
,-50.0,50,297.47554
,-50.0,50,299.055637
,-50.0,50,300.714716
,-50.0,50,302.350028
,-50.0,50,303.944252
,-50.0,50,305.581916
,-50.0,50,307.195212
,-50.0,50,308.81831
,-50.0,50,310.436088
,-50.0,50,312.088843
,-50.0,50,313.734089
,-50.0,50,315.32822
,-50.0,50,316.968129
,-50.0,50,318.573112
,-50.0,50,320.192389
,-50.0,50,321.82328
,-50.0,50,323.415275
,-50.0,50,325.026445
,-50.0,50,326.669512
,-50.0,50,328.283806
,-50.0,50,329.91841
,-50.0,50,331.542458
,-50.0,50,333.235054
,0.0,50,334.847688
,0.0,50,336.482923
,-50.0,50,336.748201
,-50.0,50,336.998362
,-50.0,50,337.258238
,-50.0,50,337.540539
,-50.0,50,337.81997
,-50.0,50,338.084398
,-50.0,50,338.37454
,-50.0,50,338.627407
,-50.0,50,338.922058
,-50.0,50,339.256805
,-50.0,50,340.888011
,-50.0,50,342.517894
,-50.0,50,344.155385
,-50.0,50,345.752903
,0.0,50,347.373903
,-50.0,50,349.004671
,-50.0,50,350.626093
,-50.0,50,352.299137
,-50.0,50,353.958537
,-50.0,50,355.63933
,-50.0,50,357.235256
,-50.0,50,358.858288
,-50.0,50,360.489969
,-50.0,50,362.188148
,-50.0,50,363.805802
,-50.0,50,365.412193
,-50.0,50,367.09895
,-50.0,50,368.705311
,-50.0,50,370.371725
,-50.0,50,371.99629
,-50.0,50,373.59232
,-50.0,50,375.239397
,-50.0,50,376.903685
,-50.0,50,378.529313
,-50.0,50,380.137361
,-50.0,50,381.744647
,-50.0,50,383.374956
,-50.0,50,384.995829
,-50.0,50,386.637752
,-50.0,50,388.276909
,-50.0,50,389.915415
,-50.0,50,391.56534
,-50.0,50,393.168298
,-50.0,50,394.809107
,-50.0,50,396.404071
,-50.0,50,398.055434
,-50.0,50,399.667342
,0.0,50,401.313367
,-50.0,50,403.00964
,-50.0,50,404.615941
,-50.0,50,406.317963
,-50.0,50,407.939686
,-50.0,50,409.560649
,-50.0,50,411.196562
,-50.0,50,412.818083
,-50.0,50,414.455788
,-50.0,50,416.158787
,-50.0,50,417.758436
,-50.0,50,419.43544
,-50.0,50,421.110945
,-50.0,50,421.410633
,-50.0,50,421.684014
,-50.0,50,421.951395
,-50.0,50,422.202376
,-50.0,50,422.468487
,-50.0,50,422.751563
,-50.0,50,423.024264
,-50.0,50,423.272433
,-50.0,50,423.566865
,-50.0,50,424.031997
,-50.0,50,425.620518
,-50.0,50,427.273384
,-50.0,50,428.95024
,-50.0,50,430.562493
,-50.0,50,432.156587
,-50.0,50,433.794756
,-50.0,50,435.473758
,0.0,50,437.090591
,-50.0,50,438.719908
,-50.0,50,440.331253
,-50.0,50,441.943271
,-50.0,50,443.609384
,-48.0,50,445.238516
,-50.0,50,446.830212
,-50.0,50,448.465778
,-50.0,50,450.083739
,-50.0,50,451.757512
,-50.0,50,453.384338
,-50.0,50,455.021251
,-50.0,50,456.667181
,-50.0,50,458.249434
,-50.0,50,459.917359
,-50.0,50,461.545572
,-50.0,50,463.173476
,-50.0,50,464.798608
,-50.0,50,466.445339
,-50.0,50,468.048967
,-50.0,50,469.717034
,-17.0,50,471.34854
,-50.0,50,472.97157
,-50.0,50,474.580715
,-50.0,50,476.188611
,-50.0,50,477.82605
,-50.0,50,479.408358
,-50.0,50,481.047828
,-50.0,50,482.688026
,-50.0,50,484.306027
,-50.0,50,485.949622
,-50.0,50,487.600692
,0.0,50,489.197281
,-50.0,50,490.857493
,-50.0,50,492.473116
,-50.0,50,494.134094
,-50.0,50,495.736178
,-50.0,50,497.396398
,-50.0,50,499.008747
,-50.0,50,500.614723
,-50.0,50,502.266487
,-50.0,50,503.895562
,-50.0,50,505.558736
,-50.0,50,505.79814
,-50.0,50,506.061875
,-50.0,50,506.341649
,0.0,50,506.603128
,-50.0,50,506.854138
,-50.0,50,507.129701
,0.0,50,507.401846
,-50.0,50,507.68047
,-50.0,50,507.939719
,-50.0,50,508.345392
,-50.0,50,510.00616
,-48.0,50,511.648385
,-50.0,50,513.299994
,-50.0,50,514.899373
,-50.0,50,516.536075
,-50.0,50,518.192211
,-50.0,50,519.810754
,-50.0,50,521.455195
,-50.0,50,523.112489
,0.0,50,524.689482
,-50.0,50,526.361616
,-50.0,50,527.976894
,-50.0,50,529.656906
,-50.0,50,531.268951
,-50.0,50,532.879408
,-50.0,50,534.506939
,-50.0,50,536.141201
,-50.0,50,537.789556
,-50.0,50,539.412467
,-50.0,50,541.023369
,-50.0,50,542.651761
,-50.0,50,544.307451
,-29.0,50,545.936003
,-50.0,50,547.595857
,-50.0,50,549.194066
,-50.0,50,550.867335
,-50.0,50,552.457748
,-50.0,50,554.085965
,-50.0,50,555.704087
,-50.0,50,557.360751
,-24.0,50,559.04111
,-50.0,50,560.684101
,-50.0,50,562.296827
,-50.0,50,563.953977
,-50.0,50,565.628362
,-50.0,50,567.218616
,-50.0,50,568.882885
,-50.0,50,570.532458
,-50.0,50,572.139839
,-50.0,50,573.770749
,-21.0,50,575.417482
,-50.0,50,577.011353
,-50.0,50,578.666489
,-50.0,50,580.344651
,-50.0,50,581.931561
,-50.0,50,583.599245
,-50.0,50,585.220555
,-50.0,50,586.859821
,-50.0,50,588.472321
,-50.0,50,590.150181
,-50.0,50,590.39274
,-21.0,50,590.66076
,-50.0,50,590.931281
,-50.0,50,591.218601
,-50.0,50,591.480494
,-24.0,50,591.752483
,-50.0,50,592.020378
,-50.0,50,592.305771
,-50.0,50,592.591296
,-50.0,50,593.036332
,-50.0,50,594.710142
,-50.0,50,596.313408
,-50.0,50,597.961759
,-50.0,50,599.588169
,-50.0,50,601.244275
,-31.0,50,602.871991
,-50.0,50,604.520003
,-50.0,50,606.134457
,-50.0,50,607.789295
,-50.0,50,609.380271
,-50.0,50,611.058155
,-50.0,50,612.650036
,-50.0,50,614.322774
,-50.0,50,615.960016
,-50.0,50,617.613388
,0.0,50,619.232812
,-50.0,50,620.837527
,-50.0,50,622.492715
,-46.0,50,624.153764
,-50.0,50,625.781607
,-12.0,50,627.427547
,-50.0,50,629.077664
,-50.0,50,630.694465
,-50.0,50,632.338488
,-50.0,50,633.964356
,-50.0,50,635.607048
,-50.0,50,637.261142
,-50.0,50,638.93421
,-50.0,50,640.557032
,0.0,50,642.1441
,-50.0,50,643.818547
,-50.0,50,645.46863
,-50.0,50,647.120777
,-50.0,50,648.752036
,-50.0,50,650.389588
,-50.0,50,651.985203
,-50.0,50,653.67367
,-50.0,50,655.315341
,-50.0,50,656.934556
,-50.0,50,658.585616
,-50.0,50,660.227156
,-47.0,50,661.852467
,-50.0,50,663.528648
,-50.0,50,665.14
,-50.0,50,666.810592
,-24.0,50,668.44017
,-50.0,50,670.085209
,-45.0,50,671.70029
,-50.0,50,673.351802
,-50.0,50,675.050097
,-50.0,50,675.354311
,-50.0,50,675.619061
,-17.0,50,675.919722
,-50.0,50,676.195253
,-50.0,50,676.452539
,-50.0,50,676.724021
,-50.0,50,676.98804
,-50.0,50,677.237602
,-50.0,50,677.501852
,-50.0,50,677.819402
,-50.0,50,679.483403
,-50.0,50,681.107062
,-50.0,50,682.767478
,0.0,50,684.390991
,-50.0,50,686.040977
,-50.0,50,687.713315
,-50.0,50,689.366489
,-47.0,50,691.031523
,-50.0,50,692.660041
,-50.0,50,694.288189
,-50.0,50,695.966771
,-50.0,50,697.61997
,-50.0,50,699.279129
,0.0,50,700.881429
,-50.0,50,702.532887
,-50.0,50,704.188591
,-50.0,50,705.84252
,-50.0,50,707.4607
,-50.0,50,709.096085
,-47.0,50,710.72087
,-50.0,50,712.384863
,-50.0,50,714.002365
,-50.0,50,715.677121
,-50.0,50,717.32584
,-50.0,50,718.923428
,-50.0,50,720.588019
,-50.0,50,722.239041
,-50.0,50,723.893476
,-47.0,50,725.532845
,-50.0,50,727.206946
,-50.0,50,728.80658
,-50.0,50,730.454952
,-50.0,50,732.1247
,-50.0,50,733.776917
,-45.0,50,735.383096
,-50.0,50,737.028069
,-50.0,50,738.70567
,-50.0,50,740.318996
,-50.0,50,742.011957
,-50.0,50,743.626157
,-50.0,50,745.263008
,-50.0,50,746.920863
,-50.0,50,748.588912
,-50.0,50,750.222572
,-50.0,50,751.859181
,-50.0,50,753.486299
,-50.0,50,755.120224
,-50.0,50,756.772892
,-50.0,50,758.456879
,-50.0,50,760.071414
,-27.0,50,760.341241
,-50.0,50,760.593023
,0.0,50,760.910567
,-16.0,50,761.178172
,-9.0,50,761.464449
,-50.0,50,761.731125
,-50.0,50,761.997884
,-9.0,50,762.24784
,-50.0,50,762.532305
,-50.0,50,762.918321
,-50.0,50,764.573421
,-50.0,50,766.230129
,-50.0,50,767.896309
,-50.0,50,769.520118
,-18.0,50,771.182271
,-50.0,50,772.790351
,-50.0,50,774.445806
,-50.0,50,776.055675
,-50.0,50,777.735331
,-50.0,50,779.378912
,-32.0,50,781.023841
,-30.0,50,782.675851
,-50.0,50,784.298418
,-50.0,50,785.968223
,-50.0,50,787.606223
,-50.0,50,789.262838
,-50.0,50,790.915396
,-10.0,50,792.562096
,-1.0,50,794.213038
,-50.0,50,795.85452
,-50.0,50,797.506156
,-48.0,50,799.14779
,-50.0,50,800.779694
,-50.0,50,802.426661
,-50.0,50,804.072477
,-50.0,50,805.770696
,-50.0,50,807.370595
,-50.0,50,809.05759
,-50.0,50,810.667191
,-41.0,50,812.327128
,-50.0,50,814.01205
,-50.0,50,815.635365
,-50.0,50,817.275557
,-50.0,50,818.87518
,-50.0,50,820.541864
,-50.0,50,822.211795
,-50.0,50,823.858619
,-50.0,50,825.518194
,-50.0,50,827.178112
,-50.0,50,828.841597
,-50.0,50,830.473825
,-50.0,50,832.106209
,-44.0,50,833.760689
,-50.0,50,835.41498
,-50.0,50,837.064786
,-50.0,50,838.700485
,-50.0,50,840.337061
,-50.0,50,842.004718
,-50.0,50,843.645458
,-50.0,50,845.293102
,-50.0,50,845.570358
,-50.0,50,845.830137
,-50.0,50,846.099189
,-7.0,50,846.394346
,-50.0,50,846.655607
,-38.0,50,846.962648
,-50.0,50,847.226925
,-50.0,50,847.511285
,-42.0,50,847.784677
,-50.0,50,848.133623
,-50.0,50,849.791955
,-50.0,50,851.401895
,-50.0,50,853.061717
,-50.0,50,854.73036
,-50.0,50,856.380521
,-50.0,50,858.045141
,0.0,50,859.638322
,-50.0,50,861.347246
,-50.0,50,862.997416
,-50.0,50,864.674954
,-50.0,50,866.302677
,0.0,50,867.951603
,-6.0,50,869.602413
,-50.0,50,871.260267
,-50.0,50,872.925188
,-35.0,50,874.551142
,-47.0,50,876.233724
,-50.0,50,877.867249
,-37.0,50,879.521682
,-50.0,50,881.195345
,-50.0,50,882.906114
,-50.0,50,884.543159
,-50.0,50,886.156865
,-50.0,50,887.803402
,-50.0,50,889.469508
,-50.0,50,891.115705
,-50.0,50,892.748776
,-50.0,50,894.410029
,-44.0,50,896.094445
,-50.0,50,897.747557
,-27.0,50,899.417517
,-50.0,50,901.060936
,-50.0,50,902.726023
,-50.0,50,904.41732
,-50.0,50,906.054247
,-50.0,50,907.705551
,-21.0,50,909.3607
,-50.0,50,911.047528
,-50.0,50,912.667417
,-50.0,50,914.344932
,-45.0,50,916.013377
,-50.0,50,917.65048
,-50.0,50,919.322959
,-50.0,50,920.98196
,-50.0,50,922.650561
,-50.0,50,924.291721
,-50.0,50,925.961272
,-50.0,50,927.597617
,-23.0,50,929.265307
,-14.0,50,930.922176
,-50.0,50,931.169378
,-5.0,50,931.443622
,-50.0,50,931.707699
,-50.0,50,931.953124
,-50.0,50,932.230027
,-50.0,50,932.496922
,-4.0,50,932.772947
,-50.0,50,933.069297
,-50.0,50,933.335193
,0.0,50,933.828696
,-50.0,50,935.456269
,-50.0,50,937.083615
,-50.0,50,938.737057
,-50.0,50,940.423282
,0.0,50,942.043939
,-50.0,50,943.70161
,-50.0,50,945.371502
,-30.0,50,947.000798
,-50.0,50,948.671485
,-45.0,50,950.326801
,-50.0,50,952.017992
,-50.0,50,953.67629
,-50.0,50,955.329521
,-50.0,50,956.973031
,-50.0,50,958.614599
,-50.0,50,960.270746
,-50.0,50,961.943639
,-42.0,50,963.57614
,-45.0,50,965.253095
,-50.0,50,966.916377
,-50.0,50,968.578459
,-50.0,50,970.172121
,-50.0,50,971.890892
,-50.0,50,973.547719
,-50.0,50,975.222161
,-42.0,50,976.907643
,-50.0,50,978.5217
,-50.0,50,980.214211
,-50.0,50,981.829869
,-50.0,50,983.483261
,-9.0,50,985.1606
,-50.0,50,986.810745
,-50.0,50,988.41727
,-29.0,50,990.119957
,-50.0,50,991.721283
,-35.0,50,993.380246
,0.0,50,995.012102
,-50.0,50,996.694752
,-50.0,50,998.305816
,-50.0,50,1000.011097
,-50.0,50,1001.598848
,-50.0,50,1003.338945
,-50.0,50,1005.016429
,-50.0,50,1006.627072
,-50.0,50,1008.307409
,-50.0,50,1009.92583
,-50.0,50,1011.576717
,-50.0,50,1013.288409
,-50.0,50,1014.959249
,-50.0,50,1016.607751
,-25.0,50,1016.890244
,-50.0,50,1017.149258
,-15.0,50,1017.457197
,-50.0,50,1017.707356
,-44.0,50,1017.985797
,-10.0,50,1018.261555
,-10.0,50,1018.535352
,-50.0,50,1018.8166
,-50.0,50,1019.071904
,-50.0,50,1019.403135
,-50.0,50,1021.040282
,-50.0,50,1022.7108
,-50.0,50,1024.398968
,-50.0,50,1026.025252
,-50.0,50,1027.693635
,-37.0,50,1029.355953
,-47.0,50,1030.997842
,-50.0,50,1032.669284
,-50.0,50,1034.330244
,-50.0,50,1035.948959
,-32.0,50,1037.611113
,0.0,50,1039.243595
,-50.0,50,1040.950376
,-50.0,50,1042.581676
,-50.0,50,1044.246656
,-50.0,50,1045.943555
,-50.0,50,1047.600567
,-50.0,50,1049.226652
,-50.0,50,1050.922378
,-50.0,50,1052.575873
,-50.0,50,1054.212844
,-50.0,50,1055.911194
,-50.0,50,1057.541178
,-50.0,50,1059.219966
,-50.0,50,1060.89227
,-50.0,50,1062.52886
,-50.0,50,1064.177642
,-50.0,50,1065.90713
,-50.0,50,1067.553652
,-50.0,50,1069.210407
,-50.0,50,1070.855097
,-50.0,50,1072.565681
,-13.0,50,1074.180925
,-50.0,50,1075.816827
,-50.0,50,1077.510718
,-22.0,50,1079.141886
,-50.0,50,1080.807322
,-50.0,50,1082.4848
,-24.0,50,1084.107507
,-44.0,50,1085.812784
,-50.0,50,1087.466044
,-7.0,50,1089.062885
,-50.0,50,1090.773487
,-50.0,50,1092.424311
,-34.0,50,1094.109582
,-48.0,50,1095.757958
,-50.0,50,1097.431147
,-29.0,50,1099.151418
,-50.0,50,1100.776909
,-50.0,50,1102.478568
,-6.0,50,1102.740183
,-50.0,50,1103.027903
,-50.0,50,1103.291348
,-8.0,50,1103.538023
,-34.0,50,1103.796562
,-50.0,50,1104.091668
,-50.0,50,1104.381119
,-50.0,50,1104.657822
,-50.0,50,1104.939048
,-16.0,50,1105.364015
,-50.0,50,1107.051684
,-47.0,50,1108.663537
,0.0,50,1110.351409
,-50.0,50,1111.991113
,-50.0,50,1113.691084
,0.0,50,1115.322156
,-50.0,50,1117.012472
,-50.0,50,1118.655379
,-37.0,50,1120.353111
,-12.0,50,1121.971426
,-50.0,50,1123.666248
,-11.0,50,1125.329135
,-50.0,50,1127.001427
,-50.0,50,1128.633102
,0.0,50,1130.298975
,-50.0,50,1131.942228
,-50.0,50,1133.622878
,-50.0,50,1135.293096
,-50.0,50,1136.945932
,-50.0,50,1138.596689
,-50.0,50,1140.2741
,-37.0,50,1141.909459
,-50.0,50,1143.586064
,-49.0,50,1145.226775
,-50.0,50,1146.908098
,-50.0,50,1148.583061
,-50.0,50,1150.267156
,-50.0,50,1151.924338
,-50.0,50,1153.583445
,-46.0,50,1155.232599
,-50.0,50,1156.912088
,-50.0,50,1158.584069
,-10.0,50,1160.2094
,-29.0,50,1161.879542
,-43.0,50,1163.56654
,-50.0,50,1165.282871
,-50.0,50,1166.91476
,-15.0,50,1168.578666
,-15.0,50,1170.245545
,-50.0,50,1171.920832
,-50.0,50,1173.590636
,-50.0,50,1175.26089
,-50.0,50,1176.906304
,-10.0,50,1178.577327
,-50.0,50,1180.228919
,-50.0,50,1181.939357
,-37.0,50,1183.599677
,-50.0,50,1185.246925
,-50.0,50,1186.906993
,-14.0,50,1188.649285
,-50.0,50,1188.903924
,-50.0,50,1189.181748
,-11.0,50,1189.451346
,-4.0,50,1189.708974
,-17.0,50,1189.983614
,-9.0,50,1190.283076
,-50.0,50,1190.56126
