#{"t_start": 1582912451.356181, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,4.857508
,-50.0,50,6.679916
,-50.0,50,8.263703
,-50.0,50,9.869561
,-50.0,50,11.476851
,-50.0,50,13.050327
,-50.0,50,14.646993
,-50.0,50,16.268018
,-50.0,50,17.851419
,-50.0,50,19.46244
,-50.0,50,21.030431
,-42.0,50,22.623852
,-50.0,50,24.207337
,-50.0,50,25.808264
,-50.0,50,27.426506
,-50.0,50,29.019975
,-50.0,50,30.593704
,-50.0,50,32.199776
,-50.0,50,33.817354
,-50.0,50,35.381588
,-50.0,50,36.985654
,-50.0,50,38.599192
,-50.0,50,40.221182
,-50.0,50,41.776616
,-50.0,50,43.385817
,0.0,50,45.028033
,-50.0,50,46.631848
,-50.0,50,48.187713
,-50.0,50,49.794092
,-50.0,50,51.383149
,-50.0,50,52.993557
,-50.0,50,54.590511
,0.0,50,56.173594
,-50.0,50,57.758019
,-50.0,50,59.399574
,-50.0,50,60.991495
,-50.0,50,62.589401
,-50.0,50,64.170678
,-50.0,50,65.749708
,-50.0,50,67.36742
,-50.0,50,68.96793
,-50.0,50,70.54285
,-50.0,50,72.177143
,-50.0,50,73.775803
,-50.0,50,75.35597
,-50.0,50,76.967408
,-50.0,50,78.563642
,-50.0,50,80.140336
,-50.0,50,81.723251
,-50.0,50,83.337086
,-50.0,50,84.975271
,0.0,50,85.24661
,-50.0,50,85.512717
,-50.0,50,85.763875
,-50.0,50,86.034396
,-50.0,50,86.287631
,-50.0,50,86.543394
,-50.0,50,86.831094
,-50.0,50,87.081921
,-50.0,50,87.332337
,-50.0,50,87.755133
,-50.0,50,89.358265
,-50.0,50,90.938184
,-50.0,50,92.57098
