#{"t_start": 1582912711.658968, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.66078
,-50.0,50,7.4603
,-50.0,50,9.074659
,-50.0,50,10.644612
,-50.0,50,12.246551
,-50.0,50,13.84554
,-50.0,50,15.447967
,-50.0,50,17.039813
,-50.0,50,18.610581
,-50.0,50,20.224469
,-50.0,50,21.796097
,-50.0,50,23.393603
,-50.0,50,24.95179
,-50.0,50,26.546993
,-50.0,50,28.133849
,-50.0,50,29.70964
,-50.0,50,31.286903
,-50.0,50,32.893721
,-50.0,50,34.452138
,-50.0,50,36.085151
,-50.0,50,37.676788
,-50.0,50,39.240669
,-50.0,50,40.846297
,-50.0,50,42.459617
,-50.0,50,44.019545
,-50.0,50,45.648452
,-50.0,50,47.254991
,-50.0,50,48.831382
,-50.0,50,50.436263
,-50.0,50,52.03568
,-50.0,50,53.584678
,-50.0,50,55.219177
,-50.0,50,56.776026
,-50.0,50,58.395381
,-50.0,50,59.961503
,-50.0,50,61.602025
,-50.0,50,63.178627
,-50.0,50,64.791934
,-50.0,50,66.351672
,-50.0,50,67.994301
,-50.0,50,69.574469
,-50.0,50,71.159427
,-50.0,50,72.770983
,0.0,50,74.378997
,-50.0,50,75.965373
,-50.0,50,77.52388
,-50.0,50,79.108682
,-50.0,50,80.738112
,-50.0,50,82.321318
,-50.0,50,83.880522
,-50.0,50,85.548986
,-50.0,50,85.818077
,-50.0,50,86.07636
,-50.0,50,86.339816
,-50.0,50,86.588207
,-50.0,50,86.826831
,-50.0,50,87.079169
,0.0,50,87.351107
,-50.0,50,87.616606
,-50.0,50,87.886457
,-50.0,50,88.312944
,-50.0,50,89.892054
,-50.0,50,91.519764
,-50.0,50,93.084951
,-50.0,50,94.694983
,-50.0,50,96.308402
,-50.0,50,97.900018
,-50.0,50,99.473105
,-50.0,50,101.094738
,-50.0,50,102.688529
,-50.0,50,104.316334
,-50.0,50,105.927774
,-50.0,50,107.517012
,-50.0,50,109.097827
,-50.0,50,110.660565
,-50.0,50,112.296012
,-50.0,50,113.912748
,-50.0,50,115.469969
,-50.0,50,117.103451
,-50.0,50,118.712927
,-50.0,50,120.317945
,-50.0,50,121.902257
,-50.0,50,123.538091
,-50.0,50,125.15395
,-50.0,50,126.753935
,-50.0,50,128.334057
,-50.0,50,129.935292
,-50.0,50,131.535461
,-50.0,50,133.113626
,-50.0,50,134.7411
,-50.0,50,136.343389
,-50.0,50,137.950993
,-50.0,50,139.526716
,-50.0,50,141.129911
,-50.0,50,142.739197
,-50.0,50,144.300588
,-50.0,50,145.910389
,0.0,50,147.541137
,-50.0,50,149.131055
,-50.0,50,150.750771
,-50.0,50,152.365766
,-50.0,50,153.958657
,-50.0,50,155.593349
,-50.0,50,157.175171
,-50.0,50,158.806277
,-50.0,50,160.397589
,-50.0,50,162.009101
,-50.0,50,163.608413
,-50.0,50,165.215446
,-50.0,50,166.820512
,-50.0,50,168.438792
,-50.0,50,168.68776
,-50.0,50,168.950393
,-50.0,50,169.210649
,-50.0,50,169.456369
,-50.0,50,169.723904
,-50.0,50,169.998045
,-50.0,50,170.30984
,-50.0,50,170.580054
,-50.0,50,170.826916
,-50.0,50,171.209438
,-50.0,50,172.801566
,-50.0,50,174.406722
,-50.0,50,175.988204
,-50.0,50,177.583956
,-50.0,50,179.230624
,-23.0,50,180.827168
,-50.0,50,182.411685
,-50.0,50,184.058953
,-50.0,50,185.62007
,-50.0,50,187.242006
,-50.0,50,188.873518
,-50.0,50,190.455253
,-50.0,50,192.092182
,-50.0,50,193.695488
,-50.0,50,195.307063
,-50.0,50,196.945867
,-50.0,50,198.506035
,0.0,50,200.118899
,-50.0,50,201.718982
,-50.0,50,203.342743
,-50.0,50,204.994252
,-50.0,50,206.607009
,-50.0,50,208.210461
,-50.0,50,209.828307
,-50.0,50,211.430456
,-50.0,50,213.049741
,-50.0,50,214.652962
,-50.0,50,216.251711
,-50.0,50,217.864343
,-50.0,50,219.484105
,-50.0,50,221.110347
,0.0,50,222.685007
,-50.0,50,224.316296
,-50.0,50,225.930746
,-50.0,50,227.581759
,-50.0,50,229.179666
,-50.0,50,230.78626
,-50.0,50,232.381114
,-50.0,50,234.005292
,-50.0,50,235.665807
,-50.0,50,237.266307
,-50.0,50,238.846879
,-50.0,50,240.47081
,-50.0,50,242.079848
,-50.0,50,243.715053
,-50.0,50,245.329682
,-50.0,50,246.928933
,-50.0,50,248.574344
,-50.0,50,250.177749
,-50.0,50,251.839267
,-50.0,50,252.141234
,-50.0,50,252.442482
,-50.0,50,252.704956
,-50.0,50,252.98941
,-50.0,50,253.241985
,-50.0,50,253.530139
,-50.0,50,253.793644
,-50.0,50,254.0519
,-50.0,50,254.313062
,-50.0,50,254.60894
,-50.0,50,256.222529
,-50.0,50,257.851932
,-50.0,50,259.47311
,-50.0,50,261.112648
,-50.0,50,262.703277
,-50.0,50,264.316607
,-50.0,50,265.960072
,-50.0,50,267.549163
,-50.0,50,269.161914
,-50.0,50,270.775882
,-50.0,50,272.419257
,-50.0,50,274.043392
,-7.0,50,275.666832
,-50.0,50,277.274136
,-50.0,50,278.888753
,-50.0,50,280.53038
,0.0,50,282.146513
,-50.0,50,283.790289
,-50.0,50,285.375946
,-50.0,50,286.98787
,-50.0,50,288.611104
,0.0,50,290.211032
,-50.0,50,291.794852
,-50.0,50,293.432025
,-50.0,50,295.031828
,-50.0,50,296.649585
,-50.0,50,298.239754
,-50.0,50,299.867376
,-50.0,50,301.455788
,-50.0,50,303.058208
,-50.0,50,304.728935
,-50.0,50,306.385103
,-50.0,50,307.992205
,-50.0,50,309.59462
,-50.0,50,311.191559
,-50.0,50,312.81092
,-50.0,50,314.494673
,-50.0,50,316.125763
,-50.0,50,317.720785
,-50.0,50,319.331144
,-50.0,50,320.960492
,-50.0,50,322.578562
,-50.0,50,324.192826
,-50.0,50,325.799102
,-50.0,50,327.432655
,-50.0,50,329.027185
,-50.0,50,330.665981
,-50.0,50,332.275564
,-50.0,50,333.924626
,0.0,50,335.5606
,-50.0,50,335.822656
,-50.0,50,336.081901
,-50.0,50,336.337099
,-50.0,50,336.619391
,-50.0,50,336.874019
,-50.0,50,337.137005
,-50.0,50,337.409676
,-50.0,50,337.712887
,-50.0,50,337.973296
