#{"t_start": 1583161203.4825857, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.560376
,-50.0,50,8.373317
,-50.0,50,9.96254
,-50.0,50,11.592835
,-50.0,50,13.20444
,-50.0,50,14.822685
,-50.0,50,16.416561
,-50.0,50,18.01182
,-50.0,50,19.611765
,-50.0,50,21.192804
,-50.0,50,22.785399
,-50.0,50,24.407186
,-50.0,50,25.981678
,-50.0,50,27.591217
,-50.0,50,29.198173
,-50.0,50,30.799944
,-50.0,50,32.36331
,-50.0,50,33.993457
,-50.0,50,35.567497
,-50.0,50,37.176736
,-50.0,50,38.758758
,-50.0,50,40.372854
,-50.0,50,41.999758
,-50.0,50,43.612852
,-50.0,50,45.205532
,-50.0,50,46.821788
,-50.0,50,48.443191
,-50.0,50,50.044321
,-50.0,50,51.644223
,-50.0,50,53.227438
,-50.0,50,54.850039
,-50.0,50,56.438673
,-50.0,50,58.041416
,-50.0,50,59.661263
,-50.0,50,61.257881
,-50.0,50,62.86405
,-50.0,50,64.477499
,0.0,50,66.068782
,-50.0,50,67.693959
,-50.0,50,69.278483
,-50.0,50,70.868149
,-50.0,50,72.497779
,-50.0,50,74.086568
,-50.0,50,75.665976
,-50.0,50,77.286185
,-50.0,50,78.884231
,-50.0,50,80.503191
,-50.0,50,82.091557
,-50.0,50,83.734119
,-50.0,50,85.300449
,-50.0,50,86.957769
,-50.0,50,87.218625
,-50.0,50,87.489691
,-50.0,50,87.749711
,-50.0,50,88.019953
,-50.0,50,88.287297
,-50.0,50,88.558524
,-50.0,50,88.836508
,-50.0,50,89.104125
,-50.0,50,89.368577
,-50.0,50,89.737567
,-50.0,50,91.330775
,-50.0,50,92.955489
,-50.0,50,94.582754
,-50.0,50,96.180608
,-50.0,50,97.752121
,-50.0,50,99.414413
,-50.0,50,101.07502
,-50.0,50,102.65275
,-50.0,50,104.269675
,-50.0,50,105.889834
,-50.0,50,107.529265
,-50.0,50,109.114851
,-50.0,50,110.758133
,-50.0,50,112.381419
,-50.0,50,113.993544
,-50.0,50,115.582653
,-50.0,50,117.214186
,-50.0,50,118.837044
,-50.0,50,120.460201
,-50.0,50,122.079117
,0.0,50,123.657225
,-50.0,50,125.294533
,-50.0,50,126.934192
,-50.0,50,128.503442
,-50.0,50,130.132678
,-50.0,50,131.728854
,-50.0,50,133.379913
,-50.0,50,134.968928
,-50.0,50,136.603904
,-50.0,50,138.201008
,-50.0,50,139.827123
,-50.0,50,141.410033
,-50.0,50,143.013636
,-50.0,50,144.62543
,-50.0,50,146.244603
,-50.0,50,147.846812
,-50.0,50,149.467631
,-50.0,50,151.098644
,-50.0,50,152.719372
,-50.0,50,154.353117
,-50.0,50,156.023625
,-50.0,50,157.62033
,-50.0,50,159.290483
,-50.0,50,160.906438
,-50.0,50,162.47895
,-50.0,50,164.107654
,-50.0,50,165.754194
,-50.0,50,167.335313
,-50.0,50,168.999455
,-50.0,50,170.59316
,-50.0,50,170.850105
,-50.0,50,171.1246
,0.0,50,171.372334
,-50.0,50,171.633486
,-50.0,50,171.899546
,-50.0,50,172.178019
,-50.0,50,172.463422
,-50.0,50,172.731102
,-50.0,50,172.99339
,-50.0,50,173.30414
,-50.0,50,174.946644
,-50.0,50,176.57917
,-50.0,50,178.201432
,-50.0,50,179.798361
,-50.0,50,181.46081
,-50.0,50,183.050416
,-50.0,50,184.664583
,-50.0,50,186.258481
,-50.0,50,187.944544
,-50.0,50,189.523807
,-50.0,50,191.156202
,-50.0,50,192.749594
,-50.0,50,194.375776
,-50.0,50,195.963398
,-50.0,50,197.58043
,-50.0,50,199.202859
,-50.0,50,200.841203
,-50.0,50,202.412134
,-50.0,50,204.030189
,-50.0,50,205.675544
,0.0,50,207.288932
,-50.0,50,208.916661
,-50.0,50,210.503553
,-50.0,50,212.153799
,-50.0,50,213.743091
,-50.0,50,215.366877
,-50.0,50,216.98087
,-50.0,50,218.601434
,-50.0,50,220.231837
,-50.0,50,221.842826
,-50.0,50,223.44822
,-50.0,50,225.066741
,-50.0,50,226.696724
,-50.0,50,228.329977
,-50.0,50,229.978395
,-50.0,50,231.58579
,-50.0,50,233.218616
,-50.0,50,234.858064
,0.0,50,236.495034
,-50.0,50,238.106964
,-50.0,50,239.768177
,-50.0,50,241.394744
,-50.0,50,243.003901
,-50.0,50,244.645395
,0.0,50,246.249133
,-50.0,50,247.898964
,-50.0,50,249.505454
,-50.0,50,251.126011
,-50.0,50,252.742273
,-50.0,50,254.395317
,-50.0,50,254.658637
,-50.0,50,254.907969
,-50.0,50,255.177713
,-50.0,50,255.460477
,-50.0,50,255.717765
,-50.0,50,256.011366
,-50.0,50,256.267033
,-50.0,50,256.531974
,-50.0,50,256.779838
,-50.0,50,257.033476
,-50.0,50,258.684671
,-50.0,50,260.319522
,-50.0,50,261.937544
,-50.0,50,263.555614
,-50.0,50,265.216269
,-50.0,50,266.823702
,-50.0,50,268.44051
,-50.0,50,270.09111
,-50.0,50,271.727091
,-50.0,50,273.347733
,-50.0,50,274.937004
,-50.0,50,276.596565
,-50.0,50,278.216182
,-50.0,50,279.832561
,-50.0,50,281.454428
,-50.0,50,283.067089
,-8.0,50,284.669003
,-50.0,50,286.3137
,-50.0,50,287.904354
,-50.0,50,289.556288
,-50.0,50,291.214975
,-50.0,50,292.82802
,-50.0,50,294.450667
,-50.0,50,296.042969
,0.0,50,297.667669
,-50.0,50,299.316608
,-50.0,50,300.964758
,-50.0,50,302.596906
,-50.0,50,304.229001
,-50.0,50,305.837472
,-50.0,50,307.485981
,-50.0,50,309.085661
,-50.0,50,310.711129
,-50.0,50,312.351084
,-50.0,50,313.983021
,-50.0,50,315.637611
,-50.0,50,317.242255
,-50.0,50,318.866806
,-50.0,50,320.511434
,-50.0,50,322.131542
,0.0,50,323.783192
,-50.0,50,325.393172
,-50.0,50,327.035975
,-50.0,50,328.667716
,-50.0,50,330.282475
,-50.0,50,331.902071
,-50.0,50,333.523416
,-50.0,50,335.179446
,-50.0,50,336.782028
,-50.0,50,338.450302
,-50.0,50,338.705275
,-50.0,50,338.980248
,-50.0,50,339.237076
,-50.0,50,339.496181
,-50.0,50,339.753323
,-50.0,50,340.019438
,-50.0,50,340.283711
,-49.0,50,340.563814
,-50.0,50,340.813427
,-50.0,50,341.139162
,-50.0,50,342.761899
,-50.0,50,344.382279
,-50.0,50,346.027901
,0.0,50,347.647613
,-50.0,50,349.271617
,-50.0,50,350.926584
,-50.0,50,352.573663
,-50.0,50,354.17555
,-50.0,50,355.827576
,-50.0,50,357.494018
,-50.0,50,359.141851
,-50.0,50,360.746295
,-30.0,50,362.371553
,-50.0,50,364.015803
,-50.0,50,365.627261
,-50.0,50,367.264038
,-50.0,50,368.902833
,-50.0,50,370.510321
,-50.0,50,372.157213
,-50.0,50,373.805871
,-50.0,50,375.451928
,-50.0,50,377.073143
,-50.0,50,378.72885
,-50.0,50,380.341634
,-50.0,50,381.960229
,-50.0,50,383.607231
,-50.0,50,385.240132
,-50.0,50,386.908934
,-50.0,50,388.512243
,-50.0,50,390.152487
,-50.0,50,391.783534
,-50.0,50,393.430571
,-50.0,50,395.02378
,-39.0,50,396.681941
,-50.0,50,398.303385
,-50.0,50,399.91685
,-50.0,50,401.56315
,-50.0,50,403.192744
,-50.0,50,404.811373
,-50.0,50,406.464003
,-50.0,50,408.109042
,-50.0,50,409.717951
,-50.0,50,411.357714
,-50.0,50,413.002522
,-50.0,50,414.638222
,-50.0,50,416.259922
,-50.0,50,417.90185
,0.0,50,419.56741
,-50.0,50,421.184558
,-50.0,50,422.849697
,-50.0,50,423.114273
