actor_critic/actor_loss,actor_critic/critic_loss,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/avg_episode_reward,test/episode,test/mean_Q_val,test/success_rate,train/avg_episode_reward,train/episode,train/success_rate
1.4123113,0.0043843295,0.84458685,0.09492462,0.20382805,0.04442472,-48.75,10.0,-2.8707905,0.02500000037252903,-48.30375,50.0,0.034999996
1.6346344,0.003372482,0.84593123,0.094736,0.20409627,0.048159212,-47.5,20.0,-4.8406982,0.05000000074505806,-48.1125,100.0,0.034999998984858394
1.8470371,0.0036161367,0.8456912,0.095348716,0.20411032,0.048756476,-47.13125,30.0,-6.57625,0.05625000083819032,-48.28125,150.0,0.033749999245628715
2.0523272,0.004886564,0.8455405,0.09573486,0.20406872,0.051800627,-47.80625,40.0,-8.374566,0.0437500006519258,-47.887505,200.0,0.03999999933876097
2.253655,0.007326682,0.8461211,0.09578373,0.20433414,0.054633617,-47.43125,50.0,-9.6903305,0.05625000083819032,-48.2625,250.0,0.033749998547136784
2.447917,0.011498391,0.8460968,0.096922,0.2044261,0.058927633,-44.2875,60.0,-10.639793,0.1250000069849193,-47.739998,300.0,0.04999999818392098
2.6315992,0.018456183,0.8459236,0.0982539,0.20445186,0.06430488,-43.9625,70.0,-11.404266,0.14375000214204192,-47.04625,350.0,0.06875
2.8028917,0.028631844,0.84581953,0.10047826,0.20450944,0.07027594,-43.01875,80.0,-11.865425,0.16250000149011612,-46.3925,400.0,0.083749995
2.9578588,0.042568155,0.8457671,0.101346016,0.20449108,0.07610766,-45.0375,90.0,-12.772144,0.1312500024214387,-45.72125,450.0,0.1175
3.0912716,0.058861986,0.84600216,0.10229334,0.20455617,0.07957553,-43.275,100.0,-12.511332,0.17500000493600965,-44.856247,500.0,0.13374999
3.2064788,0.07705358,0.8459826,0.10274055,0.20455444,0.08397855,-40.4375,110.0,-11.787321,0.25000000558793545,-43.55,550.0,0.19999999
3.3081803,0.09556508,0.84577304,0.10305744,0.20453991,0.0863691,-37.2125,120.0,-12.283229,0.3125,-43.89875,600.0,0.1825
3.3997147,0.11407793,0.8459082,0.10404593,0.20451693,0.08955132,-37.6125,130.0,-12.970956,0.3125,-42.855003,650.0,0.205
3.4816945,0.13179234,0.8459714,0.10428331,0.20455496,0.091730155,-35.074997,140.0,-13.039249,0.3875,-40.6375,700.0,0.29500002
3.5549374,0.14820936,0.8459308,0.104252994,0.20441915,0.093399934,-34.4625,150.0,-12.267382,0.40625,-39.99125,750.0,0.30124998
3.6215541,0.16356203,0.84567493,0.1044122,0.20442028,0.0951381,-32.425,160.0,-12.142691,0.45625,-38.54875,800.0,0.33625
3.6804218,0.17783895,0.8457671,0.1043153,0.20441322,0.09661434,-25.84375,170.0,-10.69198,0.61875,-36.9875,850.0,0.3725
3.732864,0.19091672,0.8457499,0.10468709,0.20438778,0.09826105,-28.28125,180.0,-11.632416,0.54375005,-37.588753,900.0,0.35875
3.7796926,0.20309615,0.845723,0.10472741,0.20422126,0.098924264,-23.78125,190.0,-10.598728,0.65000004,-35.74125,950.0,0.40125
3.8205457,0.21382505,0.84569484,0.10497745,0.20404114,0.09959176,-21.73125,200.0,-9.031754,0.68125,-34.22125,1000.0,0.4425
3.8560147,0.22334465,0.8457305,0.1047413,0.20408012,0.100068085,-21.912498,210.0,-10.844363,0.69375,-32.02,1050.0,0.49124998
3.8878574,0.23168172,0.8457821,0.10502243,0.20409337,0.10042333,-22.400002,220.0,-9.25133,0.66875005,-32.54375,1100.0,0.4975
