#{"t_start": 1583161204.0542026, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,5.95394
,-50.0,50,7.819464
,-50.0,50,9.427437
,-50.0,50,11.002443
,-50.0,50,12.637921
,-50.0,50,14.2408
,-50.0,50,15.839147
,-50.0,50,17.399677
,-50.0,50,19.032306
,-50.0,50,20.630904
,-50.0,50,22.220564
,-50.0,50,23.812607
,-50.0,50,25.406297
,-50.0,50,27.02911
,-50.0,50,28.613564
,-50.0,50,30.215925
,-50.0,50,31.812364
,-50.0,50,33.402581
,-50.0,50,35.014382
,-50.0,50,36.59871
,-50.0,50,38.225162
,-50.0,50,39.816244
,-50.0,50,41.419128
,-50.0,50,43.038567
,-50.0,50,44.663033
,-50.0,50,46.231747
,-50.0,50,47.894739
,-50.0,50,49.463204
,0.0,50,51.064924
,-50.0,50,52.662718
,-50.0,50,54.270749
,-50.0,50,55.861173
,-50.0,50,57.472714
,-50.0,50,59.072967
,-50.0,50,60.6693
,-50.0,50,62.273231
,-50.0,50,63.87379
,-50.0,50,65.482328
,-50.0,50,67.078847
,-50.0,50,68.722665
,-50.0,50,70.295124
,-50.0,50,71.935522
,-50.0,50,73.520731
,0.0,50,75.125444
,-50.0,50,76.718879
,-50.0,50,78.295383
,0.0,50,79.935467
,-50.0,50,81.533356
,-50.0,50,83.137472
,-50.0,50,84.736573
,-50.0,50,86.376629
,-50.0,50,86.649824
,-50.0,50,86.913254
,-50.0,50,87.190227
,-50.0,50,87.450196
,-50.0,50,87.713476
,-50.0,50,87.975916
,-50.0,50,88.24282
,-50.0,50,88.501995
,-50.0,50,88.76552
,-50.0,50,89.121012
,-50.0,50,90.7609
,-50.0,50,92.357786
,-50.0,50,93.999673
,-50.0,50,95.620494
,-50.0,50,97.191911
,-50.0,50,98.83784
,-50.0,50,100.474454
,-50.0,50,102.095689
,-50.0,50,103.733489
,-50.0,50,105.32937
,-50.0,50,106.969533
,-50.0,50,108.555214
,-50.0,50,110.179393
,-50.0,50,111.79077
,-50.0,50,113.389055
,-50.0,50,115.064351
,-50.0,50,116.666291
,-50.0,50,118.285019
,-50.0,50,119.890381
,-50.0,50,121.501863
,-50.0,50,123.097265
,-50.0,50,124.733013
,-50.0,50,126.332639
,-50.0,50,127.951373
,-50.0,50,129.528301
,-50.0,50,131.1596
,-50.0,50,132.757895
,-50.0,50,134.393886
,-50.0,50,136.019744
,-50.0,50,137.601249
,-50.0,50,139.244482
,-50.0,50,140.848596
,-50.0,50,142.453875
,-50.0,50,144.04304
,-50.0,50,145.65675
,-50.0,50,147.259188
,-50.0,50,148.89416
,-50.0,50,150.551717
,-50.0,50,152.154212
,-50.0,50,153.748189
,-50.0,50,155.434788
,-50.0,50,157.059916
,-50.0,50,158.723892
,-50.0,50,160.301862
,-50.0,50,161.950655
,-50.0,50,163.546415
,-50.0,50,165.149868
,-50.0,50,166.818874
,-50.0,50,168.40467
,-50.0,50,170.050567
,-50.0,50,170.33663
,-50.0,50,170.602064
,-50.0,50,170.868189
,0.0,50,171.12783
,-50.0,50,171.371922
,-50.0,50,171.655227
,-50.0,50,171.923656
,-50.0,50,172.188347
,-50.0,50,172.455814
,-50.0,50,172.7675
,-50.0,50,174.363689
,-50.0,50,175.999179
,-50.0,50,177.616426
,-50.0,50,179.249845
,-50.0,50,180.859679
,-50.0,50,182.472842
,-50.0,50,184.105835
,-50.0,50,185.706222
,-50.0,50,187.320537
,-50.0,50,188.959505
,-50.0,50,190.589898
,-50.0,50,192.193133
,-50.0,50,193.78269
,-50.0,50,195.405112
,-50.0,50,197.003798
,-50.0,50,198.629676
,-50.0,50,200.227913
,-50.0,50,201.858565
,-50.0,50,203.470879
,0.0,50,205.088973
,-50.0,50,206.697186
,-50.0,50,208.322565
,-50.0,50,209.949813
,-50.0,50,211.557835
,-50.0,50,213.202005
,-50.0,50,214.791839
,-50.0,50,216.380028
,-50.0,50,218.037333
,-50.0,50,219.632888
,-50.0,50,221.256156
,-14.0,50,222.860493
,-50.0,50,224.492913
,-50.0,50,226.128859
,-50.0,50,227.780409
,-50.0,50,229.382008
,-50.0,50,231.047979
,-50.0,50,232.660375
,-50.0,50,234.287727
,-50.0,50,235.915748
,-50.0,50,237.553439
,-50.0,50,239.191351
,-50.0,50,240.825421
,-50.0,50,242.43922
,-50.0,50,244.077541
,-50.0,50,245.673389
,0.0,50,247.303026
,-50.0,50,248.924301
,-50.0,50,250.524359
,-50.0,50,252.179367
,-50.0,50,253.808089
,-50.0,50,254.073832
,-50.0,50,254.32864
,-50.0,50,254.573075
