#{"t_start": 1582923763.4154859, "env_id": "FetchPush-v1"}
s,r,l,t
,-50.0,50,6.271637
,-50.0,50,8.077821
,-50.0,50,9.753868
,0.0,50,11.395675
,-50.0,50,13.004823
,-50.0,50,14.626423
,-50.0,50,16.248817
,-50.0,50,17.894604
,-50.0,50,19.481059
,-50.0,50,21.108602
,-50.0,50,22.731719
,-50.0,50,24.332246
,-50.0,50,25.948415
,-50.0,50,27.548888
,0.0,50,29.171451
,-50.0,50,30.749645
,-50.0,50,32.387874
,-50.0,50,33.962309
,-50.0,50,35.603505
,-50.0,50,37.223922
,-50.0,50,38.876802
,-50.0,50,40.506755
,-50.0,50,42.103921
,-50.0,50,43.765105
,-50.0,50,45.378761
,-14.0,50,46.99503
,-50.0,50,48.593851
,-50.0,50,50.177766
,-50.0,50,51.800938
,0.0,50,53.418726
,-50.0,50,55.057032
,-50.0,50,56.665512
,-50.0,50,58.275533
,-50.0,50,59.874571
,-50.0,50,61.485016
,-50.0,50,63.119429
,-50.0,50,64.726343
,-50.0,50,66.397307
,-50.0,50,67.979721
,-50.0,50,69.629788
,-50.0,50,71.218603
,-50.0,50,72.849451
,-50.0,50,74.444973
,-50.0,50,76.077663
,-50.0,50,77.663073
,-50.0,50,79.28456
,-50.0,50,80.929547
,-50.0,50,82.53117
,-50.0,50,84.185991
,-50.0,50,85.802349
,-50.0,50,87.466463
,-50.0,50,87.764722
,-50.0,50,88.069206
,-50.0,50,88.342024
,-50.0,50,88.645125
,-50.0,50,88.912179
,-50.0,50,89.202924
,-50.0,50,89.530928
,-50.0,50,89.805984
,-3.0,50,90.08919
,-50.0,50,90.488792
,-50.0,50,92.096843
,-50.0,50,93.776309
,0.0,50,95.372102
,-50.0,50,96.987248
,-50.0,50,98.627184
,-50.0,50,100.280992
,0.0,50,101.851782
,-50.0,50,103.48747
,-50.0,50,105.126393
,-50.0,50,106.737253
,-50.0,50,108.37667
,-50.0,50,109.988093
,0.0,50,111.622537
,0.0,50,113.270479
,-50.0,50,114.853477
,-50.0,50,116.498525
,-50.0,50,118.120039
,-50.0,50,119.716466
,-50.0,50,121.367109
,-50.0,50,123.008864
